energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
4.94947474,0.92846739,0.00282800,0.06982906,0.21744917,0.00000000,0.19111951,0.79660490
4.95547774,0.97694516,0.00327504,0.07265899,0.21170818,0.00000000,0.20485795,0.84707543
4.96148074,1.03029053,0.00377134,0.07557260,0.20719054,0.00000000,0.21999807,0.90154255
4.96748374,1.08806439,0.00431756,0.07848795,0.20392464,0.00000000,0.23642653,0.95959443
4.97348674,1.14979133,0.00491332,0.08132567,0.20192867,0.00000000,0.25401643,1.02079615
4.97948974,1.21496816,0.00555716,0.08401141,0.20121224,0.00000000,0.27262820,1.08469727
4.98549275,1.28307119,0.00624633,0.08647811,0.20177824,0.00000000,0.29211011,1.15083779
4.99149575,1.35356230,0.00697672,0.08866802,0.20362458,0.00000000,0.31229878,1.21875248
4.99749875,1.42589367,0.00774282,0.09053440,0.20674612,0.00000000,0.33301961,1.28797361
5.00350175,1.49951135,0.00853768,0.09204292,0.21113638,0.00000000,0.35408735,1.35803202
5.00950475,1.57385807,0.00935297,0.09317258,0.21678920,0.00000000,0.37530693,1.42845706
5.01550775,1.64837539,0.01017906,0.09391627,0.22370025,0.00000000,0.39647479,1.49877558
5.02151076,1.72250599,0.01100520,0.09428089,0.23186825,0.00000000,0.41738066,1.56851070
5.02751376,1.79569623,0.01181971,0.09428707,0.24129595,0.00000000,0.43781022,1.63718066
5.03351676,1.86739967,0.01261029,0.09396847,0.25199081,0.00000000,0.45754837,1.70429866
5.03951976,1.93708192,0.01336437,0.09337075,0.26396534,0.00000000,0.47638344,1.76937390
5.04552276,2.00422700,0.01406940,0.09255024,0.27723706,0.00000000,0.49411209,1.83191456
5.05152576,2.06834539,0.01471335,0.09157231,0.29182801,0.00000000,0.51054493,1.89143277
5.05752876,2.12898369,0.01528504,0.09050956,0.30776386,0.00000000,0.52551258,1.94745185
5.06353177,2.18573564,0.01577459,0.08943987,0.32507248,0.00000000,0.53887194,1.99951572
5.06953477,2.23825386,0.01617381,0.08844430,0.34378203,0.00000000,0.55051246,2.04719997
5.07553777,2.28626182,0.01647649,0.08760497,0.36391846,0.00000000,0.56036190,2.09012430
5.08154077,2.32956498,0.01667875,0.08700292,0.38550242,0.00000000,0.56839128,2.12796546
5.08754377,2.36806045,0.01677922,0.08671597,0.40854569,0.00000000,0.57461875,2.16046984
5.09354677,2.40174393,0.01677915,0.08681667,0.43304702,0.00000000,0.57911179,2.18746482
5.09954977,2.43071337,0.01668249,0.08737024,0.45898751,0.00000000,0.58198780,2.20886798
5.10555278,2.45516838,0.01649576,0.08843277,0.48632582,0.00000000,0.58341248,2.22469320
5.11155578,2.47540505,0.01622795,0.09004941,0.51499303,0.00000000,0.58359629,2.23505308
5.11755878,2.49180590,0.01589025,0.09225283,0.54488779,0.00000000,0.58278861,2.24015715
5.12356178,2.50482512,0.01549569,0.09506188,0.57587171,0.00000000,0.58127011,2.24030569
5.12956478,2.51496942,0.01505876,0.09848047,0.60776544,0.00000000,0.57934317,2.23587919
5.13556778,2.52277548,0.01459492,0.10249680,0.64034575,0.00000000,0.57732109,2.22732392
5.14157079,2.52878486,0.01412016,0.10708291,0.67334396,0.00000000,0.57551619,2.21513430
5.14757379,2.53351779,0.01365046,0.11219468,0.70644588,0.00000000,0.57422758,2.19983302
5.15357679,2.53744730,0.01320125,0.11777222,0.73929373,0.00000000,0.57372897,2.18194994
5.15957979,2.54097518,0.01278702,0.12374081,0.77149009,0.00000000,0.57425721,2.16200120
5.16558279,2.54441123,0.01242084,0.13001227,0.80260393,0.00000000,0.57600200,2.14046966
5.17158579,2.54795720,0.01211396,0.13648690,0.83217888,0.00000000,0.57909744,2.11778795
5.17758879,2.55169645,0.01187560,0.14305586,0.85974338,0.00000000,0.58361561,2.09432512
5.18359180,2.55559013,0.01171269,0.14960405,0.88482262,0.00000000,0.58956271,2.07037783
5.18959480,2.55948029,0.01162976,0.15601327,0.90695179,0.00000000,0.59687794,2.04616649
5.19559780,2.56309990,0.01162893,0.16216577,0.92569014,0.00000000,0.60543508,2.02183665
5.20160080,2.56608941,0.01171002,0.16794788,0.94063536,0.00000000,0.61504685,1.99746543
5.20760380,2.56801890,0.01187066,0.17325371,0.95143753,0.00000000,0.62547184,1.97307264
5.21360680,2.56841490,0.01210661,0.17798875,0.95781206,0.00000000,0.63642376,1.94863567
5.21960980,2.56679017,0.01241201,0.18207316,0.95955102,0.00000000,0.64758242,1.92410727
5.22561281,2.56267504,0.01277978,0.18544468,0.95653215,0.00000000,0.65860629,1.89943490
5.23161581,2.55564835,0.01320204,0.18806102,0.94872525,0.00000000,0.66914575,1.87458032
5.23761881,2.54536651,0.01367050,0.18990151,0.93619541,0.00000000,0.67885663,1.84953821
5.24362181,2.53158880,0.01417688,0.19096809,0.91910300,0.00000000,0.68741347,1.82435230
5.24962481,2.51419758,0.01471329,0.19128546,0.89770030,0.00000000,0.69452175,1.79912814
5.25562781,2.49321230,0.01527258,0.19090033,0.87232490,0.00000000,0.69992873,1.77404122
5.26163082,2.46879627,0.01584858,0.18987997,0.84339007,0.00000000,0.70343238,1.74934016
5.26763382,2.44125594,0.01643633,0.18830988,0.81137264,0.00000000,0.70488796,1.72534422
5.27363682,2.41103252,0.01703216,0.18629090,0.77679880,0.00000000,0.70421208,1.70243537
