energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.40416332,-2.36046180,0.75039006,-0.73896163,0.60659146,-0.59267893,0.00189505,-0.00193681,0.20140002,-0.19952218,1.76042158,-1.75759773,0.37321990,-0.35990049,0.97827556,-0.96473467,0.00000000,-0.00000000
-5.99399700,2.41370590,-2.36273718,0.76209029,-0.74924645,0.59067156,-0.57298154,0.00186433,-0.00188522,0.20204216,-0.19957964,1.73434253,-1.72887648,0.38901882,-0.37470166,0.98835697,-0.97349763,0.00000000,-0.00000000
-5.98799400,2.44714909,-2.38850759,0.77724299,-0.76286482,0.59040890,-0.56876062,0.00187213,-0.00187257,0.20392899,-0.20085203,1.71483862,-1.70641337,0.40683361,-0.39148609,1.00236898,-0.98609514,0.00000000,-0.00000000
-5.98199100,2.50499055,-2.43828786,0.79619235,-0.78016792,0.60569926,-0.57991375,0.00191880,-0.00189902,0.20715321,-0.20343927,1.70284825,-1.69120562,0.42672373,-0.41030793,1.02057872,-1.00279735,0.00000000,-0.00000000
-5.97598799,2.58774245,-2.51261856,0.81925659,-0.80148202,0.63651403,-0.60642269,0.00200491,-0.00196502,0.21179205,-0.20742697,1.69916624,-1.68410961,0.44874937,-0.43122274,1.04323058,-1.02385114,0.00000000,-0.00000000
-5.96998499,2.69592097,-2.61205720,0.84672379,-0.82710485,0.68289887,-0.64835255,0.00213110,-0.00207114,0.21790498,-0.21288409,1.70443668,-1.68583261,0.47296876,-0.45428549,1.07054471,-1.04947936,0.00000000,-0.00000000
-5.96398199,2.83003144,-2.73716494,0.87884757,-0.85730194,0.74496833,-0.70584652,0.00229801,-0.00221805,0.22553176,-0.21986087,1.71914916,-1.69692830,0.49943476,-0.47954789,1.10271493,-1.07987978,0.00000000,-0.00000000
-5.95797899,2.99054866,-2.88848866,0.91584230,-0.89230262,0.82289662,-0.77911653,0.00250622,-0.00240638,0.23469070,-0.22838701,1.74363775,-1.71779525,0.52819068,-0.50705499,1.13990560,-1.11522323,0.00000000,-0.00000000
-5.95197599,3.17789226,-3.06653767,0.95787772,-0.93229550,0.91690478,-0.86842989,0.00275608,-0.00263661,0.24537725,-0.23847016,1.77808183,-1.74867763,0.55926536,-0.53684100,1.18224717,-1.15565057,0.00000000,-0.00000000
-5.94597299,3.39239743,-3.27175539,1.00507273,-0.97742312,1.02724434,-0.97409219,0.00304769,-0.00290905,0.25756297,-0.25009468,1.82250839,-1.78966733,0.59266762,-0.56892438,1.22983023,-1.20126818,0.00000000,-0.00000000
-5.93996998,3.63428118,-3.50448581,1.05748859,-1.02777573,1.15417786,-1.09642669,0.00338077,-0.00322366,0.27119477,-0.26322069,1.87679506,-1.84070693,0.62838033,-0.60330243,1.28269805,-1.25214173,0.00000000,-0.00000000
-5.93396698,3.90360501,-3.76493560,1.11512142,-1.08338430,1.29795651,-1.23575051,0.00375457,-0.00358002,0.28619469,-0.27778355,1.94067380,-1.90159314,0.66635430,-0.63994541,1.34083781,-1.30828846,0.00000000,-0.00000000
-5.92796398,4.20023479,-4.05313237,1.17789445,-1.14421283,1.45879484,-1.39234778,0.00416781,-0.00397720,0.30246009,-0.29369369,2.01373504,-1.97198043,0.70650229,-0.67879070,1.40417084,-1.36966800,0.00000000,-0.00000000
-5.92196098,4.52379904,-4.36888023,1.24565025,-1.21015036,1.63684304,-1.56644014,0.00461862,-0.00441374,0.31986434,-0.31083697,2.09543233,-2.05138494,0.74869362,-0.71973704,1.47254234,-1.43617226,0.00000000,-0.00000000
-5.91595798,4.87364686,-4.71171396,1.31814349,-1.28100299,1.83215692,-1.75815477,0.00510444,-0.00488752,0.33825817,-0.32907553,2.18508773,-2.13918869,0.79274955,-0.76263938,1.54571131,-1.50761482,0.00000000,-0.00000000
-5.90995498,5.24880688,-5.08085318,1.39503457,-1.35648646,2.04466593,-1.96749050,0.00562204,-0.00539577,0.35747162,-0.34824928,2.28189824,-2.23464449,0.83843996,-0.80730466,1.62334121,-1.58372059,0.00000000,-0.00000000
-5.90395198,5.64794876,-5.47515830,1.47588476,-1.43621974,2.27413958,-2.19428239,0.00616745,-0.00593498,0.37731654,-0.36817796,2.38494353,-2.33688194,0.88548155,-0.85348883,1.70499215,-1.66411638,0.00000000,-0.00000000
-5.89794897,6.06934884,-5.89308981,1.56015330,-1.51972023,2.52015297,-2.43816552,0.00673597,-0.00650090,0.39758981,-0.38866386,2.49319536,-2.44491489,0.93353782,-0.90089542,1.79011536,-1.74832306,0.00000000,-0.00000000
-5.89194597,6.51086126,-6.33267288,1.64719677,-1.60640103,2.78205214,-2.69853878,0.00732219,-0.00708856,0.41807704,-0.40949513,2.60552892,-2.55765066,0.98222111,-0.94917593,1.87805041,-1.83575027,0.00000000,-0.00000000
-5.88594297,6.96989639,-6.79146905,1.73627133,-1.69557079,3.05892031,-2.97452984,0.00792003,-0.00769225,0.43855678,-0.43044967,2.72073619,-2.67390155,1.03109666,-0.99793216,1.96802587,-1.92569404,0.00000000,-0.00000000
-5.87993997,7.44340783,-7.26655691,1.82653782,-1.78643652,3.34954629,-3.26496257,0.00852277,-0.00830560,0.45880504,-0.45129942,2.83754143,-2.79239855,1.07968874,-1.04672063,2.05916366,-2.01733801,0.00000000,-0.00000000
-5.87393697,7.92788955,-7.75452347,1.91707010,-1.87810951,3.65239667,-3.56832848,0.00912320,-0.00892164,0.47860008,-0.47181507,2.95461855,-2.91180751,1.12748879,-1.09505897,2.15048742,-2.10975868,0.00000000,-0.00000000
-5.86793397,8.41938453,-8.25146786,2.00686653,-1.96961476,3.96559343,-3.88276400,0.00971365,-0.00953285,0.49772723,-0.49177086,3.07061034,-3.03074752,1.17396524,-1.14243422,2.24093486,-2.20193476,0.00000000,-0.00000000
-5.86193097,8.91350603,-8.75301895,2.09486446,-2.05990367,4.28689908,-4.20603547,0.01028618,-0.01013134,0.51598346,-0.51094947,3.18414886,-3.14781128,1.21857477,-1.18831276,2.32937392,-2.29276075,0.00000000,-0.00000000
-5.85592796,9.40547256,-9.25436795,2.17995759,-2.14787004,4.61371112,-4.53553375,0.01083269,-0.01070893,0.53318184,-0.52914669,3.29387681,-3.26158706,1.26077457,-1.23215163,2.41462260,-2.38106459,0.00000000,-0.00000000
-5.84992496,9.89015726,-9.75031689,2.26101584,-2.23236903,4.94306782,-4.86828034,0.01134511,-0.01125733,0.54915529,-0.54617578,3.39846917,-3.37068164,1.30003530,-1.27341084,2.49547172,-2.46562897,0.00000000,-0.00000000
-5.84392196,10.36215203,-10.23534339,2.33690714,-2.31223871,5.27166699,-5.20094662,0.01181553,-0.01176833,0.56375987,-0.56187123,3.49665454,-3.47374373,1.33585404,-1.31156614,2.57071019,-2.54521578,0.00000000,-0.00000000
-5.83791896,10.81584620,-10.70368153,2.40652073,-2.38632364,5.59589896,-5.52988756,0.01223645,-0.01223391,0.57687720,-0.57609196,3.58723564,-3.56948711,1.36776702,-1.34612190,2.63915187,-2.61859301,0.00000000,-0.00000000
-5.83191596,11.24551920,-11.14941807,2.46879126,-2.45349988,5.91189465,-5.85119035,0.01260088,-0.01264652,0.58841609,-0.58872366,3.66910834,-3.65671273,1.39536137,-1.37662365,2.69966330,-2.68456330,0.00000000,-0.00000000
