energy_ev,total_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,2.36528241,1.54190464,0.64478526,0.00507203,0.81112636,0.72180721,0.00000000
-5.99399700,2.36312163,1.54369370,0.64366006,0.00536675,0.81077222,0.72071048,0.00000000
-5.98799400,2.35763761,1.54287664,0.64113901,0.00570449,0.80769684,0.72027128,0.00000000
-5.98199100,2.34939358,1.53998554,0.63735763,0.00608449,0.80213787,0.72061234,0.00000000
-5.97598799,2.33893639,1.53553054,0.63246168,0.00650483,0.79435971,0.72181691,0.00000000
-5.96998499,2.32676965,1.52997382,0.62660067,0.00696232,0.78464178,0.72392341,0.00000000
-5.96398199,2.31332796,1.52370589,0.61992099,0.00745248,0.77326651,0.72692116,0.00000000
-5.95797899,2.29895400,1.51702560,0.61255937,0.00796957,0.76050778,0.73074743,0.00000000
-5.95197599,2.28387995,1.51012500,0.60463667,0.00850660,0.74662043,0.73528642,0.00000000
-5.94597299,2.26821458,1.50307995,0.59625287,0.00905547,0.73183132,0.74037018,0.00000000
-5.93996998,2.25193702,1.49584713,0.58748312,0.00960708,0.71633244,0.74578197,0.00000000
-5.93396698,2.23489792,1.48826770,0.57837556,0.01015158,0.70027638,0.75126195,0.00000000
-5.92796398,2.21682838,1.48007746,0.56895067,0.01067856,0.68377431,0.75651534,0.00000000
-5.92196098,2.19735617,1.47092307,0.55920262,0.01117735,0.66689651,0.76122281,0.00000000
-5.91595798,2.17602899,1.46038350,0.54910223,0.01163734,0.64967541,0.76505279,0.00000000
-5.90995498,2.15234321,1.44799551,0.53860157,0.01204832,0.63211072,0.76767526,0.00000000
-5.90395198,2.12577709,1.43328196,0.52763987,0.01240075,0.61417634,0.76877652,0.00000000
-5.89794897,2.09582635,1.41578121,0.51615043,0.01268615,0.59582867,0.76807418,0.00000000
-5.89194597,2.06204044,1.39507628,0.50406808,0.01289732,0.57701553,0.76533174,0.00000000
-5.88594297,2.02405736,1.37082206,0.49133670,0.01302867,0.55768536,0.76037209,0.00000000
-5.87993997,1.98163519,1.34276924,0.47791644,0.01307636,0.53779601,0.75308912,0.00000000
-5.87393697,1.93467866,1.31078369,0.46379019,0.01303849,0.51732257,0.74345697,0.00000000
-5.86793397,1.88325917,1.27486051,0.44896886,0.01291512,0.49626397,0.73153642,0.00000000
-5.86193097,1.82762731,1.23513185,0.43349520,0.01270834,0.47464784,0.71747790,0.00000000
-5.85592796,1.76821716,1.19186852,0.41744601,0.01242214,0.45253345,0.70152115,0.00000000
-5.84992496,1.70564221,1.14547520,0.40093251,0.01206230,0.43001276,0.68399131,0.00000000
-5.84392196,1.64068301,1.09647977,0.38409897,0.01163619,0.40720937,0.66529164,0.00000000
-5.83791896,1.57426729,1.04551739,0.36711959,0.01115251,0.38427580,0.64589309,0.00000000
-5.83191596,1.50744351,0.99331015,0.35019391,0.01062099,0.36138900,0.62632117,0.00000000
-5.82591296,1.44134903,0.94064340,0.33354091,0.01005208,0.33874478,0.60714060,0.00000000
-5.81990995,1.37717432,0.88833999,0.31739209,0.00945663,0.31655110,0.58893826,0.00000000
-5.81390695,1.31612497,0.83723333,0.30198403,0.00884550,0.29502105,0.57230511,0.00000000
-5.80790395,1.25938272,0.78814075,0.28755051,0.00822931,0.27436546,0.55781774,0.00000000
-5.80190095,1.20806739,0.74183788,0.27431479,0.00761810,0.25478592,0.54602010,0.00000000
-5.79589795,1.16320080,0.69903526,0.26248219,0.00702110,0.23646815,0.53740603,0.00000000
-5.78989495,1.12567412,0.66035771,0.25223332,0.00644649,0.21957628,0.53240313,0.00000000
-5.78389195,1.09621959,0.62632707,0.24371827,0.00590127,0.20424808,0.53135850,0.00000000
-5.77788894,1.07538743,0.59734892,0.23705179,0.00539114,0.19059134,0.53452670,0.00000000
-5.77188594,1.06352857,0.57370314,0.23230970,0.00492041,0.17868138,0.54206031,0.00000000
-5.76588294,1.06078360,0.55553872,0.22952666,0.00449205,0.16855986,0.55400333,0.00000000
-5.75987994,1.06707804,0.54287254,0.22869515,0.00410766,0.16023467,0.57028774,0.00000000
-5.75387694,1.08212407,0.53559206,0.22976590,0.00376760,0.15368091,0.59073313,0.00000000
-5.74787394,1.10542838,0.53346156,0.23264943,0.00347107,0.14884288,0.61504966,0.00000000
-5.74187094,1.13630599,0.53613167,0.23721887,0.00321626,0.14563680,0.64284414,0.00000000
-5.73586793,1.17389942,0.54315174,0.24331379,0.00300052,0.14395422,0.67362927,0.00000000
-5.72986493,1.21720267,0.55398464,0.25074488,0.00282049,0.14366599,0.70683567,0.00000000
-5.72386193,1.26508924,0.56802358,0.25929947,0.00267230,0.14462645,0.74182645,0.00000000
-5.71785893,1.31634343,0.58461026,0.26874746,0.00255173,0.14667794,0.77791398,0.00000000
-5.71185593,1.36969385,0.60305410,0.27884774,0.00245440,0.14965528,0.81437829,0.00000000
-5.70585293,1.42384816,0.62265177,0.28935459,0.00237587,0.15339023,0.85048658,0.00000000
-5.69984992,1.47752798,0.64270660,0.30002418,0.00231185,0.15771568,0.88551317,0.00000000
-5.69384692,1.52950281,0.66254728,0.31062065,0.00225825,0.16246956,0.91875925,0.00000000
-5.68784392,1.57862185,0.68154527,0.32092184,0.00221132,0.16749841,0.94957179,0.00000000
-5.68184092,1.62384268,0.69913042,0.33072428,0.00216772,0.17266036,0.97736081,0.00000000
-5.67583792,1.66425583,0.71480437,0.33984748,0.00212459,0.17782764,1.00161451,0.00000000
-5.66983492,1.69910446,0.72815118,0.34813717,0.00207955,0.18288844,1.02191164,0.00000000
-5.66383192,1.72779842,0.73884507,0.35546767,0.00203076,0.18774816,1.03793069,0.00000000
-5.65782891,1.74992248,0.74665489,0.36174310,0.00197690,0.19233001,1.04945560,0.00000000
-5.65182591,1.76523836,0.75144532,0.36689760,0.00191714,0.19657497,1.05637784,0.00000000
-5.64582291,1.77368082,0.75317476,0.37089453,0.00185113,0.20044114,1.05869487,0.00000000
-5.63981991,1.77534814,0.75189030,0.37372471,0.00177896,0.20390256,1.05650510,0.00000000
-5.63381691,1.77048757,0.74771980,0.37540393,0.00170107,0.20694751,1.04999979,0.00000000
-5.62781391,1.75947660,0.74086175,0.37596971,0.00161824,0.20957644,1.03945222,0.00000000
-5.62181091,1.74280106,0.73157331,0.37547773,0.00153148,0.21179967,1.02520479,0.00000000
-5.61580790,1.72103106,0.72015714,0.37399789,0.00144201,0.21363485,1.00765462,0.00000000
-5.60980490,1.69479603,0.70694772,0.37161031,0.00135117,0.21510447,0.98723847,0.00000000
-5.60380190,1.66475988,0.69229762,0.36840149,0.00126037,0.21623336,0.96441734,0.00000000
-5.59779890,1.63159737,0.67656448,0.36446066,0.00117105,0.21704653,0.93966182,0.00000000
-5.59179590,1.59597261,0.66009904,0.35987663,0.00108458,0.21756715,0.91343831,0.00000000
-5.58579290,1.55852036,0.64323477,0.35473511,0.00100228,0.21781504,0.88619688,0.00000000
-5.57978989,1.51983072,0.62627922,0.34911662,0.00092536,0.21780555,0.85836094,0.00000000
-5.57378689,1.48043744,0.60950745,0.34309504,0.00085489,0.21754887,0.83031901,0.00000000
-5.56778389,1.44080994,0.59315740,0.33673671,0.00079176,0.21704985,0.80241854,0.00000000
-5.56178089,1.40134886,0.57742721,0.33010012,0.00073672,0.21630822,0.77496192,0.00000000
-5.55577789,1.36238485,0.56247426,0.32323603,0.00069031,0.21531923,0.74820437,0.00000000
