energy_ev,total_up,C_s_up,C_p_up,Hf_p_up,Hf_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,6.46842071,0.01390839,0.90355302,1.36725975,1.42068035,1.85387789,0.48295262,0.10415939,2.92366610
-5.99399700,6.46816157,0.01409718,0.91746336,1.37801550,1.44015469,1.83825657,0.47786297,0.10316440,2.91029933
-5.98799400,6.45913236,0.01427280,0.92961002,1.38671152,1.45656208,1.82137691,0.47242782,0.10212761,2.89327745
-5.98199100,6.44107048,0.01443204,0.93971439,1.39310162,1.46952538,1.80331575,0.46664897,0.10105230,2.87277623
-5.97598799,6.41374126,0.01457191,0.94752164,1.39695431,1.47870913,1.78415011,0.46052848,0.09993977,2.84896529
-5.96998499,6.37694860,0.01468984,0.95280744,1.39805967,1.48382851,1.76395808,0.45406866,0.09878935,2.82200633
-5.96398199,6.33054948,0.01478373,0.95538407,1.39623632,1.48465741,1.74282059,0.44727263,0.09759851,2.79205439
-5.95797899,6.27447161,0.01485207,0.95510562,1.39133828,1.48103506,1.72082404,0.44014511,0.09636312,2.75926216
-5.95197599,6.20873329,0.01489406,0.95187225,1.38326144,1.47287126,1.69806365,0.43269369,0.09507784,2.72378675
-5.94597299,6.13346429,0.01490964,0.94563322,1.37194933,1.46014989,1.67464714,0.42493019,0.09373667,2.68579852
-5.93996998,6.04892602,0.01489960,0.93638865,1.35739800,1.44293053,1.65069850,0.41687225,0.09233357,2.64549091
-5.93396698,5.95552962,0.01486550,0.92419009,1.33965960,1.42134830,1.62636140,0.40854479,0.09086305,2.60309047
-5.92796398,5.85385023,0.01480977,0.90913958,1.31884460,1.39561162,1.60180191,0.39998139,0.08932090,2.55886624
-5.92196098,5.74463602,0.01473560,0.89138756,1.29512232,1.36599826,1.57721003,0.39122526,0.08770483,2.51313724
-5.91595798,5.62881092,0.01464685,0.87112948,1.26871970,1.33284949,1.55279993,0.38232991,0.08601498,2.46627764
-5.90995498,5.50747009,0.01454799,0.84860134,1.23991830,1.29656276,1.52880845,0.37335912,0.08425441,2.41871872
-5.90395198,5.38186777,0.01444396,0.82407422,1.20904955,1.25758295,1.50549197,0.36438657,0.08242944,2.37094729
-5.89794897,5.25339758,0.01433996,0.79784811,1.17648836,1.21639259,1.48312153,0.35549468,0.08054978,2.32350035
-5.89194597,5.12356579,0.01424136,0.77024516,1.14264529,1.17350127,1.46197636,0.34677299,0.07862855,2.27695611
-5.88594297,4.99395839,0.01415348,0.74160254,1.10795749,1.12943467,1.44233613,0.33831603,0.07668212,2.23192162
-5.87993997,4.86620324,0.01408142,0.71226525,1.07287887,1.08472337,1.42447217,0.33022079,0.07472974,2.18901752
-5.87393697,4.74192884,0.01402992,0.68257899,1.03786964,1.03989192,1.40863809,0.32258383,0.07279308,2.14886069
-5.86793397,4.62272136,0.01400318,0.65288325,1.00338572,0.99544846,1.39506027,0.31549833,0.07089561,2.11204537
-5.86193097,4.51008171,0.01400474,0.62350503,0.96986825,0.95187501,1.38392867,0.30905104,0.06906190,2.07912390
-5.85592796,4.40538428,0.01403739,0.59475295,0.93773363,0.90961882,1.37538824,0.30331938,0.06731679,2.05058776
-5.84992496,4.30983894,0.01410306,0.56691227,0.90736434,0.86908484,1.36953161,0.29836881,0.06568463,2.02684976
-5.84392196,4.22445774,0.01420278,0.54024056,0.87910070,0.83062960,1.36639306,0.29425050,0.06418839,2.00822823
-5.83791896,4.15002732,0.01433664,0.51496434,0.85323389,0.79455634,1.36594423,0.29099948,0.06284889,1.99493377
-5.83191596,4.08708792,0.01450382,0.49127641,0.83000030,0.76111167,1.36809166,0.28863328,0.06168403,1.98705912
-5.82591296,4.03591956,0.01470257,0.46933419,0.80957728,0.73048362,1.37267624,0.28715116,0.06070814,1.98457250
-5.81990995,3.99653561,0.01493026,0.44925878,0.79208037,0.70280102,1.37947465,0.28653379,0.05993139,1.98731463
-5.81390695,3.96868377,0.01518347,0.43113474,0.77756204,0.67813424,1.38820264,0.28674364,0.05935941,1.99499963
-5.80790395,3.95185432,0.01545804,0.41501071,0.76601180,0.65649718,1.39852015,0.28772573,0.05899293,2.00721952
-5.80190095,3.94529514,0.01574915,0.40090052,0.75735776,0.63785023,1.41003802,0.28940899,0.05882771,2.02345254
-5.79589795,3.94803294,0.01605143,0.38878498,0.75146951,0.62210441,1.42232625,0.29170797,0.05885451,2.04307460
-5.78989495,3.95890023,0.01635907,0.37861416,0.74816223,0.60912618,1.43492349,0.29452494,0.05905935,2.06537397
-5.78389195,3.97656698,0.01666592,0.37031014,0.74720196,0.59874321,1.44734756,0.29775227,0.05942383,2.08956851
-5.77788894,3.99957646,0.01696562,0.36377018,0.74831194,0.59075061,1.45910687,0.30127511,0.05992562,2.11482506
-5.77188594,4.02638411,0.01725174,0.35887024,0.75117989,0.58491776,1.46971239,0.30497414,0.06053922,2.14028063
-5.76588294,4.05539880,0.01751788,0.35546892,0.75546615,0.58099548,1.47868997,0.30872849,0.06123666,2.16506463
-5.75987994,4.08502527,0.01775784,0.35341155,0.76081249,0.57872354,1.48559275,0.31241869,0.06198846,2.18832173
-5.75387694,4.11370696,0.01796576,0.35253459,0.76685147,0.57783815,1.49001331,0.31592957,0.06276460,2.20923464
-5.74787394,4.13996808,0.01813623,0.35267027,0.77321615,0.57807963,1.49159542,0.31915311,0.06353555,2.22704628
-5.74187094,4.16245398,0.01826451,0.35365116,0.77955003,0.57919973,1.49004484,0.32199115,0.06427333,2.24108066
-5.73586793,4.17996858,0.01834657,0.35531492,0.78551679,0.58096880,1.48513911,0.32435787,0.06495251,2.25076182
-5.72986493,4.19150804,0.01837931,0.35750890,0.79080990,0.58318232,1.47673579,0.32618206,0.06555121,2.25563029
-5.72386193,4.19628949,0.01836062,0.36009454,0.79516152,0.58566691,1.46477901,0.32740904,0.06605190,2.25535658
-5.71785893,4.19377395,0.01828953,0.36295153,0.79835063,0.58828542,1.44930393,0.32800229,0.06644217,2.24975104
-5.71185593,4.18368262,0.01816623,0.36598148,0.80021008,0.59094108,1.43043888,0.32794455,0.06671525,2.23876991
-5.70585293,4.16600592,0.01799216,0.36911109,0.80063232,0.59358056,1.40840504,0.32723862,0.06687033,2.22251716
-5.69984992,4.14100479,0.01776997,0.37229468,0.79957353,0.59619573,1.38351346,0.32590755,0.06691274,2.20124201
-5.69384692,4.10920408,0.01750357,0.37551597,0.79705618,0.59882417,1.35615941,0.32399443,0.06685380,2.17533215
-5.68784392,4.07137815,0.01719800,0.37878902,0.79316963,0.60154835,1.32681406,0.32156161,0.06671048,2.14530285
-5.68184092,4.02852892,0.01685936,0.38215837,0.78806895,0.60449349,1.29601368,0.31868947,0.06650487,2.11178214
-5.67583792,3.98185716,0.01649466,0.38569834,0.78197186,0.60782419,1.26434653,0.31547470,0.06626337,2.07549271
-5.66983492,3.93272791,0.01611165,0.38951140,0.77515390,0.61174000,1.23243785,0.31202819,0.06601579,2.03723101
-5.66383192,3.88263121,0.01571861,0.39372587,0.76794195,0.61647006,1.20093330,0.30847252,0.06579421,1.99784432
-5.65782891,3.83313954,0.01532415,0.39849289,0.76070640,0.62226703,1.17048141,0.30493922,0.06563183,1.95820658
-5.65182591,3.78586351,0.01493695,0.40398281,0.75385206,0.62940065,1.14171552,0.30156582,0.06556171,1.91919381
-5.64582291,3.74240739,0.01456555,0.41038119,0.74780836,0.63815103,1.11523593,0.29849279,0.06561557,1.88166005
-5.63981991,3.70432620,0.01421808,0.41788441,0.74301884,0.64880207,1.09159278,0.29586045,0.06582255,1.84641473
-5.63381691,3.67308564,0.01390206,0.42669516,0.73993057,0.66163513,1.07127024,0.29380607,0.06620815,1.81420209
-5.62781391,3.65002648,0.01362420,0.43701796,0.73898363,0.67692326,1.05467269,0.29246103,0.06679327,1.78568349
-5.62181091,3.63633434,0.01339026,0.44905457,0.74060094,0.69492592,1.04211331,0.29194833,0.06759347,1.76142326
-5.61580790,3.63301587,0.01320484,0.46299971,0.74517884,0.71588449,1.03380551,0.29238032,0.06861836,1.74187829
-5.60980490,3.64088174,0.01307138,0.47903689,0.75307846,0.74001836,1.02985759,0.29385689,0.06987133,1.72739181
-5.60380190,3.66053661,0.01299207,0.49733442,0.76461815,0.76752168,1.03027077,0.29646394,0.07134940,1.71819143
-5.59779890,3.69237611,0.01296784,0.51804174,0.78006702,0.79856057,1.03494064,0.30027229,0.07304339,1.71439123
-5.59179590,3.73659010,0.01299841,0.54128577,0.79963963,0.83327061,1.04366212,0.30533693,0.07493828,1.71599775
-5.58579290,3.79317176,0.01308236,0.56716753,0.82349189,0.87175448,1.05613759,0.31169662,0.07701380,1.72291942
-5.57978989,3.86193126,0.01321728,0.59575879,0.85171802,0.91407945,1.07198796,0.31937377,0.07924513,1.73497884
-5.57378689,3.94251315,0.01339985,0.62709876,0.88434866,0.96027474,1.09076627,0.32837458,0.08160386,1.75192731
-5.56778389,4.03441608,0.01362605,0.66119094,0.92134983,1.01032837,1.11197320,0.33868939,0.08405889,1.77346084
-5.56178089,4.13701371,0.01389132,0.69799994,0.96262290,1.06418372,1.13507403,0.35029320,0.08657751,1.79923675
-5.55577789,4.24957570,0.01419076,0.73744852,1.00800530,1.12173568,1.15951626,0.36314619,0.08912646,1.82889028
-5.54977489,4.37128768,0.01451929,0.77941489,1.05727195,1.18282648,1.18474731,0.37719448,0.09167290,1.86205017
-5.54377189,4.50126923,0.01487184,0.82373038,1.11013739,1.24724166,1.21023154,0.39237076,0.09418535,1.89835266
-5.53776888,4.63858953,0.01524353,0.87017782,1.16625864,1.31470618,1.23546596,0.40859503,0.09663454,1.93745323
-5.53176588,4.78227977,0.01562976,0.91849058,1.22523865,1.38488131,1.25999402,0.42577532,0.09899401,1.97903537
-5.52576288,4.93134261,0.01602635,0.96835283,1.28663046,1.45736253,1.28341696,0.44380835,0.10124067,2.02281634
-5.51975988,5.08475826,0.01642963,1.01940086,1.34994208,1.53167895,1.30540232,0.46258029,0.10335509,2.06854927
-5.51375688,5.24148782,0.01683646,1.07122602,1.41464213,1.60729466,1.32568929,0.48196736,0.10532160,2.11602178
-5.50775388,5.40047393,0.01724428,1.12337913,1.48016621,1.68361225,1.34409073,0.50183658,0.10712827,2.16505117
-5.50175088,5.56063961,0.01765104,1.17537650,1.54592407,1.75997873,1.36049198,0.52204640,0.10876662,2.21547639
-5.49574787,5.72088568,0.01805520,1.22670765,1.61130742,1.83569411,1.37484641,0.54244746,0.11023122,2.26714727
-5.48974487,5.88008775,0.01845559,1.27684444,1.67569851,1.91002233,1.38716818,0.56288326,0.11151918,2.31991170
-5.48374187,6.03709325,0.01885136,1.32525155,1.73847914,1.98220450,1.39752261,0.58319099,0.11262953,2.37360133
-5.47773887,6.19071952,0.01924183,1.37139789,1.79904006,2.05147407,1.40601461,0.60320230,0.11356251,2.42801689
-5.47173587,6.33975333,0.01962635,1.41476859,1.85679055,2.11707332,1.41277591,0.62274431,0.11431885,2.48291372
-5.46573287,6.48295270,0.02000416,1.45487712,1.91116788,2.17827064,1.41795179,0.64164055,0.11489918,2.53798885
-5.45972986,6.61905118,0.02037427,1.49127706,1.96164643,2.23437775,1.42168789,0.65971216,0.11530332,2.59287015
