energy_ev,total_up,P_s_up,P_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,0.55221249,0.00105538,0.05355788,0.00823964,0.24022012,0.18988699,0.18759199
-5.99399700,0.60270410,0.00114174,0.05877544,0.00920508,0.26209861,0.20377717,0.20556399
-5.98799400,0.65619403,0.00122794,0.06468798,0.01027236,0.28504089,0.21909292,0.22456257
-5.98199100,0.71227781,0.00131306,0.07125014,0.01144261,0.30887418,0.23562385,0.24446515
-5.97598799,0.77054829,0.00139621,0.07841610,0.01271655,0.33342439,0.25317513,0.26514459
-5.96998499,0.83059749,0.00147656,0.08613829,0.01409426,0.35851788,0.27156611,0.28646972
-5.96398199,0.89201771,0.00155331,0.09436604,0.01557490,0.38398305,0.29062858,0.30830571
-5.95797899,0.95440168,0.00162579,0.10304433,0.01715641,0.40965133,0.31020463,0.33051412
-5.95197599,1.01734161,0.00169342,0.11211259,0.01883521,0.43535757,0.33014417,0.35295273
-5.94597299,1.08042713,0.00175574,0.12150366,0.02060588,0.46093982,0.35030210,0.37547495
-5.93996998,1.14324216,0.00181241,0.13114292,0.02246086,0.48623845,0.37053531,0.39792902
-5.93396698,1.20536096,0.00186323,0.14094764,0.02439015,0.51109458,0.39069948,0.42015703
-5.92796398,1.26634373,0.00190809,0.15082666,0.02638109,0.53534824,0.41064606,0.44199383
-5.92196098,1.32573225,0.00194700,0.16068041,0.02841823,0.55883607,0.43021939,0.46326607
-5.91595798,1.38304620,0.00198006,0.17040130,0.03048323,0.58138923,0.44925436,0.48379151
-5.90995498,1.43778067,0.00200743,0.17987456,0.03255492,0.60283150,0.46757478,0.50337890
-5.90395198,1.48940571,0.00202930,0.18897960,0.03460950,0.62297804,0.48499266,0.52182851
-5.89794897,1.53736831,0.00204588,0.19759176,0.03662081,0.64163501,0.50130865,0.53893354
-5.89194597,1.58109746,0.00205740,0.20558461,0.03856080,0.65860049,0.51631368,0.55448265
-5.88594297,1.62001241,0.00206403,0.21283259,0.04040014,0.67366656,0.52979198,0.56826349
-5.87993997,1.65353431,0.00206593,0.21921406,0.04210889,0.68662301,0.54152537,0.58006732
-5.87393697,1.68110104,0.00206322,0.22461462,0.04365733,0.69726236,0.55129879,0.58969474
-5.86793397,1.70218470,0.00205594,0.22893048,0.04501687,0.70538627,0.55890674,0.59696207
-5.86193097,1.71631121,0.00204414,0.23207189,0.04616094,0.71081296,0.56416054,0.60170844
-5.85592796,1.72308091,0.00202780,0.23396641,0.04706595,0.71338541,0.56689586,0.60380298
-5.84992496,1.72218921,0.00200690,0.23456178,0.04771215,0.71297981,0.56698023,0.60315195
-5.84392196,1.71344612,0.00198145,0.23382843,0.04808441,0.70951385,0.56432005,0.59970520
-5.83791896,1.69679330,0.00195147,0.23176120,0.04817292,0.70295425,0.55886670,0.59346175
-5.83191596,1.67231760,0.00191705,0.22838052,0.04797368,0.69332312,0.55062137,0.58447388
-5.82591296,1.64026005,0.00187835,0.22373260,0.04748878,0.68070261,0.53963817,0.57284965
-5.81990995,1.60101953,0.00183564,0.21788887,0.04672652,0.66523749,0.52602550,0.55875332
-5.81390695,1.55515053,0.00178930,0.21094450,0.04570126,0.64713538,0.50994527,0.54240388
-5.80790395,1.50335486,0.00173984,0.20301610,0.04443311,0.62666451,0.49161013,0.52407120
-5.80190095,1.44646743,0.00168790,0.19423875,0.04294731,0.60414891,0.47127877,0.50407034
-5.79589795,1.38543658,0.00163422,0.18476235,0.04127354,0.57996132,0.44924939,0.48275385
-5.78989495,1.32129963,0.00157969,0.17474756,0.03944499,0.55451387,0.42585177,0.46050250
-5.78389195,1.25515476,0.00152523,0.16436143,0.03749741,0.52824706,0.40143817,0.43771490
-5.77788894,1.18813044,0.00147185,0.15377296,0.03546795,0.50161752,0.37637364,0.41479619
-5.77188594,1.12135356,0.00142059,0.14314872,0.03339416,0.47508499,0.35102597,0.39214655
-5.76588294,1.05591792,0.00137245,0.13264877,0.03131285,0.44909914,0.32575600,0.37014986
-5.75987994,0.99285411,0.00132840,0.12242293,0.02925912,0.42408686,0.30090841,0.34916298
-5.75387694,0.93310225,0.00128930,0.11260762,0.02726543,0.40044045,0.27680359,0.32950614
-5.74787394,0.87748852,0.00125592,0.10332335,0.02536090,0.37850731,0.25373074,0.31145481
-5.74187094,0.82670645,0.00122885,0.09467283,0.02357062,0.35858146,0.23194246,0.29523329
-5.73586793,0.78130347,0.00120849,0.08673981,0.02191530,0.34089723,0.21165092,0.28101033
-5.72986493,0.74167315,0.00119506,0.07958865,0.02041095,0.32562531,0.19302571,0.26889674
-5.72386193,0.70805328,0.00118858,0.07326442,0.01906887,0.31287125,0.17619326,0.25894529
-5.71785893,0.68052946,0.00118886,0.06779369,0.01789571,0.30267641,0.16123774,0.25115256
-5.71185593,0.65904411,0.00119549,0.06318571,0.01689372,0.29502124,0.14820324,0.24546279
-5.70585293,0.64340994,0.00120792,0.05943404,0.01606114,0.28983058,0.13709705,0.24177347
-5.69984992,0.63332757,0.00122544,0.05651838,0.01539270,0.28698081,0.12789377,0.23994237
-5.69384692,0.62840603,0.00124722,0.05440667,0.01488017,0.28630848,0.12053996,0.23979578
-5.68784392,0.62818555,0.00127237,0.05305715,0.01451295,0.28761985,0.11495920,0.24113755
-5.68184092,0.63216142,0.00129998,0.05242048,0.01427877,0.29070119,0.11105714,0.24375850
-5.67583792,0.63980798,0.00132916,0.05244176,0.01416429,0.29532907,0.10872653,0.24744604
-5.66983492,0.65060199,0.00135909,0.05306238,0.01415572,0.30128056,0.10785187,0.25199339
-5.66383192,0.66404411,0.00138907,0.05422172,0.01423936,0.30834256,0.10831365,0.25720823
-5.65782891,0.67967814,0.00141856,0.05585857,0.01440215,0.31632022,0.10999213,0.26292037
-5.65182591,0.69710699,0.00144721,0.05791238,0.01463202,0.32504391,0.11277034,0.26898818
-5.64582291,0.71600504,0.00147488,0.06032425,0.01491825,0.33437452,0.11653659,0.27530367
