energy_ev,total_up,N_s_up,N_p_up,Os_p_up,Os_d_up,S_s_up,S_p_up
-6.00000000,0.61826936,0.00112454,0.02343419,0.20224256,0.26108779,0.00247386,0.24181974
-5.99399700,0.61418306,0.00128857,0.02230096,0.19530983,0.25757361,0.00274556,0.24544001
-5.98799400,0.61384329,0.00147127,0.02140264,0.18991091,0.25522278,0.00305143,0.25082648
-5.98199100,0.61737672,0.00167248,0.02072456,0.18606319,0.25410345,0.00339243,0.25803789
-5.97598799,0.62488927,0.00189183,0.02025437,0.18379011,0.25427528,0.00376898,0.26711693
-5.96998499,0.63644911,0.00212865,0.01998127,0.18311422,0.25578299,0.00418087,0.27808344
-5.96398199,0.65207153,0.00238198,0.01989513,0.18405037,0.25865089,0.00462721,0.29092843
-5.95797899,0.67170637,0.00265053,0.01998582,0.18659956,0.26287844,0.00510635,0.30560926
-5.95197599,0.69522876,0.00293269,0.02024254,0.19074340,0.26843721,0.00561586,0.32204616
-5.94597299,0.72243330,0.00322652,0.02065337,0.19643968,0.27526930,0.00615252,0.34012025
-5.93996998,0.75303204,0.00352976,0.02120491,0.20361909,0.28328716,0.00671232,0.35967323
-5.93396698,0.78665636,0.00383989,0.02188208,0.21218326,0.29237486,0.00729056,0.38050859
-5.92796398,0.82286236,0.00415411,0.02266815,0.22200419,0.30239066,0.00788188,0.40239458
-5.92196098,0.86113977,0.00446943,0.02354485,0.23292506,0.31317075,0.00848040,0.42506851
-5.91595798,0.90092375,0.00478268,0.02449273,0.24476255,0.32453383,0.00907987,0.44824244
-5.90995498,0.94160920,0.00509061,0.02549158,0.25731030,0.33628647,0.00967385,0.47160994
-5.90395198,0.98256685,0.00538991,0.02652104,0.27034373,0.34822888,0.01025588,0.49485371
-5.89794897,1.02316073,0.00567730,0.02756131,0.28362569,0.36016084,0.01081968,0.51765377
-5.89194597,1.06276607,0.00594959,0.02859392,0.29691308,0.37188762,0.01135941,0.53969590
-5.88594297,1.10078734,0.00620372,0.02960261,0.30996389,0.38322570,0.01186986,0.56068014
-5.87993997,1.13667552,0.00643683,0.03057413,0.32254453,0.39400798,0.01234665,0.58032893
-5.87393697,1.16994427,0.00664633,0.03149921,0.33443720,0.40408856,0.01278644,0.59839473
-5.86793397,1.20018444,0.00682991,0.03237333,0.34544684,0.41334676,0.01318708,0.61466693
-5.86193097,1.22707647,0.00698562,0.03319755,0.35540753,0.42169049,0.01354775,0.62897766
-5.85592796,1.25040040,0.00711188,0.03397920,0.36418801,0.42905889,0.01386903,0.64120653
-5.84992496,1.27004330,0.00720752,0.03473248,0.37169595,0.43542417,0.01415298,0.65128408
-5.84392196,1.28600375,0.00727177,0.03547894,0.37788104,0.44079269,0.01440308,0.65919378
-5.83791896,1.29839341,0.00730430,0.03624778,0.38273645,0.44520539,0.01462419,0.66497271
-5.83191596,1.30743566,0.00730524,0.03707599,0.38629879,0.44873737,0.01482244,0.66871064
-5.82591296,1.31346123,0.00727511,0.03800838,0.38864645,0.45149690,0.01500503,0.67054782
-5.81990995,1.31690088,0.00721489,0.03909727,0.38989636,0.45362360,0.01518003,0.67067124
-5.81390695,1.31827549,0.00712592,0.04040212,0.39019935,0.45528606,0.01535613,0.66930966
-5.80790395,1.31818350,0.00700995,0.04198889,0.38973426,0.45667868,0.01554232,0.66672746
-5.80190095,1.31728609,0.00686906,0.04392915,0.38870100,0.45801788,0.01574761,0.66321740
-5.79589795,1.31629041,0.00670562,0.04629908,0.38731291,0.45953763,0.01598069,0.65909256
-5.78989495,1.31593125,0.00652228,0.04917812,0.38578869,0.46148433,0.01624961,0.65467768
-5.78389195,1.31695150,0.00632186,0.05264751,0.38434427,0.46411112,0.01656149,0.65030000
-5.77788894,1.32008196,0.00610736,0.05678859,0.38318487,0.46767175,0.01692226,0.64628011
-5.77188594,1.32602108,0.00588186,0.06168090,0.38249774,0.47241394,0.01733638,0.64292281
-5.76588294,1.33541505,0.00564847,0.06740016,0.38244560,0.47857266,0.01780670,0.64050850
-5.75987994,1.34883901,0.00541026,0.07401604,0.38316133,0.48636324,0.01833432,0.63928522
-5.75387694,1.36677987,0.00517022,0.08158990,0.38474383,0.49597478,0.01891850,0.63946174
-5.74787394,1.38962138,0.00493123,0.09017251,0.38725540,0.50756387,0.01955670,0.64120192
-5.74187094,1.41763197,0.00469593,0.09980170,0.39072050,0.52124909,0.02024464,0.64462044
-5.73586793,1.45095594,0.00446680,0.11050021,0.39512604,0.53710634,0.02097640,0.64978032
-5.72986493,1.48960825,0.00424603,0.12227369,0.40042315,0.55516542,0.02174466,0.65669207
-5.72386193,1.53347330,0.00403556,0.13510893,0.40653009,0.57540791,0.02254090,0.66531476
-5.71785893,1.58230786,0.00383709,0.14897254,0.41333649,0.59776658,0.02335572,0.67555877
-5.71185593,1.63574796,0.00365203,0.16381005,0.42070833,0.62212642,0.02417911,0.68729037
-5.70585293,1.69331981,0.00348159,0.17954550,0.42849372,0.64832724,0.02500084,0.70033766
-5.69984992,1.75445418,0.00332674,0.19608173,0.43652907,0.67616788,0.02581077,0.71449787
-5.69384692,1.81850375,0.00318831,0.21330125,0.44464546,0.70541169,0.02659917,0.72954557
-5.68784392,1.88476279,0.00306700,0.23106780,0.45267488,0.73579326,0.02735706,0.74524151
-5.68184092,1.95248831,0.00296342,0.24922854,0.46045621,0.76702598,0.02807648,0.76134156
-5.67583792,2.02092170,0.00287813,0.26761690,0.46784058,0.79880995,0.02875071,0.77760547
-5.66983492,2.08930995,0.00281172,0.28605588,0.47469607,0.83084010,0.02937448,0.79380495
-5.66383192,2.15692548,0.00276477,0.30436181,0.48091142,0.86281386,0.02994408,0.80973070
-5.65782891,2.22308344,0.00273793,0.32234836,0.48639881,0.89443806,0.03045742,0.82519804
-5.65182591,2.28715599,0.00273190,0.33983064,0.49109546,0.92543475,0.03091401,0.84005087
-5.64582291,2.34858257,0.00274740,0.35662924,0.49496415,0.95554553,0.03131490,0.85416376
-5.63981991,2.40687589,0.00278519,0.37257400,0.49799256,0.98453429,0.03166254,0.86744211
-5.63381691,2.46162341,0.00284599,0.38750741,0.50019162,1.01218817,0.03196054,0.87982034
-5.62781391,2.51248431,0.00293045,0.40128738,0.50159278,1.03831689,0.03221349,0.89125838
-5.62181091,2.55918246,0.00303907,0.41378944,0.50224455,1.06275046,0.03242658,0.90173648
-5.61580790,2.60149585,0.00317212,0.42490813,0.50220832,1.08533568,0.03260535,0.91124898
-5.60980490,2.63924354,0.00332960,0.43455769,0.50155376,1.10593168,0.03275532,0.91979717
-5.60380190,2.67227100,0.00351108,0.44267198,0.50035402,1.12440511,0.03288167,0.92738196
-5.59779890,2.70043529,0.00371572,0.44920379,0.49868092,1.14062530,0.03298893,0.93399671
-5.59179590,2.72359100,0.00394213,0.45412360,0.49660042,1.15446009,0.03308070,0.93962081
-5.58579290,2.74157845,0.00418833,0.45741793,0.49416864,1.16577264,0.03315942,0.94421448
-5.57978989,2.75421505,0.00445175,0.45908743,0.49142848,1.17441980,0.03322624,0.94771505
-5.57378689,2.76129063,0.00472920,0.45914503,0.48840722,1.18025218,0.03328086,0.95003530
-5.56778389,2.76256746,0.00501685,0.45761398,0.48511505,1.18311624,0.03332158,0.95106371
-5.56178089,2.75778506,0.00531034,0.45452637,0.48154470,1.18285836,0.03334535,0.95066695
