energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,2.22928565,0.04780728,0.06577568,0.52780802,1.09340428,0.04487785,0.41422112
-5.99399700,2.18327554,0.04842681,0.06382261,0.51734652,1.06955306,0.04441611,0.40643844
-5.98799400,2.12917572,0.04880830,0.06156428,0.50496280,1.04157263,0.04369480,0.39739782
-5.98199100,2.06770040,0.04894910,0.05903409,0.49080471,1.00984041,0.04272761,0.38720350
-5.97598799,1.99965560,0.04885032,0.05626993,0.47504623,0.97478120,0.04153268,0.37597231
-5.96998499,1.92591459,0.04851678,0.05331304,0.45788190,0.93685446,0.04013199,0.36382996
-5.96398199,1.84739317,0.04795687,0.05020682,0.43952115,0.89654141,0.03855063,0.35090754
-5.95797899,1.76502588,0.04718229,0.04699556,0.42018260,0.85433248,0.03681596,0.33733826
-5.95197599,1.67974401,0.04620781,0.04372330,0.40008861,0.81071561,0.03495683,0.32325469
-5.94597299,1.59245619,0.04505097,0.04043272,0.37946042,0.76616571,0.03300267,0.30878642
-5.93996998,1.50403201,0.04373171,0.03716414,0.35851370,0.72113571,0.03098277,0.29405834
-5.93396698,1.41528907,0.04227204,0.03395466,0.33745500,0.67604933,0.02892547,0.27918942
-5.92796398,1.32698333,0.04069563,0.03083758,0.31647881,0.63129551,0.02685759,0.26429196
-5.92196098,1.23980296,0.03902742,0.02784183,0.29576538,0.58722480,0.02480383,0.24947135
-5.91595798,1.15436512,0.03729318,0.02499176,0.27547933,0.54414726,0.02278640,0.23482605
-5.90995498,1.07121544,0.03551912,0.02230704,0.25576881,0.50233200,0.02082471,0.22044791
-5.90395198,0.99082970,0.03373138,0.01980270,0.23676527,0.46200789,0.01893518,0.20642251
-5.89794897,0.91361711,0.03195563,0.01748940,0.21858363,0.42336543,0.01713124,0.19282965
-5.89194597,0.83992484,0.03021662,0.01537380,0.20132284,0.38655928,0.01542328,0.17974365
-5.88594297,0.77004318,0.02853770,0.01345902,0.18506668,0.35171147,0.01381889,0.16723371
-5.87993997,0.70421098,0.02694038,0.01174521,0.16988466,0.31891478,0.01232300,0.15536394
-5.87393697,0.64262117,0.02544395,0.01023012,0.15583309,0.28823637,0.01093813,0.14419340
-5.86793397,0.58542590,0.02406506,0.00890975,0.14295615,0.25972129,0.00966472,0.13377584
-5.86193097,0.53274140,0.02281738,0.00777895,0.13128692,0.23339588,0.00850144,0.12415949
-5.85592796,0.48465236,0.02171135,0.00683200,0.12084849,0.20927098,0.00744548,0.11538663
-5.84992496,0.44121595,0.02075396,0.00606319,0.11165497,0.18734476,0.00649288,0.10749326
-5.84392196,0.40246544,0.01994859,0.00546728,0.10371257,0.16760541,0.00563884,0.10050879
-5.83791896,0.36841361,0.01929503,0.00503992,0.09702064,0.15003346,0.00487800,0.09445587
-5.83191596,0.33905603,0.01878955,0.00477800,0.09157282,0.13460386,0.00420469,0.08935037
-5.82591296,0.31437431,0.01842505,0.00467992,0.08735818,0.12128786,0.00361317,0.08520165
-5.81990995,0.29433933,0.01819140,0.00474575,0.08436247,0.11005460,0.00309784,0.08201299
-5.81390695,0.27891474,0.01807581,0.00497738,0.08256947,0.10087265,0.00265342,0.07978237
-5.80790395,0.26806041,0.01806335,0.00537851,0.08196236,0.09371126,0.00227517,0.07850345
-5.80190095,0.26173617,0.01813752,0.00595463,0.08252516,0.08854153,0.00195896,0.07816689
-5.79589795,0.25990559,0.01828096,0.00671293,0.08424427,0.08533745,0.00170154,0.07876174
-5.78989495,0.26253978,0.01847607,0.00766218,0.08710992,0.08407676,0.00150056,0.08027712
-5.78389195,0.26962120,0.01870587,0.00881249,0.09111764,0.08474178,0.00135479,0.08270395
-5.77788894,0.28114734,0.01895463,0.01017515,0.09626962,0.08732004,0.00126424,0.08603667
-5.77188594,0.29713410,0.01920868,0.01176238,0.10257594,0.09180489,0.00123027,0.09027505
-5.76588294,0.31761896,0.01945702,0.01358704,0.11005563,0.09819590,0.00125572,0.09542577
-5.75987994,0.34266359,0.01969194,0.01566240,0.11873747,0.10649926,0.00134504,0.10150392
-5.75387694,0.37235585,0.01990952,0.01800191,0.12866043,0.11672800,0.00150439,0.10853417
-5.74787394,0.40681113,0.02010999,0.02061884,0.13987391,0.12890209,0.00174172,0.11655167
-5.74187094,0.44617270,0.02029797,0.02352610,0.15243737,0.14304841,0.00206680,0.12560256
