energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Li_s_up,S_s_up,S_p_up
-6.00000000,11.92419997,2.46801962,8.74397131,0.02268904,0.72829882,0.13288033,0.07315388,1.29238042
-5.99399700,11.80441146,2.45025646,8.67534662,0.02180683,0.69396905,0.12776669,0.06999567,1.27772815
-5.98799400,11.71263573,2.43317346,8.62822630,0.02098065,0.66369893,0.12345647,0.06704443,1.26540644
-5.98199100,11.64622569,2.41640502,8.60051270,0.02021247,0.63731239,0.11998814,0.06432304,1.25522597
-5.97598799,11.60225770,2.39956308,8.58989098,0.01950295,0.61460475,0.11738616,0.06184876,1.24697783
-5.96998499,11.57763467,2.38225553,8.59390404,0.01885159,0.59534867,0.11566100,0.05963337,1.24044735
-5.96398199,11.56918929,2.36410438,8.61002797,0.01825709,0.57929988,0.11480959,0.05768336,1.23542708
-5.95797899,11.57378384,2.34476315,8.63574590,0.01771757,0.56620304,0.11481604,0.05600030,1.23172849
-5.95197599,11.58840319,2.32393258,8.66861793,0.01723088,0.55579734,0.11565266,0.05458128,1.22919164
-5.94597299,11.61023803,2.30137406,8.70634496,0.01679475,0.54782193,0.11728124,0.05341948,1.22769237
-5.93996998,11.63675576,2.27692035,8.74682451,0.01640705,0.54202112,0.11965449,0.05250481,1.22714693
-5.93396698,11.66575668,2.25048299,8.78819696,0.01606591,0.53814914,0.12271770,0.05182447,1.22751359
-5.92796398,11.69541433,2.22205641,8.82888075,0.01576984,0.53597447,0.12641037,0.05136365,1.22879151
-5.92196098,11.72429872,2.19171852,8.86759575,0.01551773,0.53528349,0.13066803,0.05110608,1.23101693
-5.91595798,11.75138255,2.15962786,8.90337434,0.01530891,0.53588358,0.13542390,0.05103459,1.23425704
-5.90995498,11.77603072,2.12601763,8.93556015,0.01514307,0.53760518,0.14061059,0.05113166,1.23860180
-5.90395198,11.79797429,2.09118676,8.96379495,0.01502020,0.54030318,0.14616155,0.05137974,1.24415457
-5.89794897,11.81727064,2.05548875,8.98799458,0.01494046,0.54385717,0.15201247,0.05176169,1.25102167
-5.89194597,11.83425187,2.01931847,9.00831524,0.01490408,0.54817074,0.15810232,0.05226094,1.25930191
-5.88594297,11.84946425,1.98309774,9.02511184,0.01491120,0.55316975,0.16437429,0.05286172,1.26907638
-5.87993997,11.86360134,1.94726015,9.03889018,0.01496176,0.55879963,0.17077627,0.05354913,1.28039913
-5.87393697,11.87743387,1.91223577,9.05025519,0.01505532,0.56502175,0.17726121,0.05430919,1.29328934
-5.86793397,11.89173942,1.87843621,9.05985748,0.01519101,0.57180906,0.18378704,0.05512875,1.30772512
-5.86193097,11.90723457,1.84624068,9.06834012,0.01536739,0.57914112,0.19031640,0.05599548,1.32363942
-5.85592796,11.92451234,1.81598330,9.07628808,0.01558245,0.58699871,0.19681610,0.05689769,1.34091805
-5.84992496,11.94398699,1.78794215,9.08418193,0.01583349,0.59535833,0.20325633,0.05782423,1.35939986
-5.84392196,11.96584810,1.76233037,9.09235764,0.01611719,0.60418681,0.20960977,0.05876431,1.37887891
-5.83791896,11.99002527,1.73928929,9.10097371,0.01642962,0.61343630,0.21585048,0.05970737,1.39910849
-5.83191596,12.01616427,1.71888407,9.10998665,0.01676626,0.62303994,0.22195290,0.06064290,1.41980649
-5.82591296,12.04361507,1.70110152,9.11913538,0.01712209,0.63290842,0.22789071,0.06156033,1.44066200
-5.81990995,12.07143158,1.68585034,9.12793484,0.01749170,0.64292765,0.23363589,0.06244892,1.46134243
-5.81390695,12.09838278,1.67296371,9.13567875,0.01786933,0.65295777,0.23915788,0.06329767,1.48150104
-5.80790395,12.12297428,1.66220393,9.14145105,0.01824903,0.66283348,0.24442296,0.06409527,1.50078423
-5.80190095,12.14347951,1.65326921,9.14414550,0.01862474,0.67236592,0.24939390,0.06483011,1.51883853
-5.79589795,12.15797916,1.64580226,9.14249251,0.01899040,0.68134589,0.25402989,0.06549031,1.53531693
-5.78989495,12.16440774,1.63940060,9.13509233,0.01934002,0.68954847,0.25828684,0.06606380,1.54988443
-5.78389195,12.16060585,1.63362830,9.12045341,0.01966784,0.69673875,0.26211797,0.06653847,1.56222285
-5.77788894,12.14437693,1.62802887,9.09703499,0.01996836,0.70267860,0.26547477,0.06690232,1.57203491
-5.77188594,12.11354710,1.62213912,9.06329255,0.02023648,0.70713404,0.26830826,0.06714371,1.57904770
-5.76588294,12.06602692,1.61550360,9.01772512,0.02046753,0.70988301,0.27057055,0.06725165,1.58301582
-5.75987994,11.99987354,1.60768925,8.95892312,0.02065741,0.71072317,0.27221656,0.06721606,1.58372423
-5.75387694,11.91335217,1.59829995,8.88561574,0.02080261,0.70947943,0.27320597,0.06702813,1.58099124
-5.74787394,11.80499522,1.58699044,8.79671645,0.02090036,0.70601077,0.27350510,0.06668069,1.57467156
-5.74187094,11.67365780,1.57347935,8.69136558,0.02094865,0.70021616,0.27308890,0.06616853,1.56465966
-5.73586793,11.51856794,1.55756063,8.56896871,0.02094634,0.69203930,0.27194267,0.06548877,1.55089344
-5.72986493,11.33937003,1.53911325,8.42922967,0.02089322,0.68147184,0.27006360,0.06464115,1.53335809
-5.72386193,11.13615982,1.51810857,8.27217707,0.02079008,0.66855511,0.26746192,0.06362828,1.51208995
-5.71785893,10.90950955,1.49461503,8.09818334,0.02063875,0.65338019,0.26416169,0.06245586,1.48718029
-5.71185593,10.66048197,1.46880006,7.90797536,0.02044216,0.63608625,0.26020105,0.06113277,1.45877851
-5.70585293,10.39063202,1.44092890,7.70263610,0.02020431,0.61685737,0.25563188,0.05967111,1.42709457
-5.69984992,10.10199582,1.41136045,7.48359691,0.01993032,0.59591789,0.25051906,0.05808610,1.39240034
-5.69384692,9.79706652,1.38054006,7.25262043,0.01962631,0.57352644,0.24493902,0.05639595,1.35502945
-5.68784392,9.47875771,1.34898979,7.01177461,0.01929942,0.54996904,0.23897795,0.05462154,1.31537558
-5.68184092,9.15035512,1.31729620,6.76339841,0.01895763,0.52555141,0.23272948,0.05278609,1.27388901
-5.67583792,8.81545827,1.28609645,6.51006054,0.01860967,0.50059087,0.22629218,0.05091473,1.23107133
-5.66983492,8.47791407,1.25606310,6.25451266,0.01826486,0.47540822,0.21976676,0.04903403,1.18746848
-5.66383192,8.14174497,1.22788834,5.99963874,0.01793291,0.45031972,0.21325329,0.04717146,1.14366230
-5.65782891,7.81107406,1.20226816,5.74840262,0.01762374,0.42562964,0.20684853,0.04535488,1.10026087
-5.65182591,7.49005032,1.17988720,5.50379568,0.01734727,0.40162359,0.20064349,0.04361207,1.05788793
-5.64582291,7.18277632,1.16140469,5.26878646,0.01711319,0.37856276,0.19472132,0.04197019,1.01717190
-5.63981991,6.89324107,1.14744186,5.04627404,0.01693074,0.35667930,0.18915570,0.04045540,0.97873472
-5.63381691,6.62525973,1.13857123,4.83904636,0.01680854,0.33617289,0.18400976,0.03909250,0.94318108
-5.62781391,6.38242170,1.13530763,4.64974443,0.01675436,0.31720855,0.17933556,0.03790463,0.91108822
-5.62181091,6.16804765,1.13810104,4.48083300,0.01677495,0.29991566,0.17517411,0.03691306,0.88299656
-5.61580790,5.98515551,1.14733113,4.33457747,0.01687590,0.28438804,0.17155594,0.03613705,0.85940139
-5.60980490,5.83643483,1.16330292,4.21302664,0.01706149,0.27068500,0.16850211,0.03559378,0.84074570
-5.60380190,5.72422822,1.18624342,4.11800031,0.01733462,0.25883325,0.16602555,0.03529831,0.82741398
-5.59779890,5.65051841,1.21629871,4.05108074,0.01769667,0.24882937,0.16413257,0.03526358,0.81972723
-5.59179590,5.61691904,1.25353115,4.01360635,0.01814752,0.24064271,0.16282455,0.03550050,0.81793874
-5.58579290,5.62466764,1.29791637,4.00666664,0.01868546,0.23421847,0.16209942,0.03601794,0.82223079
-5.57978989,5.67461906,1.34933994,4.03109703,0.01930724,0.22948095,0.16195307,0.03682287,0.83271199
-5.57378689,5.76723850,1.40759370,4.08747274,0.02000810,0.22633656,0.16238035,0.03792036,0.84941532
-5.56778389,5.90259356,1.47237196,4.17610139,0.02078181,0.22467676,0.16337572,0.03931366,0.87229677
-5.56178089,6.08034545,1.54326791,4.29701421,0.02162077,0.22438064,0.16493352,0.04100429,0.90123469
-5.55577789,6.29974016,1.61977079,4.44995651,0.02251615,0.22531729,0.16704767,0.04299209,0.93602996
-5.54977489,6.55960125,1.70126454,4.63437838,0.02345801,0.22734786,0.16971106,0.04527529,0.97640719
-5.54377189,6.85832591,1.78702845,4.84942701,0.02443554,0.23032735,0.17291453,0.04785064,1.02201716
