energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.57264910,0.29989483,1.05559212,0.01698421,0.05499102,0.17536178,0.00000000,0.18147827,0.04870300
-5.99399700,1.64711046,0.31972390,1.10209730,0.01761423,0.05673722,0.18621230,0.00000000,0.18409064,0.05111634
-5.98799400,1.72921059,0.34107190,1.15393389,0.01835965,0.05867530,0.19771935,0.00000000,0.18745132,0.05384311
-5.98199100,1.81748134,0.36364929,1.21015777,0.01919949,0.06075548,0.20970703,0.00000000,0.19139996,0.05682616
-5.97598799,1.91030355,0.38713067,1.26971845,0.02011089,0.06292560,0.22198646,0.00000000,0.19577479,0.06000248
-5.96998499,2.00593642,0.41115956,1.33147803,0.02106964,0.06513211,0.23435933,0.00000000,0.20041571,0.06330438
-5.96398199,2.10255312,0.43535462,1.39423447,0.02205074,0.06732102,0.24662211,0.00000000,0.20516739,0.06666080
-5.95797899,2.19828207,0.45931749,1.45674876,0.02302898,0.06943907,0.25857082,0.00000000,0.20988257,0.06999887
-5.95197599,2.29125288,0.48264189,1.51777570,0.02397952,0.07143487,0.27000622,0.00000000,0.21442518,0.07324554
-5.94597299,2.37964593,0.50492395,1.57609714,0.02487842,0.07326016,0.28073921,0.00000000,0.21867351,0.07632932
-5.93996998,2.46174368,0.52577329,1.63055692,0.02570327,0.07487097,0.29059630,0.00000000,0.22252316,0.07918210
-5.93396698,2.53598213,0.54482453,1.68009605,0.02643360,0.07622884,0.29942489,0.00000000,0.22588969,0.08174094
-5.92796398,2.60100006,0.56174881,1.72378678,0.02705138,0.07730188,0.30709813,0.00000000,0.22871092,0.08394973
-5.92196098,2.65568409,0.57626474,1.76086403,0.02754141,0.07806575,0.31351910,0.00000000,0.23094863,0.08576077
-5.91595798,2.69920723,0.58814832,1.79075270,0.02789160,0.07850440,0.31862413,0.00000000,0.23258972,0.08713609
-5.90995498,2.73105905,0.59724142,1.81308935,0.02809322,0.07861070,0.32238510,0.00000000,0.23364663,0.08804853
-5.90395198,2.75106563,0.60345825,1.82773716,0.02814100,0.07838667,0.32481044,0.00000000,0.23415695,0.08848241
-5.89794897,2.75939807,0.60678955,1.83479300,0.02803319,0.07784358,0.32594492,0.00000000,0.23418223,0.08843397
-5.89194597,2.75656867,0.60730418,1.83458619,0.02777151,0.07700171,0.32586799,0.00000000,0.23380593,0.08791131
-5.88594297,2.74341467,0.60514805,1.82766859,0.02736098,0.07588982,0.32469084,0.00000000,0.23313061,0.08693397
-5.87993997,2.72106976,0.60054019,1.81479623,0.02680972,0.07454437,0.32255229,0.00000000,0.23227442,0.08553215
-5.87393697,2.69092455,0.59376633,1.79690316,0.02612864,0.07300848,0.31961351,0.00000000,0.23136694,0.08374554
-5.86793397,2.65457745,0.58516996,1.77506852,0.02533110,0.07133077,0.31605197,0.00000000,0.23054467,0.08162186
-5.86193097,2.61377806,0.57514149,1.75047820,0.02443252,0.06956392,0.31205471,0.00000000,0.22994620,0.07921519
-5.85592796,2.57036555,0.56410572,1.72438271,0.02344996,0.06776323,0.30781142,0.00000000,0.22970738,0.07658404
-5.84992496,2.52620465,0.55250837,1.69805325,0.02240170,0.06598514,0.30350744,0.00000000,0.22995661,0.07378945
-5.84392196,2.48312215,0.54080206,1.67273768,0.02130678,0.06428568,0.29931713,0.00000000,0.23081053,0.07089296
-5.83791896,2.44284647,0.52943246,1.64961848,0.02018465,0.06271913,0.29539787,0.00000000,0.23237023,0.06795476
-5.83191596,2.40695301,0.51882503,1.62977428,0.01905476,0.06133668,0.29188493,0.00000000,0.23471816,0.06503190
-5.82591296,2.37681726,0.50937295,1.61414663,0.01793622,0.06018530,0.28888741,0.00000000,0.23791585,0.06217679
-5.81990995,2.35357734,0.50142662,1.60351311,0.01684752,0.05930679,0.28648545,0.00000000,0.24200248,0.05943590
-5.81390695,2.33810735,0.49528504,1.59846769,0.01580630,0.05873707,0.28472881,0.00000000,0.24699436,0.05684885
-5.80790395,2.33100167,0.49118928,1.59940869,0.01482910,0.05850557,0.28363673,0.00000000,0.25288523,0.05444773
-5.80190095,2.33257056,0.48931814,1.60653451,0.01393127,0.05863489,0.28319909,0.00000000,0.25964730,0.05225680
-5.79589795,2.34284615,0.48978604,1.61984666,0.01312680,0.05914067,0.28337880,0.00000000,0.26723294,0.05029252
-5.78989495,2.36159787,0.49264286,1.63915950,0.01242826,0.06003145,0.28411506,0.00000000,0.27557684,0.04856381
-5.78389195,2.38835582,0.49787575,1.66411559,0.01184672,0.06130881,0.28532749,0.00000000,0.28459841,0.04707262
-5.77788894,2.42244017,0.50541247,1.69420577,0.01139171,0.06296750,0.28692069,0.00000000,0.29420438,0.04581462
-5.77188594,2.46299494,0.51512608,1.72879235,0.01107116,0.06499566,0.28878912,0.00000000,0.30429123,0.04478010
-5.76588294,2.50902396,0.52684060,1.76713444,0.01089131,0.06737499,0.29082183,0.00000000,0.31474758,0.04395486
-5.75987994,2.55942748,0.54033738,1.80841402,0.01085669,0.07008107,0.29290711,0.00000000,0.32545613,0.04332125
-5.75387694,2.61303765,0.55536189,1.85176179,0.01097002,0.07308351,0.29493652,0.00000000,0.33629535,0.04285906
-5.74787394,2.66865178,0.57163072,1.89628178,0.01123208,0.07634630,0.29680838,0.00000000,0.34714073,0.04254642
-5.74187094,2.72506235,0.58883863,1.94107423,0.01164165,0.07982799,0.29843054,0.00000000,0.35786576,0.04236059
-5.73586793,2.78108345,0.60666549,1.98525611,0.01219534,0.08348209,0.29972228,0.00000000,0.36834265,0.04227858
-5.72986493,2.83557326,0.62478312,2.02797932,0.01288753,0.08725740,0.30061558,0.00000000,0.37844284,0.04227778
-5.72386193,2.88745295,0.64286188,2.06844640,0.01371024,0.09109858,0.30105551,0.00000000,0.38803766,0.04233625
-5.71785893,2.93572244,0.66057720,2.10592400,0.01465310,0.09494673,0.30100014,0.00000000,0.39699903,0.04243313
-5.71185593,2.97947341,0.67761589,2.13975443,0.01570334,0.09874029,0.30041987,0.00000000,0.40520048,0.04254876
-5.70585293,3.01790049,0.69368238,2.16936553,0.01684581,0.10241596,0.29929646,0.00000000,0.41251866,0.04266486
-5.69984992,3.05031111,0.70850470,2.19427919,0.01806316,0.10590995,0.29762187,0.00000000,0.41883520,0.04276458
