energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-6.00000000,3.00508452,0.00233604,0.06865341,0.01558665,1.96542137,1.00744851,0.25992233,1.06193183,0.42413559
-5.99399700,2.97593178,0.00229702,0.06819628,0.01582386,1.94677269,0.99774809,0.25767206,1.04977494,0.42016082
-5.98799400,2.93548297,0.00225463,0.06744923,0.01601340,1.92078247,0.98358313,0.25457194,1.03395769,0.41414801
-5.98199100,2.88405363,0.00220874,0.06641293,0.01614761,1.88766449,0.96508987,0.25064202,1.01464290,0.40615995
-5.97598799,2.82211736,0.00215941,0.06509266,0.01622002,1.84773332,0.94247851,0.24591058,0.99203588,0.39629573
-5.96998499,2.75029570,0.00210678,0.06349836,0.01622546,1.80139747,0.91602834,0.24041397,0.96637993,0.38468774
-5.96398199,2.66934405,0.00205112,0.06164455,0.01616016,1.74914991,0.88608060,0.23419617,0.93795089,0.37149765
-5.95797899,2.58013415,0.00199274,0.05955003,0.01602178,1.69155660,0.85302923,0.22730833,0.90705102,0.35691152
-5.95197599,2.48363376,0.00193201,0.05723758,0.01580952,1.62924327,0.81731008,0.21980815,0.87400239,0.34113435
-5.94597299,2.38088431,0.00186932,0.05473340,0.01552402,1.56288097,0.77938897,0.21175910,0.83914001,0.32438419
-5.93996998,2.27297739,0.00180507,0.05206653,0.01516741,1.49317105,0.73974910,0.20322956,0.80280499,0.30688612
-5.93396698,2.16103101,0.00173963,0.04926813,0.01474315,1.42083014,0.69887849,0.19429187,0.76533799,0.28886635
-5.92796398,2.04616644,0.00167334,0.04637073,0.01425598,1.34657546,0.65725791,0.18502125,0.72707319,0.27054668
-5.92196098,1.92948637,0.00160651,0.04340748,0.01371173,1.27111127,0.61534969,0.17549479,0.68833290,0.25213939
-5.91595798,1.81205520,0.00153940,0.04041131,0.01311717,1.19511661,0.57358801,0.16579025,0.64942313,0.23384297
-5.90995498,1.69488187,0.00147223,0.03741427,0.01247984,1.11923480,0.53237080,0.15598507,0.61062997,0.21583849
-5.90395198,1.57890568,0.00140515,0.03444677,0.01180783,1.04406483,0.49205362,0.14615519,0.57221708,0.19828696
-5.89794897,1.46498527,0.00133831,0.03153705,0.01110953,0.97015480,0.45294539,0.13637411,0.53442404,0.18132754
