energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up,Y_p_up,Y_d_up
-6.00000000,1.73906106,0.01888580,0.05046961,1.20494365,0.00000000,0.45828317,0.21563725,0.43428994,0.22416259
-5.99399700,1.71068398,0.01857645,0.04959469,1.18572187,0.00000000,0.45700358,0.20945112,0.43101438,0.22006109
-5.98799400,1.68704718,0.01832823,0.04875407,1.16969504,0.00000000,0.45758371,0.20375769,0.42902356,0.21590173
-5.98199100,1.66834212,0.01814877,0.04796507,1.15702220,0.00000000,0.46000386,0.19858676,0.42842790,0.21178057
-5.97598799,1.65474109,0.01804454,0.04724490,1.14785038,0.00000000,0.46422070,0.19397610,0.42932226,0.20779492
-5.96998499,1.64637318,0.01802053,0.04660984,1.14229686,0.00000000,0.47016215,0.18996770,0.43177916,0.20403880
-5.96398199,1.64330175,0.01807999,0.04607445,1.14043242,0.00000000,0.47772344,0.18660365,0.43584260,0.20059863
-5.95797899,1.64550503,0.01822425,0.04565093,1.14226679,0.00000000,0.48676495,0.18392235,0.44152305,0.19754945
-5.95197599,1.65286079,0.01845261,0.04534859,1.14773703,0.00000000,0.49711170,0.18195482,0.44879362,0.19495181
-5.94597299,1.66513635,0.01876227,0.04517349,1.15669962,0.00000000,0.50855496,0.18072161,0.45758794,0.19284934
-5.93996998,1.68198432,0.01914838,0.04512821,1.16892682,0.00000000,0.52085574,0.18023025,0.46779977,0.19126731
-5.93396698,1.70294440,0.01960417,0.04521186,1.18410729,0.00000000,0.53375012,0.18047338,0.47928434,0.19021203
-5.92796398,1.72745117,0.02012110,0.04542020,1.20185117,0.00000000,0.54695623,0.18142772,0.49186145,0.18967120
-5.92196098,1.75484735,0.02068919,0.04574596,1.22169910,0.00000000,0.56018244,0.18305379,0.50532024,0.18961505
-5.91595798,1.78440170,0.02129727,0.04617921,1.24313480,0.00000000,0.57313641,0.18529636,0.51942524,0.18999830
-5.90995498,1.81533068,0.02193335,0.04670797,1.26560036,0.00000000,0.58553450,0.18808566,0.53392357,0.19076273
-5.90395198,1.84682259,0.02258504,0.04731877,1.28851351,0.00000000,0.59711106,0.19133919,0.54855284,0.19184021
-5.89794897,1.87806287,0.02323992,0.04799737,1.31128585,0.00000000,0.60762705,0.19496405,0.56304944,0.19315611
-5.89194597,1.90825940,0.02388592,0.04872938,1.33334124,0.00000000,0.61687756,0.19885968,0.57715676,0.19463277
-5.88594297,1.93666651,0.02451168,0.04950106,1.35413322,0.00000000,0.62469795,0.20292079,0.59063307,0.19619307
-5.87993997,1.96260671,0.02510688,0.05029993,1.37316098,0.00000000,0.63096805,0.20704052,0.60325864,0.19776380
-5.87393697,1.98548919,0.02566248,0.05111546,1.38998287,0.00000000,0.63561449,0.21111353,0.61484184,0.19927879
-5.86793397,2.00482456,0.02617094,0.05193968,1.40422729,0.00000000,0.63861095,0.21503896,0.62522400,0.20068164
-5.86193097,2.02023538,0.02662634,0.05276779,1.41560030,0.00000000,0.63997632,0.21872323,0.63428284,0.20192807
-5.85592796,2.03146245,0.02702444,0.05359869,1.42389010,0.00000000,0.63977105,0.22208251,0.64193442,0.20298776
-5.84992496,2.03836686,0.02736263,0.05443546,1.42896823,0.00000000,0.63809177,0.22504484,0.64813357,0.20384568
-5.84392196,2.04092818,0.02763990,0.05528588,1.43078782,0.00000000,0.63506471,0.22755182,0.65287287,0.20450301
-5.83791896,2.03923933,0.02785661,0.05616282,1.42937911,0.00000000,0.63083808,0.22955988,0.65618035,0.20497754
-5.83191596,2.03349857,0.02801435,0.05708469,1.42484283,0.00000000,0.62557403,0.23104118,0.65811596,0.20530369
-5.82591296,2.02399947,0.02811565,0.05807574,1.41734183,0.00000000,0.61944055,0.23198401,0.65876715,0.20553213
-5.81990995,2.01111940,0.02816375,0.05916640,1.40709163,0.00000000,0.61260367,0.23239280,0.65824385,0.20572911
-5.81390695,1.99530724,0.02816224,0.06039351,1.39435035,0.00000000,0.60522049,0.23228786,0.65667293,0.20597554
-5.80790395,1.97707099,0.02811488,0.06180047,1.37940865,0.00000000,0.59743325,0.23170470,0.65419261,0.20636586
-5.80190095,1.95696564,0.02802525,0.06343725,1.36258008,0.00000000,0.58936469,0.23069311,0.65094698,0.20700663
-5.79589795,1.93558177,0.02789658,0.06536029,1.34419223,0.00000000,0.58111504,0.22931609,0.64708094,0.20801514
-5.78989495,1.91353517,0.02773151,0.06763225,1.32457906,0.00000000,0.57276043,0.22764848,0.64273566,0.20951773
-5.78389195,1.89145746,0.02753202,0.07032147,1.30407454,0.00000000,0.56435303,0.22577559,0.63804491,0.21164809
-5.77788894,1.86998790,0.02729928,0.07350135,1.28300767,0.00000000,0.55592258,0.22379160,0.63313215,0.21454534
-5.77188594,1.84976610,0.02703371,0.07724933,1.26169889,0.00000000,0.54747927,0.22179801,0.62810865,0.21835209
-5.76588294,1.83142558,0.02673495,0.08164576,1.24045778,0.00000000,0.53901767,0.21990197,0.62307261,0.22321221
-5.75987994,1.81558776,0.02640203,0.08677243,1.21958179,0.00000000,0.53052145,0.21821454,0.61810906,0.22926858
-5.75387694,1.80285623,0.02603346,0.09271090,1.19935575,0.00000000,0.52196854,0.21684899,0.61329075,0.23666054
-5.74787394,1.79381082,0.02562747,0.09954060,1.18005191,0.00000000,0.51333637,0.21591895,0.60867963,0.24552134
-5.74187094,1.78900135,0.02518217,0.10733674,1.16193002,0.00000000,0.50460698,0.21553659,0.60432885,0.25597528
-5.73586793,1.78894070,0.02469584,0.11616810,1.14523735,0.00000000,0.49577147,0.21581065,0.60028521,0.26813485
-5.72986493,1.79409712,0.02416708,0.12609482,1.13020815,0.00000000,0.48683372,0.21684442,0.59659158,0.28209778
-5.72386193,1.80488569,0.02359512,0.13716604,1.11706245,0.00000000,0.47781301,0.21873371,0.59328937,0.29794404
-5.71785893,1.82165915,0.02297992,0.14941783,1.10600397,0.00000000,0.46874555,0.22156465,0.59042071,0.31573307
-5.71185593,1.84469805,0.02232237,0.16287118,1.09721715,0.00000000,0.45968463,0.22541150,0.58803024,0.33550103
-5.70585293,1.87420090,0.02162440,0.17753029,1.09086329,0.00000000,0.45069963,0.23033456,0.58616635,0.35725851
-5.69984992,1.91027445,0.02088901,0.19338125,1.08707595,0.00000000,0.44187373,0.23637800,0.58488189,0.38098861
-5.69384692,1.95292494,0.02012029,0.21039114,1.08595588,0.00000000,0.43330068,0.24356797,0.58423418,0.40664560
-5.68784392,2.00205074,0.01932338,0.22850770,1.08756578,0.00000000,0.42508070,0.25191093,0.58428454,0.43415420
-5.68184092,2.05743707,0.01850439,0.24765946,1.09192533,0.00000000,0.41731583,0.26139226,0.58509714,0.46340970
-5.67583792,2.11875348,0.01767021,0.26775654,1.09900684,0.00000000,0.41010504,0.27197546,0.58673747,0.49427881
-5.66983492,2.18555454,0.01682844,0.28869199,1.10873206,0.00000000,0.40353935,0.28360172,0.58927056,0.52660145
-5.66383192,2.25728414,0.01598710,0.31034376,1.12097041,0.00000000,0.39769728,0.29619033,0.59275883,0.56019327
-5.65782891,2.33328373,0.01515451,0.33257699,1.13553912,0.00000000,0.39264095,0.30963962,0.59726002,0.59484904
-5.65182591,2.41280444,0.01433901,0.35524694,1.15220536,0.00000000,0.38841305,0.32382871,0.60282510,0.63034661
