energy_ev,total_up,As_p_up,As_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,1.21346997,0.05935744,0.00000000,0.71379530,0.60233903,0.00434257,0.76838537
-5.99399700,1.21968837,0.06356265,0.00000000,0.72307715,0.59392955,0.00456955,0.76658499
-5.98799400,1.23120714,0.06825755,0.00000000,0.73634205,0.58811219,0.00479993,0.76787220
-5.98199100,1.24784044,0.07344182,0.00000000,0.75338334,0.58483444,0.00503168,0.77212531
-5.97598799,1.26937898,0.07911631,0.00000000,0.77397371,0.58402337,0.00526292,0.77920334
-5.96998499,1.29559567,0.08528366,0.00000000,0.79787143,0.58558717,0.00549197,0.78894900
-5.96398199,1.32625002,0.09194866,0.00000000,0.82482591,0.58941656,0.00571739,0.80119101
-5.95797899,1.36109107,0.09911857,0.00000000,0.85458229,0.59538582,0.00593795,0.81574578
-5.95197599,1.39985860,0.10680293,0.00000000,0.88688495,0.60335354,0.00615266,0.83241840
-5.94597299,1.44228276,0.11501324,0.00000000,0.92147970,0.61316305,0.00636069,0.85100285
-5.93996998,1.48808188,0.12376218,0.00000000,0.95811467,0.62464251,0.00656139,0.87128168
-5.93396698,1.53695897,0.13306259,0.00000000,0.99653983,0.63760490,0.00675421,0.89302512
-5.92796398,1.58859708,0.14292603,0.00000000,1.03650535,0.65184785,0.00693868,0.91598996
-5.92196098,1.64265385,0.15336112,0.00000000,1.07775890,0.66715367,0.00711434,0.93991836
-5.91595798,1.69875604,0.16437158,0.00000000,1.12004233,0.68328958,0.00728068,0.96453685
-5.90995498,1.75649420,0.17595416,0.00000000,1.16308785,0.70000844,0.00743713,0.98955589
-5.90395198,1.81541844,0.18809650,0.00000000,1.20661438,0.71705005,0.00758300,1.01467008
-5.89794897,1.87503558,0.20077498,0.00000000,1.25032425,0.73414314,0.00771746,1.03955942
-5.89194597,1.93480826,0.21395284,0.00000000,1.29390083,0.75100821,0.00783956,1.06389163
-5.88594297,1.99415644,0.22757848,0.00000000,1.33700734,0.76736106,0.00794819,1.08732571
-5.87993997,2.05246151,0.24158426,0.00000000,1.37928727,0.78291720,0.00804210,1.10951672
-5.87393697,2.10907314,0.25588578,0.00000000,1.42036646,0.79739684,0.00811998,1.13012173
-5.86793397,2.16331885,0.27038183,0.00000000,1.45985708,0.81053039,0.00818045,1.14880666
-5.86193097,2.21451604,0.28495495,0.00000000,1.49736344,0.82206428,0.00822215,1.16525396
-5.85592796,2.26198613,0.29947278,0.00000000,1.53248933,0.83176680,0.00824376,1.17917063
-5.84992496,2.30507031,0.31379009,0.00000000,1.56484684,0.83943379,0.00824410,1.19029630
-5.84392196,2.34314620,0.32775153,0.00000000,1.59406599,0.84489389,0.00822218,1.19841099
-5.83791896,2.37564475,0.34119493,0.00000000,1.61980489,0.84801304,0.00817723,1.20334210
-5.83191596,2.40206652,0.35395517,0.00000000,1.64175972,0.84869815,0.00810881,1.20497029
-5.82591296,2.42199672,0.36586837,0.00000000,1.65967407,0.84689966,0.00801681,1.20323390
-5.81990995,2.43511808,0.37677628,0.00000000,1.67334699,0.84261291,0.00790150,1.19813162
-5.81390695,2.44122109,0.38653069,0.00000000,1.68263936,0.83587822,0.00776356,1.18972329
-5.80790395,2.44021100,0.39499774,0.00000000,1.68747814,0.82677973,0.00760406,1.17812866
-5.80190095,2.43211117,0.40206177,0.00000000,1.68785811,0.81544298,0.00742451,1.16352413
-5.79589795,2.41706274,0.40762878,0.00000000,1.68384124,0.80203139,0.00722677,1.14613763
-5.78989495,2.39532043,0.41162920,0.00000000,1.67555348,0.78674165,0.00701309,1.12624175
-5.78389195,2.36724479,0.41401985,0.00000000,1.66317921,0.76979841,0.00678601,1.10414553
-5.77788894,2.33329116,0.41478514,0.00000000,1.64695377,0.75144829,0.00654835,1.08018510
-5.77188594,2.29399589,0.41393737,0.00000000,1.62715439,0.73195343,0.00630312,1.05471378
-5.76588294,2.24996043,0.41151608,0.00000000,1.60409015,0.71158499,0.00605349,1.02809188
-5.75987994,2.20183404,0.40758665,0.00000000,1.57809149,0.69061658,0.00580267,1.00067673
