energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,1.34147791,0.03402366,0.00766728,0.16167546,0.00000000,0.04547485,0.75685089,0.37498740,0.06495596
-5.99399700,1.26390321,0.03213529,0.00773771,0.16459827,0.00000000,0.04389868,0.71367627,0.35126558,0.06173199
-5.98799400,1.20483468,0.03058086,0.00794366,0.17073922,0.00000000,0.04295984,0.68108630,0.33211932,0.05950329
-5.98199100,1.16448333,0.02937798,0.00828309,0.18011433,0.00000000,0.04267823,0.65920294,0.31766148,0.05827869
-5.97598799,1.14283160,0.02853657,0.00875267,0.19270864,0.00000000,0.04306535,0.64802036,0.30793348,0.05805720
-5.96998499,1.13964107,0.02805903,0.00934783,0.20847453,0.00000000,0.04412420,0.64740911,0.30290798,0.05882819
-5.96398199,1.15446333,0.02794043,0.01006272,0.22733033,0.00000000,0.04584934,0.65712202,0.30249280,0.06057164
-5.95797899,1.18665412,0.02816897,0.01089029,0.24915983,0.00000000,0.04822716,0.67680194,0.30653589,0.06325858
-5.95197599,1.23539119,0.02872656,0.01182235,0.27381274,0.00000000,0.05123621,0.70599154,0.31483142,0.06685162
-5.94597299,1.29969590,0.02958957,0.01284974,0.30110666,0.00000000,0.05484787,0.74414519,0.32712682,0.07130580
-5.93996998,1.37845890,0.03072960,0.01396248,0.33083073,0.00000000,0.05902700,0.79064335,0.34313087,0.07656950
-5.93396698,1.47046997,0.03211451,0.01515005,0.36275112,0.00000000,0.06373299,0.84480924,0.36252271,0.08258578
-5.92796398,1.57445186,0.03370940,0.01640164,0.39661858,0.00000000,0.06892084,0.90592797,0.38496168,0.08929377
-5.92196098,1.68909790,0.03547772,0.01770655,0.43217793,0.00000000,0.07454251,0.97326790,0.41009785,0.09663049
-5.91595798,1.81311244,0.03738238,0.01905446,0.46917931,0.00000000,0.08054833,1.04610371,0.43758307,0.10453273
-5.90995498,1.94525349,0.03938688,0.02043591,0.50739098,0.00000000,0.08688859,1.12374092,0.46708226,0.11293915
-5.90395198,2.08437579,0.04145640,0.02184257,0.54661300,0.00000000,0.09351509,1.20554067,0.49828459,0.12179247
-5.89794897,2.22947298,0.04355882,0.02326769,0.58669135,0.00000000,0.10038273,1.29094418,0.53091421,0.13104162
-5.89194597,2.37971671,0.04566568,0.02470633,0.62753163,0.00000000,0.10745098,1.37949547,0.56473999,0.14064378
-5.88594297,2.53449069,0.04775290,0.02615561,0.66911150,0.00000000,0.11468512,1.47086130,0.59958387,0.15056620
-5.87993997,2.69341759,0.04980146,0.02761486,0.71149110,0.00000000,0.12205733,1.56484691,0.63532739,0.16078762
-5.87393697,2.85637666,0.05179771,0.02908566,0.75482039,0.00000000,0.12954731,1.66140657,0.67191574,0.17129929
-5.86793397,3.02351039,0.05373365,0.03057176,0.79934279,0.00000000,0.13714265,1.76064762,0.70935932,0.18210529
-5.86193097,3.19521881,0.05560674,0.03207883,0.84539424,0.00000000,0.14483867,1.86282739,0.74773205,0.19322234
-5.85592796,3.37214054,0.05741968,0.03361420,0.89339737,0.00000000,0.15263787,1.96834233,0.78716680,0.20467881
-5.84992496,3.55512049,0.05917978,0.03518641,0.94385023,0.00000000,0.16054895,2.07770924,0.82784742,0.21651302
-5.84392196,3.74516465,0.06089823,0.03680461,0.99730976,0.00000000,0.16858541,2.19153895,0.86999795,0.22877093
