energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Li_s_up,S_s_up,S_p_up
-6.00000000,2.53786470,0.02378180,0.44517270,0.38920142,0.60577577,0.05451647,0.05667080,0.58885119
-5.99399700,2.40290681,0.02225110,0.41867050,0.36263663,0.57980464,0.05825533,0.05423964,0.56062828
-5.98799400,2.28775561,0.02090953,0.39543756,0.33894530,0.55876746,0.06270996,0.05222782,0.53725906
-5.98199100,2.19374237,0.01977368,0.37571914,0.31835967,0.54299568,0.06791412,0.05066716,0.51903403
-5.97598799,2.12177534,0.01885677,0.35968978,0.30105217,0.53271773,0.07388705,0.04958023,0.50614072
-5.96998499,2.07232955,0.01816851,0.34745205,0.28713499,0.52805504,0.08063092,0.04897999,0.49866071
-5.96398199,2.04544452,0.01771515,0.33903675,0.27666059,0.52902004,0.08812883,0.04886961,0.49656849
-5.95797899,2.04073000,0.01749949,0.33440430,0.26962319,0.53551632,0.09634304,0.04924251,0.49973238
-5.95197599,2.05738001,0.01752096,0.33344759,0.26596118,0.54734102,0.10521395,0.05008255,0.50791739
-5.94597299,2.09419522,0.01777572,0.33599599,0.26556045,0.56418953,0.11465966,0.05136457,0.52079039
-5.93996998,2.14961376,0.01825686,0.34182073,0.26825855,0.58566259,0.12457630,0.05305499,0.53792734
-5.93396698,2.22174994,0.01895463,0.35064134,0.27384966,0.61127563,0.13483922,0.05511278,0.55882274
-5.92796398,2.30844075,0.01985667,0.36213327,0.28209031,0.64047037,0.14530491,0.05749048,0.58290127
-5.92196098,2.40729902,0.02094829,0.37593632,0.29270576,0.67262830,0.15581392,0.06013547,0.60953116
-5.91595798,2.51577237,0.02221286,0.39166393,0.30539689,0.70708601,0.16619434,0.06299131,0.63803940
-5.90995498,2.63120640,0.02363209,0.40891286,0.31984751,0.74315163,0.17626614,0.06599924,0.66772819
-5.90395198,2.75091051,0.02518642,0.42727323,0.33573191,0.78012218,0.18584595,0.06909962,0.69789224
-5.89794897,2.87222440,0.02685539,0.44633848,0.35272238,0.81730115,0.19475227,0.07223346,0.72783650
-5.89194597,2.99258302,0.02861798,0.46571496,0.37049665,0.85401572,0.20281086,0.07534383,0.75689363
-5.88594297,3.10957793,0.03045295,0.48503092,0.38874484,0.88963297,0.20986007,0.07837716,0.78444071
-5.87993997,3.22101280,0.03233910,0.50394450,0.40717589,0.92357456,0.21575596,0.08128438,0.80991450
-5.87393697,3.32495113,0.03425554,0.52215053,0.42552315,0.95532927,0.22037694,0.08402184,0.83282478
-5.86793397,3.41975441,0.03618188,0.53938579,0.44354897,0.98446283,0.22362769,0.08655202,0.85276522
-5.86193097,3.50410959,0.03809836,0.55543281,0.46104828,1.01062494,0.22544231,0.08884392,0.86942135
-5.85592796,3.57704481,0.03998590,0.57012181,0.47785096,1.03355298,0.22578640,0.09087326,0.88257548
-5.84992496,3.63793338,0.04182613,0.58333106,0.49382301,1.05307258,0.22465808,0.09262228,0.89210829
-5.84392196,3.68648622,0.04360138,0.59498552,0.50886666,1.06909515,0.22208793,0.09407946,0.89799729
-5.83791896,3.72273376,0.04529460,0.60505413,0.52291943,1.08161248,0.21813774,0.09523891,0.90031222
-5.83191596,3.74699863,0.04688930,0.61354581,0.53595223,1.09068918,0.21289827,0.09609967,0.89920777
-5.82591296,3.75986109,0.04836947,0.62050453,0.54796691,1.09645310,0.20648609,0.09666484,0.89491410
-5.81990995,3.76211930,0.04971959,0.62600377,0.55899321,1.09908480,0.19903955,0.09694076,0.88772563
-5.81390695,3.75474663,0.05092459,0.63014071,0.56908549,1.09880630,0.19071431,0.09693612,0.87798890
-5.80790395,3.73884846,0.05196995,0.63303042,0.57831933,1.09587009,0.18167838,0.09666119,0.86608981
