energy_ev,total_up,Al_p_up,Al_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
3.45472736,0.67012103,0.14610340,0.00000000,0.03270808,0.25640264,0.65031647,0.00563624
3.46073037,0.69109199,0.15459749,0.00000000,0.03325174,0.26076967,0.66955567,0.00585093
3.46673337,0.70908959,0.16263042,0.00000000,0.03365794,0.26418156,0.68530257,0.00604125
3.47273637,0.72384011,0.17009920,0.00000000,0.03392182,0.26657737,0.69730979,0.00620476
3.47873937,0.73514418,0.17691406,0.00000000,0.03404286,0.26793025,0.70539982,0.00633960
3.48474237,0.74288381,0.18300227,0.00000000,0.03402495,0.26824832,0.70947088,0.00644454
3.49074537,0.74702701,0.18831149,0.00000000,0.03387620,0.26757428,0.70950063,0.00651908
3.49674837,0.74762983,0.19281269,0.00000000,0.03360868,0.26598382,0.70554781,0.00656347
3.50275138,0.74483570,0.19650218,0.00000000,0.03323799,0.26358293,0.69775162,0.00657869
3.50875438,0.73887207,0.19940295,0.00000000,0.03278266,0.26050415,0.68632887,0.00656650
3.51475738,0.73004446,0.20156494,0.00000000,0.03226349,0.25690195,0.67156919,0.00652933
3.52076038,0.71872806,0.20306440,0.00000000,0.03170280,0.25294739,0.65382822,0.00647028
3.52676338,0.70535725,0.20400220,0.00000000,0.03112361,0.24882223,0.63351929,0.00639303
3.53276638,0.69041333,0.20450119,0.00000000,0.03054883,0.24471274,0.61110369,0.00630171
3.53876938,0.67441098,0.20470274,0.00000000,0.03000045,0.24080348,0.58708006,0.00620082
3.54477239,0.65788388,0.20476243,0.00000000,0.02949871,0.23727110,0.56197311,0.00609508
3.55077539,0.64137004,0.20484524,0.00000000,0.02906145,0.23427857,0.53632212,0.00598932
3.55677839,0.62539729,0.20512029,0.00000000,0.02870347,0.23196997,0.51066951,0.00588832
3.56278139,0.61046950,0.20575542,0.00000000,0.02843603,0.23046591,0.48554987,0.00579669
3.56878439,0.59705395,0.20691172,0.00000000,0.02826651,0.22985995,0.46147964,0.00571875
3.57478739,0.58557020,0.20873837,0.00000000,0.02819822,0.23021589,0.43894775,0.00565841
3.58079040,0.57638079,0.21136774,0.00000000,0.02823032,0.23156620,0.41840727,0.00561908
3.58679340,0.56978402,0.21491123,0.00000000,0.02835797,0.23391150,0.40026828,0.00560357
3.59279640,0.56600886,0.21945568,0.00000000,0.02857256,0.23722106,0.38489205,0.00561406
3.59879940,0.56521205,0.22506060,0.00000000,0.02886213,0.24143441,0.37258631,0.00565205
3.60480240,0.56747738,0.23175633,0.00000000,0.02921190,0.24646378,0.36360190,0.00571834
3.61080540,0.57281681,0.23954303,0.00000000,0.02960487,0.25219734,0.35813039,0.00581306
3.61680840,0.58117354,0.24839049,0.00000000,0.03002251,0.25850307,0.35630287,0.00593567
3.62281141,0.59242641,0.25823892,0.00000000,0.03044551,0.26523307,0.35818966,0.00608500
3.62881441,0.60639561,0.26900032,0.00000000,0.03085448,0.27222814,0.36380087,0.00625934
3.63481741,0.62284930,0.28056066,0.00000000,0.03123064,0.27932243,0.37308781,0.00645648
3.64082041,0.64151091,0.29278260,0.00000000,0.03155654,0.28634797,0.38594509,0.00667379
3.64682341,0.66206674,0.30550865,0.00000000,0.03181656,0.29313906,0.40221346,0.00690830
3.65282641,0.68417383,0.31856473,0.00000000,0.03199745,0.29953621,0.42168335,0.00715680
3.65882941,0.70746778,0.33176403,0.00000000,0.03208864,0.30538964,0.44409901,0.00741589
3.66483242,0.73157040,0.34491098,0.00000000,0.03208252,0.31056232,0.46916344,0.00768208
3.67083542,0.75609717,0.35780532,0.00000000,0.03197454,0.31493241,0.49654390,0.00795185
3.67683842,0.78066439,0.37024629,0.00000000,0.03176323,0.31839527,0.52587801,0.00822173
3.68284142,0.80489594,0.38203655,0.00000000,0.03145009,0.32086484,0.55678050,0.00848834
3.68884442,0.82842968,0.39298617,0.00000000,0.03103939,0.32227470,0.58885035,0.00874845
3.69484742,0.85092347,0.40291628,0.00000000,0.03053793,0.32257868,0.62167823,0.00899905
3.70085043,0.87206066,0.41166253,0.00000000,0.02995469,0.32175115,0.65485412,0.00923733
3.70685343,0.89155512,0.41907820,0.00000000,0.02930055,0.31978710,0.68797472,0.00946079
3.71285643,0.90915563,0.42503691,0.00000000,0.02858789,0.31670192,0.72065061,0.00966717
3.71885943,0.92464961,0.42943494,0.00000000,0.02783027,0.31253112,0.75251275,0.00985456
3.72486243,0.93786609,0.43219300,0.00000000,0.02704216,0.30732982,0.78321812,0.01002132
3.73086543,0.94867775,0.43325752,0.00000000,0.02623867,0.30117217,0.81245425,0.01016614
3.73686843,0.95700210,0.43260138,0.00000000,0.02543534,0.29415058,0.83994260,0.01028804
3.74287144,0.96280161,0.43022404,0.00000000,0.02464798,0.28637477,0.86544052,0.01038631
3.74887444,0.96608286,0.42615115,0.00000000,0.02389260,0.27797075,0.88874184,0.01046054
3.75487744,0.96689477,0.42043365,0.00000000,0.02318535,0.26907941,0.90967632,0.01051056
3.76088044,0.96532595,0.41314632,0.00000000,0.02254254,0.25985504,0.92810788,0.01053648
3.76688344,0.96150136,0.40438598,0.00000000,0.02198060,0.25046350,0.94393208,0.01053859
3.77288644,0.95557838,0.39426934,0.00000000,0.02151619,0.24108013,0.95707302,0.01051738
3.77888944,0.94774267,0.38293059,0.00000000,0.02116622,0.23188745,0.96748021,0.01047352
3.78489245,0.93820387,0.37051886,0.00000000,0.02094784,0.22307252,0.97512558,0.01040782
3.79089545,0.92719149,0.35719560,0.00000000,0.02087848,0.21482418,0.98000112,0.01032126
3.79689845,0.91495118,0.34313204,0.00000000,0.02097578,0.20733003,0.98211753,0.01021492
3.80290145,0.90174146,0.32850674,0.00000000,0.02125752,0.20077327,0.98150391,0.01009005
3.80890445,0.88783112,0.31350327,0.00000000,0.02174144,0.19532951,0.97820878,0.00994805
3.81490745,0.87349730,0.29830817,0.00000000,0.02244504,0.19116351,0.97230241,0.00979049
3.82091046,0.85902420,0.28310909,0.00000000,0.02338532,0.18842596,0.96388033,0.00961913
3.82691346,0.84470227,0.26809317,0.00000000,0.02457842,0.18725038,0.95306765,0.00943596
3.83291646,0.83082788,0.25344561,0.00000000,0.02603925,0.18775022,0.94002410,0.00924323
3.83891946,0.81770305,0.23934837,0.00000000,0.02778108,0.19001616,0.92494902,0.00904348
3.84492246,0.80563520,0.22597907,0.00000000,0.02981510,0.19411384,0.90808602,0.00883951
3.85092546,0.79493642,0.21350982,0.00000000,0.03214999,0.20008185,0.88972670,0.00863446
3.85692846,0.78592227,0.20210612,0.00000000,0.03479145,0.20793028,0.87021281,0.00843177
3.86293147,0.77890971,0.19192561,0.00000000,0.03774186,0.21763982,0.84993659,0.00823516
3.86893447,0.77421398,0.18311677,0.00000000,0.04099989,0.22916136,0.82933865,0.00804860
3.87493747,0.77214451,0.17581736,0.00000000,0.04456029,0.24241624,0.80890334,0.00787626
3.88094047,0.77299944,0.17015273,0.00000000,0.04841363,0.25729719,0.78915133,0.00772241
3.88694347,0.77705923,0.16623387,0.00000000,0.05254621,0.27366983,0.77062948,0.00759137
3.89294647,0.78457900,0.16415533,0.00000000,0.05694009,0.29137482,0.75389819,0.00748733
3.89894947,0.79578016,0.16399291,0.00000000,0.06157309,0.31023053,0.73951645,0.00741431
3.90495248,0.81084129,0.16580131,0.00000000,0.06641898,0.33003623,0.72802522,0.00737595
3.91095548,0.82988870,0.16961167,0.00000000,0.07144769,0.35057561,0.71992950,0.00737543
3.91695848,0.85298701,0.17542930,0.00000000,0.07662555,0.37162051,0.71568001,0.00741528
3.92296148,0.88013008,0.18323149,0.00000000,0.08191561,0.39293482,0.71565502,0.00749729
3.92896448,0.91123282,0.19296571,0.00000000,0.08727795,0.41427830,0.72014314,0.00762237
3.93496748,0.94612414,0.20454820,0.00000000,0.09266999,0.43541022,0.72932798,0.00779045
3.94097049,0.98454170,0.21786321,0.00000000,0.09804686,0.45609279,0.74327521,0.00800038
3.94697349,1.02612862,0.23276293,0.00000000,0.10336167,0.47609407,0.76192285,0.00824994
3.95297649,1.07043286,0.24906831,0.00000000,0.10856582,0.49519067,0.78507534,0.00853577
3.95897949,1.11690927,0.26657078,0.00000000,0.11360939,0.51316975,0.81240180,0.00885340
3.96498249,1.16492492,0.28503509,0.00000000,0.11844145,0.52983083,0.84343881,0.00919736
3.97098549,1.21376758,0.30420311,0.00000000,0.12301044,0.54498710,0.87759798,0.00956119
3.97698849,1.26265764,0.32379879,0.00000000,0.12726472,0.55846650,0.91417804,0.00993767
3.98299150,1.31076327,0.34353404,0.00000000,0.13115303,0.57011264,0.95238146,0.01031895
3.98899450,1.35721867,0.36311554,0.00000000,0.13462526,0.57978567,0.99133506,0.01069677
3.99499750,1.40114485,0.38225220,0.00000000,0.13763318,0.58736321,1.03011402,0.01106269
4.00100050,1.44167263,0.40066318,0.00000000,0.14013135,0.59274146,1.06776855,0.01140834
4.00700350,1.47796697,0.41808602,0.00000000,0.14207815,0.59583650,1.10335224,0.01172569
4.01300650,1.50925169,0.43428467,0.00000000,0.14343689,0.59658580,1.13595112,0.01200730
4.01900950,1.53483395,0.44905714,0.00000000,0.14417691,0.59495000,1.16471227,0.01224657
4.02501251,1.55412705,0.46224218,0.00000000,0.14427476,0.59091474,1.18887082,0.01243799
4.03101551,1.56667085,0.47372493,0.00000000,0.14371522,0.58449250,1.20777429,0.01257729
4.03701851,1.57214856,0.48344101,0.00000000,0.14249232,0.57572433,1.22090319,0.01266162
4.04302151,1.57039926,0.49137888,0.00000000,0.14061007,0.56468115,1.22788705,0.01268964
4.04902451,1.56142513,0.49758019,0.00000000,0.13808295,0.55146455,1.22851502,0.01266155
4.05502751,1.54539314,0.50213813,0.00000000,0.13493618,0.53620696,1.22274081,0.01257912
4.06103052,1.52263078,0.50519355,0.00000000,0.13120558,0.51907082,1.21068153,0.01244556
4.06703352,1.49361585,0.50692916,0.00000000,0.12693709,0.50024689,1.19261055,0.01226544
4.07303652,1.45896073,0.50756175,0.00000000,0.12218597,0.47995148,1.16894482,0.01204444
4.07903952,1.41939159,0.50733291,0.00000000,0.11701560,0.45842274,1.14022707,0.01178921
4.08504252,1.37572349,0.50649854,0.00000000,0.11149600,0.43591596,1.10710383,0.01150704
4.09104552,1.32883238,0.50531756,0.00000000,0.10570212,0.41269811,1.07030028,0.01120558
4.09704852,1.27962525,0.50404036,0.00000000,0.09971197,0.38904183,1.03059303,0.01089258
4.10305153,1.22900980,0.50289762,0.00000000,0.09360454,0.36521900,0.98878210,0.01057558
4.10905453,1.17786485,0.50208977,0.00000000,0.08745783,0.34149429,0.94566329,0.01026163
4.11505753,1.12701292,0.50177790,0.00000000,0.08134689,0.31811896,0.90200218,0.00995703
4.12106053,1.07719601,0.50207631,0.00000000,0.07534203,0.29532502,0.85851074,0.00966718
4.12706353,1.02905563,0.50304726,0.00000000,0.06950721,0.27332023,0.81582747,0.00939635
4.13306653,0.98311786,0.50469795,0.00000000,0.06389875,0.25228402,0.77450177,0.00914761
4.13906953,0.93978373,0.50698018,0.00000000,0.05856438,0.23236450,0.73498299,0.00892278
4.14507254,0.89932534,0.50979240,0.00000000,0.05354257,0.21367665,0.69761426,0.00872244
4.15107554,0.86188747,0.51298422,0.00000000,0.04886224,0.19630180,0.66263123,0.00854597
4.15707854,0.82749435,0.51636314,0.00000000,0.04454286,0.18028829,0.63016534,0.00839167
4.16308154,0.79606104,0.51970309,0.00000000,0.04059480,0.16565326,0.60025109,0.00825692
4.16908454,0.76740861,0.52275446,0.00000000,0.03702000,0.15238540,0.57283692,0.00813837
4.17508754,0.74128223,0.52525506,0.00000000,0.03381282,0.14044861,0.54779870,0.00803213
4.18109055,0.71737110,0.52694151,0.00000000,0.03096116,0.12978610,0.52495525,0.00793400
4.18709355,0.69532938,0.52756064,0.00000000,0.02844763,0.12032506,0.50408489,0.00783973
4.19309655,0.67479696,0.52688023,0.00000000,0.02625076,0.11198137,0.48494234,0.00774516
4.19909955,0.65541928,0.52469877,0.00000000,0.02434633,0.10466432,0.46727522,0.00764651
4.20510255,0.63686537,0.52085386,0.00000000,0.02270852,0.09828104,0.45083945,0.00754050
4.21110555,0.61884353,0.51522884,0.00000000,0.02131111,0.09274057,0.43541302,0.00742450
4.21710855,0.60111411,0.50775758,0.00000000,0.02012848,0.08795737,0.42080782,0.00729666
4.22311156,0.58349919,0.49842719,0.00000000,0.01913648,0.08385414,0.40687915,0.00715599
4.22911456,0.56588888,0.48727882,0.00000000,0.01831319,0.08036399,0.39353280,0.00700236
4.23511756,0.54824448,0.47440648,0.00000000,0.01763944,0.07743182,0.38072963,0.00683654
4.24112056,0.53059840,0.45995406,0.00000000,0.01709918,0.07501503,0.36848789,0.00666012
4.24712356,0.51305138,0.44411092,0.00000000,0.01667973,0.07308352,0.35688310,0.00647545
4.25312656,0.49576717,0.42710615,0.00000000,0.01637180,0.07161904,0.34604607,0.00628559
4.25912956,0.47896523,0.40920197,0.00000000,0.01616936,0.07061407,0.33615906,0.00609412
4.26513257,0.46291175,0.39068643,0.00000000,0.01606945,0.07007025,0.32745045,0.00590505
4.27113557,0.44790970,0.37186585,0.00000000,0.01607178,0.06999652,0.32018817,0.00572266
4.27713857,0.43428810,0.35305729,0.00000000,0.01617831,0.07040707,0.31467226,0.00555135
