energy_ev,total_up,total_down,Bi_p_up,Bi_p_down,Bi_d_up,Bi_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.32887486,-2.32887486,0.23841325,-0.23841325,0.01136067,-0.01136067,1.11208080,-1.11208079,0.93518945,-0.93518945,1.22810175,-1.22810175,0.00000000,-0.00000000
-5.99399700,2.31973743,-2.31973743,0.23501773,-0.23501773,0.01119168,-0.01119168,1.09472604,-1.09472604,0.93840874,-0.93840874,1.22233707,-1.22233707,0.00000000,-0.00000000
-5.98799400,2.30366684,-2.30366684,0.23135659,-0.23135659,0.01100251,-0.01100251,1.07470176,-1.07470176,0.93858436,-0.93858436,1.21254854,-1.21254854,0.00000000,-0.00000000
-5.98199100,2.28126433,-2.28126433,0.22757585,-0.22757585,0.01079819,-0.01079819,1.05239869,-1.05239869,0.93587926,-0.93587926,1.19901006,-1.19901006,0.00000000,-0.00000000
-5.97598799,2.25316673,-2.25316673,0.22382469,-0.22382469,0.01058359,-0.01058359,1.02820521,-1.02820520,0.93047721,-0.93047721,1.18201333,-1.18201333,0.00000000,-0.00000000
-5.96998499,2.22001991,-2.22001991,0.22024914,-0.22024914,0.01036322,-0.01036322,1.00249401,-1.00249401,0.92257362,-0.92257362,1.16185650,-1.16185650,0.00000000,-0.00000000
-5.96398199,2.18245477,-2.18245477,0.21698579,-0.21698579,0.01014110,-0.01014110,0.97561068,-0.97561068,0.91236712,-0.91236712,1.13883444,-1.13883444,0.00000000,-0.00000000
-5.95797899,2.14106704,-2.14106704,0.21415583,-0.21415583,0.00992066,-0.00992066,0.94786460,-0.94786460,0.90005245,-0.90005245,1.11323129,-1.11323129,0.00000000,-0.00000000
-5.95197599,2.09640182,-2.09640182,0.21185954,-0.21185954,0.00970461,-0.00970461,0.91952267,-0.91952267,0.88581504,-0.88581504,1.08531540,-1.08531540,0.00000000,-0.00000000
-5.94597299,2.04894351,-2.04894351,0.21017161,-0.21017161,0.00949496,-0.00949496,0.89080590,-0.89080590,0.86982748,-0.86982748,1.05533706,-1.05533706,0.00000000,-0.00000000
-5.93996998,1.99911122,-1.99911122,0.20913747,-0.20913747,0.00929297,-0.00929297,0.86188905,-0.86188905,0.85224790,-0.85224790,1.02352880,-1.02352880,0.00000000,-0.00000000
-5.93396698,1.94725981,-1.94725981,0.20877083,-0.20877083,0.00909921,-0.00909921,0.83290311,-0.83290311,0.83322039,-0.83322039,0.99010809,-0.99010809,0.00000000,-0.00000000
-5.92796398,1.89368580,-1.89368580,0.20905252,-0.20905252,0.00891362,-0.00891362,0.80394015,-0.80394014,0.81287710,-0.81287710,0.95528200,-0.95528200,0.00000000,-0.00000000
-5.92196098,1.83863755,-1.83863755,0.20993076,-0.20993076,0.00873562,-0.00873562,0.77506027,-0.77506027,0.79134180,-0.79134180,0.91925330,-0.91925330,0.00000000,-0.00000000
-5.91595798,1.78232874,-1.78232874,0.21132288,-0.21132288,0.00856423,-0.00856423,0.74630001,-0.74630001,0.76873457,-0.76873457,0.88222731,-0.88222731,0.00000000,-0.00000000
-5.90995498,1.72495384,-1.72495384,0.21311828,-0.21311828,0.00839820,-0.00839820,0.71768146,-0.71768146,0.74517703,-0.74517703,0.84441894,-0.84441894,0.00000000,-0.00000000
-5.90395198,1.66670453,-1.66670453,0.21518278,-0.21518278,0.00823617,-0.00823617,0.68922176,-0.68922176,0.72079785,-0.72079785,0.80605916,-0.80605916,0.00000000,-0.00000000
-5.89794897,1.60778569,-1.60778569,0.21736387,-0.21736387,0.00807684,-0.00807684,0.66094200,-0.66094200,0.69573790,-0.69573790,0.76740039,-0.76740039,0.00000000,-0.00000000
-5.89194597,1.54843001,-1.54843001,0.21949687,-0.21949687,0.00791907,-0.00791907,0.63287532,-0.63287532,0.67015472,-0.67015472,0.72872028,-0.72872028,0.00000000,-0.00000000
-5.88594297,1.48891016,-1.48891016,0.22141154,-0.22141154,0.00776200,-0.00776200,0.60507358,-0.60507358,0.64422602,-0.64422602,0.69032359,-0.69032359,0.00000000,-0.00000000
-5.87993997,1.42954784,-1.42954784,0.22293900,-0.22293900,0.00760523,-0.00760523,0.57761235,-0.57761235,0.61815182,-0.61815182,0.65254191,-0.65254191,0.00000000,-0.00000000
