energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,5.80749131,0.02943440,0.91633084,0.73427305,0.36751694,2.05670782,2.30792663,2.13504561,0.00000000
-5.99399700,5.90023141,0.02983810,0.93224016,0.74242237,0.36860569,2.09661675,2.35933577,2.16394638,0.00000000
-5.98799400,5.98721531,0.03016516,0.94673204,0.74980253,0.36951408,2.13349736,2.40880821,2.19132622,0.00000000
-5.98199100,6.06736061,0.03041280,0.95967117,0.75627481,0.37020706,2.16698995,2.45583075,2.21673488,0.00000000
-5.97598799,6.13971422,0.03057922,0.97097696,0.76170594,0.37064622,2.19682080,2.49995061,2.23972781,0.00000000
-5.96998499,6.20348150,0.03066363,0.98062596,0.76597326,0.37079171,2.22281173,2.54078674,2.25988046,0.00000000
-5.96398199,6.25804827,0.03066624,0.98865156,0.76896952,0.37060423,2.24488548,2.57803773,2.27680193,0.00000000
-5.95797899,6.30299498,0.03058821,0.99514111,0.77060725,0.37004699,2.26306669,2.61148611,2.29014737,0.00000000
-5.95197599,6.33810284,0.03043166,1.00023050,0.77082239,0.36908760,2.27747860,2.64099907,2.29962870,0.00000000
-5.94597299,6.36335213,0.03019960,1.00409676,0.76957723,0.36769982,2.28833562,2.66652581,2.30502353,0.00000000
-5.93996998,6.37891325,0.02989591,1.00694879,0.76686236,0.36586505,2.29593243,2.68809176,2.30618194,0.00000000
-5.93396698,6.38513150,0.02952528,1.00901711,0.76269771,0.36357358,2.30063014,2.70579035,2.30303095,0.00000000
-5.92796398,6.38250657,0.02909322,1.01054272,0.75713267,0.36082545,2.30284031,2.71977276,2.29557682,0.00000000
-5.92196098,6.37166814,0.02860595,1.01176611,0.75024516,0.35763109,2.30300771,2.73023639,2.28390495,0.00000000
-5.91595798,6.35334897,0.02807042,1.01291655,0.74213991,0.35401144,2.30159265,2.73741259,2.26817768,0.00000000
-5.90995498,6.32835673,0.02749415,1.01420257,0.73294585,0.34999781,2.29905368,2.74155451,2.24862997,0.00000000
-5.90395198,6.29754603,0.02688526,1.01580366,0.72281278,0.34563135,2.29583146,2.74292544,2.22556326,0.00000000
-5.89794897,6.26179152,0.02625229,1.01786394,0.71190751,0.34096207,2.29233434,2.74178832,2.19933763,0.00000000
-5.89194597,6.22196323,0.02560413,1.02048773,0.70040950,0.33604773,2.28892628,2.73839667,2.17036255,0.00000000
-5.88594297,6.17890477,0.02494986,1.02373730,0.68850615,0.33095220,2.28591726,2.73298740,2.13908652,0.00000000
-5.87993997,6.13341484,0.02429863,1.02763283,0.67638805,0.32574384,2.28355649,2.72577546,2.10598585,0.00000000
-5.87393697,6.08623235,0.02365945,1.03215429,0.66424404,0.32049346,2.28202836,2.71695054,2.07155292,0.00000000
-5.86793397,6.03802520,0.02304100,1.03724526,0.65225656,0.31527234,2.28145102,2.70667549,2.03628415,0.00000000
-5.86193097,5.98938254,0.02245148,1.04281830,0.64059720,0.31015010,2.28187740,2.69508657,2.00066817,0.00000000
-5.85592796,5.94081028,0.02189834,1.04876135,0.62942260,0.30519265,2.28329826,2.68229498,1.96517438,0.00000000
-5.84992496,5.89272946,0.02138813,1.05494509,0.61887095,0.30046021,2.28564704,2.66838944,1.93024219,0.00000000
-5.84392196,5.84547704,0.02092629,1.06123049,0.60905896,0.29600553,2.28880598,2.65343958,1.89627144,0.00000000
-5.83791896,5.79930867,0.02051700,1.06747635,0.60007965,0.29187234,2.29261328,2.63749961,1.86361401,0.00000000
-5.83191596,5.75440303,0.02016304,1.07354636,0.59200075,0.28809414,2.29687087,2.62061203,1.83256712,0.00000000
