energy_ev,total_up,Bi_p_up,Bi_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,3.04518910,0.69070486,0.01116299,1.39932718,0.00000000,1.01018110,1.28420817
-5.99399700,2.93682055,0.66562973,0.01082925,1.35022841,0.00000000,0.97290355,1.24018635
-5.98799400,2.81901477,0.63838955,0.01046509,1.29641841,0.00000000,0.93305855,1.19197581
-5.98199100,2.69383054,0.60950962,0.01007843,1.23875907,0.00000000,0.89135493,1.14044692
-5.97598799,2.56342374,0.57953229,0.00967759,1.17816702,0.00000000,0.84852502,1.08651573
-5.96998499,2.42999016,0.54900139,0.00927105,1.11559061,0.00000000,0.80530462,1.03111974
-5.96398199,2.29570774,0.51844695,0.00886723,1.05198622,0.00000000,0.76241305,0.97519327
-5.95797899,2.16268027,0.48837085,0.00847420,0.98829448,0.00000000,0.72053394,0.91964322
-5.95197599,2.03288407,0.45923377,0.00809952,0.92541725,0.00000000,0.68029736,0.86532607
-5.94597299,1.90811954,0.43144389,0.00774994,0.86419606,0.00000000,0.64226377,0.81302662
-5.93996998,1.78996889,0.40534765,0.00743127,0.80539274,0.00000000,0.60691042,0.76343942
-5.93396698,1.67976140,0.38122268,0.00714818,0.74967278,0.00000000,0.57462036,0.71715314
-5.92796398,1.57854718,0.35927333,0.00690410,0.69759187,0.00000000,0.54567464,0.67463859
-5.92196098,1.48708001,0.33962856,0.00670110,0.64958616,0.00000000,0.52024774,0.63624054
-5.91595798,1.40580968,0.32234238,0.00653988,0.60596628,0.00000000,0.49840633,0.60217354
-5.90995498,1.33488394,0.30739658,0.00641975,0.56691530,0.00000000,0.48011146,0.57252186
-5.90395198,1.27415949,0.29470575,0.00633872,0.53249061,0.00000000,0.46522396,0.54724339
-5.89794897,1.22322170,0.28412411,0.00629355,0.50262948,0.00000000,0.45351286,0.52617731
-5.89194597,1.18141195,0.27545405,0.00627989,0.47715803,0.00000000,0.44466643,0.50905511
-5.88594297,1.14786162,0.26845591,0.00629249,0.45580317,0.00000000,0.43830558,0.49551464
-5.87993997,1.12153125,0.26285861,0.00632536,0.43820711,0.00000000,0.43399897,0.48511650
-5.87393697,1.10125353,0.25837083,0.00637202,0.42394364,0.00000000,0.43127932,0.47736226
-5.86793397,1.08577850,0.25469218,0.00642572,0.41253592,0.00000000,0.42966039,0.47171383
-5.86193097,1.07381931,0.25152407,0.00647968,0.40347478,0.00000000,0.42865400,0.46761327
-5.85592796,1.06409710,0.24857995,0.00652734,0.39623717,0.00000000,0.42778643,0.46450236
-5.84992496,1.05538335,0.24559443,0.00656257,0.39030402,0.00000000,0.42661376,0.46184137
-5.84392196,1.04653847,0.24233113,0.00657988,0.38517696,0.00000000,0.42473554,0.45912625
-5.83791896,1.03654536,0.23858905,0.00657461,0.38039342,0.00000000,0.42180637,0.45590391
-5.83191596,1.02453709,0.23420723,0.00654304,0.37553969,0.00000000,0.41754516,0.45178498
-5.82591296,1.00981789,0.22906763,0.00648254,0.37026152,0.00000000,0.41174162,0.44645377
-5.81990995,0.99187713,0.22309636,0.00639156,0.36427216,0.00000000,0.40426004,0.43967530
-5.81390695,0.97039615,0.21626311,0.00626975,0.35735761,0.00000000,0.39504027,0.43129908
-5.80790395,0.94524805,0.20857911,0.00611785,0.34937908,0.00000000,0.38409603,0.42125993
-5.80190095,0.91649088,0.20009375,0.00593768,0.34027274,0.00000000,0.37151067,0.40957574
-5.79589795,0.88435487,0.19088997,0.00573205,0.33004696,0.00000000,0.35743086,0.39634260
-5.78989495,0.84922464,0.18107893,0.00550461,0.31877725,0.00000000,0.34205838,0.38172749
-5.78389195,0.81161725,0.17079404,0.00525971,0.30659926,0.00000000,0.32564058,0.36595907
-5.77788894,0.77215721,0.16018473,0.00500227,0.29370021,0.00000000,0.30845989,0.34931693
-5.77188594,0.73154969,0.14941026,0.00473757,0.28030920,0.00000000,0.29082292,0.33211980
-5.76588294,0.69055290,0.13863372,0.00447107,0.26668669,0.00000000,0.27304943,0.31471332
-5.75987994,0.64995077,0.12801662,0.00420828,0.25311378,0.00000000,0.25546183,0.29745763
-5.75387694,0.61052681,0.11771402,0.00395454,0.23988148,0.00000000,0.23837527,0.28071541
-5.74787394,0.57304005,0.10787053,0.00371490,0.22728047,0.00000000,0.22208894,0.26484068
-5.74187094,0.53820353,0.09861716,0.00349400,0.21559157,0.00000000,0.20687843,0.25016856
-5.73586793,0.50666605,0.09006904,0.00329590,0.20507719,0.00000000,0.19298963,0.23700642
-5.72986493,0.47899720,0.08232405,0.00312403,0.19597407,0.00000000,0.18063405,0.22562647
-5.72386193,0.45567603,0.07546226,0.00298109,0.18848718,0.00000000,0.16998557,0.21625986
-5.71785893,0.43708324,0.06954613,0.00286902,0.18278517,0.00000000,0.16117863,0.20909247
-5.71185593,0.42349676,0.06462126,0.00278897,0.17899712,0.00000000,0.15430778,0.20426215
-5.70585293,0.41509052,0.06071772,0.00274127,0.17721074,0.00000000,0.14942829,0.20185757
