energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,2.41261131,-1.27998756,0.00537492,-0.00092231,0.02446069,-0.04222536,0.87795595,-0.54155630,0.50449651,-0.15722928,0.01795834,-0.00423918,1.46185366,-0.81250148,0.78311749,-0.45112906,0.28489375,-0.12686712
-5.99399700,2.37869802,-1.31710201,0.00590899,-0.00088869,0.02325216,-0.04340666,0.85695338,-0.56391515,0.49705704,-0.16034811,0.01881489,-0.00380412,1.44216559,-0.83730668,0.76920894,-0.46937060,0.28239924,-0.13117768
-5.98799400,2.33857933,-1.35500496,0.00651585,-0.00087616,0.02206982,-0.04451769,0.83367347,-0.58564646,0.48786056,-0.16366370,0.01969481,-0.00344493,1.41866453,-0.86265745,0.75313849,-0.48770604,0.27919337,-0.13571426
-5.98199100,2.29298481,-1.39336307,0.00719767,-0.00088287,0.02093005,-0.04553441,0.80842516,-0.60654619,0.47703859,-0.16716101,0.02060385,-0.00315611,1.39178384,-0.88835795,0.73510606,-0.50598636,0.27538721,-0.14046839
-5.97598799,2.24274104,-1.43186552,0.00795536,-0.00090781,0.01984826,-0.04643538,0.78154264,-0.62643021,0.46475518,-0.17082361,0.02154770,-0.00293287,1.36201574,-0.91422393,0.71534336,-0.52406636,0.27110242,-0.14543733
-5.96998499,2.18874769,-1.47023598,0.00878835,-0.00095077,0.01883876,-0.04720224,0.75337792,-0.64514052,0.45120284,-0.17463445,0.02253147,-0.00277132,1.32989685,-0.94009052,0.69410867,-0.54180963,0.26646683,-0.15062468
-5.96398199,2.13194958,-1.50824452,0.00969439,-0.00101236,0.01791469,-0.04782008,0.72429267,-0.66255080,0.43659713,-0.17857677,0.02355915,-0.00266863,1.29599110,-0.96581979,0.67168027,-0.55909371,0.26160965,-0.15604075
-5.95797899,2.07330613,-1.54571846,0.01066937,-0.00109399,0.01708793,-0.04827780,0.69464947,-0.67857090,0.42117055,-0.18263515,0.02463302,-0.00262325,1.26087118,-0.99130784,0.64834886,-0.57581499,0.25665642,-0.16170262
-5.95197599,2.01375958,-1.58255147,0.01170719,-0.00119788,0.01636916,-0.04856825,0.66480293,-0.69315008,0.40516567,-0.18679658,0.02575311,-0.00263494,1.22509912,-1.01649070,0.62440943,-0.59189303,0.25172414,-0.16763373
-5.94597299,1.95420375,-1.61871001,0.01279970,-0.00132705,0.01576790,-0.04868842,0.63509107,-0.70627860,0.38882810,-0.19105138,0.02691674,-0.00270491,1.18920724,-1.04134856,0.60015283,-0.60727394,0.24691665,-0.17386320
-5.93996998,1.89545498,-1.65423643,0.01393663,-0.00148532,0.01529271,-0.04863938,0.60582738,-0.71798745,0.37239960,-0.19539393,0.02811813,-0.00283586,1.15368033,-1.06590788,0.57585761,-0.62193259,0.24232061,-0.18042453
-5.93396698,1.83822679,-1.68924815,0.01510569,-0.00167728,0.01495131,-0.04842615,0.57729381,-0.72834632,0.35611161,-0.19982306,0.02934818,-0.00303194,1.11894009,-1.09024099,0.55178252,-0.63587322,0.23800227,-0.18735400
-5.92796398,1.78310967,-1.72393268,0.01629272,-0.00190827,0.01475087,-0.04805747,0.54973523,-0.73745953,0.34017960,-0.20434211,0.03059434,-0.00329879,1.08533272,-1.11446293,0.52815993,-0.64912854,0.23400520,-0.19468863
-5.92196098,1.73055713,-1.75853827,0.01748189,-0.00218429,0.01469827,-0.04754534,0.52335533,-0.74546029,0.32479850,-0.20895849,0.03184075,-0.00364337,1.05312022,-1.13872558,0.50519071,-0.66175710,0.23034912,-0.20246375
-5.91595798,1.68087866,-1.79336038,0.01865604,-0.00251196,0.01480040,-0.04690457,0.49831443,-0.75250338,0.31013927,-0.21368287,0.03306846,-0.00407386,1.02247591,-1.16320904,0.48304067,-0.67383898,0.22702992,-0.21071042
-5.90995498,1.63423984,-1.82872461,0.01979710,-0.00289836,0.01506447,-0.04615220,0.47472901,-0.75875660,0.29634684,-0.21852788,0.03425587,-0.00459944,0.99348440,-1.18811070,0.46183861,-0.68547011,0.22402078,-0.21945259
-5.90395198,1.59066966,-1.86496644,0.02088652,-0.00335088,0.01549827,-0.04530680,0.45267304,-0.76439152,0.28353936,-0.22350655,0.03537934,-0.00523005,0.96614587,-1.21363235,0.44167628,-0.69675536,0.22127451,-0.22870434
-5.89794897,1.55007419,-1.90240908,0.02190584,-0.00387704,0.01611043,-0.04438784,0.43218098,-0.76957383,0.27180869,-0.22863037,0.03641395,-0.00597600,0.94038436,-1.23996599,0.42260987,-0.70780077,0.21872674,-0.23846720
-5.89194597,1.51225588,-1.94134017,0.02283725,-0.00448422,0.01691057,-0.04341492,0.41325212,-0.77445390,0.26122193,-0.23390728,0.03733433,-0.00684761,0.91605959,-1.26727898,0.40466305,-0.71870545,0.21630005,-0.24872775
