energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.80934775,0.02742201,0.02208354,0.73662548,0.63554189,0.00765284,1.15837553,0.36622054,0.11004538
-5.99399700,1.88305979,0.02816344,0.02316149,0.77283332,0.65779369,0.00767774,1.20712202,0.38084047,0.11472126
-5.98799400,1.95388297,0.02887674,0.02416595,0.80761939,0.67892288,0.00772478,1.25403111,0.39537524,0.11919315
-5.98199100,2.02014878,0.02953859,0.02507515,0.84030694,0.69833111,0.00778659,1.29804391,0.40948011,0.12336713
-5.97598799,2.08025508,0.03012606,0.02586904,0.87023886,0.71545761,0.00785561,1.33813967,0.42280838,0.12715321
-5.96998499,2.13271972,0.03061756,0.02652991,0.89679925,0.72979819,0.00792431,1.37337009,0.43502285,0.13046836
-5.96398199,2.17623250,0.03099362,0.02704298,0.91943471,0.74092287,0.00798543,1.40289266,0.44580742,0.13323951
-5.95797899,2.20970304,0.03123765,0.02739694,0.93767443,0.74849157,0.00803222,1.42600173,0.45487832,0.13540635
-5.95197599,2.23230296,0.03133664,0.02758436,0.95114821,0.75226713,0.00805861,1.44215607,0.46199458,0.13692384
-5.94597299,2.24350068,0.03128166,0.02760200,0.95960192,0.75212532,0.00805942,1.45100189,0.46696727,0.13776432
-5.93996998,2.24308734,0.03106828,0.02745098,0.96290946,0.74806138,0.00803051,1.45239038,0.46966717,0.13791907
-5.93396698,2.23119311,0.03069675,0.02713684,0.96108099,0.74019300,0.00796889,1.44638919,0.47003056,0.13739947
-5.92796398,2.20829315,0.03017210,0.02666941,0.95426693,0.72875952,0.00787278,1.43328721,0.46806290,0.13623743
-5.92196098,2.17520312,0.02950395,0.02606262,0.94275771,0.71411774,0.00774168,1.41359285,0.46384022,0.13448531
-5.91595798,2.13306452,0.02870629,0.02533416,0.92697905,0.69673430,0.00757635,1.38802556,0.45750821,0.13221523
-5.90995498,2.08332052,0.02779698,0.02450495,0.90748323,0.67717517,0.00737874,1.35750120,0.44927895,0.12951783
-5.90395198,2.02768327,0.02679720,0.02359867,0.88493644,0.65609271,0.00715197,1.32311177,0.43942553,0.12650045
-5.89794897,1.96809389,0.02573074,0.02264109,0.86010274,0.63421082,0.00690014,1.28610021,0.42827460,0.12328495
-5.89194597,1.90667674,0.02462330,0.02165944,0.83382526,0.61230872,0.00662829,1.24783127,0.41619731,0.12000504
-5.88594297,1.84568935,0.02350161,0.02068172,0.80700521,0.59120393,0.00634216,1.20975932,0.40359872,0.11680343
-5.87993997,1.78746975,0.02239264,0.01973599,0.78057936,0.57173516,0.00604806,1.17339418,0.39090629,0.11382862
-5.87393697,1.73438280,0.02132276,0.01884977,0.75549677,0.55474528,0.00575273,1.14026608,0.37855761,0.11123168
-5.86793397,1.68876683,0.02031698,0.01804938,0.73269545,0.54106514,0.00546312,1.11189050,0.36698800,0.10916292
-5.86193097,1.65288213,0.01939821,0.01735937,0.71307952,0.53149826,0.00518625,1.08973404,0.35661818,0.10776854
-5.85592796,1.62886220,0.01858662,0.01680205,0.69749756,0.52680683,0.00492906,1.07518189,0.34784241,0.10718748
-5.84992496,1.61866899,0.01789912,0.01639706,0.68672270,0.52769904,0.00469828,1.06950778,0.34101762,0.10754829
-5.84392196,1.62405255,0.01734894,0.01616099,0.68143478,0.53481781,0.00450029,1.07384673,0.33645361,0.10896629
-5.83791896,1.64651595,0.01694527,0.01610711,0.68220513,0.54873097,0.00434105,1.08917131,0.33440477,0.11154096
-5.83191596,1.68728560,0.01669317,0.01624518,0.68948406,0.56992265,0.00422598,1.11627145,0.33506333,0.11535361
-5.82591296,1.74728723,0.01659344,0.01658132,0.70359141,0.59878590,0.00415993,1.15573817,0.33855460,0.12046534
-5.81990995,1.82712771,0.01664273,0.01711788,0.72471023,0.63561638,0.00414711,1.20795138,0.34493401,0.12691542
-5.81390695,1.92708252,0.01683374,0.01785351,0.75288357,0.68060687,0.00419103,1.27307153,0.35418615,0.13471994
