energy_ev,total_up,As_p_up,As_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,2.12722618,1.58355852,0.00000000,0.02614739,0.10244355,2.41134124,1.25644928
-5.99399700,2.19652733,1.62785780,0.00000000,0.02765196,0.10702264,2.51705133,1.28584079
-5.98799400,2.26207278,1.66967603,0.00000000,0.02903375,0.11142325,2.61822705,1.31352655
-5.98199100,2.32313288,1.70860806,0.00000000,0.03026631,0.11559523,2.71355019,1.33930227
-5.97598799,2.37891707,1.74418560,0.00000000,0.03132528,0.11948799,2.80165655,1.36290082
-5.96998499,2.42859175,1.77588594,0.00000000,0.03218914,0.12305196,2.88117032,1.38399533
-5.96398199,2.47130358,1.80314563,0.00000000,0.03283996,0.12624018,2.95074312,1.40220701
-5.95797899,2.50620736,1.82537878,0.00000000,0.03326402,0.12900994,3.00909623,1.41711729
-5.95197599,2.53249718,1.84199890,0.00000000,0.03345228,0.13132446,3.05506408,1.42828393
-5.94597299,2.54943929,1.85244353,0.00000000,0.03340069,0.13315432,3.08763697,1.43526010
-5.93996998,2.55640493,1.85619998,0.00000000,0.03311037,0.13447886,3.10600091,1.43761554
-5.93396698,2.55290132,1.85283100,0.00000000,0.03258754,0.13528713,3.10957243,1.43495852
-5.92796398,2.53859903,1.84199887,0.00000000,0.03184329,0.13557861,3.09802660,1.42695738
-5.92196098,2.51335402,1.82348640,0.00000000,0.03089323,0.13536347,3.07131649,1.41336043
-5.91595798,2.47722314,1.79721371,0.00000000,0.02975689,0.13466237,3.02968297,1.39401301
-5.90995498,2.43047187,1.76324969,0.00000000,0.02845711,0.13350591,2.97365423,1.36887069
-5.90395198,2.37357398,1.72181751,0.00000000,0.02701924,0.13193352,2.90403460,1.33800787
-5.89794897,2.30720272,1.67329368,0.00000000,0.02547032,0.12999206,2.82188332,1.30162127
-5.89194597,2.23221404,1.61820079,0.00000000,0.02383828,0.12773409,2.72848398,1.26002816
-5.88594297,2.14962254,1.55719421,0.00000000,0.02215106,0.12521584,2.62530604,1.21365927
-5.87993997,2.06057140,1.49104338,0.00000000,0.02043588,0.12249505,2.51396020,1.16304700
-5.87393697,1.96629762,1.42060879,0.00000000,0.01871852,0.11962886,2.39614971,1.10880943
-5.86793397,1.86809439,1.34681568,0.00000000,0.01702272,0.11667162,2.27361967,1.05163105
-5.86193097,1.76727237,1.27062583,0.00000000,0.01536971,0.11367300,2.14810677,0.99224124
-5.85592796,1.66512156,1.19300891,0.00000000,0.01377787,0.11067628,2.02129145,0.93139158
-5.84992496,1.56287571,1.11491448,0.00000000,0.01226246,0.10771705,1.89475447,0.86983311
-5.84392196,1.46168044,1.03724617,0.00000000,0.01083560,0.10482226,1.76993958,0.80829466
-5.83791896,1.36256659,0.96083886,0.00000000,0.00950622,0.10200972,1.64812346,0.74746301
-5.83191596,1.26642953,0.88643984,0.00000000,0.00828023,0.09928811,1.53039384,0.68796594
-5.82591296,1.17401501,0.81469445,0.00000000,0.00716072,0.09665733,1.41763610,0.63035851
-5.81990995,1.08591169,0.74613657,0.00000000,0.00614824,0.09410932,1.31052837,0.57511307
-5.81390695,1.00255022,0.68118394,0.00000000,0.00524113,0.09162925,1.20954458,0.52261310
-5.80790395,0.92420832,0.62013816,0.00000000,0.00443587,0.08919688,1.11496473,0.47315090
-5.80190095,0.85102111,0.56318889,0.00000000,0.00372747,0.08678823,1.02689116,0.42692875
-5.79589795,0.78299568,0.51042168,0.00000000,0.00310977,0.08437729,0.94526968,0.38406322
-5.78989495,0.72002894,0.46182868,0.00000000,0.00257587,0.08193774,0.86991396,0.34459217
-5.78389195,0.66192747,0.41732152,0.00000000,0.00211836,0.07944461,0.80053195,0.30848366
-5.77788894,0.60842829,0.37674539,0.00000000,0.00172964,0.07687579,0.73675273,0.27564636
-5.77188594,0.55921957,0.33989379,0.00000000,0.00140214,0.07421329,0.67815278,0.24594068
-5.76588294,0.51396019,0.30652292,0.00000000,0.00112853,0.07144428,0.62428032,0.21919007
-5.75987994,0.47229765,0.27636538,0.00000000,0.00090181,0.06856180,0.57467714,0.19519204
-5.75387694,0.43388343,0.24914256,0.00000000,0.00071548,0.06556514,0.52889704,0.17372843
-5.74787394,0.39838576,0.22457535,0.00000000,0.00056360,0.06245999,0.48652066,0.15457452
-5.74187094,0.36549939,0.20239300,0.00000000,0.00044080,0.05925816,0.44716656,0.13750692
-5.73586793,0.33495237,0.18234001,0.00000000,0.00034231,0.05597723,0.41049844,0.12231001
-5.72986493,0.30651022,0.16418108,0.00000000,0.00026395,0.05263984,0.37622902,0.10878086
-5.72386193,0.27997741,0.14770419,0.00000000,0.00020212,0.04927291,0.34412070,0.09673282
-5.71785893,0.25519688,0.13272208,0.00000000,0.00015373,0.04590675,0.31398373,0.08599777
-5.71185593,0.23204772,0.11907233,0.00000000,0.00011619,0.04257413,0.28567222,0.07642719
-5.70585293,0.21044175,0.10661630,0.00000000,0.00008733,0.03930934,0.25907882,0.06789236
-5.69984992,0.19031918,0.09523724,0.00000000,0.00006539,0.03614742,0.23412841,0.06028374
-5.69384692,0.17164403,0.08483784,0.00000000,0.00004892,0.03312336,0.21077145,0.05350987
-5.68784392,0.15439944,0.07533751,0.00000000,0.00003678,0.03027159,0.18897747,0.04749587
-5.68184092,0.13858343,0.06666952,0.00000000,0.00002808,0.02762555,0.16872901,0.04218180
-5.67583792,0.12420514,0.05877836,0.00000000,0.00002217,0.02521744,0.15001634,0.03752099
-5.66983492,0.11128188,0.05161724,0.00000000,0.00001855,0.02307825,0.13283321,0.03347843
-5.66383192,0.09983703,0.04514605,0.00000000,0.00001693,0.02123789,0.11717376,0.03002947
-5.65782891,0.08989887,0.03932972,0.00000000,0.00001716,0.01972552,0.10303056,0.02715859
-5.65182591,0.08150028,0.03413704,0.00000000,0.00001923,0.01857006,0.09039386,0.02485864
-5.64582291,0.07467941,0.02953994,0.00000000,0.00002328,0.01780079,0.07925204,0.02313027
-5.63981991,0.06948105,0.02551326,0.00000000,0.00002959,0.01744811,0.06959291,0.02198178
-5.63381691,0.06595878,0.02203488,0.00000000,0.00003860,0.01754442,0.06140609,0.02142914
-5.62781391,0.06417769,0.01908623,0.00000000,0.00005092,0.01812498,0.05468605,0.02149646
-5.62181091,0.06421761,0.01665311,0.00000000,0.00006736,0.01922894,0.04943572,0.02221655
-5.61580790,0.06617673,0.01472670,0.00000000,0.00008892,0.02090029,0.04567062,0.02363184
