energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.29996585,0.01730987,0.00035788,0.00125559,0.15837719,0.14483451,0.09056740
-5.99399700,0.33682535,0.01937122,0.00039879,0.00127084,0.17814465,0.16334836,0.10270663
-5.98799400,0.38042902,0.02166869,0.00044559,0.00132071,0.20211019,0.18514196,0.11711067
-5.98199100,0.43087273,0.02418904,0.00049809,0.00140358,0.23040310,0.21029033,0.13385414
-5.97598799,0.48824096,0.02691527,0.00055602,0.00151802,0.26316096,0.23886633,0.15301274
-5.96998499,0.55259494,0.02982649,0.00061905,0.00166278,0.30052109,0.27093510,0.17465833
-5.96398199,0.62395979,0.03289782,0.00068678,0.00183678,0.34261090,0.30654811,0.19885357
-5.95797899,0.70231146,0.03610054,0.00075873,0.00203904,0.38953749,0.34573683,0.22564610
-5.95197599,0.78756358,0.03940228,0.00083436,0.00226864,0.44137650,0.38850637,0.25506255
-5.94597299,0.87955477,0.04276739,0.00091305,0.00252469,0.49816079,0.43482908,0.28710236
-5.93996998,0.97803685,0.04615751,0.00099410,0.00280623,0.55986902,0.48463837,0.32173174
-5.93396698,1.08266425,0.04953216,0.00107676,0.00311225,0.62641469,0.53782297,0.35887783
-5.92796398,1.19298532,0.05284957,0.00116022,0.00344159,0.69763590,0.59422177,0.39842341
-5.92196098,1.30843572,0.05606750,0.00124360,0.00379290,0.77328633,0.65361953,0.44020228
-5.91595798,1.42833448,0.05914425,0.00132603,0.00416464,0.85302793,0.71574356,0.48399564
-5.90995498,1.55188309,0.06203957,0.00140659,0.00455503,0.93642570,0.78026182,0.52952974
-5.90395198,1.67816797,0.06471570,0.00148437,0.00496203,1.02294495,0.84678231,0.57647496
-5.89794897,1.80616656,0.06713826,0.00155848,0.00538334,1.11195158,0.91485433,0.62444659
-5.89194597,1.93475721,0.06927718,0.00162805,0.00581642,1.20271549,0.98397137,0.67300750
-5.88594297,2.06273295,0.07110744,0.00169228,0.00625846,1.29441739,1.05357598,0.72167281
-5.87993997,2.18881898,0.07260974,0.00175041,0.00670645,1.38615913,1.12306659,0.76991653
-5.87393697,2.31169368,0.07377096,0.00180178,0.00715719,1.47697732,1.19180609,0.81718024
-5.86793397,2.43001261,0.07458456,0.00184583,0.00760735,1.56586023,1.25913224,0.86288357
-5.86193097,2.54243508,0.07505065,0.00188210,0.00805347,1.65176728,1.32436946,0.90643632
-5.85592796,2.64765225,0.07517600,0.00191024,0.00849210,1.73365088,1.38684192,0.94725176
-5.84992496,2.74441618,0.07497383,0.00193003,0.00891978,1.81047964,1.44588730,0.98476092
-5.84392196,2.83156865,0.07446342,0.00194141,0.00933314,1.88126243,1.50087099,1.01842701
-5.83791896,2.90806868,0.07366959,0.00194440,0.00972893,1.94507222,1.55120007,1.04775984
-5.83191596,2.97301794,0.07262200,0.00193918,0.01010411,2.00106887,1.59633664,1.07232930
-5.82591296,3.02568275,0.07135441,0.00192606,0.01045590,2.04852010,1.63581003,1.09177762
-5.81990995,3.06551202,0.06990376,0.00190546,0.01078177,2.08681964,1.66922736,1.10582973
-5.81390695,3.09215034,0.06830925,0.00187790,0.01107956,2.11550208,1.69628208,1.11430125
-5.80790395,3.10544558,0.06661137,0.00184399,0.01134742,2.13425369,1.71676020,1.11710393
-5.80190095,3.10545090,0.06485087,0.00180445,0.01158393,2.14291897,1.73054393,1.11424805
-5.79589795,3.09242095,0.06306779,0.00176003,0.01178800,2.14150269,1.73761277,1.10584192
-5.78989495,3.06680259,0.06130052,0.00171154,0.01195898,2.13016743,1.73804183,1.09208826
-5.78389195,3.02922046,0.05958486,0.00165982,0.01209658,2.10922693,1.73199779,1.07327792
-5.77788894,2.98045821,0.05795323,0.00160569,0.01220089,2.07913556,1.71973245,1.04978093
-5.77188594,2.92143608,0.05643395,0.00154999,0.01227234,2.04047449,1.70157448,1.02203557
-5.76588294,2.85318588,0.05505059,0.00149351,0.01231174,1.99393522,1.67791951,0.99053576
-5.75987994,2.77682441,0.05382152,0.00143700,0.01232018,1.94030120,1.64921914,0.95581742
-5.75387694,2.69352639,0.05275960,0.00138116,0.01229905,1.88042831,1.61596930,0.91844431
-5.74787394,2.60449793,0.05187192,0.00132658,0.01225001,1.81522491,1.57869845,0.87899404
-5.74187094,2.51095143,0.05115988,0.00127382,0.01217498,1.74563230,1.53795599,0.83804470
-5.73586793,2.41408289,0.05061931,0.00122332,0.01207613,1.67260602,1.49430134,0.79616249
-5.72986493,2.31505212,0.05024083,0.00117544,0.01195583,1.59709868,1.44829412,0.75389102
-5.72386193,2.21496649,0.05001031,0.00113048,0.01181672,1.52004471,1.40048542,0.71174229
-5.71785893,2.11486838,0.04990960,0.00108864,0.01166163,1.44234722,1.35141076,0.67018966
-5.71185593,2.01572653,0.04991733,0.00105005,0.01149368,1.36486725,1.30158444,0.62966291
-5.70585293,1.91843107,0.05000981,0.00101479,0.01131623,1.28841530,1.25149561,0.59054522
-5.69984992,1.82379204,0.05016209,0.00098292,0.01113291,1.21374525,1.20160580,0.55317214
-5.69384692,1.73254084,0.05034905,0.00095443,0.01094768,1.14155022,1.15234785,0.51783210
-5.68784392,1.64533411,0.05054649,0.00092933,0.01076480,1.07246039,1.10412604,0.48476840
-5.68184092,1.56275936,0.05073220,0.00090764,0.01058888,1.00704226,1.05731699,0.45418213
-5.67583792,1.48534151,0.05088696,0.00088938,0.01042483,0.94579904,1.01227131,0.42623587
-5.66983492,1.41354970,0.05099541,0.00087462,0.01027793,0.88917184,0.96931529,0.40105772
-5.66383192,1.34780361,0.05104675,0.00086347,0.01015371,0.83754125,0.92875268,0.37874528
-5.65782891,1.28847861,0.05103526,0.00085608,0.01005793,0.79122902,0.89086593,0.35936944
-5.65182591,1.23590919,0.05096055,0.00085266,0.00999650,0.75049952,0.85591684,0.34297756
-5.64582291,1.19039039,0.05082753,0.00085346,0.00997535,0.71556081,0.82414632,0.32959603
-5.63981991,1.15217680,0.05064618,0.00085877,0.01000029,0.68656521,0.79577327,0.31923197
-5.63381691,1.12147939,0.05043103,0.00086893,0.01007683,0.66360928,0.77099237,0.31187420
-5.62781391,1.09846009,0.05020033,0.00088424,0.01020997,0.64673339,0.74997115,0.30749345
-5.62181091,1.08322468,0.04997510,0.00090504,0.01040401,0.63592098,0.73284631,0.30604189
-5.61580790,1.07581461,0.04977797,0.00093158,0.01066228,0.63109776,0.71971970,0.30745239
-5.60980490,1.07619822,0.04963189,0.00096408,0.01098694,0.63213120,0.71065437,0.31163749
-5.60380190,1.08426253,0.04955884,0.00100267,0.01137873,0.63883065,0.70567089,0.31848850
-5.59779890,1.09980626,0.04957851,0.00104733,0.01183681,0.65094841,0.70474472,0.32787501
-5.59179590,1.12253497,0.04970712,0.00109794,0.01235858,0.66818219,0.70780462,0.33964491
-5.58579290,1.15205919,0.04995635,0.00115419,0.01293956,0.69017915,0.71473284,0.35362537
-5.57978989,1.18789613,0.05033255,0.00121563,0.01357339,0.71654164,0.72536702,0.36962469
-5.57378689,1.22947536,0.05083618,0.00128160,0.01425182,0.74683491,0.73950414,0.38743523
-5.56778389,1.27614863,0.05146160,0.00135128,0.01496485,0.78059649,0.75690635,0.40683738
-5.56178089,1.32720385,0.05219713,0.00142371,0.01570089,0.81734705,0.77730860,0.42760442
-5.55577789,1.38188248,0.05302548,0.00149773,0.01644705,0.85660240,0.80042766,0.44950812
-5.54977489,1.43940002,0.05392455,0.00157212,0.01718946,0.89788607,0.82597210,0.47232468
-5.54377189,1.49896826,0.05486841,0.00164555,0.01791369,0.94074175,0.85365258,0.49584081
-5.53776888,1.55981838,0.05582859,0.00171663,0.01860520,0.98474497,0.88319182,0.51985943
-5.53176588,1.62122334,0.05677552,0.00178401,0.01924980,1.02951318,0.91433355,0.54420455
-5.52576288,1.68251853,0.05768008,0.00184635,0.01983416,1.07471362,0.94684975,0.56872507
-5.51975988,1.74311908,0.05851511,0.00190242,0.02034626,1.12006829,0.98054566,0.59329703
-5.51375688,1.80253288,0.05925692,0.00195114,0.02077584,1.16535556,1.01526200,0.61782412
-5.50775388,1.86036840,0.05988664,0.00199158,0.02111476,1.21040825,1.05087419,0.64223619
-5.50175088,1.91633672,0.06039128,0.00202305,0.02135731,1.25510801,1.08728860,0.66648594
-5.49574787,1.97024759,0.06076460,0.00204507,0.02150041,1.29937634,1.12443586,0.69054368
-5.48974487,2.02199975,0.06100757,0.00205741,0.02154375,1.34316268,1.16226161,0.71439056
-5.48374187,2.07156618,0.06112856,0.00206013,0.02148973,1.38643031,1.20071551,0.73801071
-5.47773887,2.11897514,0.06114302,0.00205349,0.02134341,1.42914095,1.23973905,0.76138264
-5.47173587,2.16428853,0.06107294,0.00203801,0.02111228,1.47123919,1.27925317,0.78447065
-5.46573287,2.20757884,0.06094590,0.00201441,0.02080598,1.51263788,1.31914672,0.80721678
-5.45972986,2.24890660,0.06079386,0.00198359,0.02043592,1.55320551,1.35926655,0.82953402
-5.45372686,2.28829971,0.06065167,0.00194656,0.02001491,1.59275682,1.39941027,0.85130132
-5.44772386,2.32573647,0.06055549,0.00190444,0.01955666,1.63104733,1.43932228,0.87236083
-5.44172086,2.36113326,0.06054111,0.00185839,0.01907537,1.66777253,1.47869372,0.89251790
-5.43571786,2.39433817,0.06064226,0.00180957,0.01858528,1.70257212,1.51716639,0.91154386
-5.42971486,2.42513084,0.06088898,0.00175908,0.01810025,1.73503908,1.55434093,0.92918167
-5.42371186,2.45322884,0.06130623,0.00170797,0.01763341,1.76473356,1.58978859,0.94515429
-5.41770885,2.47830001,0.06191263,0.00165714,0.01719689,1.79120063,1.62306637,0.95917527
-5.41170585,2.49998019,0.06271953,0.00160739,0.01680151,1.81399112,1.65373438,0.97096123
-5.40570285,2.51789497,0.06373039,0.00155935,0.01645673,1.83268418,1.68137472,0.98024525
-5.39969985,2.53168405,0.06494050,0.00151349,0.01617045,1.84691039,1.70561044,0.98679075
-5.39369685,2.54102652,0.06633702,0.00147012,0.01594902,1.85637379,1.72612371,0.99040474
-5.38769385,2.54566534,0.06789941,0.00142941,0.01579729,1.86087149,1.74267174,0.99094975
-5.38169085,2.54542916,0.06960009,0.00139138,0.01571859,1.86030962,1.75509964,0.98835377
-5.37568784,2.54025008,0.07140547,0.00135593,0.01571490,1.85471441,1.76334927,0.98261733
-5.36968484,2.53017594,0.07327709,0.00132287,0.01578685,1.84423762,1.76746345,0.97381750
-5.36368184,2.51537627,0.07517303,0.00129193,0.01593390,1.82915588,1.76758508,0.96210823
-5.35767884,2.49614130,0.07704932,0.00126279,0.01615437,1.80986368,1.76395133,0.94771719
-5.35167584,2.47287397,0.07886147,0.00123510,0.01644552,1.78686036,1.75688292,0.93093894
-5.34567284,2.44607531,0.08056586,0.00120853,0.01680359,1.76073171,1.74676916,0.91212494
-5.33966983,2.41632396,0.08212118,0.00118272,0.01722382,1.73212693,1.73404946,0.89167086
-5.33366683,2.38425097,0.08348955,0.00115737,0.01770046,1.70173241,1.71919236,0.87000167
-5.32766383,2.35051123,0.08463759,0.00113222,0.01822673,1.67024336,1.70267324,0.84755548
-5.32166083,2.31575339,0.08553718,0.00110704,0.01879484,1.63833509,1.68495179,0.82476681
-5.31565783,2.28058965,0.08616605,0.00108166,0.01939593,1.60663527,1.66645066,0.80205020
-5.30965483,2.24556748,0.08650803,0.00105595,0.02002014,1.57569862,1.64753628,0.77978494
-5.30365183,2.21114465,0.08655312,0.00102984,0.02065658,1.54598536,1.62850308,0.75830168
