energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,6.76256101,1.26467374,0.68694105,0.02097004,1.32905379,0.06960018,2.94866858,2.21989353,1.65209270
-5.99399700,6.80140494,1.27571305,0.68388086,0.02147442,1.34643272,0.07020832,2.95569885,2.24609214,1.65995529
-5.98799400,6.83120891,1.28415593,0.67980955,0.02194486,1.36257829,0.07073903,2.95793287,2.26875441,1.66545008
-5.98199100,6.85252468,1.29009213,0.67483478,0.02237709,1.37751322,0.07120215,2.95576265,2.28795352,1.66874977
-5.97598799,6.86603263,1.29364561,0.66907973,0.02276780,1.39127181,0.07160960,2.94965013,2.30379976,1.67004445
-5.96998499,6.87249889,1.29496962,0.66267841,0.02311478,1.40389048,0.07197481,2.94010868,2.31642827,1.66952975
-5.96398199,6.87273227,1.29424156,0.65577073,0.02341690,1.41539883,0.07231206,2.92768383,2.32598747,1.66739572
-5.95797899,6.86754332,1.29165790,0.64849753,0.02367411,1.42581205,0.07263592,2.91293435,2.33262888,1.66381715
-5.95197599,6.85770788,1.28742930,0.64099586,0.02388739,1.43512510,0.07296061,2.89641421,2.33649899,1.65894576
-5.94597299,6.84393701,1.28177605,0.63339462,0.02405874,1.44330926,0.07329947,2.87865633,2.33773376,1.65290474
-5.93996998,6.82685469,1.27492395,0.62581085,0.02419103,1.45031135,0.07366449,2.86015857,2.33645597,1.64578580
-5.93396698,6.80698426,1.26710066,0.61834673,0.02428791,1.45605559,0.07406592,2.84137248,2.33277553,1.63764889
-5.92796398,6.78474381,1.25853252,0.61108741,0.02435369,1.46044825,0.07451207,2.82269506,2.32679268,1.62852435
-5.92196098,6.76045032,1.24944180,0.60409984,0.02439316,1.46338457,0.07500918,2.80446365,2.31860358,1.61841741
-5.91595798,6.73433166,1.24004441,0.59743242,0.02441147,1.46475769,0.07556143,2.78695386,2.30830795,1.60731455
-5.90995498,6.70654527,1.23054788,0.59111567,0.02441393,1.46446890,0.07617109,2.77038045,2.29601794,1.59519124
-5.90395198,6.67720167,1.22114963,0.58516361,0.02440589,1.46243853,0.07683878,2.75490072,2.28186762,1.58202059
-5.89794897,6.64639101,1.21203537,0.57957593,0.02439255,1.45861674,0.07756382,2.74062006,2.26602208,1.56778218
-5.89194597,6.61421037,1.20337763,0.57434070,0.02437886,1.45299346,0.07834459,2.72759912,2.24868555,1.55247063
-5.88594297,6.58078983,1.19533430,0.56943743,0.02436938,1.44560663,0.07917904,2.71586199,2.23010754,1.53610320
-5.87993997,6.54631508,1.18804707,0.56484033,0.02436819,1.43654830,0.08006500,2.70540478,2.21058664,1.51872603
-5.87393697,6.51104493,1.18163993,0.56052152,0.02437879,1.42596786,0.08100067,2.69620401,2.19047108,1.50041850
-5.86793397,6.47532199,1.17621739,0.55645407,0.02440408,1.41407222,0.08198481,2.68822419,2.17015609,1.48129559
-5.86193097,6.43957568,1.17186274,0.55261459,0.02444631,1.40112261,0.08301700,2.68142410,2.15007763,1.46150777
-5.85592796,6.40431677,1.16863616,0.54898524,0.02450703,1.38742818,0.08409768,2.67576128,2.13070267,1.44123866
