energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,2.84941910,0.01882973,0.27455879,0.84478149,1.04586550,1.04439107,0.00000000,0.31559214,0.32809968
-5.99399700,2.86038261,0.01975359,0.27776375,0.84884853,1.05293102,1.04751137,0.00000000,0.31031102,0.33160853
-5.98799400,2.87541943,0.02072904,0.28127076,0.85597790,1.06043513,1.05300238,0.00000000,0.30612826,0.33560055
-5.98199100,2.89393480,0.02175188,0.28505441,0.86617984,1.06814998,1.06060452,0.00000000,0.30300748,0.33998315
-5.97598799,2.91532374,0.02281752,0.28909849,0.87946079,1.07587059,1.07003292,0.00000000,0.30090262,0.34465691
-5.96998499,2.93899271,0.02392104,0.29339825,0.89583199,1.08342448,1.08098449,0.00000000,0.29976045,0.34951768
-5.96398199,2.96438076,0.02505724,0.29796236,0.91531790,1.09068022,1.09314569,0.00000000,0.29952336,0.35445898
-5.95797899,2.99097992,0.02622076,0.30281438,0.93796418,1.09755427,1.10620093,0.00000000,0.30013219,0.35937459
-5.95197599,3.01835414,0.02740622,0.30799370,0.96384466,1.10401609,1.11984152,0.00000000,0.30152924,0.36416145
-5.94597299,3.04615669,0.02860841,0.31355586,0.99306691,1.11009133,1.13377517,0.00000000,0.30366122,0.36872270
-5.93996998,3.07414540,0.02982245,0.31957227,1.02577598,1.11586287,1.14773560,0.00000000,0.30648201,0.37297095
-5.93396698,3.10219525,0.03104405,0.32612911,1.06215573,1.12146984,1.16149216,0.00000000,0.30995530,0.37683153
-5.92796398,3.13030778,0.03226967,0.33332554,1.10242737,1.12710452,1.17485904,0.00000000,0.31405677,0.38024583
-5.92196098,3.15861670,0.03349681,0.34127117,1.14684487,1.13300726,1.18770345,0.00000000,0.31877574,0.38317423
-5.91595798,3.18738884,0.03472409,0.35008265,1.19568677,1.13945939,1.19995259,0.00000000,0.32411625,0.38559881
-5.90995498,3.21702003,0.03595138,0.35987955,1.24924445,1.14677440,1.21159843,0.00000000,0.33009726,0.38752543
-5.90395198,3.24802512,0.03717989,0.37077961,1.30780661,1.15528739,1.22270021,0.00000000,0.33675204,0.38898492
-5.89794897,3.28102171,0.03841204,0.38289324,1.37164045,1.16534319,1.23338388,0.00000000,0.34412654,0.39003353
-5.89194597,3.31670766,0.03965138,0.39631763,1.44096973,1.17728320,1.24383829,0.00000000,0.35227677,0.39075208
-5.88594297,3.35583223,0.04090227,0.41113052,1.51595066,1.19143149,1.25430795,0.00000000,0.36126526,0.39124404
-5.87993997,3.39916161,0.04216959,0.42738390,1.59664650,1.20808042,1.26508225,0.00000000,0.37115657,0.39163231
-5.87393697,3.44743973,0.04345824,0.44509791,1.68300203,1.22747628,1.27648154,0.00000000,0.38201212,0.39205487
-5.86793397,3.50134587,0.04477266,0.46425515,1.77481943,1.24980552,1.28884035,0.00000000,0.39388448,0.39265931
-5.86193097,3.56145069,0.04611624,0.48479590,1.87173699,1.27518216,1.30248861,0.00000000,0.40681152,0.39359643
-5.85592796,3.62817304,0.04749080,0.50661434,1.97321230,1.30363695,1.31773158,0.00000000,0.42081056,0.39501329
-5.84992496,3.70173970,0.04889598,0.52955629,2.07851135,1.33510889,1.33482967,0.00000000,0.43587301,0.39704588
-5.84392196,3.78215071,0.05032883,0.55341857,2.18670505,1.36943974,1.35397921,0.00000000,0.45195989,0.39981187
-5.83791896,3.86915233,0.05178336,0.57795033,2.29667405,1.40637198,1.37529533,0.00000000,0.46899846,0.40340373
-5.83191596,3.96222012,0.05325034,0.60285637,2.40712274,1.44555054,1.39879805,0.00000000,0.48688033,0.40788276
-5.82591296,4.06055350,0.05471720,0.62780248,2.51660251,1.48652861,1.42440264,0.00000000,0.50546138,0.41327422
-5.81990995,4.16308304,0.05616811,0.65242286,2.62354417,1.52877740,1.45191493,0.00000000,0.52456346,0.41956398
-5.81390695,4.26849116,0.05758429,0.67632923,2.72629857,1.57169980,1.48103217,0.00000000,0.54397814,0.42669685
-5.80790395,4.37524556,0.05894443,0.69912145,2.82318410,1.61464739,1.51134968,0.00000000,0.56347231,0.43457689
-5.80190095,4.48164479,0.06022538,0.72039928,2.91253932,1.65694026,1.54237316,0.00000000,0.58279555,0.44306955
-5.79589795,4.58587397,0.06140286,0.73977470,2.99277841,1.69788876,1.57353617,0.00000000,0.60168890,0.45200584
-5.78989495,4.68606826,0.06245242,0.75688428,3.06244698,1.73681634,1.60422215,0.00000000,0.61989475,0.46118812
-5.78389195,4.78038133,0.06335029,0.77140111,3.12027561,1.77308230,1.63378986,0.00000000,0.63716731,0.47039745
-5.77788894,4.86705538,0.06407445,0.78304573,3.16522841,1.80610349,1.66160095,0.00000000,0.65328312,0.47940214
-5.77188594,4.94448937,0.06460545,0.79159541,3.19654430,1.83537388,1.68704832,0.00000000,0.66805109,0.48796700
-5.76588294,5.01130200,0.06492733,0.79689160,3.21376876,1.86048107,1.70958367,0.00000000,0.68132143,0.49586288
