energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,4.24048315,0.00461158,0.55544022,1.31688162,0.58670943,1.75276391,0.94938951,0.01042861,1.99180024
-5.99399700,4.33579729,0.00455103,0.56744387,1.33449664,0.60718073,1.76818017,0.96952997,0.01094240,2.03962298
-5.98799400,4.41948230,0.00449265,0.57738906,1.34798972,0.62726614,1.77682390,0.98651484,0.01141625,2.08270731
-5.98199100,4.49058564,0.00443836,0.58512411,1.35724237,0.64679195,1.77848450,1.00016265,0.01184128,2.12062006
-5.97598799,4.54839894,0.00438995,0.59054180,1.36222362,0.66559719,1.77307288,1.01036265,0.01220931,2.15302537
-5.96998499,4.59248972,0.00434908,0.59358423,1.36299430,0.68354044,1.76062676,1.01708075,0.01251317,2.17969885
-5.96398199,4.62272366,0.00431723,0.59424619,1.35970792,0.70050585,1.74131292,1.02036278,0.01274693,2.20053780
-5.95797899,4.63927594,0.00429570,0.59257660,1.35260786,0.71640771,1.71542607,1.02033497,0.01290609,2.21556663
-5.95197599,4.64263058,0.00428553,0.58867818,1.34202087,0.73119358,1.68338397,1.01720119,0.01298779,2.22493720
-5.94597299,4.63356738,0.00428752,0.58270507,1.32834709,0.74484559,1.64571887,1.01123726,0.01299090,2.22892370
-5.93996998,4.61313682,0.00430213,0.57485848,1.31204694,0.75737996,1.60306542,1.00278236,0.01291604,2.22791240
-5.93396698,4.58262377,0.00432954,0.56538060,1.29362549,0.76884469,1.55614508,0.99222783,0.01276559,2.22238658
-5.92796398,4.54350169,0.00436952,0.55454692,1.27361504,0.77931558,1.50574777,0.98000391,0.01254363,2.21290751
-5.92196098,4.49737941,0.00442150,0.54265717,1.25255671,0.78889091,1.45271107,0.96656490,0.01225574,2.20009227
-5.91595798,4.44594293,0.00448448,0.53002552,1.23098198,0.79768500,1.39789792,0.95237348,0.01190889,2.18458988
-5.90995498,4.39089521,0.00455706,0.51697009,1.20939511,0.80582114,1.34217344,0.93788475,0.01151117,2.16705661
-5.90395198,4.33389663,0.00463746,0.50380251,1.18825713,0.81342431,1.28638189,0.92353077,0.01107152,2.14813216
-5.89794897,4.27650898,0.00472351,0.49081778,1.16797234,0.82061404,1.23132455,0.90970625,0.01059950,2.12841759
-5.89194597,4.22014553,0.00481269,0.47828491,1.14887777,0.82749795,1.17773939,0.89675601,0.01010496,2.10845632
-5.88594297,4.16602923,0.00490219,0.46643872,1.13123596,0.83416616,1.12628338,0.88496457,0.00959780,2.08871883
-5.87993997,4.11516071,0.00498901,0.45547310,1.11523146,0.84068699,1.07751792,0.87454838,0.00908770,2.06959185
-5.87393697,4.06829704,0.00506996,0.44553592,1.10097072,0.84710402,1.03189807,0.86565100,0.00858391,2.05137222
-5.86793397,4.02594174,0.00514183,0.43672588,1.08848542,0.85343467,0.98976574,0.85834099,0.00809503,2.03426538
-5.86193097,3.98834565,0.00520144,0.42909126,1.07773867,0.85967023,0.95134701,0.85261294,0.00762888,2.01838827
-5.85592796,3.95551806,0.00524578,0.42263054,1.06863353,0.86577728,0.91675356,0.84839103,0.00719238,2.00377605
-5.84992496,3.92724664,0.00527206,0.41729497,1.06102329,0.87170031,0.88598788,0.84553518,0.00679151,1.99039182
-5.84392196,3.90312474,0.00527789,0.41299268,1.05472268,0.87736522,0.85895181,0.84384913,0.00643123,1.97813856
-5.83791896,3.88258385,0.00526127,0.40959425,1.04951941,0.88268362,0.83545797,0.84309026,0.00611553,1.96687225
-5.83191596,3.86492953,0.00522077,0.40693944,1.04518526,0.88755737,0.81524331,0.84298042,0.00584742,1.95641525
-5.82591296,3.84937858,0.00515547,0.40484470,1.04148620,0.89188330,0.79798407,0.84321756,0.00562904,1.94656910
-5.81990995,3.83509567,0.00506510,0.40311111,1.03819116,0.89555771,0.78331152,0.84348727,0.00546165,1.93712590
-5.81390695,3.82122775,0.00494999,0.40153257,1.03507894,0.89848052,0.77082767,0.84347428,0.00534576,1.92787791
-5.80790395,3.80693497,0.00481108,0.39990363,1.03194326,0.90055877,0.76012030,0.84287297,0.00528116,1.91862472
-5.80190095,3.79141696,0.00464987,0.39802694,1.02859593,0.90170949,0.75077684,0.84139699,0.00526698,1.90917813
-5.79589795,3.77393403,0.00446838,0.39571987,1.02486815,0.90186172,0.74239656,0.83878747,0.00530177,1.89936457
-5.78989495,3.75382282,0.00426909,0.39282015,1.02061032,0.90095781,0.73460080,0.83481967,0.00538346,1.88902536
-5.78389195,3.73050666,0.00405480,0.38919035,1.01569057,0.89895391,0.72704111,0.82930800,0.00550947,1.87801521
-5.77788894,3.70350072,0.00382861,0.38472117,1.00999246,0.89581974,0.71940508,0.82210930,0.00567664,1.86619936
-5.77188594,3.67241286,0.00359375,0.37933336,1.00341229,0.89153785,0.71142015,0.81312449,0.00588127,1.85344992
-5.76588294,3.63694054,0.00335350,0.37297847,0.99585626,0.88610226,0.70285538,0.80229857,0.00611913,1.83964191
-5.75987994,3.59686493,0.00311110,0.36563829,0.98723798,0.87951683,0.69352154,0.78961925,0.00638539,1.82464961
-5.75387694,3.55204289,0.00286963,0.35732332,0.97747651,0.87179336,0.68326978,0.77511427,0.00667472,1.80834347
-5.74787394,3.50239784,0.00263198,0.34807026,0.96649514,0.86294957,0.67198926,0.75884772,0.00698125,1.79058813
-5.74187094,3.44791016,0.00240074,0.33793879,0.95422114,0.85300713,0.65960403,0.74091555,0.00729862,1.77124166
-5.73586793,3.38860791,0.00217813,0.32700782,0.94058624,0.84198976,0.64606949,0.72144056,0.00762007,1.75015625
-5.72986493,3.32455855,0.00196605,0.31537139,0.92552810,0.82992167,0.63136880,0.70056711,0.00793852,1.72718018
-5.72386193,3.25586182,0.00176597,0.30313453,0.90899239,0.81682618,0.61550932,0.67845573,0.00824670,1.70216133
-5.71785893,3.18264440,0.00157899,0.29040911,0.89093536,0.80272486,0.59851943,0.65527799,0.00853726,1.67495164
-5.71185593,3.10505628,0.00140581,0.27730999,0.87132684,0.78763699,0.58044571,0.63121168,0.00880300,1.64541254
-5.70585293,3.02326897,0.00124680,0.26395151,0.85015315,0.77157965,0.56135063,0.60643649,0.00903696,1.61342110
-5.69984992,2.93747537,0.00110198,0.25044450,0.82741988,0.75456817,0.54131063,0.58113037,0.00923271,1.57887625
