energy_ev,total_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,4.28257493,0.18874186,0.00000000,0.03471497,2.88118264,2.08693115,1.47092810
-5.99399700,4.18319388,0.18707997,0.00000000,0.03470848,2.80687030,2.04717247,1.41989412
-5.98799400,4.08428917,0.18480453,0.00000000,0.03462643,2.73454785,2.00716463,1.37165952
-5.98199100,3.98525217,0.18191202,0.00000000,0.03446454,2.66374867,1.96659067,1.32595953
-5.97598799,3.88555147,0.17841018,0.00000000,0.03421941,2.59404014,1.92518740,1.28252047
-5.96998499,3.78475901,0.17431798,0.00000000,0.03388872,2.52504466,1.88275852,1.24107344
-5.96398199,3.68257138,0.16966525,0.00000000,0.03347124,2.45645758,1.83918518,1.20136676
-5.95797899,3.57882583,0.16449206,0.00000000,0.03296703,2.38806160,1.79443354,1.16317701
-5.95197599,3.47351083,0.15884787,0.00000000,0.03237742,2.31973745,1.74855913,1.12631829
-5.94597299,3.36677128,0.15279032,0.00000000,0.03170508,2.25147092,1.70170820,1.09064972
-5.93996998,3.25890869,0.14638397,0.00000000,0.03095405,2.18335619,1.65411603,1.05608119
-5.93396698,3.15037678,0.13969884,0.00000000,0.03012974,2.11559587,1.60610244,1.02257720
-5.92796398,3.04177308,0.13280890,0.00000000,0.02923885,2.04849794,1.55806486,0.99015911
-5.92196098,2.93382704,0.12579048,0.00000000,0.02828934,1.98246998,1.51046924,0.95890564
-5.91595798,2.82738536,0.11872077,0.00000000,0.02729030,1.91801095,1.46383917,0.92895185
-5.90995498,2.72339497,0.11167632,0.00000000,0.02625187,1.85570097,1.41874367,0.90048669
-5.90395198,2.62288428,0.10473171,0.00000000,0.02518507,1.79618925,1.37578391,0.87374900
-5.89794897,2.52694287,0.09795834,0.00000000,0.02410166,1.74018040,1.33557936,0.84902224
-5.89194597,2.43670015,0.09142339,0.00000000,0.02301394,1.68841942,1.29875347,0.82662787
-5.88594297,2.35330314,0.08518899,0.00000000,0.02193458,1.64167540,1.26591941,0.80691733
-5.87993997,2.27789345,0.07931154,0.00000000,0.02087643,1.60072410,1.23766592,0.79026287
-5.87393697,2.21158384,0.07384132,0.00000000,0.01985229,1.56632960,1.21454352,0.77704715
-5.86793397,2.15543436,0.06882220,0.00000000,0.01887475,1.53922522,1.19705145,0.76765183
-5.86193097,2.11042830,0.06429160,0.00000000,0.01795595,1.52009380,1.18562518,0.76244526
-5.85592796,2.07744843,0.06028050,0.00000000,0.01710741,1.50954796,1.18062508,0.76176964
-5.84992496,2.05725366,0.05681370,0.00000000,0.01633984,1.50811040,1.18232613,0.76592777
-5.84392196,2.05045684,0.05391006,0.00000000,0.01566294,1.51619507,1.19090902,0.77517001
-5.83791896,2.05750412,0.05158289,0.00000000,0.01508527,1.53408950,1.20645296,0.78968176
-5.83191596,2.07865671,0.04984029,0.00000000,0.01461410,1.56193927,1.22893021,0.80957195
-5.82591296,2.11397561,0.04868555,0.00000000,0.01425528,1.59973493,1.25820289,0.83486304
