energy_ev,total_up,Li_s_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,2.88852309,0.40295064,2.30067516,0.73629315,0.00951161,0.60082971,0.01531295,1.04389377
-5.99399700,2.97503120,0.41423304,2.35216309,0.76194926,0.01008998,0.61314278,0.01545392,1.08003698
-5.98799400,3.05747434,0.42593096,2.39487631,0.78628090,0.01069246,0.62276520,0.01570833,1.11671770
-5.98199100,3.13477710,0.43790976,2.42826963,0.80895372,0.01131464,0.62962290,0.01606951,1.15342738
-5.97598799,3.20591038,0.45002424,2.45194867,0.82965149,0.01195119,0.63369998,0.01652876,1.18962376
-5.96998499,3.26991576,0.46212128,2.46567845,0.84808433,0.01259586,0.63503953,0.01707559,1.22474325
-5.96398199,3.32592722,0.47404247,2.46938728,0.86399612,0.01324150,0.63374251,0.01769803,1.25821369
-5.95797899,3.37318966,0.48562651,2.46316579,0.87717078,0.01388020,0.62996463,0.01838292,1.28946729
-5.95197599,3.41107356,0.49671150,2.44726142,0.88743729,0.01450329,0.62391143,0.01911619,1.31795320
-5.94597299,3.43908548,0.50713699,2.42206857,0.89467317,0.01510157,0.61583158,0.01988319,1.34314963
-5.93996998,3.45687434,0.51674591,2.38811488,0.89880640,0.01566548,0.60600883,0.02066895,1.36457490
-5.93396698,3.46423329,0.52538629,2.34604425,0.89981572,0.01618525,0.59475269,0.02145843,1.38179746
-5.92796398,3.46109761,0.53291303,2.29659735,0.89772930,0.01665121,0.58238833,0.02223675,1.39444456
-5.92196098,3.44753884,0.53918950,2.24059014,0.89262193,0.01705401,0.56924596,0.02298944,1.40220937
-5.91595798,3.42375570,0.54408919,2.17889148,0.88461087,0.01738489,0.55565022,0.02370260,1.40485660
-5.90995498,3.39006232,0.54749747,2.11240036,0.87385061,0.01763596,0.54190979,0.02436306,1.40222646
-5.90395198,3.34687462,0.54931324,2.04202362,0.86052669,0.01780045,0.52830775,0.02495856,1.39423695
-5.89794897,3.29469523,0.54945077,1.96865485,0.84484907,0.01787298,0.51509303,0.02547786,1.38088466
-5.89194597,3.23409805,0.54784149,1.89315505,0.82704517,0.01784970,0.50247315,0.02591090,1.36224395
-5.88594297,3.16571279,0.54443577,1.81633568,0.80735303,0.01772852,0.49060870,0.02624885,1.33846478
-5.87993997,3.09021043,0.53920466,1.73894447,0.78601478,0.01750918,0.47960963,0.02648429,1.30976923
-5.87393697,3.00828986,0.53214144,1.66165432,0.76327084,0.01719333,0.46953351,0.02661128,1.27644691
-5.86793397,2.92066646,0.52326294,1.58505556,0.73935490,0.01678450,0.46038588,0.02662547,1.23884940
-5.86193097,2.82806277,0.51261064,1.50965164,0.71449003,0.01628802,0.45212261,0.02652417,1.19738394
-5.85592796,2.73120158,0.50025125,1.43585809,0.68888593,0.01571091,0.44465413,0.02630646,1.15250651
-5.84992496,2.63080141,0.48627697,1.36400489,0.66273739,0.01506169,0.43785146,0.02597324,1.10471457
-5.84392196,2.52757452,0.47080521,1.29434162,0.63622402,0.01435011,0.43155372,0.02552729,1.05453959
-5.83791896,2.42222715,0.45397775,1.22704536,0.60951110,0.01358693,0.42557678,0.02497329,1.00253955
