energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
-6.00000000,2.60029559,0.42835305,1.85230830,0.02330647,0.07512934,0.22644042,0.00000000,0.37964940,0.08949278
-5.99399700,2.62740163,0.44032603,1.86962271,0.02161673,0.07820598,0.23520796,0.00000000,0.40124466,0.08781144
-5.98799400,2.66241001,0.45356812,1.89286951,0.02014952,0.08144290,0.24428635,0.00000000,0.42394457,0.08645767
-5.98199100,2.70410056,0.46781584,1.92116753,0.01890227,0.08479229,0.25354269,0.00000000,0.44743382,0.08540908
-5.97598799,2.75106137,0.48278027,1.95348665,0.01786878,0.08820267,0.26284086,0.00000000,0.47137860,0.08463579
-5.96998499,2.80174991,0.49815831,1.98869187,0.01704000,0.09162082,0.27204645,0.00000000,0.49543770,0.08410237
-5.96398199,2.85455829,0.51364473,2.02559038,0.01640485,0.09499366,0.28103193,0.00000000,0.51927441,0.08376997
-5.95797899,2.90787966,0.52894442,2.06297954,0.01595099,0.09827038,0.28968167,0.00000000,0.54256867,0.08359844
-5.95197599,2.96017261,0.54378417,2.09969354,0.01566551,0.10140445,0.29789664,0.00000000,0.56502888,0.08354842
-5.94597299,3.01002056,0.55792353,2.13464666,0.01553561,0.10435547,0.30559851,0.00000000,0.58640276,0.08358320
-5.93996998,3.05618335,0.57116391,2.16687127,0.01554909,0.10709080,0.31273280,0.00000000,0.60648642,0.08367036
-5.93396698,3.09763857,0.58335572,2.19554885,0.01569474,0.10958683,0.31927091,0.00000000,0.62513143,0.08378302
-5.92796398,3.13361089,0.59440279,2.22003287,0.01596256,0.11182974,0.32521089,0.00000000,0.64224899,0.08390072
-5.92196098,3.16358799,0.60426413,2.23986252,0.01634389,0.11381581,0.33057674,0.00000000,0.65781121,0.08400988
-5.91595798,3.18732261,0.61295254,2.25476710,0.01683133,0.11555118,0.33541634,0.00000000,0.67184909,0.08410372
-5.90995498,3.20482087,0.62053037,2.26466089,0.01741851,0.11705105,0.33979785,0.00000000,0.68444726,0.08418183
-5.90395198,3.21631776,0.62710252,2.26962937,0.01809987,0.11833833,0.34380502,0.00000000,0.69573577,0.08424930
-5.89794897,3.22224139,0.63280693,2.26990761,0.01887017,0.11944193,0.34753128,0.00000000,0.70587914,0.08431550
-5.89194597,3.22316824,0.63780330,2.26585225,0.01972409,0.12039457,0.35107320,0.00000000,0.71506337,0.08439259
-5.88594297,3.21977211,0.64226048,2.25790900,0.02065572,0.12123049,0.35452353,0.00000000,0.72348164,0.08449389
-5.87993997,3.21276984,0.64634332,2.24657735,0.02165806,0.12198292,0.35796419,0.00000000,0.73131935,0.08463216
-5.87393697,3.20286697,0.65019986,2.23237483,0.02272262,0.12268164,0.36145971,0.00000000,0.73873961,0.08481791
-5.86793397,3.19070662,0.65394941,2.21580269,0.02383904,0.12335083,0.36505150,0.00000000,0.74586994,0.08505787
-5.86193097,3.17682466,0.65767252,2.19731510,0.02499485,0.12400707,0.36875329,0.00000000,0.75279101,0.08535369
-5.85592796,3.16161362,0.66140328,2.17729353,0.02617533,0.12465793,0.37254805,0.00000000,0.75952825,0.08570103
-5.84992496,3.14529768,0.66512459,2.15602765,0.02736357,0.12530108,0.37638672,0.00000000,0.76604679,0.08608895
-5.84392196,3.12791996,0.66876661,2.13370391,0.02854067,0.12592399,0.38018871,0.00000000,0.77225019,0.08649978
-5.83791896,3.10934301,0.67220872,2.11040213,0.02968605,0.12650425,0.38384441,0.00000000,0.77798309,0.08690947
-5.83191596,3.08926218,0.67528476,2.08610024,0.03077801,0.12701061,0.38721943,0.00000000,0.78303766,0.08728832
-5.82591296,3.06723116,0.67779138,2.06068672,0.03179432,0.12740450,0.39016056,0.00000000,0.78716358,0.08760215
-5.81990995,3.04269804,0.67949904,2.03397979,0.03271296,0.12764208,0.39250294,0.00000000,0.79008095,0.08781377
-5.81390695,3.01504954,0.68016505,2.00575208,0.03351296,0.12767668,0.39407829,0.00000000,0.79149540,0.08788479
-5.80790395,2.98366091,0.67954789,1.97575912,0.03417516,0.12746146,0.39472360,0.00000000,0.79111465,0.08777744
-5.80190095,2.94794827,0.67742209,1.94376988,0.03468307,0.12695214,0.39428987,0.00000000,0.78866539,0.08745661
-5.79589795,2.90742028,0.67359263,1.90959742,0.03502359,0.12610966,0.39265046,0.00000000,0.78390964,0.08689171
-5.78989495,2.86172616,0.66790834,1.87312759,0.03518765,0.12490265,0.38970849,0.00000000,0.77665960,0.08605840
-5.78389195,2.81069701,0.66027323,1.83434425,0.03517075,0.12330948,0.38540301,0.00000000,0.76679020,0.08494011
-5.77788894,2.75437808,0.65065534,1.79334918,0.03497321,0.12131988,0.37971355,0.00000000,0.75424857,0.08352912
-5.77188594,2.69305008,0.63909257,1.75037559,0.03460042,0.11893593,0.37266283,0.00000000,0.73906002,0.08182738
-5.76588294,2.62723820,0.62569512,1.70579423,0.03406266,0.11617258,0.36431746,0.00000000,0.72133019,0.07984676
-5.75987994,2.55770834,0.61064449,1.66011176,0.03337492,0.11305738,0.35478677,0.00000000,0.70124333,0.07760891
-5.75387694,2.48545053,0.59418906,1.61396124,0.03255638,0.10962970,0.34421959,0.00000000,0.67905679,0.07514472
-5.74787394,2.41165055,0.57663659,1.56808516,0.03162980,0.10593943,0.33279944,0.00000000,0.65509221,0.07249333
-5.74187094,2.33765102,0.55834389,1.52331181,0.03062068,0.10204513,0.32073827,0.00000000,0.62972381,0.06970075
-5.73586793,2.26490393,0.53970441,1.48052609,0.02955644,0.09801190,0.30826903,0.00000000,0.60336456,0.06681834
-5.72986493,2.19491701,0.52113412,1.44063613,0.02846535,0.09390893,0.29563767,0.00000000,0.57645086,0.06390093
-5.72386193,2.12919646,0.50305665,1.40453734,0.02737559,0.08980703,0.28309470,0.00000000,0.54942670,0.06100498
-5.71785893,2.06918881,0.48588820,1.37307554,0.02631424,0.08577610,0.27088692,0.00000000,0.52272797,0.05818658
-5.71185593,2.01622460,0.47002300,1.34701095,0.02530631,0.08188275,0.25924965,0.00000000,0.49676763,0.05549967
-5.70585293,1.97146648,0.45581986,1.32698460,0.02437396,0.07818816,0.24839967,0.00000000,0.47192258,0.05299427
-5.69984992,1.93586388,0.44359058,1.31348891,0.02353576,0.07474627,0.23852937,0.00000000,0.44852256,0.05071503
-5.69384692,1.91011650,0.43359035,1.30684359,0.02280612,0.07160232,0.22980205,0.00000000,0.42684158,0.04870001
-5.68784392,1.89464778,0.42601075,1.30717812,0.02219495,0.06879186,0.22234875,0.00000000,0.40709211,0.04697974
-5.68184092,1.88958975,0.42097546,1.31442160,0.02170745,0.06634015,0.21626648,0.00000000,0.38942215,0.04557668
-5.67583792,1.89477957,0.41853866,1.32830057,0.02134412,0.06426207,0.21161794,0.00000000,0.37391501,0.04450500
-5.66983492,1.90976796,0.41868622,1.34834495,0.02110095,0.06256233,0.20843257,0.00000000,0.36059182,0.04377063
-5.66383192,1.93383905,0.42133943,1.37390199,0.02096977,0.06123619,0.20670883,0.00000000,0.34941625,0.04337167
-5.65782891,1.96604064,0.42636105,1.40415780,0.02093878,0.06027035,0.20641745,0.00000000,0.34030124,0.04329909
-5.65182591,2.00522373,0.43356323,1.43816565,0.02099317,0.05964415,0.20750551,0.00000000,0.33311719,0.04353759
-5.64582291,2.05008941,0.44271704,1.47488009,0.02111588,0.05933098,0.20990098,0.00000000,0.32770119,0.04406665
-5.63981991,2.09924128,0.45356298,1.51319539,0.02128840,0.05929968,0.21351761,0.00000000,0.32386677,0.04486168
-5.63381691,2.15124106,0.46582210,1.55198697,0.02149159,0.05951603,0.21825968,0.00000000,0.32141370,0.04589527
-5.62781391,2.20466508,0.47920718,1.59015403,0.02170648,0.05994422,0.22402658,0.00000000,0.32013741,0.04713833
-5.62181091,2.25815925,0.49343343,1.62666160,0.02191514,0.06054813,0.23071695,0.00000000,0.31983765,0.04856127
-5.61580790,2.31049008,0.50822841,1.66058032,0.02210128,0.06129256,0.23823205,0.00000000,0.32032597,0.05013496
-5.60980490,2.36058971,0.52334063,1.69112213,0.02225093,0.06214416,0.24647846,0.00000000,0.32143188,0.05183161
-5.60380190,2.40759281,0.53854658,1.71767026,0.02235291,0.06307223,0.25536980,0.00000000,0.32300749,0.05362545
