energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,5.70457382,-3.02303469,0.08019678,-0.05711104,0.28855245,-0.09192520,1.34195491,-0.77156370,0.68660267,-0.15777716,0.62426656,-0.39104973,0.18047809,-0.13134629,0.08540406,-0.05602954,2.61011297,-1.60716290
-5.99399700,6.00154535,-3.25049035,0.08543743,-0.06066654,0.29877881,-0.09994498,1.43159200,-0.82486699,0.72386216,-0.17278626,0.63579470,-0.40331595,0.18940583,-0.14369883,0.09195564,-0.06203678,2.75007701,-1.72379733
-5.98799400,6.30382351,-3.50147908,0.09076752,-0.06430031,0.30850922,-0.10870883,1.52548286,-0.88390900,0.76140099,-0.18927384,0.64693092,-0.41765269,0.19847595,-0.15719081,0.09876262,-0.06856178,2.89360895,-1.85289713
-5.98199100,6.60810416,-3.77510275,0.09613139,-0.06797926,0.31766430,-0.11819407,1.62261124,-0.94856756,0.79886139,-0.20718936,0.65767011,-0.43417500,0.20755848,-0.17170965,0.10575769,-0.07557358,3.03911411,-1.99403183
-5.97598799,6.91090040,-4.06997171,0.10146678,-0.07166592,0.32617080,-0.12835884,1.72185353,-1.01860425,0.83586510,-0.22645292,0.66801841,-0.45293647,0.21652213,-0.18712311,0.11286636,-0.08303244,3.18489549,-2.14651275
-5.96998499,7.20858224,-4.38418047,0.10670570,-0.07531909,0.33396194,-0.13914152,1.82199465,-1.09365559,0.87201676,-0.24695399,0.67799036,-0.47392558,0.22523574,-0.20327887,0.12000759,-0.09088936,3.32917361,-2.30937931
-5.96398199,7.49742401,-4.71530193,0.11177547,-0.07889458,0.34097767,-0.15046096,1.92174732,-1.17322847,0.90690822,-0.26855122,0.68760523,-0.49706464,0.23356997,-0.22000498,0.12709458,-0.09908591,3.47011028,-2.48139505
-5.95797899,7.77365934,-5.06040143,0.11660022,-0.08234637,0.34716478,-0.16221734,2.01977422,-1.25670014,0.94012386,-0.29107319,0.69688280,-0.52221148,0.24139916,-0.23711118,0.13403608,-0.10755439,3.60583620,-2.66105423
-5.95197599,8.03354334,-5.41607116,0.12110251,-0.08562770,0.35247704,-0.17429392,2.11471288,-1.34332316,0.97124699,-0.31432033,0.70583891,-0.54916362,0.24860343,-0.25439117,0.14073787,-0.11621828,3.73448235,-2.84659914
-5.94597299,8.27342116,-5.77848430,0.12520532,-0.08869244,0.35687535,-0.18655938,2.20520250,-1.43223516,0.99986717,-0.33806775,0.71448112,-0.57766497,0.25507093,-0.27162579,0.14710459,-0.12499307,3.85421436,-3.03604787
-5.93996998,8.48980130,-6.14346735,0.12883415,-0.09149647,0.36032796,-0.19887084,2.28991208,-1.52247337,1.02558842,-0.36206918,0.72280492,-0.60741445,0.26070015,-0.28858706,0.15304192,-0.13378733,3.96326946,-3.22723172
-5.93396698,8.67943214,-6.50658814,0.13191929,-0.09399896,0.36281078,-0.21107741,2.36756915,-1.61299318,1.04803804,-0.38606161,0.73079058,-0.63807622,0.26540238,-0.30504285,0.15845880,-0.14250421,4.05999477,-3.41784095
-5.92796398,8.83937906,-6.86325629,0.13439802,-0.09616373,0.36430783,-0.22302406,2.43698811,-1.70269039,1.06687600,-0.40977066,0.73840120,-0.66929101,0.26910398,-0.32076220,0.16326993,-0.15104309,4.14288602,-3.60547718
-5.92196098,8.96709992,-7.20883219,0.13621689,-0.09796036,0.36481183,-0.23455578,2.49709746,-1.79042614,1.08180425,-0.43291646,0.74558200,-0.70068792,0.27174865,-0.33552090,0.16739815,-0.15930150,4.21062525,-3.78771034
-5.91595798,9.06051584,-7.53874021,0.13733364,-0.09936513,0.36432479,-0.24552175,2.54696478,-1.87505350,1.09257591,-0.45521973,0.75226098,-0.73189614,0.27329931,-0.34910725,0.17077693,-0.16717720,4.26211632,-3.96213794
-5.90995498,9.11807461,-7.84858159,0.13771902,-0.10036174,0.36285884,-0.25577937,2.58581899,-1.95544495,1.09900377,-0.47640797,0.75835111,-0.76255609,0.27373978,-0.36132762,0.17335248,-0.17457033,4.29651667,-4.12644435
-5.90395198,9.13880395,-8.13424265,0.13735816,-0.10094174,0.36043690,-0.26519805,2.61306883,-2.03051937,1.10096777,-0.49622142,0.76375391,-0.79232936,0.27307592,-0.37201175,0.17508579,-0.18138557,4.31326412,-4.27845763
-5.89794897,9.12235201,-8.39199415,0.13625154,-0.10110467,0.35709340,-0.27366248,2.62831708,-2.09926778,1.09842107,-0.51441873,0.76836430,-0.82090717,0.27133626,-0.38101732,0.17595408,-0.18753423,4.31209750,-4.41620189
-5.89194597,9.06901299,-8.61857823,0.13441542,-0.10085789,0.35287486,-0.28107539,2.63137002,-2.16077670,1.09139439,-0.53078201,0.77207646,-0.84801699,0.26857213,-0.38823393,0.17595201,-0.19293628,4.29306998,-4.53794321
-5.88594297,8.97973624,-8.81128000,0.13188184,-0.10021618,0.34784026,-0.28735964,2.62224179,-2.21424847,1.07999823,-0.54512123,0.77479047,-0.87342718,0.26485706,-0.39358595,0.17509218,-0.19752210,4.25655442,-4.64222757
-5.87993997,8.85611757,-8.96798170,0.12869795,-0.09920105,0.34206114,-0.29245955,2.60115348,-2.25901778,1.06442295,-0.55727783,0.77641917,-0.89694961,0.26028557,-0.39703452,0.17340516,-0.20123405,4.20324011,-4.72790982
-5.87393697,8.70037248,-9.08719830,0.12492491,-0.09783987,0.33562135,-0.29634158,2.56852695,-2.29456405,1.04493638,-0.56712739,0.77689504,-0.91844036,0.25497132,-0.39857829,0.17093890,-0.20402775,4.13412073,-4.79417291
-5.86793397,8.51529131,-9.16809430,0.12063630,-0.09616486,0.32861643,-0.29899420,2.52497367,-2.32051943,1.02187900,-0.57458153,0.77617651,-0.93779867,0.24904463,-0.39825315,0.16775756,-0.20587295,4.05047363,-4.84053735
-5.86193097,8.30417732,-9.21048224,0.11591598,-0.09421195,0.32115255,-0.30042721,2.47127873,-2.33667230,0.99565685,-0.57958877,0.77425320,-0.95496459,0.24264945,-0.39613086,0.16393976,-0.20675421,3.95383079,-4.86686124
-5.85592796,8.07076912,-9.21480436,0.11085578,-0.09201969,0.31334496,-0.30067038,2.40838066,-2.34296658,0.96673218,-0.58213471,0.77114996,-0.96991554,0.23593974,-0.39231677,0.15957637,-0.20667110,3.84594218,-4.87333138
-5.84992496,7.81914975,-9.18209929,0.10555280,-0.08962812,0.30531604,-0.29977175,2.33734762,-2.33949709,0.93561224,-0.58224131,0.76692903,-0.98266230,0.22907566,-0.38694657,0.15476783,-0.20563808,3.72873259,-4.86044671
-5.84392196,7.55364485,-9.11395628,0.10010661,-0.08707773,0.29719291,-0.29779548,2.25935056,-2.32650151,0.90283648,-0.57996550,0.76169035,-0.99324475,0.22221925,-0.38018247,0.14962120,-0.20368411,3.60425315,-4.82899513
-5.83791896,7.27871329,-9.01245935,0.09461642,-0.08440857,0.28910469,-0.29481955,2.17563433,-2.30434937,0.86896266,-0.57539723,0.75556963,-1.00172776,0.21553013,-0.37220876,0.14424698,-0.20085184,3.47462893,-4.78002514
-5.83191596,6.99883359,-8.88012422,0.08917835,-0.08165949,0.28117945,-0.29093332,2.08748733,-2.27352888,0.83455224,-0.56865693,0.74873437,-1.00819752,0.20916115,-0.36322705,0.13875583,-0.19719660,3.34200440,-4.71481359
-5.82591296,6.71838981,-8.71983033,0.08388277,-0.07886749,0.27354106,-0.28623511,1.99621084,-2.23463202,0.80015575,-0.55989261,0.74137776,-1.01275844,0.20325413,-0.35345129,0.13325532,-0.19278510,3.20848840,-4.63483086
-5.81990995,6.44156083,-8.53475031,0.07881204,-0.07606735,0.26630590,-0.28082982,1.90308860,-2.18833854,0.76629845,-0.54927657,0.73371084,-1.01553070,0.19793598,-0.34310276,0.12784695,-0.18769388,3.07610040,-4.54170463
-5.81390695,6.17221662,-8.32827861,0.07403852,-0.07329125,0.25957973,-0.27482676,1.80935783,-2.13539950,0.73346700,-0.53700181,0.72595308,-1.01664843,0.19331518,-0.33240508,0.12262329,-0.18200768,2.94671990,-4.43718308
-5.80790395,5.91382510,-8.10396081,0.06962300,-0.07056866,0.25345475,-0.26833752,1.71618225,-2.07662059,0.70209754,-0.52327826,0.71832215,-1.01625837,0.18947889,-0.32157950,0.11766561,-0.17581756,2.82204064,-4.32309832
-5.80190095,5.66937290,-7.86542460,0.06561357,-0.06792621,0.24800710,-0.26147419,1.62462798,-2.01284568,0.67256555,-0.50832874,0.71102305,-1.01451871,0.18649068,-0.31084033,0.11304201,-0.16921899,2.70353118,-4.20133055
-5.79589795,5.44130272,-7.61631306,0.06204499,-0.06538771,0.24329475,-0.25434759,1.53564305,-1.94494094,0.64517809,-0.49238482,0.70423758,-1.01159789,0.18438905,-0.30039081,0.10880598,-0.16230991,2.59240326,-4.07377318
-5.78989495,5.23146945,-7.36022062,0.05893848,-0.06297416,0.23935617,-0.24706574,1.45004096,-1.87377948,0.62016836,-0.47568256,0.69811444,-1.00767298,0.18318687,-0.29041928,0.10499562,-0.15518867,2.48958895,-3.94229925
-5.78389195,5.04111668,-7.10063197,0.05630204,-0.06070375,0.23620962,-0.23973239,1.36848887,-1.80022685,0.59769310,-0.45845815,0.69276083,-1.00292746,0.18287160,-0.28109572,0.10163347,-0.14795216,2.39572751,-3.80872907
-5.77788894,4.87087412,-6.84086412,0.05413107,-0.05859188,0.23385318,-0.23244570,1.29150056,-1.72512734,0.57783260,-0.44094351,0.68823587,-0.99754801,0.18340646,-0.27256883,0.09872683,-0.14069387,2.31116222,-3.67479935
-5.77188594,4.72077592,-6.58401179,0.05240952,-0.05665107,0.23226567,-0.22529687,1.21943441,-1.64929116,0.56059341,-0.42336197,0.68454641,-0.99172029,0.18473238,-0.26496339,0.09626873,-0.13350212,2.23594733,-3.54213392
-5.76588294,4.59029877,-6.33289679,0.05111119,-0.05489092,0.23140819,-0.21836891,1.15249629,-1.57348257,0.54591354,-0.40592406,0.68164543,-0.98562370,0.18677080,-0.25837824,0.09423933,-0.12645847,2.16986467,-3.41221628
-5.75987994,4.47841800,-6.09002190,0.05020140,-0.05331796,0.23122645,-0.21173541,1.09074707,-1.49840911,0.53366985,-0.38882349,0.67943330,-0.97942516,0.18942706,-0.25288468,0.09260774,-0.11963626,2.11244909,-3.28636447
-5.75387694,4.38367890,-5.85753043,0.04963875,-0.05193550,0.23165356,-0.20545938,1.03411440,-1.42471196,0.52368723,-0.37223351,0.67776180,-0.97327218,0.19259434,-0.24852548,0.09133414,-0.11309939,2.06302165,-3.16570873
-5.74787394,4.30428005,-5.63717263,0.04937701,-0.05074347,0.23261327,-0.19959222,0.98240818,-1.35295765,0.51574912,-0.35630372,0.67644063,-0.96728574,0.19615786,-0.24531445,0.09037213,-0.10690142,2.02072897,-3.05117283
-5.74187094,4.23816454,-5.43028025,0.04936702,-0.04973831,0.23402345,-0.19417284,0.93533891,-1.28363137,0.50960882,-0.34115744,0.67524634,-0.96155326,0.19999933,-0.24323675,0.08967110,-0.10108483,1.98458688,-2.94345968
-5.73586793,4.18311519,-5.23775101,0.04955847,-0.04891286,0.23579954,-0.18922702,0.89253819,-1.21713201,0.50500108,-0.32688982,0.67393281,-0.95612236,0.20400120,-0.24224983,0.08917866,-0.09568073,1.95352654,-2.84304221
-5.72986493,4.13684911,-5.06004408,0.04990167,-0.04825642,0.23785786,-0.18476707,0.85358047,-1.15376935,0.50165339,-0.31356679,0.67224306,-0.95099591,0.20805077,-0.24228522,0.08884281,-0.09070876,1.92644089,-2.75016026
-5.72386193,4.09710758,-4.89718790,0.05034903,-0.04775480,0.24011852,-0.18079192,0.81800502,-1.09376333,0.49929644,-0.30122488,0.66992145,-0.94612893,0.21204372,-0.24325102,0.08861396,-0.08617737,1.90222927,-2.66482412
