energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
3.95897949,2.84568654,0.00957697,0.27484003,0.03610899,0.22444958,0.72846759,2.90078635
3.96498249,2.72789123,0.00869675,0.26552078,0.03222387,0.20877453,0.67569677,2.80387701
3.97098549,2.61633395,0.00785967,0.25682706,0.02856577,0.19449093,0.62690020,2.71060878
3.97698849,2.51219259,0.00707185,0.24882202,0.02515587,0.18171024,0.58244673,2.62206324
3.98299150,2.41636664,0.00633794,0.24154198,0.02200839,0.17049856,0.54258211,2.53910963
3.98899450,2.32947006,0.00566110,0.23499733,0.01913118,0.16087775,0.50743145,2.46239482
3.99499750,2.25183178,0.00504313,0.22917408,0.01652637,0.15282765,0.47700485,2.39233920
4.00100050,2.18350373,0.00448452,0.22403594,0.01419117,0.14628948,0.45120596,2.32913834
4.00700350,2.12427595,0.00398463,0.21952679,0.01211878,0.14117010,0.42984305,2.27277026
4.01300650,2.07369805,0.00354181,0.21557370,0.01029920,0.13734709,0.41264199,2.22300831
4.01900950,2.03110664,0.00315362,0.21209009,0.00872023,0.13467439,0.39926093,2.17943907
4.02501251,1.99565783,0.00281697,0.20897923,0.00736827,0.13298832,0.38930590,2.14148527
4.03101551,1.96636400,0.00252830,0.20613795,0.00622914,0.13211384,0.38234712,2.10843296
4.03701851,1.94213385,0.00228378,0.20346040,0.00528884,0.13187084,0.37793539,2.07946241
4.04302151,1.92181463,0.00207949,0.20084182,0.00453417,0.13208028,0.37561818,2.05368202
4.04902451,1.90423529,0.00191152,0.19818230,0.00395328,0.13257000,0.37495493,2.03016409
4.05502751,1.88824930,0.00177613,0.19539032,0.00353609,0.13318001,0.37553118,2.00798147
4.06103052,1.87277564,0.00166988,0.19238606,0.00327469,0.13376725,0.37697117,1.98624385
4.06703352,1.85683670,0.00158969,0.18910428,0.00316349,0.13420943,0.37894847,1.96413222
4.07303652,1.83959158,0.00153292,0.18549677,0.00319941,0.13440812,0.38119450,1.94093041
4.07903952,1.82036374,0.00149741,0.18153419,0.00338188,0.13429080,0.38350450,1.91605218
4.08504252,1.79866168,0.00148148,0.17720724,0.00371276,0.13381198,0.38574099,1.88906285
4.09104552,1.77419219,0.00148393,0.17252718,0.00419620,0.13295316,0.38783453,1.85969449
4.09704852,1.74686525,0.00150405,0.16752549,0.00483835,0.13172193,0.38978172,1.82785399
4.10305153,1.71679078,0.00154149,0.16225291,0.00564707,0.13014997,0.39164070,1.79362356
4.10905453,1.68426715,0.00159625,0.15677764,0.00663144,0.12829032,0.39352419,1.75725380
4.11505753,1.64976217,0.00166860,0.15118295,0.00780131,0.12621378,0.39559042,1.71914950
4.12106053,1.61388740,0.00175893,0.14556423,0.00916672,0.12400480,0.39803228,1.67984898
4.12706353,1.57736704,0.00186773,0.14002553,0.01073728,0.12175694,0.40106526,1.63999804
4.13306653,1.54100273,0.00199537,0.13467589,0.01252155,0.11956804,0.40491441,1.60031962
4.13906953,1.50563608,0.00214212,0.12962538,0.01452631,0.11753546,0.40980124,1.56158079
4.14507254,1.47211052,0.00230792,0.12498129,0.01675594,0.11575144,0.41593078,1.52455868
4.15107554,1.44123420,0.00249240,0.12084434,0.01921177,0.11429882,0.42347963,1.49000684
4.15707854,1.41374563,0.00269470,0.11730528,0.02189145,0.11324732,0.43258530,1.45862369
4.16308154,1.39028351,0.00291349,0.11444186,0.02478847,0.11265052,0.44333759,1.43102450
