energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,3.65115678,-3.65116010,0.54561956,-0.54561966,2.18584431,-2.18584458,0.76885635,-0.76885858,0.43613512,-0.43613623,0.00093119,-0.00093119,0.50209633,-0.50209783,0.03812356,-0.03812357,0.38099642,-0.38099656
-5.99399700,3.66617758,-3.66618137,0.54317544,-0.54317567,2.17571014,-2.17571052,0.78361173,-0.78361406,0.44458998,-0.44459125,0.00104809,-0.00104810,0.51373078,-0.51373241,0.03775202,-0.03775203,0.38270137,-0.38270154
-5.98799400,3.68453131,-3.68453561,0.54214258,-0.54214295,2.16657199,-2.16657254,0.79809163,-0.79809403,0.45424430,-0.45424574,0.00118065,-0.00118066,0.52601660,-0.52601835,0.03745584,-0.03745585,0.38437636,-0.38437656
-5.98199100,3.70734500,-3.70734985,0.54279413,-0.54279465,2.15934464,-2.15934539,0.81230451,-0.81230695,0.46513938,-0.46514098,0.00132991,-0.00132992,0.53892527,-0.53892713,0.03725825,-0.03725826,0.38619252,-0.38619276
-5.97598799,3.73558999,-3.73559537,0.54536367,-0.54536434,2.15486309,-2.15486406,0.82623990,-0.82624237,0.47728233,-0.47728409,0.00149688,-0.00149688,0.55239673,-0.55239867,0.03717958,-0.03717961,0.38832155,-0.38832185
-5.96998499,3.77003561,-3.77004152,0.55003626,-0.55003709,2.15385253,-2.15385376,0.83986469,-0.83986715,0.49064107,-0.49064296,0.00168245,-0.00168246,0.56633670,-0.56633871,0.03723642,-0.03723646,0.39092888,-0.39092924
-5.96398199,3.81121116,-3.81121757,0.55694140,-0.55694238,2.15690316,-2.15690464,0.85312052,-0.85312294,0.50514059,-0.50514261,0.00188745,-0.00188746,0.58061538,-0.58061742,0.03744089,-0.03744093,0.39416674,-0.39416716
-5.95797899,3.85937748,-3.85938432,0.56614810,-0.56614923,2.16445056,-2.16445230,0.86592268,-0.86592502,0.52066095,-0.52066306,0.00211250,-0.00211251,0.59506760,-0.59506964,0.03780009,-0.03780013,0.39816763,-0.39816812
-5.95197599,3.91450931,-3.91451651,0.57766229,-0.57766357,2.17676245,-2.17676444,0.87816034,-0.87816256,0.53703683,-0.53703902,0.00235807,-0.00235808,0.60949468,-0.60949669,0.03831579,-0.03831585,0.40303841,-0.40303897
-5.94597299,3.97628912,-3.97629657,0.59142651,-0.59142791,2.19393197,-2.19393419,0.88969828,-0.88970035,0.55405921,-0.55406143,0.00262437,-0.00262438,0.62366783,-0.62366977,0.03898429,-0.03898436,0.40885512,-0.40885575
-5.93996998,4.04411259,-4.04412019,0.60732172,-0.60732322,2.21587765,-2.21588005,0.90038011,-0.90038197,0.57147876,-0.57148098,0.00291134,-0.00291135,0.63733318,-0.63733501,0.03979645,-0.03979652,0.41565897,-0.41565966
-5.93396698,4.11710543,-4.11711303,0.62517127,-0.62517287,2.24234973,-2.24235227,0.91003276,-0.91003437,0.58901127,-0.58901345,0.00321861,-0.00321862,0.65021817,-0.65021985,0.04073794,-0.04073801,0.42345346,-0.42345420
-5.92796398,4.19415072,-4.19415818,0.64474666,-0.64474832,2.27294249,-2.27294513,0.91847221,-0.91847354,0.60634473,-0.60634684,0.00354544,-0.00354546,0.66203927,-0.66204076,0.04178966,-0.04178973,0.43220300,-0.43220379
-5.92196098,4.27392570,-4.27393287,0.66577478,-0.66577647,2.30711180,-2.30711448,0.92551014,-0.92551115,0.62314796,-0.62314996,0.00389073,-0.00389074,0.67251064,-0.67251190,0.04292834,-0.04292841,0.44183291,-0.44183375
-5.91595798,4.35494612,-4.35495284,0.68794641,-0.68794811,2.34419688,-2.34419954,0.93096124,-0.93096190,0.63908045,-0.63908230,0.00425293,-0.00425294,0.68135337,-0.68135437,0.04412721,-0.04412729,0.45223098,-0.45223184
-5.90995498,4.43561649,-4.43562262,0.71092553,-0.71092721,2.38344546,-2.38344802,0.93465085,-0.93465114,0.65380294,-0.65380460,0.00463007,-0.00463009,0.68830510,-0.68830580,0.04535687,-0.04535694,0.46325042,-0.46325129
-5.90395198,4.51428387,-4.51428926,0.73435911,-0.73436075,2.42404088,-2.42404329,0.93642253,-0.93642242,0.66698844,-0.66698988,0.00501974,-0.00501976,0.69312932,-0.69312971,0.04658609,-0.04658617,0.47471421,-0.47471507
