energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,4.34235073,0.02422049,0.63945625,2.16264015,1.29205229,0.85750504,0.30682774,0.05969121,1.95331899
-5.99399700,4.51679744,0.02557576,0.68114879,2.24735703,1.34492487,0.88455519,0.31793134,0.06237151,2.00491493
-5.98799400,4.70099969,0.02696701,0.72462163,2.33747014,1.40175777,0.91233806,0.32878571,0.06510105,2.05964940
-5.98199100,4.89375472,0.02838269,0.76955846,2.43257598,1.46213384,0.94077001,0.33929247,0.06785775,2.11721208
-5.97598799,5.09360155,0.02981017,0.81559531,2.53205952,1.52556047,0.96974570,0.34935590,0.07061691,2.17719830
-5.96998499,5.29884265,0.03123597,0.86232680,2.63510002,1.59147657,0.99914159,0.35888521,0.07335170,2.23911457
-5.96398199,5.50757532,0.03264595,0.90931412,2.74068546,1.65926221,1.02882033,0.36779671,0.07603387,2.30238786
-5.95797899,5.71773144,0.03402557,0.95609424,2.84763504,1.72825054,1.05863572,0.37601586,0.07863443,2.36637839
-5.95197599,5.92712438,0.03536009,1.00219029,2.95462905,1.79774162,1.08843800,0.38347901,0.08112445,2.43039543
-5.94597299,6.13350092,0.03663484,1.04712237,3.06024467,1.86701749,1.11807917,0.39013479,0.08347584,2.49371533
-5.93996998,6.33459618,0.03783544,1.09041858,3.16299649,1.93535814,1.14741783,0.39594513,0.08566211,2.55560110
-5.93396698,6.52818923,0.03894806,1.13162561,3.26137979,2.00205737,1.17632356,0.40088588,0.08765904,2.61532271
-5.92796398,6.71215704,0.03995961,1.17031864,3.35391491,2.06643817,1.20468036,0.40494694,0.08944533,2.67217716
-5.92196098,6.88452475,0.04085796,1.20610992,3.43919085,2.12786675,1.23238911,0.40813197,0.09100308,2.72550763
-5.91595798,7.04351009,0.04163215,1.23865596,3.51590624,2.18576487,1.25936888,0.41045773,0.09231816,2.77472088
-5.90995498,7.18756060,0.04227254,1.26766285,3.58290623,2.23961985,1.28555712,0.41195306,0.09338044,2.81930227
