energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,4.66125274,-1.82484768,0.02194814,-0.00801153,0.58324222,-0.15111584,0.84528602,-0.47622538,0.30097456,-0.12602931,1.46899381,-0.27625068,0.67291862,-0.12998462,0.06131594,-0.01701897,1.80910623,-0.90844958
-5.99399700,4.93542419,-1.79811616,0.02437830,-0.00695394,0.62311939,-0.14836709,0.88330458,-0.47079788,0.31952132,-0.12630663,1.54284553,-0.28622814,0.72825237,-0.12425313,0.06714876,-0.01542295,1.90177253,-0.89779215
-5.98799400,5.21579594,-1.77930000,0.02696795,-0.00606272,0.66382378,-0.14700287,0.92152774,-0.46630576,0.33870491,-0.12687263,1.61622164,-0.29807515,0.78576658,-0.11946917,0.07341594,-0.01409549,1.99633225,-0.88997122
-5.98199100,5.50089106,-1.76800781,0.02970853,-0.00532522,0.70511268,-0.14706487,0.95982035,-0.46269764,0.35844563,-0.12768818,1.68877045,-0.31179508,0.84509552,-0.11562077,0.08008746,-0.01301642,2.09237454,-0.88469757
-5.97598799,5.78897122,-1.76390377,0.03258769,-0.00472941,0.74670639,-0.14858172,0.99801369,-0.45993732,0.37864429,-0.12872281,1.76010440,-0.32738563,0.90580085,-0.11269444,0.08712670,-0.01216700,2.18940411,-0.88173384
-5.96998499,6.07802249,-1.76670629,0.03558899,-0.00426408,0.78828761,-0.15156749,1.03590021,-0.45800383,0.39918105,-0.12995526,1.82979446,-0.34483536,0.96737203,-0.11067500,0.09449008,-0.01153010,2.28683215,-0.88089564
-5.96398199,6.36575137,-1.77618336,0.03869179,-0.00391895,0.82950217,-0.15602045,1.07323008,-0.45689045,0.41991479,-0.13137369,1.89736637,-0.36412022,1.02922936,-0.10954537,0.10212676,-0.01109037,2.38397078,-0.88205015
-5.95797899,6.64959261,-1.79214476,0.04187121,-0.00368478,0.86996120,-0.16192215,1.10970978,-0.45660284,0.44068335,-0.13297537,1.96229907,-0.38520017,1.09072959,-0.10928632,0.10997853,-0.01083429,2.48003182,-0.88511246
-5.95197599,6.92672974,-1.81443189,0.04509821,-0.00355346,0.90924501,-0.16923695,1.14500291,-0.45715622,0.46130446,-0.13476602,2.02402601,-0.40801634,1.15117433,-0.10987616,0.11797987,-0.01075028,2.57413017,-0.89003969
-5.94597299,7.19412884,-1.84290577,0.04833984,-0.00351799,0.94690861,-0.17791219,1.17873354,-0.45857182,0.48157756,-0.13675881,2.08193937,-0.43248896,1.20982117,-0.11129045,0.12605820,-0.01082864,2.66529221,-0.89682344
-5.93996998,7.44858513,-1.87743448,0.05155959,-0.00357258,0.98248893,-0.18787890,1.21049198,-0.46087271,0.50128637,-0.13897308,2.13539762,-0.45851633,1.26589737,-0.11350184,0.13413436,-0.01106162,2.75246915,-0.90548082
-5.93396698,7.68678163,-1.91788097,0.05471801,-0.00371262,1.01551359,-0.19905331,1.23984289,-0.46407932,0.52020220,-0.14143293,2.18373622,-0.48597516,1.31861570,-0.11647996,0.14212330,-0.01144338,2.83455503,-0.91604500
-5.92796398,7.90535830,-1.96409242,0.05777328,-0.00393468,1.04551104,-0.21133910,1.26633552,-0.46820501,0.53808793,-0.14416578,2.22628125,-0.51472247,1.36719221,-0.12019150,0.14993504,-0.01197001,2.91040892,-0.92855556
