energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,2.80303292,0.00203940,0.35343670,0.89101412,1.07792576,0.02747660,0.94929951
-5.99399700,3.11849094,0.00228787,0.38785655,1.01522625,1.19497484,0.02724724,1.06927911
-5.98799400,3.46808949,0.00255907,0.42696142,1.15212062,1.32434856,0.02734070,1.20041370
-5.98199100,3.85126966,0.00285268,0.47080169,1.30171932,1.46577246,0.02776526,1.34233842
-5.97598799,4.26685021,0.00316814,0.51936307,1.46384028,1.61874716,0.02852531,1.49445478
-5.96998499,4.71301094,0.00350467,0.57256368,1.63808208,1.78254707,0.02962172,1.65592493
-5.96398199,5.18729411,0.00386129,0.63025263,1.82381416,1.95622596,0.03105226,1.82567349
-5.95797899,5.68662484,0.00423679,0.69221013,2.02017316,2.13862938,0.03281211,2.00239712
-5.95197599,6.20735074,0.00462972,0.75814895,2.22606603,2.32841398,0.03489435,2.18458228
-5.94597299,6.74530019,0.00503846,0.82771753,2.44018009,2.52407292,0.03729042,2.37053084
-5.93996998,7.29585769,0.00546118,0.90050419,2.66100020,2.72396669,0.03999053,2.55839301
-5.93396698,7.85405396,0.00589587,0.97604271,2.88683253,2.92635819,0.04298398,2.74620658
-5.92796398,8.41466767,0.00634035,1.05381873,3.11583440,3.12945061,0.04625940,2.93194122
-5.92196098,8.97233499,0.00679231,1.13327691,3.34604915,3.33142652,0.04980475,3.11354606
-5.91595798,9.52166269,0.00724927,1.21382858,3.57544486,3.53048654,0.05360733,3.28899887
-5.90995498,10.05734026,0.00770862,1.29485949,3.80195538,3.72488584,0.05765351,3.45635466
-5.90395198,10.57424665,0.00816766,1.37573749,4.02352212,3.91296696,0.06192839,3.61379185
-5.89794897,11.06754723,0.00862353,1.45581991,4.23813500,4.09318751,0.06641530,3.75965399
-5.89194597,11.53277770,0.00907328,1.53446036,4.44387095,4.26414180,0.07109519,3.89248538
-5.88594297,11.96591178,0.00951387,1.61101500,4.63892850,4.42457567,0.07594600,4.01105920
-5.87993997,12.36341104,0.00994215,1.68484804,4.82165733,4.57339438,0.08094194,4.11439725
-5.87393697,12.72225624,0.01035490,1.75533667,4.99058183,4.70966382,0.08605284,4.20178071
-5.86793397,13.03996035,0.01074884,1.82187550,5.14441826,4.83260571,0.09124358,4.27275188
-5.86193097,13.31456505,0.01112067,1.88388071,5.28208523,4.94158803,0.09647363,4.32710756
-5.85592796,13.54462304,0.01146710,1.94079407,5.40270782,5.03611192,0.10169685,4.36488465
-5.84992496,13.72916939,0.01178486,1.99208731,5.50561596,5.11579697,0.10686144,4.38633957
-5.84392196,13.86768575,0.01207084,2.03726688,5.59033787,5.18036632,0.11191031,4.39192281
-5.83791896,13.96006117,0.01232206,2.07587948,5.65658979,5.22963335,0.11678165,4.38225028
-5.83191596,14.00655340,0.01253584,2.10751847,5.70426303,5.26349146,0.12140992,4.35807343
-5.82591296,14.00775375,0.01270980,2.13183126,5.73340974,5.28190785,0.12572711,4.32024950
-5.81990995,13.96455830,0.01284204,2.14852756,5.74422853,5.28492208,0.12966438,4.26971347
-5.81390695,13.87814696,0.01293118,2.15738837,5.73705080,5.27264962,0.13315386,4.20745291
-5.80790395,13.74997098,0.01297647,2.15827536,5.71232875,5.24528994,0.13613073,4.13448653
-5.80190095,13.58174864,0.01297794,2.15114020,5.67062537,5.20313846,0.13853536,4.05184692
-5.79589795,13.37546752,0.01293644,2.13603329,5.61260662,5.14660097,0.14031551,3.96056752
-5.78989495,13.13339118,0.01285376,2.11311124,5.53903581,5.07620915,0.14142843,3.86167371
-5.78389195,12.85806742,0.01273271,2.08264254,5.45076957,4.99263522,0.14184277,3.75617745
-5.77788894,12.55233490,0.01257714,2.04501075,5.34875506,4.89670415,0.14154019,3.64507467
-5.77188594,12.21932494,0.01239202,2.00071464,5.23402758,4.78940155,0.14051668,3.52934469
-5.76588294,11.86245545,0.01218339,1.95036497,5.10770775,4.67187591,0.13878328,3.40995073
-5.75987994,11.48541479,0.01195839,1.89467747,4.97099776,4.54543412,0.13636648,3.28784066
-5.75387694,11.09213369,0.01172516,1.83446210,4.82517572,4.41152963,0.13330789,3.16394721
