energy_ev,total_up,Ag_p_up,Ag_d_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,9.66073731,1.04204953,6.47281081,0.76307716,0.54189435,0.00310013,0.05719050,0.06850619,2.11315298
-5.99399700,10.16286424,1.04440957,6.85224607,0.79050272,0.57234966,0.00314717,0.06173145,0.07355603,2.18687778
-5.98799400,10.67206264,1.04711288,7.23710053,0.81904085,0.60326524,0.00320603,0.06634739,0.07874599,2.26094312
-5.98199100,11.18284812,1.05004631,7.62346824,0.84826992,0.63426943,0.00327703,0.07098468,0.08401058,2.33441784
-5.97598799,11.68901228,1.05301704,8.00695921,0.87769416,0.66494807,0.00335991,0.07558719,0.08927619,2.40622973
-5.96998499,12.18375061,1.05576052,8.38278321,0.90675568,0.69485368,0.00345385,0.08009765,0.09446267,2.47519148
-5.96398199,12.65982402,1.05795236,8.74585517,0.93485040,0.72351691,0.00355748,0.08445916,0.09948521,2.54003379
-5.95797899,13.10974819,1.05922355,9.09091879,0.96134723,0.75045947,0.00366892,0.08861677,0.10425664,2.59944413
-5.95197599,13.52600385,1.05917812,9.41268404,0.98560985,0.77520835,0.00378583,0.09251915,0.10868981,2.65210949
-5.94597299,13.90125941,1.05741233,9.70597338,1.00702016,0.79731049,0.00390555,0.09612024,0.11270033,2.69676125
-5.93996998,14.22859724,1.05353439,9.96587124,1.02500234,0.81634754,0.00402511,0.09938082,0.11620911,2.73222011
-5.93396698,14.50173419,1.04718376,10.18787079,1.03904651,0.83194988,0.00414142,0.10227000,0.11914502,2.75743898
-5.92796398,14.71522755,1.03804891,10.36801263,1.04873083,0.84380944,0.00425136,0.10476649,0.12144724,2.77154203
-5.92196098,14.86465811,1.02588293,10.50300981,1.05374113,0.85169075,0.00435188,0.10685968,0.12306736,2.77385817
-5.91595798,14.94678340,1.01051622,10.59035471,1.05388707,0.85543975,0.00444017,0.10855046,0.12397113,2.76394749
-5.90995498,14.95965514,0.99186576,10.62840393,1.04911418,0.85499003,0.00451371,0.10985176,0.12413964,2.74161981
-5.90395198,14.90269725,0.96994070,10.61643816,1.03951114,0.85036634,0.00457040,0.11078877,0.12357012,2.70694453
-5.89794897,14.77674173,0.94484417,10.55469546,1.02531207,0.84168517,0.00460866,0.11139887,0.12227607,2.66025177
-5.89194597,14.58402232,0.91677142,10.44437692,1.00689372,0.82915252,0.00462745,0.11173127,0.12028699,2.60212491
-5.88594297,14.32812673,0.88600456,10.28762519,0.98476762,0.81305906,0.00462634,0.11184634,0.11764741,2.53338506
-5.87993997,14.01391047,0.85290428,10.08747696,0.95956765,0.79377283,0.00460552,0.11181468,0.11441558,2.45506850
-5.87393697,13.64737598,0.81789913,9.84779153,0.93203349,0.77172986,0.00456581,0.11171594,0.11066169,2.36839807
-5.86793397,13.23552223,0.78147286,9.57315822,0.90299064,0.74742324,0.00450863,0.11163746,0.10646575,2.27474989
