energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Zn_p_up,Zn_p_down,Zn_d_up,Zn_d_down
-6.00000000,5.52526246,-6.34348008,0.02600634,-0.03852997,0.13864010,-0.45709557,0.50875038,-1.11014424,0.48120896,-0.37960967,0.10055144,-0.11717082,1.72482122,-2.17709440,0.11929603,-0.67672747,1.21095785,-0.87633865
-5.99399700,5.48961054,-6.38474535,0.02589221,-0.03667042,0.14152314,-0.45419197,0.50334453,-1.11083144,0.48284548,-0.37682881,0.09909331,-0.11552804,1.71297736,-2.19064884,0.11600738,-0.67151561,1.19403151,-0.89612413
-5.98799400,5.43930708,-6.41756319,0.02568279,-0.03489260,0.14444179,-0.44991898,0.49687767,-1.10757683,0.48370050,-0.37392040,0.09737953,-0.11423034,1.69591808,-2.20164423,0.11286390,-0.66393795,1.17412003,-0.91474185
-5.98199100,5.37394117,-6.44098499,0.02538037,-0.03318762,0.14740654,-0.44431774,0.48943727,-1.10028413,0.48375407,-0.37084823,0.09542418,-0.11325585,1.67348316,-2.20972278,0.10987330,-0.65401547,1.15113740,-0.93195262
-5.97598799,5.29344392,-6.45420595,0.02498951,-0.03154729,0.15044752,-0.43745160,0.48115472,-1.08893369,0.48302656,-0.36757800,0.09324731,-0.11257466,1.64561841,-2.21457413,0.10704899,-0.64180874,1.12504617,-0.94753289
-5.96998499,5.19813851,-6.45659307,0.02451697,-0.02996463,0.15361689,-0.42940509,0.47220692,-1.07358388,0.48158484,-0.36407900,0.09087528,-0.11214976,1.61238977,-2.21594599,0.10441167,-0.62741778,1.09586829,-0.96128079
-5.96398199,5.08877519,-6.44770776,0.02397171,-0.02843421,0.15699046,-0.42028233,0.46281624,-1.05437000,0.47954692,-0.36032569,0.08834094,-0.11193824,1.57399291,-2.21365281,0.10199059,-0.61098072,1.06369329,-0.97302164
-5.95797899,4.96654885,-6.42732187,0.02336472,-0.02695244,0.16066846,-0.41020480,0.45324880,-1.03150082,0.47708455,-0.35629892,0.08568345,-0.11189264,1.53075768,-2.20758214,0.09982434,-0.59267132,1.02868322,-0.98261256
-5.95197599,4.83309765,-6.39542663,0.02270881,-0.02551768,0.16477528,-0.39930852,0.44381081,-1.00525268,0.47442350,-0.35198704,0.08294786,-0.11196246,1.48314703,-2.19769836,0.09796133,-0.57269520,0.99107412,-0.98994618
-5.94597299,4.69048204,-6.35223391,0.02201835,-0.02413025,0.16945804,-0.38774091,0.43484310,-0.97596153,0.47184126,-0.34738652,0.08018444,-0.11209569,1.43175042,-2.18404377,0.09645966,-0.55128513,0.95117390,-0.99495312
-5.93996998,4.54114483,-6.29817013,0.02130893,-0.02279233,0.17488394,-0.37565715,0.42671403,-0.94401313,0.46966228,-0.34250228,0.07744773,-0.11224040,1.37727187,-2.16673694,0.09538647,-0.52869538,0.90935671,-0.99760337
-5.93396698,4.38785355,-6.23386312,0.02059696,-0.02150778,0.18123646,-0.36321641,0.41981079,-0.90983190,0.46825060,-0.33734774,0.07479536,-0.11234628,1.32051333,-2.14596863,0.09481674,-0.50519553,0.86605419,-0.99790634
-5.92796398,4.23362763,-6.16012284,0.01989925,-0.02028186,0.18871036,-0.35057806,0.41452944,-0.87386880,0.46800019,-0.33194447,0.07228677,-0.11236604,1.26235387,-2.12199536,0.09483162,-0.48106378,0.82174397,-0.99590988
-5.92196098,4.08165341,-6.07791694,0.01923260,-0.01912094,0.19750573,-0.33789785,0.41126405,-0.83658881,0.46932327,-0.32632162,0.06998165,-0.11225679,1.20372586,-2.09513123,0.09551628,-0.45658028,0.77693615,-0.99169806
-5.91595798,3.93519055,-5.98834234,0.01861332,-0.01803210,0.20782119,-0.32532450,0.41039531,-0.79845854,0.47263711,-0.32051510,0.06793851,-0.11198111,1.14558902,-2.06573821,0.09695732,-0.43202058,0.73215827,-0.98538808
-5.90995498,3.79747406,-5.89259408,0.01805683,-0.01702283,0.21984656,-0.31299648,0.41227898,-0.75993431,0.47834965,-0.31456659,0.06621307,-0.11150796,1.08890361,-2.03421538,0.09924001,-0.40764945,0.68793967,-0.97712635
-5.90395198,3.67161594,-5.79193264,0.01757722,-0.01610067,0.23375522,-0.30103943,0.41723472,-0.72145138,0.48684476,-0.30852241,0.06485682,-0.11081339,1.03460379,-2.00098762,0.10244529,-0.38371547,0.64479592,-0.96708388
-5.89794897,3.56051073,-5.68765087,0.01718694,-0.01527285,0.24969653,-0.28956396,0.42553562,-0.68341435,0.49846759,-0.30243233,0.06391567,-0.10988094,0.98357233,-1.96649403,0.10664670,-0.36044631,0.60321403,-0.95545121
-5.89194597,3.46674879,-5.58104139,0.01689646,-0.01454603,0.26778865,-0.27866417,0.43739904,-0.64618938,0.51351067,-0.29634829,0.06342871,-0.10870179,0.93661756,-1.93117641,0.11190750,-0.33804498,0.56363901,-0.94243305
-5.88594297,3.39254086,-5.47336522,0.01671405,-0.01392599,0.28811204,-0.26841668,0.45297897,-0.61009804,0.53220146,-0.29032306,0.06342730,-0.10727471,0.89445359,-1.89546818,0.11827793,-0.31668704,0.52646255,-0.92824273
-5.87993997,3.33965673,-5.36582219,0.01664563,-0.01341745,0.31070405,-0.25888014,0.47236047,-0.57541310,0.55469184,-0.28440896,0.06393432,-0.10560567,0.85768430,-1.85978377,0.12579291,-0.29651887,0.49201390,-0.91309667
-5.87393697,3.30938029,-5.25952359,0.01669468,-0.01302386,0.33555476,-0.25009536,0.49555622,-0.54235616,0.58105003,-0.27865648,0.06496372,-0.10370732,0.82679172,-1.82450875,0.13447016,-0.27765672,0.46055348,-0.89720888
-5.86793397,3.30248230,-5.15546710,0.01686226,-0.01274723,0.36260443,-0.24208576,0.52250564,-0.51109698,0.61125531,-0.27311290,0.06652038,-0.10159822,0.80212894,-1.78999068,0.14430896,-0.26018676,0.43226931,-0.88078575
-5.86193097,3.31921150,-5.05451427,0.01714709,-0.01258806,0.39174258,-0.23485814,0.55307644,-0.48175440,0.64519587,-0.26782097,0.06860025,-0.09930188,0.78391773,-1.75653082,0.15528964,-0.24416578,0.40727611,-0.86402108
-5.85592796,3.35930379,-4.95737078,0.01754571,-0.01254515,0.42280888,-0.22840369,0.58706874,-0.45439856,0.68266971,-0.26281750,0.07119068,-0.09684572,0.77225064,-1.72437681,0.16737377,-0.22962242,0.38561711,-0.84709149
-5.84992496,3.42200835,-4.86456946,0.01805269,-0.01261564,0.45559583,-0.22269918,0.62422157,-0.42905422,0.72338878,-0.25813201,0.07427112,-0.09425992,0.76709726,-1.69371622,0.18050513,-0.21655898,0.36726817,-0.83015236
-5.84392196,3.50612890,-4.77645642,0.01866090,-0.01279488,0.48985301,-0.21770818,0.66422142,-0.40570497,0.76698595,-0.25378546,0.07781383,-0.09157620,0.76831407,-1.66467129,0.19461159,-0.20495338,0.35214395,-0.81333416
-5.83791896,3.61007773,-4.69318068,0.01936185,-0.01307645,0.52529286,-0.21338235,0.70671266,-0.38429789,0.81302458,-0.24978905,0.08178487,-0.08882658,0.77565738,-1.63729484,0.20960754,-0.19476148,0.34010561,-0.79673956
-5.83191596,3.73193938,-4.61468778,0.02014593,-0.01345213,0.56159769,-0.20966269,0.75130921,-0.36474868,0.86101025,-0.24614316,0.08614508,-0.08604226,0.78879848,-1.61156764,0.22539716,-0.18591931,0.33096964,-0.78044119
-5.82591296,3.86954086,-4.54071782,0.02100280,-0.01391198,0.59842749,-0.20648084,0.79760694,-0.34694690,0.91040398,-0.24283653,0.09085108,-0.08325248,0.80734018,-1.58739743,0.24187813,-0.17834554,0.32451732,-0.76448014
-5.81990995,4.02052488,-4.47080870,0.02192165,-0.01444436,0.63542832,-0.20376036,0.84519630,-0.33076112,0.96063644,-0.23984576,0.09585624,-0.08048356,0.83083411,-1.56461976,0.25894574,-0.17194376,0.32050426,-0.74886549
-5.81390695,4.18242271,-4.40430499,0.02289146,-0.01503608,0.67224074,-0.20141804,0.89367449,-0.31604406,1.01112239,-0.23713507,0.10111152,-0.07775809,0.85879769,-1.54300097,0.27649718,-0.16660489,0.31866966,-0.73357468
-5.80790395,4.35272336,-4.34037304,0.02390122,-0.01567251,0.70850801,-0.19936534,0.94265654,-0.30263742,1.06127481,-0.23465664,0.10656616,-0.07509427,0.89073019,-1.52224336,0.29443580,-0.16220948,0.31874485,-0.71855506
-5.80190095,4.52893630,-4.27802249,0.02494010,-0.01633784,0.74388363,-0.19750988,0.99178483,-0.29037645,1.11051799,-0.23235128,0.11216824,-0.07250549,0.92612721,-1.50199278,0.31267508,-0.15863010,0.32046080,-0.70372637
-5.79589795,4.70864536,-4.21613429,0.02599753,-0.01701529,0.77803792,-0.19575708,1.04073640,-0.27909419,1.15829926,-0.23014970,0.11786495,-0.07000017,0.96449292,-1.48184858,0.33114207,-0.15573369,0.32355434,-0.68898439
-5.78989495,4.88955200,-4.15349478,0.02706325,-0.01768746,0.81066340,-0.19401198,1.08922783,-0.26862541,1.20409875,-0.22797424,0.12360281,-0.06758172,1.00534964,-1.46137570,0.34978009,-0.15338404,0.32777306,-0.67420550
-5.78389195,5.06950696,-4.08883522,0.02812729,-0.01833667,0.84147886,-0.19218120,1.13701734,-0.25881017,1.24743708,-0.22574109,0.12932762,-0.06524884,1.04824460,-1.44011888,0.36855041,-0.15144427,0.33287868,-0.65925224
-5.77788894,5.24652998,-4.02087567,0.02917990,-0.01894535,0.87023192,-0.19017499,1.18390403,-0.24949705,1.28788081,-0.22336296,0.13498432,-0.06299595,1.09275363,-1.41761838,0.38743283,-0.14977949,0.33864909,-0.64397947
-5.77188594,5.41881794,-3.94837163,0.03021146,-0.01949650,0.89670034,-0.18790944,1.22972437,-0.24054606,1.32504569,-0.22075204,0.14051683,-0.06081384,1.13848193,-1.39342672,0.40642489,-0.14825936,0.34487905,-0.62824112
-5.76588294,5.58474264,-3.87016176,0.03121240,-0.01997411,0.92069198,-0.18530861,1.27434607,-0.23183110,1.35859790,-0.21782317,0.14586789,-0.05869046,1.18506205,-1.36712587,0.42553983,-0.14676075,0.35137988,-0.61189713
-5.75987994,5.74283969,-3.78521470,0.03217305,-0.02036362,0.94204380,-0.18230670,1.31765992,-0.22324214,1.38825359,-0.21449715,0.15097889,-0.05661179,1.23214950,-1.33834413,0.44480306,-0.14517035,0.35797824,-0.59482034
-5.75387694,5.89179084,-3.69267280,0.03308358,-0.02065234,0.96062002,-0.17884998,1.35956991,-0.21468686,1.41377706,-0.21070392,0.15578997,-0.05456287,1.27941645,-1.30677191,0.46424752,-0.14338711,0.36451444,-0.57690302
-5.74787394,6.03040199,-3.59189077,0.03393399,-0.02082983,0.97630983,-0.17489855,1.39998251,-0.20609204,1.43497812,-0.20638553,0.16024024,-0.05252868,1.32654410,-1.27217567,0.48390785,-0.14132446,0.37084039,-0.55806269
-5.74187094,6.15757968,-3.48246735,0.03471403,-0.02088824,0.98902502,-0.17042772,1.43879563,-0.19740433,1.45170905,-0.20149873,0.16426833,-0.05049518,1.37321440,-1.23440945,0.50381375,-0.13891231,0.37681761,-0.53824699
-5.73586793,6.27230838,-3.36426839,0.03541338,-0.02082257,0.99869771,-0.16542902,1.47588831,-0.18859065,1.46386161,-0.19601712,0.16781311,-0.04845012,1.41910184,-1.19342326,0.52398287,-0.13609862,0.38231540,-0.51743734
-5.72986493,6.37363120,-3.23744023,0.03602171,-0.02063084,1.00527854,-0.15991074,1.51111165,-0.17963819,1.47136449,-0.18993259,0.17081484,-0.04638383,1.46386594,-1.14926796,0.54441355,-0.13285053,0.38720962,-0.49565118
