energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,2.54289319,0.99895242,0.46359085,0.00333343,0.14988470,0.61952718,0.35580864,0.00505944,1.60844484
-5.99399700,2.48805142,0.97546504,0.45969276,0.00349179,0.14114946,0.59268216,0.35007791,0.00469698,1.57671436
-5.98799400,2.43211036,0.95138999,0.45578117,0.00364742,0.13241079,0.56520987,0.34434301,0.00436161,1.54412652
-5.98199100,2.37599664,0.92711145,0.45198896,0.00379837,0.12376300,0.53744723,0.33871155,0.00405755,1.51126264
-5.97598799,2.32059278,0.90299473,0.44844097,0.00394255,0.11529460,0.50972434,0.33328023,0.00378842,1.47868102
-5.96998499,2.26672257,0.87937873,0.44525254,0.00407778,0.10708676,0.48235770,0.32813346,0.00355721,1.44690747
-5.96398199,2.21513923,0.85656996,0.44252845,0.00420189,0.09921210,0.45564409,0.32334260,0.00336630,1.41642756
-5.95797899,2.16651669,0.83483799,0.44036249,0.00431268,0.09173364,0.42985528,0.31896577,0.00321751,1.38768061
-5.95197599,2.12144397,0.81441281,0.43883744,0.00440805,0.08470420,0.40523363,0.31504822,0.00311210,1.36105569
-5.94597299,2.08042284,0.79548376,0.43802555,0.00448602,0.07816590,0.38198887,0.31162316,0.00305078,1.33688954
-5.93996998,2.04386828,0.77820027,0.43798935,0.00454478,0.07215013,0.36029592,0.30871304,0.00303377,1.31546625
-5.93396698,2.01211153,0.76267388,0.43878275,0.00458278,0.06667766,0.34029386,0.30633120,0.00306074,1.29701851
-5.92796398,1.98540518,0.74898153,0.44045226,0.00459875,0.06175905,0.32208602,0.30448356,0.00313086,1.28173017
-5.92196098,1.96392947,0.73716969,0.44303822,0.00459175,0.05739520,0.30574088,0.30317053,0.00324277,1.26973952
-5.91595798,1.94779932,0.72725881,0.44657580,0.00456125,0.05357817,0.29129390,0.30238867,0.00339454,1.26114305
-5.90995498,1.93707120,0.71924791,0.45109584,0.00450709,0.05029198,0.27874986,0.30213228,0.00358369,1.25599916
-5.90395198,1.93174925,0.71311872,0.45662513,0.00442956,0.04751364,0.26808572,0.30239449,0.00380714,1.25433136
-5.89794897,1.93179010,0.70883928,0.46318631,0.00432935,0.04521412,0.25925366,0.30316803,0.00406121,1.25613071
-5.89194597,1.93710592,0.70636643,0.47079713,0.00420760,0.04335940,0.25218422,0.30444548,0.00434161,1.26135722
-5.88594297,1.94756555,0.70564732,0.47946922,0.00406582,0.04191146,0.24678934,0.30621895,0.00464349,1.26994000
-5.87993997,1.96299366,0.70661974,0.48920629,0.00390590,0.04082924,0.24296523,0.30847932,0.00496140,1.28177636
-5.87393697,1.98316817,0.70921125,0.50000195,0.00373001,0.04006961,0.24059493,0.31121505,0.00528945,1.29672975
-5.86793397,2.00781631,0.71333749,0.51183724,0.00354061,0.03958820,0.23955054,0.31441064,0.00562130,1.31462707
-5.86193097,2.03660994,0.71889965,0.52467802,0.00334033,0.03934017,0.23969522,0.31804483,0.00595031,1.33525549
-5.85592796,2.06916074,0.72578166,0.53847244,0.00313191,0.03928101,0.24088475,0.32208885,0.00626968,1.35835939
-5.84992496,2.10501610,0.73384728,0.55314878,0.00291815,0.03936715,0.24296902,0.32650470,0.00657257,1.38363785
-5.84392196,2.14365647,0.74293755,0.56861363,0.00270181,0.03955657,0.24579325,0.33124369,0.00685229,1.41074315
-5.83791896,2.18449482,0.75286906,0.58475089,0.00248557,0.03980935,0.24919924,0.33624545,0.00710248,1.43928080
-5.83191596,2.22687880,0.76343311,0.60142153,0.00227193,0.04008815,0.25302660,0.34143750,0.00731724,1.46881139
-5.82591296,2.27009611,0.77439635,0.61846425,0.00206320,0.04035863,0.25711415,0.34673535,0.00749136,1.49885453
-5.81990995,2.31338316,0.78550272,0.63569722,0.00186142,0.04058983,0.26130141,0.35204345,0.00762044,1.52889501
-5.81390695,2.35593710,0.79647708,0.65292073,0.00166835,0.04075449,0.26543047,0.35725680,0.00770105,1.55839119
-5.80790395,2.39693093,0.80703022,0.66992084,0.00148543,0.04082928,0.26934791,0.36226323,0.00773080,1.58678533
-5.80190095,2.43553130,0.81686520,0.68647379,0.00131380,0.04079502,0.27290710,0.36694633,0.00770847,1.61351559
-5.79589795,2.47091824,0.82568489,0.70235115,0.00115425,0.04063679,0.27597059,0.37118890,0.00763397,1.63802936
-5.78989495,2.50230615,0.83320008,0.71732536,0.00100731,0.04034395,0.27841261,0.37487676,0.00750840,1.65979711
-5.78389195,2.52896501,0.83913813,0.73117556,0.00087318,0.03991017,0.28012166,0.37790277,0.00733398,1.67832648
-5.77788894,2.55024101,0.84325139,0.74369340,0.00075184,0.03933331,0.28100289,0.38017082,0.00711395,1.69317571
-5.77188594,2.56557551,0.84532525,0.75468863,0.00064302,0.03861521,0.28098032,0.38159973,0.00685250,1.70396594
-5.76588294,2.57452155,0.84518517,0.76399413,0.00054626,0.03776149,0.27999879,0.38212674,0.00655455,1.71039173
-5.75987994,2.57675707,0.84270255,0.77147037,0.00046097,0.03678125,0.27802537,0.38171050,0.00622565,1.71222939
-5.75387694,2.57209426,0.83779888,0.77700888,0.00038641,0.03568663,0.27505026,0.38033335,0.00587175,1.70934265
-5.74787394,2.56048458,0.83044821,0.78053479,0.00032179,0.03449246,0.27108719,0.37800286,0.00549905,1.70168544
-5.74187094,2.54201917,0.82067768,0.78200819,0.00026624,0.03321579,0.26617299,0.37475247,0.00511378,1.68930174
-5.73586793,2.51692473,0.80856606,0.78142442,0.00021889,0.03187537,0.26036670,0.37064120,0.00472203,1.67232232
-5.72986493,2.48555488,0.79424053,0.77881314,0.00017888,0.03049120,0.25374785,0.36575242,0.00432962,1.65095885
-5.72386193,2.44837752,0.77787171,0.77423632,0.00014534,0.02908399,0.24641428,0.36019172,0.00394192,1.62549532
-5.71785893,2.40595868,0.75966736,0.76778530,0.00011749,0.02767471,0.23847936,0.35408396,0.00356376,1.59627748
-5.71185593,2.35894351,0.73986488,0.75957690,0.00009456,0.02628407,0.23006881,0.34756953,0.00319934,1.56370060
-5.70585293,2.30803530,0.71872318,0.74974897,0.00007587,0.02493216,0.22131718,0.34080006,0.00285217,1.52819619
-5.69984992,2.25397336,0.69651420,0.73845542,0.00006079,0.02363800,0.21236424,0.33393358,0.00252507,1.49021824
-5.69384692,2.19751060,0.67351444,0.72586099,0.00004876,0.02241920,0.20335121,0.32712949,0.00222014,1.45022966
-5.68784392,2.13939184,0.64999700,0.71213612,0.00003930,0.02129173,0.19441717,0.32054329,0.00193879,1.40868933
-5.68184092,2.08033355,0.62622434,0.69745189,0.00003198,0.02026963,0.18569560,0.31432153,0.00168178,1.36604043
-5.67583792,2.02100582,0.60244205,0.68197554,0.00002643,0.01936485,0.17731136,0.30859687,0.00144933,1.32270043
-5.66983492,1.96201725,0.57887402,0.66586646,0.00002234,0.01858718,0.16937793,0.30348369,0.00124110,1.27905307
-5.66383192,1.90390312,0.55571878,0.64927311,0.00001944,0.01794418,0.16199522,0.29907422,0.00105636,1.23544256
-5.65782891,1.84711726,0.53314745,0.63233065,0.00001752,0.01744114,0.15524794,0.29543541,0.00089401,1.19217016
-5.65182591,1.79202771,0.51130301,0.61515963,0.00001639,0.01708121,0.14920439,0.29260677,0.00075268,1.14949307
-5.64582291,1.73891619,0.49030091,0.59786561,0.00001590,0.01686544,0.14391591,0.29059902,0.00063082,1.10762550
-5.63981991,1.68798122,0.47023085,0.58053962,0.00001591,0.01679294,0.13941683,0.28939384,0.00052676,1.06674180
-5.63381691,1.63934446,0.45115944,0.56325960,0.00001634,0.01686104,0.13572485,0.28894469,0.00043877,1.02698119
-5.62781391,1.59305997,0.43313370,0.54609241,0.00001708,0.01706547,0.13284195,0.28917860,0.00036510,0.98845377
-5.62181091,1.54912571,0.41618492,0.52909647,0.00001808,0.01740057,0.13075563,0.28999905,0.00030405,0.95124744
