energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-5.91595798,1.93463359,-2.05097628,0.00415240,-0.00960231,0.03366017,-0.10784873,0.58334525,-0.62440831,0.28461626,-0.24280623,0.56160337,-0.63142380,0.30332302,-0.18036030,0.01231735,-0.02577761,1.12875206,-1.19586896
-5.90995498,1.95981147,-2.02898814,0.00382316,-0.00864882,0.03186317,-0.10836177,0.59232576,-0.61395497,0.28932004,-0.23927369,0.55881066,-0.63490335,0.31078586,-0.17865977,0.01229841,-0.02492730,1.14616159,-1.18274072
-5.90395198,1.98109753,-2.00273347,0.00352080,-0.00774820,0.03018477,-0.10840233,0.59968113,-0.60263950,0.29336495,-0.23556977,0.55532048,-0.63625849,0.31748697,-0.17649457,0.01230243,-0.02405089,1.16101289,-1.16733213
-5.89794897,1.99710487,-1.97260482,0.00324335,-0.00690541,0.02861720,-0.10795556,0.60502048,-0.59067974,0.29653967,-0.23174832,0.55086608,-0.63548244,0.32317384,-0.17390072,0.01231627,-0.02315177,1.17248354,-1.14990181
-5.89194597,2.00655665,-1.93904908,0.00298868,-0.00612403,0.02715047,-0.10701432,0.60799638,-0.57829406,0.29865033,-0.22786799,0.54519687,-0.63260398,0.32761346,-0.17092137,0.01232719,-0.02223304,1.17982176,-1.13073698
-5.88594297,2.00833223,-1.90257116,0.00275461,-0.00540616,0.02577300,-0.10557992,0.60831697,-0.56569990,0.29952761,-0.22399338,0.53809009,-0.62769044,0.33060019,-0.16760678,0.01232317,-0.02129774,1.18237323,-1.11015503
-5.87993997,2.00150774,-1.86373557,0.00253901,-0.00475259,0.02447240,-0.10366257,0.60575624,-0.55311240,0.29903276,-0.22019572,0.52936131,-0.62084936,0.33196283,-0.16401420,0.01229332,-0.02034904,1.17960450,-1.08850395
-5.87393697,1.98538924,-1.82316510,0.00233985,-0.00416291,0.02323615,-0.10128165,0.60016203,-0.54074276,0.29706268,-0.21655313,0.51887324,-0.61222874,0.33157040,-0.16020740,0.01222818,-0.01939045,1.17112194,-1.06616109
-5.86793397,1.95953714,-1.78153585,0.00215522,-0.00363559,0.02205224,-0.09846553,0.59146128,-0.52879630,0.29355350,-0.21315016,0.50654236,-0.60201544,0.32933655,-0.15625592,0.01211992,-0.01842595,1.15668539,-1.04352988
-5.86193097,1.92378061,-1.73956830,0.00198344,-0.00316824,0.02090971,-0.09525111,0.57966244,-0.51747002,0.28848268,-0.21007669,0.49234322,-0.59043181,0.32522221,-0.15223399,0.01196256,-0.01746003,1.13621592,-1.02103433
-5.85592796,1.87822181,-1.69801423,0.00182302,-0.00275773,0.01979915,-0.09168308,0.56485491,-0.50694961,0.28186951,-0.20742601,0.47631023,-0.57773052,0.31923656,-0.14821911,0.01175206,-0.01649780,1.10979755,-0.99911123
-5.84992496,1.82322967,-1.65763979,0.00167272,-0.00240035,0.01871297,-0.08781274,0.54720552,-0.49740600,0.27377402,-0.20529228,0.45853685,-0.56418771,0.31143620,-0.14429032,0.01148639,-0.01554490,1.07767284,-0.97820012
-5.84392196,1.75942389,-1.61920514,0.00153151,-0.00209203,0.01764567,-0.08369668,0.52695234,-0.48899141,0.26429441,-0.20376729,0.43917245,-0.55009475,0.30192263,-0.14052622,0.01116549,-0.01460747,1.04023276,-0.95873150
