energy_ev,total_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.89206666,0.03113906,0.00173184,0.19532663,0.02647592,0.03496304,0.47293527,0.37590354,0.07483463
-5.99399700,0.79984348,0.02995880,0.00146998,0.17948490,0.02310942,0.03283456,0.42135394,0.32839446,0.06777702
-5.98799400,0.71501012,0.02875074,0.00124260,0.16462987,0.02005203,0.03079498,0.37402016,0.28511459,0.06125972
-5.98199100,0.63734643,0.02751286,0.00104592,0.15073353,0.01729477,0.02883693,0.33082701,0.24598298,0.05526049
-5.97598799,0.56657006,0.02624470,0.00087648,0.13776059,0.01482586,0.02695392,0.29162635,0.21086964,0.04975418
-5.96998499,0.50234741,0.02494745,0.00073114,0.12567040,0.01263108,0.02514047,0.25623537,0.17960205,0.04471345
-5.96398199,0.44430550,0.02362399,0.00060702,0.11441891,0.01069421,0.02339226,0.22444363,0.15197254,0.04010956
-5.95797899,0.39204390,0.02227881,0.00050151,0.10396044,0.00899750,0.02170617,0.19602040,0.12774603,0.03591309
-5.95197599,0.34514634,0.02091789,0.00041229,0.09424931,0.00752221,0.02008025,0.17072179,0.10666788,0.03209466
-5.94597299,0.30319138,0.01954853,0.00033722,0.08524106,0.00624898,0.01851373,0.14829757,0.08847157,0.02862549
-5.93996998,0.26576191,0.01817905,0.00027444,0.07689351,0.00515840,0.01700686,0.12849724,0.07288580,0.02547792
-5.93396698,0.23245310,0.01681854,0.00022226,0.06916734,0.00423130,0.01556075,0.11107529,0.05964089,0.02262578
-5.92796398,0.20287878,0.01547650,0.00017919,0.06202646,0.00344919,0.01417724,0.09579563,0.04847436,0.02004467
-5.92196098,0.17667615,0.01416253,0.00014395,0.05543808,0.00279449,0.01285862,0.08243492,0.03913550,0.01771209
-5.91595798,0.15350902,0.01288596,0.00011540,0.04937252,0.00225078,0.01160742,0.07078510,0.03138899,0.01560751
-5.90995498,0.13306965,0.01165560,0.00009260,0.04380290,0.00180297,0.01042623,0.06065498,0.02501760,0.01371233
-5.90395198,0.11507947,0.01047942,0.00007474,0.03870472,0.00143742,0.00931745,0.05187117,0.01982393,0.01200985
-5.89794897,0.09928890,0.00936436,0.00006119,0.03405534,0.00114195,0.00828313,0.04427832,0.01563143,0.01048507
-5.89194597,0.08547656,0.00831613,0.00005145,0.02983357,0.00090592,0.00732487,0.03773894,0.01228472,0.00912464
-5.88594297,0.07344810,0.00733918,0.00004517,0.02601926,0.00072018,0.00644371,0.03213290,0.00964942,0.00791667
-5.87993997,0.06303489,0.00643658,0.00004219,0.02259297,0.00057703,0.00564008,0.02735668,0.00761149,0.00685066
-5.87393697,0.05409279,0.00561009,0.00004245,0.01953581,0.00047019,0.00491381,0.02332265,0.00607641,0.00591738
-5.86793397,0.04650103,0.00486021,0.00004610,0.01682938,0.00039472,0.00426423,0.01995828,0.00496812,0.00510887
-5.86193097,0.04016149,0.00418632,0.00005343,0.01445583,0.00034694,0.00369020,0.01720549,0.00422797,0.00441840
-5.85592796,0.03499832,0.00358680,0.00006496,0.01239806,0.00032441,0.00319029,0.01502015,0.00381360,0.00384053
-5.84992496,0.03095794,0.00305921,0.00008136,0.01064004,0.00032586,0.00276292,0.01337177,0.00369805,0.00337120
-5.84392196,0.02800941,0.00260053,0.00010357,0.00916714,0.00035114,0.00240650,0.01224335,0.00386884,0.00300780
-5.83791896,0.02614515,0.00220730,0.00013273,0.00796662,0.00040120,0.00211970,0.01163148,0.00432735,0.00274938
-5.83191596,0.02538191,0.00187583,0.00017028,0.00702808,0.00047809,0.00190152,0.01154646,0.00508829,0.00259675
-5.82591296,0.02576187,0.00160241,0.00021791,0.00634399,0.00058493,0.00175157,0.01201268,0.00617923,0.00255267
-5.81990995,0.02735382,0.00138343,0.00027763,0.00591009,0.00072591,0.00167015,0.01306898,0.00764044,0.00262202
-5.81390695,0.03025417,0.00121555,0.00035173,0.00572590,0.00090631,0.00165844,0.01476898,0.00952457,0.00281190
-5.80790395,0.03458782,0.00109581,0.00044285,0.00579509,0.00113249,0.00171857,0.01718140,0.01189656,0.00313179
-5.80190095,0.04050861,0.00102170,0.00055393,0.00612580,0.00141187,0.00185371,0.02039018,0.01483332,0.00359358
-5.79589795,0.04819930,0.00099120,0.00068819,0.00673089,0.00175295,0.00206806,0.02449445,0.01842348,0.00421161
-5.78989495,0.05787085,0.00100284,0.00084916,0.00762806,0.00216523,0.00236689,0.02960814,0.02276685,0.00500264
-5.78389195,0.06976110,0.00105565,0.00104057,0.00884000,0.00265919,0.00275643,0.03585930,0.02797374,0.00598569
-5.77788894,0.08413246,0.00114916,0.00126635,0.01039427,0.00324620,0.00324378,0.04338907,0.03416397,0.00718188
-5.77188594,0.10126895,0.00128328,0.00153051,0.01232323,0.00393838,0.00383672,0.05235016,0.04146565,0.00861418
-5.76588294,0.12147214,0.00145828,0.00183706,0.01466381,0.00474854,0.00454354,0.06290495,0.05001359,0.01030701
-5.75987994,0.14505647,0.00167462,0.00218992,0.01745722,0.00568994,0.00537272,0.07522322,0.05994738,0.01228585
-5.75387694,0.17234364,0.00193285,0.00259275,0.02074859,0.00677615,0.00633270,0.08947944,0.07140927,0.01457675
-5.74787394,0.20365650,0.00223349,0.00304885,0.02458658,0.00802086,0.00743153,0.10584980,0.08454174,0.01720577
-5.74187094,0.23931246,0.00257686,0.00356097,0.02902286,0.00943763,0.00867651,0.12450902,0.09948485,0.02019845
-5.73586793,0.27961673,0.00296296,0.00413122,0.03411167,0.01103972,0.01007389,0.14562701,0.11637364,0.02357914
-5.72986493,0.32485548,0.00339131,0.00476083,0.03990934,0.01283984,0.01162846,0.16936557,0.13533531,0.02737046
-5.72386193,0.37528946,0.00386087,0.00545008,0.04647371,0.01484999,0.01334328,0.19587521,0.15648673,0.03159275
-5.71785893,0.43114800,0.00436991,0.00619814,0.05386370,0.01708127,0.01521939,0.22529218,0.17993193,0.03626352
-5.71185593,0.49262389,0.00491596,0.00700299,0.06213877,0.01954375,0.01725556,0.25773585,0.20576007,0.04139701
-5.70585293,0.55986917,0.00549574,0.00786133,0.07135841,0.02224634,0.01944814,0.29330660,0.23404360,0.04700386
-5.69984992,0.63299197,0.00610520,0.00876855,0.08158161,0.02519676,0.02179099,0.33208401,0.26483701,0.05309079
-5.69384692,0.71205444,0.00673953,0.00971874,0.09286624,0.02840142,0.02427547,0.37412572,0.29817585,0.05966047
-5.68784392,0.79707169,0.00739329,0.01070477,0.10526840,0.03186547,0.02689051,0.41946654,0.33407628,0.06671139
-5.68184092,0.88801163,0.00806050,0.01171833,0.11884159,0.03559271,0.02962282,0.46811802,0.37253493,0.07423786
-5.67583792,0.98479540,0.00873482,0.01275014,0.13363571,0.03958559,0.03245715,0.52006818,0.41352904,0.08222999
-5.66983492,1.08729806,0.00940980,0.01379010,0.14969588,0.04384517,0.03537662,0.57528134,0.45701682,0.09067377
-5.66383192,1.19534937,0.01007907,0.01482751,0.16706098,0.04837100,0.03836307,0.63369774,0.50293777,0.09955103
-5.65782891,1.30873401,0.01073664,0.01585137,0.18576191,0.05316094,0.04139757,0.69523303,0.55121296,0.10883946
-5.65182591,1.42719121,0.01137715,0.01685056,0.20581964,0.05821097,0.04446078,0.75977712,0.60174507,0.11851244
-5.64582291,1.55041323,0.01199615,0.01781424,0.22724289,0.06351483,0.04753340,0.82719270,0.65441813,0.12853886
-5.63981991,1.67804285,0.01259034,0.01873200,0.25002572,0.06906362,0.05059660,0.89731298,0.70909684,0.13888276
-5.63381691,1.80966957,0.01315775,0.01959425,0.27414490,0.07484532,0.05363233,0.96993898,0.76562555,0.14950291
-5.62781391,1.94482489,0.01369797,0.02039234,0.29955727,0.08084423,0.05662359,1.04483632,0.82382685,0.16035222
-5.62181091,2.08297681,0.01421218,0.02111887,0.32619723,0.08704041,0.05955465,1.12173178,0.88349991,0.17137722
-5.61580790,2.22352417,0.01470324,0.02176778,0.35397441,0.09340908,0.06241110,1.20030982,0.94441872,0.18251739
-5.60980490,2.36579126,0.01517561,0.02233452,0.38277179,0.09992011,0.06517990,1.28020956,1.00633046,0.19370464
-5.60380190,2.50902363,0.01563520,0.02281609,0.41244441,0.10653756,0.06784926,1.36102237,1.06895411,0.20486295
-5.59779890,2.65238550,0.01608920,0.02321106,0.44281876,0.11321946,0.07040850,1.44229070,1.13197969,0.21590811
-5.59179590,2.79495985,0.01654574,0.02351957,0.47369305,0.11991767,0.07284778,1.52350829,1.19506819,0.22674790
-5.58579290,2.93575146,0.01701354,0.02374323,0.50483841,0.12657807,0.07515792,1.60412221,1.25785246,0.23728249
-5.57978989,3.07369352,0.01750147,0.02388500,0.53600117,0.13314097,0.07733001,1.68353688,1.31993921,0.24740541
-5.57378689,3.20765815,0.01801806,0.02394904,0.56690603,0.13954185,0.07935521,1.76112019,1.38091210,0.25700480
-5.56778389,3.33647057,0.01857105,0.02394054,0.59726031,0.14571239,0.08122446,1.83621166,1.44033589,0.26596527
-5.56178089,3.45892695,0.01916682,0.02386549,0.62675898,0.15158168,0.08292826,1.90813242,1.49776165,0.27417004
-5.55577789,3.57381524,0.01980997,0.02373050,0.65509036,0.15707782,0.08445656,1.97619684,1.55273276,0.28150362
-5.54977489,3.67993835,0.02050287,0.02354252,0.68194235,0.16212956,0.08579867,2.03972522,1.60479149,0.28785460
-5.54377189,3.77613866,0.02124529,0.02330866,0.70700893,0.16666815,0.08694328,2.09805709,1.65348586,0.29311874
