energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,7.64014905,0.33516952,0.06564220,1.23842503,1.08225214,0.12705455,2.35866526,0.88784276,2.85345405
-5.99399700,7.43240609,0.33547217,0.06358247,1.20241262,1.07961049,0.12283926,2.31024600,0.87598926,2.74238284
-5.98799400,7.21827670,0.33435373,0.06138581,1.16512920,1.07329529,0.11882254,2.25805004,0.86122627,2.63338659
-5.98199100,6.99668196,0.33177040,0.05906291,1.12649666,1.06315368,0.11495119,2.20179978,0.84356065,2.52587362
-5.97598799,6.76678273,0.32770434,0.05662671,1.08646468,1.04910065,0.11117411,2.14130900,0.82304942,2.41929797
-5.96998499,6.52803329,0.32216430,0.05409217,1.04501893,1.03112240,0.10744472,2.07649607,0.79979922,2.31318968
-5.96398199,6.28022050,0.31518556,0.05147599,1.00218722,1.00927752,0.10372304,2.00739286,0.77396454,2.20717912
-5.95797899,6.02348771,0.30682912,0.04879636,0.95804328,0.98369630,0.09997732,1.93414917,0.74574456,2.10101470
-5.95197599,5.75834346,0.29718022,0.04607258,0.91270833,0.95457800,0.09618539,1.85703291,0.71537886,1.99457382
-5.94597299,5.48565575,0.28634627,0.04332468,0.86635038,0.92218654,0.09233550,1.77642623,0.68314220,1.88786721
-5.93996998,5.20663296,0.27445410,0.04057315,0.81918129,0.88684453,0.08842686,1.69281814,0.64933835,1.78103692
-5.93396698,4.92279313,0.26164682,0.03783847,0.77145212,0.84892615,0.08446971,1.60679394,0.61429343,1.67434865
-5.92796398,4.63592353,0.24808023,0.03514087,0.72344680,0.80884899,0.08048519,1.51902227,0.57834883,1.56817928
-5.92196098,4.34803290,0.23391899,0.03249995,0.67547460,0.76706518,0.07650477,1.43024021,0.54185388,1.46300049
-5.91595798,4.06129839,0.21933262,0.02993440,0.62786183,0.72405208,0.07256959,1.34123724,0.50515869,1.35935945
-5.90995498,3.77800976,0.20449155,0.02746180,0.58094309,0.68030276,0.06872950,1.25283840,0.46860712,1.25785784
-5.90395198,3.50051289,0.18956322,0.02509833,0.53505250,0.63631665,0.06504201,1.16588756,0.43253028,1.15913002
-5.89794897,3.23115469,0.17470846,0.02285866,0.49051527,0.59259037,0.06157106,1.08123100,0.39724061,1.06382142
-5.89194597,2.97223099,0.16007824,0.02075578,0.44763999,0.54960911,0.05838579,0.99970178,0.36302674,0.97256807
-5.88594297,2.72593900,0.14581080,0.01880094,0.40671171,0.50783871,0.05555922,0.92210537,0.33014917,0.88597776
-5.87993997,2.49433509,0.13202940,0.01700354,0.36798634,0.46771849,0.05316679,0.84920648,0.29883703,0.80461363
-5.87393697,2.27929879,0.11884055,0.01537117,0.33168613,0.42965493,0.05128500,0.78171755,0.26928567,0.72898033
-5.86793397,2.08250301,0.10633291,0.01390956,0.29799659,0.39401639,0.04998988,0.72028856,0.24165536,0.65951307
-5.86193097,1.90539062,0.09457672,0.01262267,0.26706472,0.36112868,0.04935545,0.66549845,0.21607093,0.59656948
-5.85592796,1.74915690,0.08362388,0.01151267,0.23899842,0.33127161,0.04945208,0.61784781,0.19262227,0.54042430
-5.84992496,1.61473726,0.07350846,0.01058004,0.21386720,0.30467645,0.05034480,0.57775281,0.17136571,0.49126648
-5.84392196,1.50279966,0.06424780,0.00982369,0.19170374,0.28152420,0.05209147,0.54554013,0.15232607,0.44919848
-5.83791896,1.41374088,0.05584393,0.00924094,0.17250645,0.26194461,0.05474096,0.52144282,0.13549927,0.41423743
-5.83191596,1.34768597,0.04828530,0.00882774,0.15624255,0.24601588,0.05833114,0.50559691,0.12085541,0.38631772
-5.82591296,1.30449036,0.04154880,0.00857867,0.14285181,0.23376496,0.06288699,0.49803873,0.10834223,0.36529466
-5.81990995,1.28374426,0.03560185,0.00848712,0.13225049,0.22516841,0.06841861,0.49870297,0.09788866,0.35094898
-5.81390695,1.28477911,0.03040464,0.00854540,0.12433561,0.22015374,0.07491938,0.50742157,0.08940864,0.34299195
-5.80790395,1.30667640,0.02591231,0.00874491,0.11898926,0.21860123,0.08236433,0.52392367,0.08280480,0.34107086
-5.80190095,1.34827904,0.02207708,0.00907626,0.11608299,0.22034636,0.09070871,0.54783681,0.07797220,0.34477509
-5.79589795,1.40820593,0.01885030,0.00952956,0.11548221,0.22518264,0.09988695,0.57868978,0.07480199,0.35364238
-5.78989495,1.48487034,0.01618427,0.01009460,0.11705051,0.23286517,0.10981219,0.61591743,0.07318487,0.36716589
-5.78389195,1.57650293,0.01403400,0.01076115,0.12065403,0.24311485,0.12037625,0.65886779,0.07301449,0.38480173
-5.77788894,1.68117994,0.01235871,0.01151927,0.12616572,0.25562322,0.13145039,0.70681190,0.07419067,0.40597742
-5.77188594,1.79685712,0.01112313,0.01235968,0.13346962,0.27005827,0.14288672,0.75895633,0.07662252,0.43010125
-5.76588294,1.92140949,0.01029861,0.01327414,0.14246504,0.28607082,0.15452039,0.81445871,0.08023129,0.45657259
-5.75987994,2.05267681,0.00986408,0.01425582,0.15307063,0.30330187,0.16617260,0.87244609,0.08495313,0.48479329
-5.75387694,2.18851410,0.00980673,0.01529972,0.16522823,0.32139045,0.17765423,0.93203571,0.09074152,0.51417987
-5.74787394,2.32684592,0.01012252,0.01640306,0.17890639,0.33998210,0.18877021,0.99235792,0.09756947,0.54417641
-5.74187094,2.46572294,0.01081652,0.01756560,0.19410335,0.35873760,0.19932438,1.05258033,0.10543119,0.57426773
-5.73586793,2.60337860,0.01190294,0.01878993,0.21084933,0.37734182,0.20912464,1.11193242,0.11434341,0.60399241
-5.72986493,2.73828332,0.01340503,0.02008164,0.22920788,0.39551219,0.21798840,1.16972951,0.12434588,0.63295518
