energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,1.37958974,0.78052336,0.26981471,0.00337811,0.14803639,0.32771524,0.44333872,0.57283774,0.00000000
-5.99399700,1.38226470,0.77952158,0.27232105,0.00324055,0.14518692,0.32534310,0.45031544,0.56828023,0.00000000
-5.98799400,1.39196084,0.78327737,0.27598600,0.00313018,0.14321565,0.32510993,0.45883749,0.56738322,0.00000000
-5.98199100,1.40777910,0.79116488,0.28060914,0.00304348,0.14207451,0.32666823,0.46864729,0.56973132,0.00000000
-5.97598799,1.42870966,0.80248195,0.28596754,0.00297675,0.14169321,0.32964280,0.47947197,0.57485204,0.00000000
-5.96998499,1.45365618,0.81646678,0.29182161,0.00292633,0.14198158,0.33364114,0.49102809,0.58222772,0.00000000
-5.96398199,1.48146359,0.83231691,0.29792162,0.00288861,0.14283256,0.33826453,0.50302727,0.59130916,0.00000000
-5.95797899,1.51094860,0.84920991,0.30401487,0.00286020,0.14412584,0.34311932,0.51518232,0.60153048,0.00000000
-5.95197599,1.54093210,0.86632530,0.30985301,0.00283800,0.14573190,0.34782821,0.52721403,0.61232479,0.00000000
-5.94597299,1.57027248,0.88286685,0.31519951,0.00281932,0.14751644,0.35204106,0.53885812,0.62314036,0.00000000
-5.93996998,1.59789879,0.89808464,0.31983692,0.00280194,0.14934485,0.35544489,0.54987243,0.63345656,0.00000000
-5.93396698,1.62284262,0.91129616,0.32357356,0.00278417,0.15108675,0.35777271,0.56004394,0.64279927,0.00000000
-5.92796398,1.64426763,0.92190551,0.32624963,0.00276494,0.15262038,0.35881090,0.56919537,0.65075504,0.00000000
-5.92196098,1.66149570,0.92942027,0.32774224,0.00274378,0.15383661,0.35840483,0.57719127,0.65698374,0.00000000
-5.91595798,1.67402859,0.93346521,0.32796931,0.00272088,0.15464256,0.35646260,0.58394309,0.66122908,0.00000000
-5.90995498,1.68156458,0.93379252,0.32689219,0.00269703,0.15496465,0.35295680,0.58941320,0.66332674,0.00000000
-5.90395198,1.68400908,0.93028808,0.32451682,0.00267364,0.15475099,0.34792416,0.59361756,0.66320982,0.00000000
-5.89794897,1.68147912,0.92297365,0.32089338,0.00265266,0.15397307,0.34146339,0.59662681,0.66091134,0.00000000
-5.89194597,1.67430120,0.91200500,0.31611452,0.00263651,0.15262672,0.33373104,0.59856583,0.65656386,0.00000000
-5.88594297,1.66300281,0.89766593,0.31031223,0.00262801,0.15073229,0.32493588,0.59961144,0.65039617,0.00000000
-5.87993997,1.64829765,0.88035865,0.30365335,0.00263024,0.14833408,0.31533193,0.59998844,0.64272711,0.00000000
-5.87393697,1.63106516,0.86059089,0.29633409,0.00264649,0.14549918,0.30521049,0.59996401,0.63395691,0.00000000
-5.86793397,1.61232514,0.83896023,0.28857370,0.00268006,0.14231554,0.29489142,0.59984048,0.62455623,0.00000000
-5.86193097,1.59320811,0.81613621,0.28060752,0.00273418,0.13888959,0.28471418,0.59994689,0.61505328,0.00000000
-5.85592796,1.57492269,0.79284104,0.27267974,0.00281185,0.13534337,0.27502878,0.60062939,0.60601955,0.00000000
-5.84992496,1.55872085,0.76982942,0.26503611,0.00291570,0.13181125,0.26618693,0.60224097,0.59805442,0.00000000
-5.84392196,1.54586234,0.74786814,0.25791687,0.00304790,0.12843646,0.25853375,0.60513078,0.59176923,0.00000000
-5.83791896,1.53757923,0.72771609,0.25155016,0.00320999,0.12536733,0.25240008,0.60963340,0.58777116,0.00000000
-5.83191596,1.53504173,0.71010521,0.24614610,0.00340281,0.12275348,0.24809549,0.61605861,0.58664735,0.00000000
-5.82591296,1.53932619,0.69572267,0.24189163,0.00362641,0.12074203,0.24590223,0.62468179,0.58894961,0.00000000
-5.81990995,1.55138600,0.68519484,0.23894630,0.00387996,0.11947371,0.24606981,0.63573549,0.59518002,0.00000000
-5.81390695,1.57202623,0.67907304,0.23743910,0.00416175,0.11907920,0.24881053,0.64940241,0.60577771,0.00000000
-5.80790395,1.60188224,0.67782144,0.23746617,0.00446915,0.11967557,0.25429553,0.66580998,0.62110695,0.00000000
-5.80190095,1.64140290,0.68180696,0.23908950,0.00479865,0.12136286,0.26265159,0.68502682,0.64144689,0.00000000
-5.79589795,1.69083837,0.69129136,0.24233654,0.00514590,0.12422101,0.27395834,0.70706105,0.66698288,0.00000000
-5.78989495,1.75023278,0.70642540,0.24720052,0.00550578,0.12830699,0.28824609,0.73186071,0.69779972,0.00000000
-5.78389195,1.81942159,0.72724508,0.25364154,0.00587255,0.13365235,0.30549398,0.75931602,0.73387674,0.00000000
-5.77788894,1.89803372,0.75366986,0.26158811,0.00623996,0.14026111,0.32562869,0.78926360,0.77508500,0.00000000
-5.77188594,1.98549833,0.78550292,0.27093925,0.00660143,0.14810826,0.34852363,0.82149244,0.82118666,0.00000000
-5.76588294,2.08105607,0.82243344,0.28156695,0.00695020,0.15713866,0.37399884,0.85575138,0.87183655,0.00000000
-5.75987994,2.18377473,0.86404094,0.29331885,0.00727958,0.16726673,0.40182162,0.89175808,0.92658621,0.00000000
-5.75387694,2.29256902,0.90980168,0.30602134,0.00758307,0.17837677,0.43170812,0.92920903,0.98489034,0.00000000
-5.74787394,2.40622435,0.95909735,0.31948272,0.00785464,0.19032411,0.46332606,0.96779043,1.04611582,0.00000000
-5.74187094,2.52342433,1.01122593,0.33349673,0.00808883,0.20293709,0.49629877,1.00718972,1.10955318,0.00000000
-5.73586793,2.64278144,1.06541479,0.34784626,0.00828099,0.21601989,0.53021051,1.04710724,1.17443061,0.00000000
-5.72986493,2.76287068,1.12083609,0.36230723,0.00842735,0.22935631,0.56461342,1.08726791,1.23993020,0.00000000
-5.72386193,2.88226522,1.17662413,0.37665281,0.00852518,0.24271426,0.59903573,1.12743237,1.30520612,0.00000000
-5.71785893,2.99957346,1.23189466,0.39065778,0.00857283,0.25585115,0.63299150,1.16740728,1.36940458,0.00000000
-5.71185593,3.11347627,1.28576553,0.40410305,0.00856978,0.26851978,0.66599136,1.20705440,1.43168467,0.00000000
-5.70585293,3.22276355,1.33737837,0.41678033,0.00851664,0.28047479,0.69755423,1.24629784,1.49123983,0.00000000
-5.69984992,3.32636840,1.38592061,0.42849674,0.00841508,0.29147933,0.72721946,1.28512933,1.54731896,0.00000000
-5.69384692,3.42339781,1.43064709,0.43907935,0.00826776,0.30131178,0.75455902,1.32361081,1.59924656,0.00000000
-5.68784392,3.51315835,1.47090054,0.44837937,0.00807824,0.30977224,0.77918924,1.36187419,1.64644098,0.00000000
-5.68184092,3.59517540,1.50613006,0.45627594,0.00785081,0.31668853,0.80078156,1.40011795,1.68843002,0.00000000
-5.67583792,3.66920489,1.53590672,0.46267930,0.00759034,0.32192144,0.81907177,1.43860023,1.72486317,0.00000000
-5.66983492,3.73523644,1.55993568,0.46753315,0.00730213,0.32536900,0.83386737,1.47762865,1.75551985,0.00000000
-5.66383192,3.79348733,1.57806405,0.47081608,0.00699171,0.32696960,0.84505247,1.51754656,1.78031322,0.00000000
-5.65782891,3.84438712,1.59028403,0.47254199,0.00666468,0.32670373,0.85259021,1.55871637,1.79928919,0.00000000
-5.65182591,3.88855302,1.59673106,0.47275934,0.00632654,0.32459430,0.85652225,1.60150014,1.81262073,0.00000000
-5.64582291,3.92675692,1.59767691,0.47154929,0.00598258,0.32070552,0.85696555,1.64623813,1.82059758,0.00000000
-5.63981991,3.95988503,1.59351782,0.46902272,0.00563768,0.31514035,0.85410645,1.69322615,1.82361166,0.00000000
-5.63381691,3.98889199,1.58475821,0.46531627,0.00529628,0.30803662,0.84819227,1.74269260,1.82213904,0.00000000
-5.62781391,4.01475118,1.57199036,0.46058745,0.00496228,0.29956203,0.83952090,1.79477624,1.81671906,0.00000000
-5.62181091,4.03840374,1.55587119,0.45500910,0.00463899,0.28990818,0.82842884,1.84950581,1.80793155,0.00000000
-5.61580790,4.06070839,1.53709672,0.44876335,0.00432909,0.27928397,0.81527816,1.90678260,1.79637327,0.00000000
-5.60980490,4.08239474,1.51637566,0.44203540,0.00403467,0.26790859,0.80044311,1.96636695,1.78263452,0.00000000
-5.60380190,4.10402215,1.49440291,0.43500725,0.00375721,0.25600444,0.78429685,2.02786970,1.76727690,0.00000000
-5.59779890,4.12594617,1.47183429,0.42785177,0.00349764,0.24379023,0.76719895,2.09074923,1.75081322,0.00000000
-5.59179590,4.14829442,1.44926338,0.42072727,0.00325642,0.23147462,0.74948413,2.15431458,1.73369029,0.00000000
-5.58579290,4.17095274,1.42720149,0.41377264,0.00303356,0.21925047,0.73145270,2.21773499,1.71627525,0.00000000
-5.57978989,4.19356263,1.40606145,0.40710354,0.00282870,0.20729008,0.71336300,2.28005564,1.69884574,0.00000000
-5.57378689,4.21552982,1.38614582,0.40080935,0.00264121,0.19574146,0.69542601,2.34021931,1.68158435,0.00000000
-5.56778389,4.23604367,1.36763982,0.39495133,0.00247020,0.18472568,0.67780231,2.39709325,1.66457716,0.00000000
-5.56178089,4.25410639,1.35060924,0.38956171,0.00231465,0.17433548,0.66060131,2.44950035,1.64781628,0.00000000
-5.55577789,4.26857060,1.33500309,0.38464387,0.00217343,0.16463493,0.64388261,2.49625338,1.63120610,0.00000000
-5.54977489,4.27818362,1.32066093,0.38017348,0.00204534,0.15566018,0.62765930,2.53619101,1.61457271,0.00000000
-5.54377189,4.28163624,1.30732415,0.37610057,0.00192917,0.14742122,0.61190289,2.56821420,1.59767594,0.00000000
-5.53776888,4.27761397,1.29465092,0.37235228,0.00182374,0.13990433,0.59654959,2.59132133,1.58022340,0.00000000
-5.53176588,4.26484838,1.28223380,0.36883636,0.00172789,0.13307526,0.58150745,2.60464093,1.56188588,0.00000000
-5.52576288,4.24216657,1.26961941,0.36544510,0.00164053,0.12688285,0.56666414,2.60746031,1.54231342,0.00000000
-5.51975988,4.20853665,1.25632915,0.36205964,0.00156063,0.12126285,0.55189486,2.59924936,1.52115147,0.00000000
-5.51375688,4.16310762,1.24188031,0.35855450,0.00148722,0.11614190,0.53707016,2.57967831,1.49805647,0.00000000
-5.50775388,4.10524227,1.22580656,0.35480220,0.00141941,0.11144141,0.52206324,2.54862893,1.47271057,0.00000000
-5.50175088,4.03454204,1.20767710,0.35067776,0.00135637,0.10708122,0.50675668,2.50619891,1.44483475,0.00000000
-5.49574787,3.95086326,1.18711389,0.34606306,0.00129736,0.10298286,0.49104811,2.45269922,1.41420031,0.00000000
-5.48974487,3.85432450,1.16380625,0.34085089,0.00124167,0.09907251,0.47485493,2.38864494,1.38063823,0.00000000
-5.48374187,3.74530522,1.13752244,0.33494859,0.00118869,0.09528328,0.45811793,2.31473984,1.34404636,0.00000000
-5.47773887,3.62443604,1.10811790,0.32828115,0.00113784,0.09155708,0.44080358,2.23185570,1.30439425,0.00000000
-5.47173587,3.49258160,1.07554004,0.32079374,0.00108862,0.08784588,0.42290530,2.14100719,1.26172565,0.00000000
-5.46573287,3.35081669,1.03982943,0.31245360,0.00104061,0.08411244,0.40444357,2.04332352,1.21615864,0.00000000
-5.45972986,3.20039715,1.00111767,0.30325123,0.00099343,0.08033050,0.38546493,1.94001786,1.16788354,0.00000000
-5.45372686,3.04272654,0.95962204,0.29320081,0.00094677,0.07648456,0.36604019,1.83235590,1.11715867,0.00000000
-5.44772386,2.87931996,0.91563740,0.28233991,0.00090042,0.07256921,0.34626176,1.72162452,1.06430428,0.00000000
-5.44172086,2.71176652,0.86952572,0.27072851,0.00085420,0.06858819,0.32624042,1.60910180,1.00969475,0.00000000
-5.43571786,2.54169152,0.82170382,0.25844725,0.00080802,0.06455314,0.30610160,1.49602910,0.95374940,0.00000000
-5.42971486,2.37071956,0.77262974,0.24559519,0.00076187,0.06048219,0.28598138,1.38358617,0.89692232,0.00000000
-5.42371186,2.20043985,0.72278860,0.23228692,0.00071578,0.05639853,0.26602236,1.27286974,0.83969134,0.00000000
-5.41770885,2.03237428,0.67267813,0.21864935,0.00066984,0.05232884,0.24636953,1.16487605,0.78254674,0.00000000
-5.41170585,1.86794933,0.62279479,0.20481810,0.00062420,0.04830182,0.22716627,1.06048756,0.72597979,0.00000000
-5.40570285,1.70847207,0.57362061,0.19093380,0.00057905,0.04434682,0.20855075,0.96046382,0.67047176,0.00000000
-5.39969985,1.55511088,0.52561149,0.17713829,0.00053460,0.04049259,0.19065251,0.86543638,0.61648339,0.00000000
-5.39369685,1.40888077,0.47918692,0.16357092,0.00049108,0.03676619,0.17358964,0.77590752,0.56444534,0.00000000
-5.38769385,1.27063364,0.43472167,0.15036508,0.00044874,0.03319210,0.15746641,0.69225239,0.51474980,0.00000000
-5.38169085,1.14105301,0.39253939,0.13764502,0.00040783,0.02979153,0.14237138,0.61472408,0.46774335,0.00000000
-5.37568784,1.02065316,0.35290820,0.12552309,0.00036856,0.02658197,0.12837613,0.54346122,0.42372134,0.00000000
