energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,6.33889524,0.01329207,1.13143680,0.34854168,0.15587872,4.91324432,3.49278288,1.07630248,0.00000000
-5.99399700,6.26843210,0.01406233,1.10273354,0.35910219,0.16062445,4.81628771,3.44679461,1.08440621,0.00000000
-5.98799400,6.20884646,0.01486899,1.07498772,0.37189411,0.16663957,4.72585836,3.40354515,1.09949062,0.00000000
-5.98199100,6.15836938,0.01569307,1.04794352,0.38680642,0.17387949,4.64054472,3.36223413,1.12109355,0.00000000
-5.97598799,6.11525845,0.01651533,1.02135786,0.40369660,0.18228921,4.55898565,3.32211076,1.14869560,0.00000000
-5.96998499,6.07784573,0.01731673,0.99501435,0.42238980,0.19180219,4.47992033,3.28249914,1.18172241,0.00000000
-5.96398199,6.04457341,0.01807899,0.96873431,0.44267848,0.20233921,4.40222584,3.24281618,1.21954682,0.00000000
-5.95797899,6.01401761,0.01878505,0.94238464,0.46432264,0.21380729,4.32494254,3.20258213,1.26149139,0.00000000
-5.95197599,5.98490145,0.01941962,0.91588254,0.48705115,0.22609884,4.24728805,3.16142425,1.30683187,0.00000000
-5.94597299,5.95609937,0.01996972,0.88919719,0.51056416,0.23909115,4.16866144,3.11907448,1.35480221,0.00000000
-5.93996998,5.92663516,0.02042507,0.86234874,0.53453691,0.25264645,4.08863969,3.07536268,1.40460158,0.00000000
-5.93396698,5.89567625,0.02077855,0.83540502,0.55862500,0.26661255,4.00696855,3.03020669,1.45540394,0.00000000
-5.92796398,5.86252699,0.02102650,0.80847648,0.58247113,0.28082420,3.92355020,2.98360080,1.50637027,0.00000000
-5.92196098,5.82662300,0.02116894,0.78170994,0.60571333,0.29510531,3.83842955,2.93560416,1.55666358,0.00000000
-5.91595798,5.78752849,0.02120966,0.75528160,0.62799426,0.30927196,3.75178105,2.88633013,1.60546654,0.00000000
-5.90995498,5.74493756,0.02115622,0.72938982,0.64897159,0.32313619,3.66389704,2.83593763,1.65200125,0.00000000
-5.90395198,5.69867976,0.02101986,0.70424794,0.66832879,0.33651055,3.57517832,2.78462486,1.69555051,0.00000000
-5.89794897,5.64872952,0.02081522,0.68007756,0.68578606,0.34921319,3.48612694,2.73262549,1.73547977,0.00000000
-5.89194597,5.59521827,0.02055999,0.65710235,0.70111077,0.36107335,3.39734084,2.68020725,1.77125864,0.00000000
-5.88594297,5.53844761,0.02027453,0.63554244,0.71412692,0.37193704,3.30950930,2.62767209,1.80248100,0.00000000
-5.87993997,5.47890142,0.01998131,0.61560954,0.72472312,0.38167265,3.22340826,2.57535736,1.82888240,0.00000000
-5.87393697,5.41725465,0.01970435,0.59750246,0.73285851,0.39017619,3.13989405,2.52363696,1.85035377,0.00000000
-5.86793397,5.35437667,0.01946867,0.58140322,0.73856638,0.39737589,3.05989443,2.47292149,1.86695041,0.00000000
-5.86193097,5.29132719,0.01929962,0.56747337,0.74195499,0.40323593,2.98439574,2.42365667,1.87889540,0.00000000
-5.85592796,5.22934324,0.01922227,0.55585059,0.74320559,0.40775906,2.91442560,2.37631921,1.88657709,0.00000000
-5.84992496,5.16981647,0.01926087,0.54664547,0.74256755,0.41098786,2.85103068,2.33140968,1.89054007,0.00000000
-5.84392196,5.11426041,0.01943823,0.53993836,0.74035058,0.41300462,2.79524976,2.28944229,1.89146997,0.00000000
-5.83791896,5.06426832,0.01977527,0.53577639,0.73691461,0.41392963,2.74808268,2.25093161,1.89017232,0.00000000
-5.83191596,5.02146286,0.02029046,0.53417078,0.73265730,0.41391803,2.71045622,2.21637669,1.88754608,0.00000000
-5.82591296,4.98743945,0.02099951,0.53509442,0.72800005,0.41315518,2.68318830,2.18624329,1.88455287,0.00000000
-5.81990995,4.96370572,0.02191495,0.53848006,0.72337289,0.41185076,2.66695231,2.16094509,1.88218313,0.00000000
-5.81390695,4.95161976,0.02304581,0.54421915,0.71919888,0.41023185,2.66224328,2.14082482,1.88142039,0.00000000
-5.80790395,4.95233023,0.02439741,0.55216156,0.71587877,0.40853510,2.66934786,2.12613659,1.88320519,0.00000000
-5.80190095,4.96672116,0.02597112,0.56211635,0.71377650,0.40699860,2.68831981,2.11703029,1.88840017,0.00000000
-5.79589795,4.99536436,0.02776419,0.57385371,0.71320621,0.40585341,2.71896262,2.11353915,1.89775772,0.00000000
-5.78989495,5.03848181,0.02976963,0.58710810,0.71442113,0.40531554,2.76082027,2.11557127,1.91189151,0.00000000
-5.78389195,5.09592017,0.03197615,0.60158271,0.71760496,0.40557827,2.81317725,2.12290577,1.93125306,0.00000000
-5.77788894,5.16713880,0.03436813,0.61695509,0.72286592,0.40680558,2.87506786,2.13519380,1.95611435,0.00000000
-5.77188594,5.25121213,0.03692567,0.63288390,0.73023370,0.40912661,2.94529497,2.15196481,1.98655710,0.00000000
-5.76588294,5.34684669,0.03962467,0.64901660,0.73965934,0.41263161,3.02245746,2.17263770,2.02246905,0.00000000
-5.75987994,5.45241227,0.04243706,0.66499790,0.75101794,0.41736947,3.10498560,2.19653668,2.06354749,0.00000000
-5.75387694,5.56598617,0.04533105,0.68047860,0.76411394,0.42334697,3.19118287,2.22291113,2.10930968,0.00000000
-5.74787394,5.68540903,0.04827154,0.69512467,0.77868886,0.43052966,3.27927282,2.25095888,2.15910980,0.00000000
-5.74187094,5.80835006,0.05122061,0.70862615,0.79443072,0.43884452,3.36744903,2.27985184,2.21216160,0.00000000
-5.73586793,5.93237946,0.05413810,0.72070565,0.81098512,0.44818411,3.45392650,2.30876323,2.26756594,0.00000000
-5.72986493,6.05504507,0.05698236,0.73112608,0.82796706,0.45841206,3.53699238,2.33689518,2.32434198,0.00000000
-5.72386193,6.17395068,0.05971106,0.73969733,0.84497339,0.46936975,3.61505448,2.36350578,2.38146086,0.00000000
-5.71785893,6.28683305,0.06228207,0.74628182,0.86159503,0.48088376,3.68668560,2.38793465,2.43788061,0.00000000
-5.71185593,6.39163475,0.06465449,0.75079844,0.87742880,0.49277386,3.75066241,2.40962588,2.49258096,0.00000000
-5.70585293,6.48657024,0.06678960,0.75322496,0.89208832,0.50486115,3.80599755,2.42814772,2.54459668,0.00000000
-5.69984992,6.57018287,0.06865191,0.75359871,0.90521376,0.51697598,3.85196392,2.44320817,2.59304847,0.00000000
-5.69384692,6.64139046,0.07021013,0.75201545,0.91648006,0.52896543,3.88811044,2.45466586,2.63717013,0.00000000
-5.68784392,6.69951812,0.07143809,0.74862649,0.92560369,0.54069978,3.91426903,2.46253578,2.67633122,0.00000000
-5.68184092,6.74431672,0.07231548,0.74363413,0.93234771,0.55207798,3.93055236,2.46698967,2.71005437,0.00000000
-5.67583792,6.77596641,0.07282857,0.73728540,0.93652518,0.56303159,3.93734287,2.46835077,2.73802680,0.00000000
-5.66983492,6.79506493,0.07297059,0.72986450,0.93800109,0.57352719,3.93527322,2.46708312,2.76010564,0.00000000
