energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.69242679,0.00752549,0.60160224,0.28490701,0.00000000,0.89541799,0.49785194,0.39540943,0.04838264
-5.99399700,1.68796689,0.00799339,0.59994179,0.28544669,0.00000000,0.91793103,0.48384697,0.38891637,0.04827606
-5.98799400,1.69089619,0.00846139,0.60163443,0.28765311,0.00000000,0.94669926,0.47219687,0.38302027,0.04826331
-5.98199100,1.70190474,0.00892458,0.60687346,0.29175168,0.00000000,0.98200055,0.46309813,0.37794284,0.04836973
-5.97598799,1.72156247,0.00937772,0.61579984,0.29793853,0.00000000,1.02403675,0.45670082,0.37389574,0.04861836
-5.96998499,1.75029850,0.00981542,0.62849656,0.30637337,0.00000000,1.07291852,0.45310575,0.37107347,0.04902905
-5.96398199,1.78838180,0.01023221,0.64498307,0.31717334,0.00000000,1.12864944,0.45236226,0.36964671,0.04961776
-5.95797899,1.83590389,0.01062267,0.66520999,0.33040785,0.00000000,1.19111003,0.45446670,0.36975642,0.05039593
-5.95197599,1.89276449,0.01098161,0.68905468,0.34609462,0.00000000,1.26004295,0.45936180,0.37150863,0.05136995
-5.94597299,1.95866085,0.01130415,0.71631789,0.36419704,0.00000000,1.33504033,0.46693699,0.37497023,0.05254083
-5.93996998,2.03308178,0.01158590,0.74672199,0.38462284,0.00000000,1.41553438,0.47702979,0.38016567,0.05390394
-5.93396698,2.11530707,0.01182307,0.77991127,0.40722432,0.00000000,1.50079262,0.48942841,0.38707483,0.05544900
-5.92796398,2.20441302,0.01201255,0.81545463,0.43180006,0.00000000,1.58991854,0.50387559,0.39563206,0.05716013
-5.92196098,2.29928461,0.01215203,0.85285090,0.45809804,0.00000000,1.68185865,0.52007375,0.40572654,0.05901617
-5.91595798,2.39863457,0.01224007,0.89153702,0.48582043,0.00000000,1.77541639,0.53769143,0.41720402,0.06099109
-5.90995498,2.50102909,0.01227610,0.93089906,0.51462959,0.00000000,1.86927315,0.55637095,0.42986985,0.06305464
-5.90395198,2.60492009,0.01226046,0.97028589,0.54415544,0.00000000,1.96201612,0.57573706,0.44349353,0.06517304
-5.89794897,2.70868289,0.01219438,1.00902524,0.57400397,0.00000000,2.05217237,0.59540646,0.45781453,0.06730988
-5.89194597,2.81065839,0.01207993,1.04644153,0.60376656,0.00000000,2.13824808,0.61499785,0.47254934,0.06942710
-5.88594297,2.90919820,0.01191999,1.08187490,0.63302988,0.00000000,2.21877157,0.63414211,0.48739959,0.07148605
-5.87993997,3.00271090,0.01171813,1.11470062,0.66138611,0.00000000,2.29233819,0.65249230,0.50206095,0.07344854
-5.87393697,3.08970764,0.01147853,1.14434801,0.68844305,0.00000000,2.35765525,0.66973292,0.51623259,0.07527794
-5.86793397,3.16884487,0.01120590,1.17031801,0.71383372,0.00000000,2.41358476,0.68558821,0.52962670,0.07694024
-5.86193097,3.23896245,0.01090532,1.19219843,0.73722520,0.00000000,2.45918187,0.69982890,0.54197788,0.07840496
-5.85592796,3.29911506,0.01058215,1.20967625,0.75832623,0.00000000,2.49372703,0.71227720,0.55305179,0.07964600
-5.84992496,3.34859563,0.01024192,1.22254610,0.77689329,0.00000000,2.51675008,0.72280967,0.56265282,0.08064232
-5.84392196,3.38694942,0.00989017,1.23071466,0.79273503,0.00000000,2.52804500,0.73135801,0.57063027,0.08137842
-5.83791896,3.41397820,0.00953239,1.23420049,0.80571470,0.00000000,2.52767425,0.73790741,0.57688286,0.08184462
-5.83191596,3.42973426,0.00917387,1.23312951,0.81575063,0.00000000,2.51596256,0.74249291,0.58136121,0.08203719
-5.82591296,3.43450487,0.00881965,1.22772609,0.82281485,0.00000000,2.49348017,0.74519365,0.58406821,0.08195816
-5.81990995,3.42878777,0.00847437,1.21830045,0.82692976,0.00000000,2.46101639,0.74612558,0.58505723,0.08161504
-5.81390695,3.41325950,0.00814224,1.20523280,0.82816335,0.00000000,2.41954488,0.74543288,0.58442830,0.08102032
-5.80790395,3.38873806,0.00782694,1.18895535,0.82662309,0.00000000,2.37018226,0.74327859,0.58232235,0.08019084
-5.80190095,3.35614219,0.00753157,1.16993281,0.82244895,0.00000000,2.31414222,0.73983512,0.57891392,0.07914703
-5.79589795,3.31644942,0.00725860,1.14864268,0.81580594,0.00000000,2.25268757,0.73527493,0.57440268,0.07791214
-5.78989495,3.27065523,0.00700982,1.12555624,0.80687662,0.00000000,2.18708250,0.72976208,0.56900421,0.07651138
-5.78389195,3.21973528,0.00678636,1.10112109,0.79585400,0.00000000,2.11854755,0.72344493,0.56294053,0.07497111
-5.77788894,3.16461265,0.00658864,1.07574625,0.78293509,0.00000000,2.04821929,0.71645054,0.55643093,0.07331812
-5.77188594,3.10613151,0.00641639,1.04979031,0.76831560,0.00000000,1.97711664,0.70888074,0.54968341,0.07157893
-5.76588294,3.04503818,0.00626871,1.02355316,0.75218578,0.00000000,1.90611520,0.70081020,0.54288733,0.06977921
-5.75987994,2.98196990,0.00614409,0.99727143,0.73472771,0.00000000,1.83593036,0.69228646,0.53620750,0.06794340
-5.75387694,2.91745154,0.00604050,0.97111773,0.71611387,0.00000000,1.76710962,0.68333158,0.52977983,0.06609430
-5.74787394,2.85189928,0.00595543,0.94520329,0.69650704,0.00000000,1.70003396,0.67394550,0.52370888,0.06425297
-5.74187094,2.78563053,0.00588607,0.91958370,0.67606129,0.00000000,1.63492730,0.66411048,0.51806708,0.06243852
-5.73586793,2.71887863,0.00582932,0.89426709,0.65492378,0.00000000,1.57187327,0.65379639,0.51289569,0.06066820
-5.72986493,2.65181072,0.00578197,0.86922397,0.63323708,0.00000000,1.51083739,0.64296632,0.50820703,0.05895740
-5.72386193,2.58454709,0.00574084,0.84439817,0.61114166,0.00000000,1.45169330,0.63158224,0.50398808,0.05731971
-5.71785893,2.51718043,0.00570281,0.81971787,0.58877829,0.00000000,1.39425090,0.61961015,0.50020467,0.05576706
-5.71185593,2.44979335,0.00566503,0.79510619,0.56628992,0.00000000,1.33828473,0.60702449,0.49680621,0.05430976
-5.70585293,2.38247299,0.00562494,0.77049062,0.54382286,0.00000000,1.28356092,0.59381153,0.49373054,0.05295655
-5.69984992,2.31532179,0.00558038,0.74581084,0.52152706,0.00000000,1.22986098,0.57997161,0.49090841,0.05171459
-5.69384692,2.24846383,0.00552966,0.72102461,0.49955539,0.00000000,1.17700164,0.56552017,0.48826755,0.05058940
