energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,5.32396311,1.12914932,3.31895199,0.00088387,0.49256625,1.65131086,1.29503779,0.26211752,0.00000000
-5.99399700,5.53271389,1.18797224,3.44503923,0.00093402,0.51299690,1.72468976,1.34581671,0.26922121,0.00000000
-5.98799400,5.74530600,1.25152028,3.57551960,0.00099181,0.53244582,1.79821255,1.39568252,0.27730062,0.00000000
-5.98199100,5.96002327,1.31972629,3.70982276,0.00105706,0.55060255,1.87095043,1.44390605,0.28621407,0.00000000
-5.97598799,6.17515723,1.39246210,3.84733149,0.00112953,0.56717922,1.94200737,1.48980304,0.29581894,0.00000000
-5.96998499,6.38902522,1.46953121,3.98738139,0.00120891,0.58191632,2.01053340,1.53274666,0.30597326,0.00000000
-5.96398199,6.59998533,1.55066263,4.12925952,0.00129480,0.59458770,2.07573650,1.57217843,0.31653707,0.00000000
-5.95797899,6.80644838,1.63550609,4.27220206,0.00138669,0.60500473,2.13689312,1.60761732,0.32737376,0.00000000
-5.95197599,7.00688689,1.72362909,4.41539147,0.00148399,0.61301951,2.19335687,1.63866668,0.33835139,0.00000000
-5.94597299,7.19984149,1.81451609,4.55795395,0.00158598,0.61852704,2.24456553,1.66501901,0.34934386,0.00000000
-5.93996998,7.38392554,1.90757012,4.69895764,0.00169188,0.62146632,2.29004618,1.68645850,0.36023220,0.00000000
-5.93396698,7.55782850,2.00211702,4.83741271,0.00180077,0.62182036,2.32941848,1.70286138,0.37090554,0.00000000
-5.92796398,7.72031899,2.09741240,4.97227394,0.00191168,0.61961514,2.36239617,1.71419412,0.38126224,0.00000000
-5.92196098,7.87024837,2.19265147,5.10244664,0.00202355,0.61491759,2.38878684,1.72050980,0.39121071,0.00000000
-5.91595798,8.00655570,2.28698148,5.22679653,0.00213527,0.60783262,2.40849013,1.72194264,0.40067022,0.00000000
-5.90995498,8.12827454,2.37951670,5.34416400,0.00224569,0.59849947,2.42149444,1.71870119,0.40957144,0.00000000
-5.90395198,8.23454216,2.46935550,5.45338287,0.00235366,0.58708729,2.42787249,1.71106026,0.41785678,0.00000000
-5.89794897,8.32461127,2.55559916,5.55330355,0.00245801,0.57379032,2.42777575,1.69935201,0.42548054,0.00000000
-5.89194597,8.39786414,2.63737186,5.64282012,0.00255762,0.55882274,2.42142804,1.68395641,0.43240872,0.00000000
-5.88594297,8.45382870,2.71384113,5.72090049,0.00265139,0.54241327,2.40911851,1.66529138,0.43861858,0.00000000
-5.87993997,8.49219594,2.78423816,5.78661871,0.00273831,0.52479988,2.39119416,1.64380285,0.44409791,0.00000000
-5.87393697,8.51283762,2.84787717,5.83918793,0.00281743,0.50622454,2.36805215,1.61995496,0.44884400,0.00000000
-5.86793397,8.51582317,2.90417321,5.87799262,0.00288791,0.48692833,2.34013195,1.59422063,0.45286248,0.00000000
-5.86193097,8.50143456,2.95265762,5.90261843,0.00294903,0.46714690,2.30790766,1.56707252,0.45616582,0.00000000
-5.85592796,8.47017781,2.99299059,5.91287801,0.00300017,0.44710642,2.27188039,1.53897471,0.45877184,0.00000000
-5.84992496,8.42278987,3.02497033,5.90883137,0.00304086,0.42702010,2.23257103,1.51037498,0.46070210,0.00000000
-5.84392196,8.36023981,3.04853835,5.89079920,0.00307074,0.40708531,2.19051324,1.48169790,0.46198036,0.00000000
-5.83791896,8.28372331,3.06378075,5.85936824,0.00308960,0.38748129,2.14624681,1.45333865,0.46263112,0.00000000
-5.83191596,8.19464996,3.07092535,5.81538778,0.00309735,0.36836749,2.10031136,1.42565770,0.46267842,0.00000000
-5.82591296,8.09462282,3.07033460,5.75995681,0.00309402,0.34988254,2.05324034,1.39897624,0.46214479,0.00000000
-5.81990995,7.98541055,3.06249473,5.69440199,0.00307979,0.33214368,2.00555523,1.37357250,0.46105060,0.00000000
-5.81390695,7.86891225,3.04800126,5.62024657,0.00305492,0.31524675,1.95776002,1.34967876,0.45941369,0.00000000
-5.80790395,7.74711610,3.02754137,5.53917137,0.00301981,0.29926659,1.91033576,1.32747932,0.45724934,0.00000000
-5.80190095,7.62205262,3.00187387,5.45296882,0.00297494,0.28425776,1.86373521,1.30710920,0.45457057,0.00000000
-5.79589795,7.49574424,2.97180716,5.36349171,0.00292087,0.27025563,1.81837759,1.28865368,0.45138868,0.00000000
-5.78989495,7.37015281,2.93817611,5.27259841,0.00285826,0.25727761,1.77464343,1.27214875,0.44771399,0.00000000
-5.78389195,7.24712678,2.90181846,5.18209677,0.00278782,0.24532458,1.73286953,1.25758236,0.44355679,0.00000000
-5.77788894,7.12835029,2.86355151,5.09368848,0.00271032,0.23438246,1.69334413,1.24489664,0.43892823,0.00000000
-5.77188594,7.01529588,2.82414987,5.00891643,0.00262660,0.22442381,1.65630252,1.23399091,0.43384125,0.00000000
-5.76588294,6.90918291,2.78432484,4.92911691,0.00253750,0.21540946,1.62192313,1.22472568,0.42831133,0.00000000
-5.75987994,6.81094330,2.74470610,4.85537854,0.00244390,0.20729021,1.59032433,1.21692739,0.42235717,0.00000000
-5.75387694,6.72119619,2.70582631,4.78850975,0.00234669,0.20000843,1.56156223,1.21039403,0.41600097,0.00000000
-5.74787394,6.64023259,2.66810887,4.72901590,0.00224678,0.19349971,1.53562966,1.20490139,0.40926867,0.00000000
-5.74187094,6.56801085,2.63185945,4.67708715,0.00214502,0.18769444,1.51245642,1.20020991,0.40218974,0.00000000
-5.73586793,6.50416331,2.59726129,4.63259753,0.00204229,0.18251936,1.49191123,1.19607197,0.39479686,0.00000000
-5.72986493,6.44801409,2.56437449,4.59511521,0.00193939,0.17789906,1.47380518,1.19223932,0.38712537,0.00000000
-5.72386193,6.39860741,2.53313936,4.56392357,0.00183709,0.17375744,1.45789698,1.18847065,0.37921257,0.00000000
-5.71785893,6.35474548,2.50338356,4.53805237,0.00173612,0.17001905,1.44389986,1.18453886,0.37109704,0.00000000
-5.71185593,6.31503468,2.47483285,4.51631745,0.00163710,0.16661040,1.43149002,1.18023788,0.36281783,0.00000000
-5.70585293,6.27793811,2.44712514,4.49736775,0.00154061,0.16346119,1.42031635,1.17538888,0.35441390,0.00000000
-5.69984992,6.24183273,2.41982723,4.47973737,0.00144714,0.16050535,1.41001126,1.16984552,0.34592359,0.00000000
