energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up
-6.00000000,3.31786725,1.19588150,2.59822906,0.00827825,0.22788798,0.33551909,0.00000000
-5.99399700,3.25173990,1.18589340,2.54192079,0.00829633,0.22433938,0.32695758,0.00000000
-5.98799400,3.19368779,1.17342288,2.49455594,0.00829184,0.22036133,0.31851089,0.00000000
-5.98199100,3.14432401,1.15850076,2.45670309,0.00826165,0.21596681,0.31024150,0.00000000
-5.97598799,3.10420308,1.14120584,2.42884643,0.00820360,0.21117549,0.30222119,0.00000000
-5.96998499,3.07381179,1.12166658,2.41137683,0.00811658,0.20601380,0.29452963,0.00000000
-5.96398199,3.05355972,1.10006071,2.40458378,0.00800055,0.20051477,0.28725245,0.00000000
-5.95797899,3.04376970,1.07661305,2.40864829,0.00785656,0.19471761,0.28047896,0.00000000
-5.95197599,3.04466847,1.05159120,2.42363704,0.00768664,0.18866707,0.27429947,0.00000000
-5.94597299,3.05637766,1.02529942,2.44949781,0.00749373,0.18241257,0.26880236,0.00000000
-5.93996998,3.07890524,0.99807076,2.48605610,0.00728152,0.17600711,0.26407106,0.00000000
-5.93396698,3.11213756,0.97025778,2.53301301,0.00705430,0.16950608,0.26018092,0.00000000
-5.92796398,3.15583199,0.94222222,2.58994403,0.00681672,0.16296585,0.25719616,0.00000000
-5.92196098,3.20961022,0.91432392,2.65629869,0.00657365,0.15644244,0.25516702,0.00000000
-5.91595798,3.27295244,0.88690956,2.73140101,0.00632993,0.14999004,0.25412708,0.00000000
-5.90995498,3.34519245,0.86030166,2.81445061,0.00609019,0.14365965,0.25409098,0.00000000
-5.90395198,3.42551426,0.83478815,2.90452464,0.00585867,0.13749779,0.25505248,0.00000000
-5.89794897,3.51295050,0.81061326,3.00058081,0.00563908,0.13154536,0.25698316,0.00000000
-5.89194597,3.60638326,0.78796980,3.10146190,0.00543448,0.12583662,0.25983155,0.00000000
-5.88594297,3.70454822,0.76699344,3.20590220,0.00524717,0.12039844,0.26352297,0.00000000
-5.87993997,3.80604257,0.74775909,3.31253664,0.00507871,0.11524984,0.26796011,0.00000000
-5.87393697,3.90933776,0.73027964,3.41991319,0.00492982,0.11040167,0.27302424,0.00000000
-5.86793397,4.01279755,0.71450711,3.52650908,0.00480052,0.10585666,0.27857727,0.00000000
-5.86193097,4.11470181,0.70033624,3.63075143,0.00469011,0.10160977,0.28446449,0.00000000
-5.85592796,4.21327637,0.68761021,3.73104242,0.00459732,0.09764869,0.29051802,0.00000000
-5.84992496,4.30672860,0.67612848,3.82578901,0.00452040,0.09395469,0.29656098,0.00000000
-5.84392196,4.39328816,0.66565624,3.91343685,0.00445725,0.09050365,0.30241203,0.00000000
-5.83791896,4.47125188,0.65593511,3.99250742,0.00440555,0.08726726,0.30789046,0.00000000
