energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,7.88146440,2.13274630,0.53379339,0.00278016,2.17793733,0.13135052,2.70335736,2.57035446,1.44672646
-5.99399700,7.87351693,2.16301725,0.54620081,0.00288246,2.15144681,0.13342641,2.72801035,2.54955920,1.41100186
-5.98799400,7.86557816,2.19215043,0.55839725,0.00298058,2.12690975,0.13552402,2.74997894,2.53028360,1.37660047
-5.98199100,7.85758905,2.22002099,0.57018414,0.00307264,2.10446508,0.13761403,2.76915807,2.51265438,1.34385174
-5.97598799,7.84917811,2.24645405,0.58135576,0.00315686,2.08411396,0.13966280,2.78539404,2.49664599,1.31298081
-5.96998499,7.83968077,2.27122534,0.59170384,0.00323161,2.06572910,0.14163317,2.79848414,2.48209075,1.28411060
-5.96398199,7.82817610,2.29406537,0.60102283,0.00329543,2.04907009,0.14348548,2.80818094,2.46869579,1.25726837
-5.95797899,7.81353847,2.31466674,0.60911567,0.00334710,2.03380366,0.14517887,2.81420104,2.45606546,1.23239618
-5.95197599,7.79450109,2.33269429,0.61579971,0.00338566,2.01952781,0.14667267,2.81623756,2.44372784,1.20936433
-5.94597299,7.76972767,2.34779749,0.62091265,0.00341043,2.00579816,0.14792796,2.81397576,2.43116394,1.18798703
-5.93996998,7.73788836,2.35962445,0.62431805,0.00342106,1.99215530,0.14890907,2.80711081,2.41783779,1.16803933
-5.93396698,7.69773576,2.36783688,0.62591032,0.00341750,1.97815165,0.14958509,2.79536655,2.40322612,1.14927424
-5.92796398,7.64817708,2.37212528,0.62561876,0.00340003,1.96337649,0.14993111,2.77851439,2.38684597,1.13143946
-5.92196098,7.58833908,2.37222358,0.62341064,0.00336923,1.94747809,0.14992937,2.75639093,2.36827930,1.11429272
-5.91595798,7.51762244,2.36792269,0.61929303,0.00332600,1.93018207,0.14957008,2.72891369,2.34719347,1.09761519
-5.90995498,7.43574352,2.35908231,0.61331345,0.00327148,1.91130524,0.14885190,2.69609374,2.32335693,1.08122263
-5.90395198,7.34276167,2.34564037,0.60555907,0.00320705,1.89076460,0.14778214,2.65804480,2.29664983,1.06497368
-5.89794897,7.23909122,2.32761986,0.59615479,0.00313431,1.86858133,0.14637658,2.61498809,2.26706933,1.04877550
-5.89194597,7.12549799,2.30513254,0.58526008,0.00305501,1.84487989,0.14465896,2.56725279,2.23472983,1.03258643
-5.88594297,7.00308097,2.27837948,0.57306470,0.00297099,1.81988244,0.14266017,2.51527204,2.19985828,1.01641597
-5.87993997,6.87324012,2.24764824,0.55978366,0.00288420,1.79389917,0.14041717,2.45957451,2.16278532,1.00032227
-5.87393697,6.73763216,2.21330685,0.54565139,0.00279659,1.76731505,0.13797169,2.40077204,2.12393261,0.98440737
-5.86793397,6.59811626,2.17579463,0.53091552,0.00271010,1.74057375,0.13536877,2.33954380,2.08379726,0.96881056
-5.86193097,6.45669224,2.13561029,0.51583035,0.00262664,1.71415942,0.13265525,2.27661763,2.04293403,0.95370035
-5.85592796,6.31543367,2.09329769,0.50065033,0.00254799,1.68857719,0.12987816,2.21274947,2.00193600,0.93926531
-5.84992496,6.17641879,2.04942982,0.48562374,0.00247585,1.66433318,0.12708327,2.14870161,1.96141461,0.92570428
-5.84392196,6.04166188,2.00459159,0.47098669,0.00241174,1.64191471,0.12431363,2.08522080,1.92197968,0.91321644
