energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,3.05130993,0.01865828,0.45641420,0.71991054,0.55458433,0.83712584,1.02610860,0.01134986,1.23773306
-5.99399700,3.03340271,0.01934468,0.45547196,0.72113285,0.55096975,0.84234465,1.02458117,0.01066069,1.22939242
-5.98799400,3.01235162,0.01994382,0.45357997,0.72166031,0.54689901,0.84565044,1.02105664,0.01001180,1.22046348
-5.98199100,2.98751270,0.02044329,0.45057671,0.72136089,0.54226220,0.84674870,1.01524448,0.00940545,1.21076467
-5.97598799,2.95836936,0.02083252,0.44632957,0.72013960,0.53696021,0.84540422,1.00692074,0.00884267,1.20015272
-5.96998499,2.92457473,0.02110315,0.44074139,0.71794852,0.53091334,0.84145395,0.99594093,0.00832356,1.18854001
-5.96398199,2.88598689,0.02124930,0.43375557,0.71479492,0.52406908,0.83481712,0.98224971,0.00784749,1.17590957
-5.95797899,2.84269504,0.02126781,0.42535961,0.71074710,0.51640867,0.82550247,0.96588707,0.00741335,1.16232670
-5.95197599,2.79503523,0.02115833,0.41558687,0.70593728,0.50795207,0.81361191,0.94699048,0.00701974,1.14794650
-5.94597299,2.74359451,0.02092340,0.40451665,0.70056163,0.49876100,0.79934063,0.92579319,0.00666522,1.13301675
-5.93996998,2.68920332,0.02056837,0.39227236,0.69487697,0.48893989,0.78297350,0.90261849,0.00634841,1.11787590
-5.93396698,2.63291627,0.02010124,0.37901814,0.68919450,0.47863469,0.76487790,0.87787042,0.00606818,1.10294622
-5.92796398,2.57598213,0.01953242,0.36495394,0.68387059,0.46802957,0.74549341,0.85202117,0.00582371,1.08872215
-5.92196098,2.51980454,0.01887444,0.35030939,0.67929515,0.45734171,0.72531866,0.82559587,0.00561451,1.07575469
-5.91595798,2.46589503,0.01814153,0.33533666,0.67587794,0.44681433,0.70489604,0.79915538,0.00544044,1.06463227
