energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-6.00000000,3.77980799,0.01356162,0.39126243,1.22218390,0.63959613,0.73722107,1.07019667,0.00486547,2.01021743
-5.99399700,3.81022301,0.01320757,0.38529876,1.25081294,0.64054898,0.74037939,1.06759830,0.00491493,2.04186059
-5.98799400,3.83467619,0.01286180,0.37905733,1.27678941,0.64114477,0.74241382,1.06326621,0.00499626,2.06962644
-5.98199100,3.85274725,0.01252223,0.37257060,1.29980379,0.64133753,0.74322865,1.05720551,0.00510904,2.09314255
-5.97598799,3.86404724,0.01218606,0.36586387,1.31957580,0.64107192,0.74273027,1.04942814,0.00525194,2.11207350
-5.96998499,3.86822797,0.01185001,0.35895574,1.33585918,0.64028556,0.74083143,1.03995285,0.00542268,2.12612787
-5.96398199,3.86499056,0.01151054,0.35185881,1.34844545,0.63891152,0.73745559,1.02880529,0.00561814,2.13506406
-5.95797899,3.85409312,0.01116416,0.34458075,1.35716684,0.63688091,0.73254122,1.01601798,0.00583439,2.13869474
-5.95197599,3.83535734,0.01080763,0.33712565,1.36189821,0.63412552,0.72604580,1.00163053,0.00606682,2.13689003
-5.94597299,3.80867430,0.01043819,0.32949546,1.36255817,0.63058050,0.71794938,0.98568979,0.00631023,2.12957948
-5.93996998,3.77400949,0.01005374,0.32169172,1.35910953,0.62618694,0.70825761,0.96825040,0.00655900,2.11675315
-5.93396698,3.73140734,0.00965298,0.31371721,1.35155921,0.62089447,0.69700396,0.94937544,0.00680724,2.09846180
-5.92796398,3.68099528,0.00923550,0.30557766,1.33995776,0.61466381,0.68425129,0.92913736,0.00704896,2.07481661
-5.92196098,3.62298749,0.00880181,0.29728340,1.32439869,0.60746915,0.67009254,0.90761914,0.00727823,2.04598852
-5.91595798,3.55768835,0.00835334,0.28885072,1.30501766,0.59930041,0.65465057,0.88491555,0.00748941,2.01220732
-5.90995498,3.48549533,0.00789235,0.28030313,1.28199160,0.59016531,0.63807726,0.86113450,0.00767726,1.97376056
-5.90395198,3.40690107,0.00742189,0.27167220,1.25553776,0.58009109,0.62055176,0.83639827,0.00783716,1.93099223
-5.89794897,3.32249442,0.00694565,0.26299812,1.22591259,0.56912587,0.60227797,0.81084452,0.00796521,1.88430112
-5.89194597,3.23295966,0.00646778,0.25432975,1.19341041,0.55733945,0.58348142,0.78462690,0.00805838,1.83413861
-5.88594297,3.13907371,0.00599279,0.24572435,1.15836153,0.54482360,0.56440540,0.75791503,0.00811458,1.78100564
-5.87993997,3.04170058,0.00552535,0.23724673,1.12112989,0.53169149,0.54530661,0.73089387,0.00813273,1.72544866
-5.87393697,2.94178272,0.00507014,0.22896805,1.08210981,0.51807650,0.52645025,0.70376217,0.00811276,1.66805410
-5.86793397,2.84032897,0.00463170,0.22096417,1.04172179,0.50413002,0.50810474,0.67673008,0.00805563,1.60944147
-5.86193097,2.73839895,0.00421431,0.21331363,1.00040732,0.49001858,0.49053617,0.65001581,0.00796321,1.55025457
-5.85592796,2.63708404,0.00382189,0.20609534,0.95862245,0.47592003,0.47400249,0.62384147,0.00783828,1.49115106
-5.84992496,2.53748519,0.00345790,0.19938606,0.91683042,0.46201912,0.45874773,0.59842815,0.00768433,1.43279047
-5.84392196,2.44068830,0.00312530,0.19325776,0.87549325,0.44850241,0.44499626,0.57399045,0.00750543,1.37582081
-5.83791896,2.34773789,0.00282647,0.18777507,0.83506265,0.43555290,0.43294732,0.55073065,0.00730611,1.32086420
-5.83191596,2.25961022,0.00256327,0.18299273,0.79597048,0.42334441,0.42277010,0.52883285,0.00709114,1.26850217
-5.82591296,2.17718686,0.00233698,0.17895342,0.75861917,0.41203610,0.41459929,0.50845729,0.00686539,1.21926109
-5.81990995,2.10123026,0.00214832,0.17568590,0.72337242,0.40176733,0.40853161,0.48973527,0.00663362,1.17359851
-5.81390695,2.03236229,0.00199751,0.17320363,0.69054670,0.39265318,0.40462321,0.47276493,0.00640038,1.13189111
-5.80790395,1.97104728,0.00188427,0.17150397,0.66040394,0.38478081,0.40288833,0.45760802,0.00616984,1.09442486
-5.80190095,1.91758023,0.00180786,0.17056805,0.63314571,0.37820691,0.40329910,0.44428818,0.00594569,1.06138810
-5.79589795,1.87208139,0.00176714,0.17036126,0.60890939,0.37295648,0.40578683,0.43279059,0.00573111,1.03286793
