energy_ev,total_up,As_p_up,As_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
4.33116558,0.46820718,0.10080658,0.00000000,0.27581074,0.12544891,0.03205094,0.08384387
4.33716858,0.52693661,0.11269573,0.00000000,0.30997912,0.14056053,0.03642894,0.09396442
4.34317159,0.58921201,0.12512013,0.00000000,0.34610108,0.15642142,0.04115196,0.10461530
4.34917459,0.65463824,0.13796209,0.00000000,0.38392032,0.17289249,0.04620558,0.11571637
4.35517759,0.72272877,0.15108491,0.00000000,0.42312465,0.18980909,0.05156835,0.12717357
4.36118059,0.79291198,0.16433550,0.00000000,0.46334968,0.20698352,0.05721163,0.13888093
4.36718359,0.86454113,0.17754793,0.00000000,0.50418482,0.22420867,0.06309978,0.15072327
4.37318659,0.93690792,0.19054785,0.00000000,0.54518124,0.24126274,0.06919047,0.16257946
4.37918959,1.00925917,0.20315770,0.00000000,0.58586184,0.25791497,0.07543526,0.17432632
4.38519260,1.08081632,0.21520257,0.00000000,0.62573272,0.27393209,0.08178047,0.18584283
4.39119560,1.15079684,0.22651641,0.00000000,0.66429597,0.28908533,0.08816817,0.19701453
4.39719860,1.21843684,0.23694845,0.00000000,0.70106310,0.30315780,0.09453737,0.20773803
4.40320160,1.28301401,0.24636948,0.00000000,0.73556872,0.31595172,0.10082540,0.21792524
4.40920460,1.34386980,0.25467783,0.00000000,0.76738383,0.32729547,0.10696930,0.22750720
4.41520760,1.40042986,0.26180463,0.00000000,0.79612826,0.33704988,0.11290728,0.23643738
4.42121061,1.45222198,0.26771820,0.00000000,0.82148156,0.34511362,0.11858015,0.24469402
4.42721361,1.49889040,0.27242736,0.00000000,0.84319205,0.35142734,0.12393266,0.25228167
4.43321661,1.54020622,0.27598333,0.00000000,0.86108358,0.35597647,0.12891470,0.25923161
4.43921961,1.57607305,0.27848033,0.00000000,0.87505966,0.35879233,0.13348230,0.26560112
4.44522261,1.60652791,0.28005464,0.00000000,0.88510494,0.35995168,0.13759841,0.27147169
4.45122561,1.63173735,0.28088216,0.00000000,0.89128395,0.35957462,0.14123345,0.27694616
4.45722861,1.65198880,0.28117462,0.00000000,0.89373720,0.35782082,0.14436551,0.28214492
4.46323162,1.66767787,0.28117451,0.00000000,0.89267490,0.35488452,0.14698040,0.28720127
4.46923462,1.67929201,0.28114890,0.00000000,0.88836861,0.35098813,0.14907132,0.29225628
4.47523762,1.68739148,0.28138238,0.00000000,0.88114124,0.34637505,0.15063836,0.29745326
4.48124062,1.69258830,0.28216946,0.00000000,0.87135586,0.34130185,0.15168782,0.30293206
4.48724362,1.69552433,0.28380659,0.00000000,0.85940379,0.33603005,0.15223135,0.30882361
4.49324662,1.69684926,0.28658402,0.00000000,0.84569254,0.33081810,0.15228502,0.31524472
4.49924962,1.69719941,0.29077802,0.00000000,0.83063392,0.32591355,0.15186832,0.32229360
4.50525263,1.69717815,0.29664331,0.00000000,0.81463289,0.32154592,0.15100319,0.33004597
4.51125563,1.69733854,0.30440620,0.00000000,0.79807744,0.31792047,0.14971318,0.33855219
4.51725863,1.69816875,0.31425847,0.00000000,0.78132974,0.31521295,0.14802265,0.34783535
