energy_ev,total_up,Os_p_up,Os_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,1.80500566,0.85396929,0.79536037,0.00221299,0.47013174,0.00241911,0.48527956
-5.99399700,1.78748648,0.87285608,0.76902256,0.00238995,0.45038519,0.00223440,0.49939735
-5.98799400,1.78113300,0.89500710,0.74844955,0.00258909,0.43403480,0.00206454,0.51624721
-5.98199100,1.78529585,0.91986952,0.73350344,0.00280771,0.42100267,0.00190773,0.53550347
-5.97598799,1.79910535,0.94681742,0.72393850,0.00304271,0.41115166,0.00176255,0.55677618
-5.96998499,1.82149767,0.97516961,0.71941022,0.00329065,0.40429326,0.00162790,0.57962017
-5.96398199,1.85124905,1.00421124,0.71948753,0.00354778,0.40019691,0.00150290,0.60354701
-5.95797899,1.88701707,1.03321832,0.72366815,0.00381012,0.39860068,0.00138687,0.62803930
-5.95197599,1.92738785,1.06148449,0.73139634,0.00407351,0.39922280,0.00127931,0.65256685
-5.94597299,1.97092738,1.08834870,0.74208275,0.00433377,0.40177373,0.00117982,0.67660424
-5.93996998,2.01623521,1.11322273,0.75512562,0.00458675,0.40596847,0.00108809,0.69964897
-5.93396698,2.06199825,1.13561723,0.76993257,0.00482852,0.41153840,0.00100387,0.72123953
-5.92796398,2.10704244,1.15516501,0.78594221,0.00505544,0.41824251,0.00092695,0.74097243
-5.92196098,2.15037997,1.17164037,0.80264460,0.00526434,0.42587739,0.00085718,0.75851763
-5.91595798,2.19124974,1.18497328,0.81959980,0.00545259,0.43428564,0.00079443,0.77363134
-5.90995498,2.22914892,1.19525755,0.83645363,0.00561826,0.44336223,0.00073859,0.78616568
-5.90395198,2.26385391,1.20275238,0.85294970,0.00576019,0.45305857,0.00068958,0.79607451
-5.89794897,2.29542901,1.20787657,0.86893726,0.00587801,0.46338392,0.00064735,0.80341515
-5.89194597,2.32422214,1.21119574,0.88437426,0.00597225,0.47440398,0.00061188,0.80834555
-5.88594297,2.35084705,1.21340230,0.89932520,0.00604429,0.48623663,0.00058316,0.81111708
-5.87993997,2.37615232,1.21528921,0.91395391,0.00609634,0.49904477,0.00056120,0.81206304
-5.87393697,2.40117815,1.21771796,0.92851120,0.00613142,0.51302651,0.00054602,0.81158325
-5.86793397,2.42710233,1.22158240,0.94331795,0.00615323,0.52840290,0.00053764,0.81012541
-5.86193097,2.45517778,1.22776944,0.95874422,0.00616604,0.54540383,0.00053608,0.80816402
-5.85592796,2.48666412,1.23711860,0.97518536,0.00617461,0.56425237,0.00054132,0.80617770
-5.84992496,2.52275662,1.25038191,0.99303623,0.00618397,0.58514858,0.00055333,0.80462617
-5.84392196,2.56451578,1.26818607,1.01266466,0.00619935,0.60825318,0.00057202,0.80392773
-5.83791896,2.61280109,1.29099873,1.03438571,0.00622596,0.63367214,0.00059725,0.80443856
-5.83191596,2.66821245,1.31910030,1.05843793,0.00626891,0.66144299,0.00062883,0.80643484
-5.82591296,2.73104247,1.35256304,1.08496302,0.00633301,0.69152342,0.00066648,0.81009852
-5.81990995,2.80124240,1.39123838,1.11399007,0.00642271,0.72378327,0.00070989,0.81550764
-5.81390695,2.87840384,1.43475345,1.14542533,0.00654198,0.75800013,0.00075864,0.82263167
-5.80790395,2.96175781,1.48251717,1.17904828,0.00669425,0.79385929,0.00081228,0.83133227
-5.80190095,3.05019169,1.53373608,1.21451441,0.00688233,0.83095817,0.00087029,0.84136934
-5.79589795,3.14228379,1.58743920,1.25136476,0.00710841,0.86881526,0.00093212,0.85241241
-5.78989495,3.23635434,1.64251139,1.28904187,0.00737402,0.90688350,0.00099719,0.86405654
-5.78389195,3.33053085,1.69773366,1.32691160,0.00768006,0.94456750,0.00106494,0.87584226
-5.77788894,3.42282492,1.75182891,1.36428970,0.00802678,0.98124411,0.00113480,0.88727848
-5.77188594,3.51121704,1.80351113,1.40047198,0.00841382,1.01628541,0.00120626,0.89786724
-5.76588294,3.59374529,1.85153592,1.43476652,0.00884020,1.04908315,0.00127887,0.90712914
-5.75987994,3.66859376,1.89475012,1.46652631,0.00930436,1.07907348,0.00135228,0.91462814
-5.75387694,3.73417625,1.93213825,1.49518067,0.00980419,1.10576084,0.00142623,0.91999457
-5.74787394,3.78921118,1.96286366,1.52026381,0.01033698,1.12873984,0.00150060,0.92294516
-5.74187094,3.83278389,1.98630257,1.54143909,0.01089950,1.14771396,0.00157539,0.92329908
-5.73586793,3.86439323,2.00206930,1.55851750,0.01148794,1.16251024,0.00165077,0.92098926
-5.72986493,3.88398009,2.01003169,1.57146969,0.01209797,1.17308902,0.00172704,0.91606844
