energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Na_s_up,S_s_up,S_p_up
-6.00000000,16.11900854,2.01315032,12.63871759,0.03770145,0.15220251,0.22655703,0.19743626,2.97349815
-5.99399700,16.03592500,2.05509688,12.51384087,0.03750690,0.15677858,0.22483461,0.20612193,2.98425462
-5.98799400,15.91868002,2.09590239,12.35844211,0.03719970,0.16168138,0.22291940,0.21505714,2.98975106
-5.98199100,15.76821337,2.13521181,12.17365555,0.03678134,0.16687218,0.22075660,0.22419748,2.99012987
-5.97598799,15.58606102,2.17277345,11.96109019,0.03625484,0.17231518,0.21830834,0.23349069,2.98564414
-5.96998499,15.37428147,2.20843511,11.72277542,0.03562458,0.17797733,0.21555467,0.24287498,2.97663707
-5.96398199,15.13536375,2.24213579,11.46109300,0.03489616,0.18382797,0.21249375,0.25227761,2.96351775
-5.95797899,14.87212190,2.27389315,11.17869868,0.03407619,0.18983828,0.20914139,0.26161383,2.94673432
-5.95197599,14.58758122,2.30378766,10.87843738,0.03317214,0.19598032,0.20552989,0.27078640,2.92674630
-5.94597299,14.28486217,2.33194392,10.56325573,0.03219215,0.20222610,0.20170629,0.27968568,2.90399730
-5.93996998,13.96706758,2.35851017,10.23611629,0.03114481,0.20854637,0.19773010,0.28819055,2.87888984
-5.93396698,13.63717886,2.38363711,9.89991717,0.03003904,0.21490938,0.19367070,0.29617004,2.85176350
-5.92796398,13.29796603,2.40745687,9.55742084,0.02888388,0.22127972,0.18960434,0.30348582,2.82287775
-5.92196098,12.95191584,2.43006351,9.21119494,0.02768841,0.22761713,0.18561110,0.30999532,2.79240012
-5.91595798,12.60118090,2.45149579,8.86356753,0.02646154,0.23387558,0.18177176,0.31555564,2.76040055
-5.90995498,12.24755181,2.47172341,8.51659831,0.02521199,0.24000261,0.17816481,0.32002782,2.72685204
-5.90395198,11.89245274,2.49063734,8.17206622,0.02394811,0.24593891,0.17486360,0.32328150,2.69163743
