energy_ev,total_up,Au_p_up,Au_d_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.51155414,0.14390088,1.27672594,0.32842786,0.05864114,0.00190606,0.03059221,0.00307510,0.14608452
-5.99399700,1.50627677,0.13253100,1.28589425,0.30690792,0.05710279,0.00195270,0.02825697,0.00307859,0.13731643
-5.98799400,1.49914836,0.12216715,1.29177945,0.28678236,0.05574822,0.00199345,0.02606898,0.00307277,0.12964936
-5.98199100,1.49008413,0.11282742,1.29429993,0.26801707,0.05456675,0.00202669,0.02403312,0.00305625,0.12308863
-5.97598799,1.47908042,0.10451758,1.29346798,0.25056419,0.05354808,0.00205098,0.02215222,0.00302794,0.11762922
-5.96998499,1.46621584,0.09723196,1.28938937,0.23436575,0.05268271,0.00206509,0.02042722,0.00298709,0.11325667
-5.96398199,1.45164768,0.09095429,1.28225846,0.21935704,0.05196209,0.00206807,0.01885734,0.00293328,0.10994771
-5.95797899,1.43560377,0.08565850,1.27234901,0.20546973,0.05137864,0.00205925,0.01744022,0.00286643,0.10767070
-5.95197599,1.41837005,0.08130945,1.26000116,0.19263446,0.05092568,0.00203826,0.01617206,0.00278685,0.10638585
-5.94597299,1.40027467,0.07786364,1.24560505,0.18078301,0.05059710,0.00200509,0.01504783,0.00269513,0.10604522
-5.93996998,1.38166927,0.07526980,1.22958204,0.16984980,0.05038698,0.00196003,0.01406134,0.00259222,0.10659258
-5.93396698,1.36290858,0.07346946,1.21236440,0.15977294,0.05028910,0.00190366,0.01320541,0.00247929,0.10796316
-5.92796398,1.34432952,0.07239745,1.19437463,0.15049461,0.05029646,0.00183688,0.01247193,0.00235777,0.11008333
-5.92196098,1.32623091,0.07198249,1.17600537,0.14196112,0.05040070,0.00176081,0.01185205,0.00222925,0.11287049
-5.91595798,1.30885504,0.07214774,1.15760109,0.13412244,0.05059168,0.00167676,0.01133620,0.00209548,0.11623296
-5.90995498,1.29237221,0.07281155,1.13944249,0.12693155,0.05085709,0.00158624,0.01091424,0.00195824,0.12007024
-5.90395198,1.27686907,0.07388819,1.12173448,0.12034358,0.05118217,0.00149081,0.01057556,0.00181937,0.12427356
-5.89794897,1.26234152,0.07528886,1.10459822,0.11431489,0.05154965,0.00139211,0.01030920,0.00168066,0.12872683
-5.89194597,1.24869269,0.07692282,1.08806788,0.10880227,0.05193981,0.00129178,0.01010399,0.00154384,0.13330799
-5.88594297,1.23573595,0.07869864,1.07209193,0.10376216,0.05233071,0.00119139,0.00994865,0.00141050,0.13789085
-5.87993997,1.22320299,0.08052569,1.05653912,0.09915022,0.05269870,0.00109246,0.00983201,0.00128212,0.14234729
-5.87393697,1.21075643,0.08231566,1.04120847,0.09492107,0.05301892,0.00099635,0.00974311,0.00115995,0.14654982
-5.86793397,1.19800624,0.08398422,1.02584289,0.09102833,0.05326607,0.00090428,0.00967141,0.00104509,0.15037443
-5.86193097,1.18452906,0.08545270,1.01014549,0.08742503,0.05341523,0.00081729,0.00960696,0.00093842,0.15370355
-5.85592796,1.16988938,0.08664969,0.99379757,0.08406411,0.05344269,0.00073624,0.00954057,0.00084058,0.15642913
-5.84992496,1.15366137,0.08751257,0.97647749,0.08089928,0.05332684,0.00066178,0.00946393,0.00075202,0.15845555
-5.84392196,1.13545011,0.08798882,0.95787908,0.07788596,0.05304899,0.00059437,0.00936982,0.00067300,0.15970230
-5.83791896,1.11491128,0.08803716,0.93772889,0.07498229,0.05259405,0.00053429,0.00925219,0.00060355,0.16010628
-5.83191596,1.09176804,0.08762832,0.91580123,0.07215014,0.05195121,0.00048164,0.00910624,0.00054356,0.15962365
-5.82591296,1.06582456,0.08674550,0.89193031,0.06935611,0.05111426,0.00043635,0.00892850,0.00049274,0.15823103
-5.81990995,1.03697542,0.08538445,0.86601904,0.06657231,0.05008194,0.00039820,0.00871684,0.00045067,0.15592608
-5.81390695,1.00521050,0.08355317,0.83804411,0.06377696,0.04885792,0.00036685,0.00847045,0.00041683,0.15272737
-5.80790395,0.97061552,0.08127130,0.80805723,0.06095487,0.04745065,0.00034186,0.00818977,0.00039057,0.14867354
-5.80190095,0.93336815,0.07856904,0.77618283,0.05809750,0.04587306,0.00032270,0.00787644,0.00037122,0.14382183
-5.79589795,0.89373014,0.07548588,0.74261236,0.05520291,0.04414199,0.00030877,0.00753309,0.00035801,0.13824601
-5.78989495,0.85203629,0.07206902,0.70759579,0.05227534,0.04227763,0.00029943,0.00716329,0.00035017,0.13203376
-5.78389195,0.80868061,0.06837166,0.67143096,0.04932471,0.04030271,0.00029401,0.00677128,0.00034691,0.12528373
-5.77788894,0.76410091,0.06445112,0.63445136,0.04636577,0.03824172,0.00029183,0.00636188,0.00034744,0.11810233
-5.77188594,0.71876233,0.06036699,0.59701317,0.04341726,0.03612010,0.00029222,0.00594020,0.00035098,0.11060038
-5.76588294,0.67314102,0.05617929,0.55948217,0.04050086,0.03396342,0.00029451,0.00551155,0.00035681,0.10288980
-5.75987994,0.62770832,0.05194676,0.52222127,0.03764020,0.03179663,0.00029810,0.00508117,0.00036424,0.09508050
-5.75387694,0.58291655,0.04772529,0.48557909,0.03485976,0.02964340,0.00030238,0.00465415,0.00037263,0.08727748
-5.74787394,0.53918662,0.04356663,0.44988012,0.03218396,0.02752555,0.00030683,0.00423523,0.00038142,0.07957835
-5.74187094,0.49689796,0.03951728,0.41541671,0.02963618,0.02546260,0.00031098,0.00382871,0.00039010,0.07207126
-5.73586793,0.45638097,0.03561774,0.38244307,0.02723806,0.02347149,0.00031442,0.00343835,0.00039825,0.06483334
-5.72986493,0.41791204,0.03190194,0.35117128,0.02500877,0.02156637,0.00031680,0.00306735,0.00040554,0.05792966
-5.72386193,0.38171104,0.02839706,0.32176935,0.02296453,0.01975855,0.00031785,0.00271823,0.00041170,0.05141267
-5.71785893,0.34794105,0.02512351,0.29436091,0.02111826,0.01805654,0.00031738,0.00239293,0.00041655,0.04532213
-5.71185593,0.31671012,0.02209519,0.26902663,0.01947931,0.01646623,0.00031525,0.00209275,0.00041999,0.03968552
-5.70585293,0.28807455,0.01931995,0.24580669,0.01805340,0.01499107,0.00031141,0.00181843,0.00042198,0.03451874
-5.69984992,0.26204348,0.01680016,0.22470436,0.01684259,0.01363235,0.00030585,0.00157022,0.00042254,0.02982718
-5.69384692,0.23858431,0.01453348,0.20569003,0.01584547,0.01238955,0.00029863,0.00134790,0.00042176,0.02560704
-5.68784392,0.21762857,0.01251365,0.18870575,0.01505727,0.01126064,0.00028987,0.00115091,0.00041976,0.02184674
-5.68184092,0.19907809,0.01073131,0.17366980,0.01447022,0.01024247,0.00027972,0.00097846,0.00041669,0.01852851
-5.67583792,0.18281100,0.00917490,0.16048112,0.01407383,0.00933102,0.00026836,0.00082954,0.00041272,0.01562990
-5.66983492,0.16868754,0.00783149,0.14902370,0.01385533,0.00852184,0.00025599,0.00070312,0.00040804,0.01312539
-5.66383192,0.15655557,0.00668757,0.13917048,0.01380005,0.00781026,0.00024286,0.00059818,0.00040282,0.01098783
-5.65782891,0.14625561,0.00572986,0.13078707,0.01389196,0.00719173,0.00022919,0.00051381,0.00039721,0.00918984
-5.65182591,0.13762545,0.00494596,0.12373505,0.01411412,0.00666208,0.00021523,0.00044933,0.00039137,0.00770504
-5.64582291,0.13050443,0.00432501,0.11787510,0.01444929,0.00621776,0.00020120,0.00040434,0.00038539,0.00650917
-5.63981991,0.12473732,0.00385824,0.11306976,0.01488046,0.00585611,0.00018731,0.00037883,0.00037937,0.00558108
-5.63381691,0.12017797,0.00353947,0.10918615,0.01539149,0.00557554,0.00017378,0.00037323,0.00037333,0.00490351
-5.62781391,0.11669267,0.00336555,0.10609847,0.01596768,0.00537580,0.00016080,0.00038850,0.00036728,0.00446386
-5.62181091,0.11416333,0.00333671,0.10369048,0.01659644,0.00525815,0.00014853,0.00042618,0.00036120,0.00425469
-5.61580790,0.11249053,0.00345683,0.10185782,0.01726788,0.00522559,0.00013713,0.00048844,0.00035503,0.00427415
-5.60980490,0.11159625,0.00373369,0.10051035,0.01797536,0.00528299,0.00012673,0.00057812,0.00034869,0.00452631
-5.60380190,0.11142644,0.00417911,0.09957430,0.01871604,0.00543729,0.00011749,0.00069876,0.00034207,0.00502131
-5.59779890,0.11195320,0.00480895,0.09899424,0.01949130,0.00569759,0.00010952,0.00085461,0.00033508,0.00577543
-5.59179590,0.11317653,0.00564313,0.09873482,0.02030702,0.00607521,0.00010296,0.00105059,0.00032762,0.00681095
