energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up
-6.00000000,14.66338030,2.11534482,13.25697726,0.04106730,0.12023950,0.03261199,0.74097003
-5.99399700,14.95242990,2.10054598,13.54908847,0.04014539,0.12112253,0.03253126,0.73646718
-5.98799400,15.21628874,2.08183671,13.81875455,0.03909952,0.12188966,0.03232273,0.73072947
-5.98199100,15.45171317,2.05918582,14.06277426,0.03794692,0.12249586,0.03199100,0.72381687
-5.97598799,15.65583224,2.03269933,14.27824307,0.03670606,0.12290642,0.03154282,0.71582327
-5.96998499,15.82617816,2.00260117,14.46259306,0.03539610,0.12309704,0.03098689,0.70686878
-5.96398199,15.96071510,1.96921392,14.61363139,0.03403637,0.12305385,0.03033361,0.69709188
-5.95797899,16.05786605,1.93294036,14.72957645,0.03264593,0.12277329,0.02959479,0.68664219
-5.95197599,16.11653707,1.89424663,14.80909082,0.03124317,0.12226190,0.02878337,0.67567374
-5.94597299,16.13613770,1.85364758,14.85130948,0.02984547,0.12153592,0.02791317,0.66433937
-5.93996998,16.11659626,1.81169438,14.85586186,0.02846890,0.12062087,0.02699863,0.65278605
-5.93396698,16.05836836,1.76896458,14.82288611,0.02712810,0.11955094,0.02605452,0.64115140
-5.92796398,15.96243713,1.72605417,14.75303420,0.02583607,0.11836822,0.02509569,0.62956143
-5.92196098,15.83030382,1.68357137,14.64746658,0.02460408,0.11712183,0.02413687,0.61812918
-5.91595798,15.66396781,1.64213160,14.50783577,0.02344171,0.11586684,0.02319240,0.60695452
-5.90995498,15.46589528,1.60235296,14.33625834,0.02235674,0.11466307,0.02227601,0.59612454
-5.90395198,15.23897674,1.56485171,14.13527560,0.02135523,0.11357373,0.02140063,0.58571471
-5.89794897,14.98647379,1.53023712,13.90780382,0.02044153,0.11266392,0.02057815,0.57579031
-5.89194597,14.71195627,1.49910522,13.65707511,0.01961835,0.11199894,0.01981927,0.56640812
-5.88594297,14.41923145,1.47203127,13.38657079,0.01888678,0.11164262,0.01913331,0.55761805
-5.87993997,14.11226743,1.44956052,13.09994954,0.01824637,0.11165544,0.01852804,0.54946468
-5.87393697,13.79511293,1.43219751,12.80097246,0.01769518,0.11209270,0.01800953,0.54198835
-5.86793397,13.47181650,1.42039393,12.49342781,0.01722986,0.11300267,0.01758212,0.53522595
-5.86193097,13.14634737,1.41453546,12.18105793,0.01684575,0.11442480,0.01724822,0.52921115
-5.85592796,12.82252102,1.41492808,11.86749072,0.01653697,0.11638801,0.01700841,0.52397411
-5.84992496,12.50393147,1.42178439,11.55617775,0.01629651,0.11890922,0.01686131,0.51954075
-5.84392196,12.19389256,1.43521074,11.25034100,0.01611644,0.12199201,0.01680371,0.51593147
-5.83791896,11.89538975,1.45519579,10.95292927,0.01598800,0.12562567,0.01683064,0.51315964
-5.83191596,11.61104346,1.48160122,10.66658527,0.01590188,0.12978453,0.01693546,0.51122979
-5.82591296,11.34308450,1.51415536,10.39362355,0.01584835,0.13442771,0.01711008,0.51013567
-5.81990995,11.09334159,1.55245016,10.13601897,0.01581755,0.13949927,0.01734515,0.50985841
-5.81390695,10.86324013,1.59594202,9.89540503,0.01579971,0.14492889,0.01763028,0.51036488
-5.80790395,10.65381136,1.64395674,9.67308071,0.01578545,0.15063296,0.01795436,0.51160633
-5.80190095,10.46571009,1.69569867,9.47002432,0.01576597,0.15651614,0.01830580,0.51351755
-5.79589795,10.29923941,1.75026395,9.28691258,0.01573335,0.16247337,0.01867283,0.51601652
-5.78989495,10.15438007,1.80665756,9.12414287,0.01568073,0.16839228,0.01904382,0.51900474
-5.78389195,10.03082272,1.86381375,8.98185701,0.01560254,0.17415586,0.01940755,0.52236816
-5.77788894,9.92800087,1.92061907,8.85996464,0.01549461,0.17964545,0.01975346,0.52597880
-5.77188594,9.84512290,1.97593748,8.75816487,0.01535428,0.18474378,0.02007192,0.52969697
-5.76588294,9.78120176,2.02863648,8.67596516,0.01518050,0.18933809,0.02035440,0.53337398
-5.75987994,9.73508147,2.07761353,8.61269679,0.01497374,0.19332315,0.02059369,0.53685540
-5.75387694,9.70545989,2.12182173,8.56752698,0.01473601,0.19660410,0.02078396,0.53998455
-5.74787394,9.69090793,2.16029407,8.53946782,0.01447067,0.19909894,0.02092088,0.54260621
-5.74187094,9.68988575,2.19216537,8.52738310,0.01418234,0.20074068,0.02100161,0.54457044
-5.73586793,9.70075677,2.21669128,8.52999405,0.01387660,0.20147903,0.02102485,0.54573625
-5.72986493,9.72180082,2.23326389,8.54588544,0.01355981,0.20128149,0.02099071,0.54597515
-5.72386193,9.75122768,2.24142345,8.57351352,0.01323882,0.20013400,0.02090065,0.54517436
-5.71785893,9.78719234,2.24086617,8.61121723,0.01292067,0.19804094,0.02075738,0.54323956
-5.71185593,9.82781310,2.23144778,8.65723371,0.01261231,0.19502466,0.02056465,0.54009725
-5.70585293,9.87119332,2.21318328,8.70971900,0.01232032,0.19112445,0.02032712,0.53569650
-5.69984992,9.91544705,2.18624272,8.76677421,0.01205068,0.18639511,0.02005018,0.53001014
-5.69384692,9.95872858,2.15094359,8.82647684,0.01180850,0.18090517,0.01973974,0.52303538
-5.68784392,9.99926507,2.10774004,8.88691654,0.01159787,0.17473475,0.01940207,0.51479375
-5.68184092,10.03539117,2.05720949,8.94623393,0.01142173,0.16797329,0.01904361,0.50533057
-5.67583792,10.06558398,2.00003702,9.00266090,0.01128174,0.16071716,0.01867080,0.49471369
-5.66983492,10.08849660,1.93699806,9.05456021,0.01117827,0.15306722,0.01828995,0.48303188
-5.66383192,10.10298825,1.86893992,9.10046242,0.01111041,0.14512649,0.01790707,0.47039259
-5.65782891,10.10814904,1.79676259,9.13909801,0.01107602,0.13699790,0.01752780,0.45691936
-5.65182591,10.10331770,1.72139929,9.16942288,0.01107184,0.12878220,0.01715727,0.44274887
-5.64582291,10.08809109,1.64379723,9.19063582,0.01109361,0.12057617,0.01680006,0.42802767
-5.63981991,10.06232461,1.56489893,9.20218700,0.01113624,0.11247102,0.01646011,0.41290879
-5.63381691,10.02612329,1.48562454,9.20377698,0.01119402,0.10455106,0.01614070,0.39754812
-5.62781391,9.97982409,1.40685546,9.19534682,0.01126077,0.09689265,0.01584443,0.38210091
-5.62181091,9.92397031,1.32941949,9.17705972,0.01133006,0.08956339,0.01557320,0.36671828
-5.61580790,9.85927955,1.25407783,9.14927581,0.01139544,0.08262159,0.01532826,0.35154392
-5.60980490,9.78660722,1.18151405,9.11252170,0.01145058,0.07611594,0.01511016,0.33671113
-5.60380190,9.70690747,1.11232528,9.06745673,0.01148947,0.07008533,0.01491886,0.32234013
-5.59779890,9.62119389,1.04701552,9.01483793,0.01150661,0.06455897,0.01475376,0.30853592
-5.59179590,9.53050188,0.98599126,8.95548576,0.01149708,0.05955651,0.01461373,0.29538649
-5.58579290,9.43585449,0.92955934,8.89025230,0.01145673,0.05508840,0.01449721,0.28296174
-5.57978989,9.33823334,0.87792696,8.81999330,0.01138221,0.05115624,0.01440229,0.27131281
-5.57378689,9.23855542,0.83120368,8.74554516,0.01127111,0.04775335,0.01432678,0.26047203
-5.56778389,9.13765647,0.78940536,8.66770746,0.01112191,0.04486528,0.01426827,0.25045340
-5.56178089,9.03628097,0.75245982,8.58723104,0.01093409,0.04247045,0.01422428,0.24125357
-5.55577789,8.93507841,0.72021391,8.50481160,0.01070808,0.04054088,0.01419228,0.23285322
-5.54977489,8.83460513,0.69244195,8.42108794,0.01044524,0.03904285,0.01416982,0.22521886
-5.54377189,8.73533071,0.66885511,8.33664425,0.01014779,0.03793778,0.01415456,0.21830487
-5.53776888,8.63764787,0.64911164,8.25201519,0.00981879,0.03718303,0.01414437,0.21205580
-5.53176588,8.54188453,0.63282768,8.16769288,0.00946203,0.03673276,0.01413735,0.20640872
-5.52576288,8.44831686,0.61958832,8.08413453,0.00908190,0.03653894,0.01413192,0.20129564
-5.51975988,8.35718218,0.60895881,8.00176979,0.00868331,0.03655226,0.01412681,0.19664594
-5.51375688,8.26869075,0.60049560,7.92100705,0.00827153,0.03672315,0.01412105,0.19238852
-5.50775388,8.18303562,0.59375699,7.84223789,0.00785210,0.03700279,0.01411405,0.18845399
-5.50175088,8.10040000,0.58831320,7.76583932,0.00743061,0.03734409,0.01410549,0.18477639
-5.49574787,8.02096179,0.58375567,7.69217368,0.00701264,0.03770267,0.01409536,0.18129483
-5.48974487,7.94489521,0.57970520,7.62158597,0.00660356,0.03803777,0.01408387,0.17795470
-5.48374187,7.87236951,0.57581910,7.55439911,0.00620844,0.03831302,0.01407146,0.17470861
-5.47773887,7.80354535,0.57179679,7.49090731,0.00583189,0.03849722,0.01405864,0.17151701
-5.47173587,7.73856901,0.56738401,7.43136826,0.00547801,0.03856486,0.01404602,0.16834843
-5.46573287,7.67756536,0.56237549,7.37599474,0.00515025,0.03849657,0.01403421,0.16517950
-5.45972986,7.62063024,0.55661595,7.32494652,0.00485138,0.03827933,0.01402374,0.16199462
-5.45372686,7.56782308,0.54999959,7.27832329,0.00458342,0.03790657,0.01401503,0.15878540
-5.44772386,7.51916072,0.54246809,7.23615951,0.00434768,0.03737801,0.01400835,0.15554998
-5.44172086,7.47461316,0.53400725,7.19842190,0.00414468,0.03669942,0.01400379,0.15229208
-5.43571786,7.43410212,0.52464252,7.16501032,0.00397428,0.03588212,0.01400127,0.14902001
-5.42971486,7.39750295,0.51443358,7.13576235,0.00383567,0.03494243,0.01400056,0.14574571
-5.42371186,7.36465037,0.50346837,7.11046210,0.00372744,0.03390095,0.01400137,0.14248366
-5.41770885,7.33534822,0.49185676,7.08885310,0.00364773,0.03278176,0.01400343,0.13924997
-5.41170585,7.30938313,0.47972413,7.07065510,0.00359429,0.03161166,0.01400660,0.13606153
-5.40570285,7.28654182,0.46720530,7.05558429,0.00356464,0.03041931,0.01401108,0.13293529
-5.39969985,7.26663122,0.45443889,7.04337615,0.00355615,0.02923444,0.01401758,0.12988775
-5.39369685,7.24950071,0.44156248,7.03380991,0.00356621,0.02808710,0.01402755,0.12693462
-5.38769385,7.23506516,0.42870854,7.02673335,0.00359233,0.02700706,0.01404342,0.12409063
-5.38169085,7.22332770,0.41600142,7.02208681,0.00363232,0.02602321,0.01406884,0.12136955
-5.37568784,7.21440063,0.40355531,7.01992476,0.00368433,0.02516316,0.01410895,0.11878439
-5.36968484,7.20852328,0.39147318,7.02043390,0.00374700,0.02445293,0.01417060,0.11634767
-5.36368184,7.20607550,0.37984665,7.02394630,0.00381955,0.02391674,0.01426254,0.11407182
-5.35767884,7.20758565,0.36875655,7.03094675,0.00390181,0.02357695,0.01439564,0.11196961
-5.35167584,7.21373216,0.35827422,7.04207340,0.00399428,0.02345400,0.01458295,0.11005458
-5.34567284,7.22533814,0.34846307,7.05811123,0.00409815,0.02356656,0.01483978,0.10834146
-5.33966983,7.24335867,0.33938049,7.07997824,0.00421530,0.02393153,0.01518366,0.10684642
-5.33366683,7.26886082,0.33107971,7.10870435,0.00434822,0.02456425,0.01563425,0.10558731
-5.32766383,7.30299675,0.32361158,7.14540368,0.00449996,0.02547855,0.01621312,0.10458364
-5.32166083,7.34697063,0.31702598,7.19124081,0.00467404,0.02668684,0.01694347,0.10385644
-5.31565783,7.40200029,0.31137290,7.24739220,0.00487435,0.02820017,0.01784976,0.10342796
-5.30965483,7.46927498,0.30670292,7.31500404,0.00510492,0.03002812,0.01895724,0.10332112
-5.30365183,7.54991070,0.30306732,7.39514808,0.00536987,0.03217879,0.02029143,0.10355885
-5.29764882,7.64490479,0.30051747,7.48877718,0.00567313,0.03465856,0.02187750,0.10416325
-5.29164582,7.75509169,0.29910392,7.59668227,0.00601833,0.03747190,0.02373967,0.10515468
-5.28564282,7.88110187,0.29887493,7.71945282,0.00640858,0.04062111,0.02590049,0.10655073
-5.27963982,8.02332585,0.29987481,7.85744262,0.00684631,0.04410599,0.02838023,0.10836524
-5.27363682,8.18188533,0.30214201,8.01074269,0.00733314,0.04792358,0.03119622,0.11060729
-5.26763382,8.35661317,0.30570722,8.17916314,0.00786972,0.05206787,0.03436224,0.11328036
-5.26163082,8.54704394,0.31059151,8.36222534,0.00845567,0.05652964,0.03788799,0.11638162
-5.25562781,8.75241603,0.31680474,8.55916558,0.00908952,0.06129624,0.04177869,0.11990137
-5.24962481,8.97168630,0.32434436,8.76895078,0.00976873,0.06635161,0.04603474,0.12382285
-5.24362181,9.20355737,0.33319455,8.99030653,0.01048977,0.07167634,0.05065151,0.12812220
-5.23761881,9.44651701,0.34332601,9.22175677,0.01124816,0.07724785,0.05561933,0.13276883
-5.23161581,9.69888866,0.35469622,9.46167394,0.01203872,0.08304068,0.06092356,0.13772601
-5.22561281,9.95889093,0.36725028,9.70833783,0.01285573,0.08902696,0.06654483,0.14295182
-5.21960980,10.22470361,0.38092226,9.96000031,0.01369319,0.09517687,0.07245943,0.14840027
-5.21360680,10.49453708,0.39563703,10.21495298,0.01454507,0.10145927,0.07863979,0.15402271
-5.20760380,10.76670111,0.41131235,10.47159403,0.01540563,0.10784233,0.08505512,0.15976933
-5.20160080,11.03966943,0.42786126,10.72849047,0.01626968,0.11429419,0.09167208,0.16559071
-5.19559780,11.31213585,0.44519447,10.98443182,0.01713283,0.12078355,0.09845551,0.17143945
-5.18959480,11.58305817,0.46322261,11.23847167,0.01799174,0.12728031,0.10536922,0.17727156
-5.18359180,11.85168669,0.48185837,11.48995381,0.01884424,0.13375606,0.11237669,0.18304776
-5.17758879,12.11757468,0.50101806,11.73852072,0.01968949,0.14018444,0.11944187,0.18873450
-5.17158579,12.38056921,0.52062282,11.98410279,0.02052797,0.14654143,0.12652970,0.19430467
-5.16558279,12.64078222,0.54059908,12.22688808,0.02136143,0.15280548,0.13360674,0.19973791
