energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.41797976,0.00697710,0.18947621,0.92585024,0.45347827,0.22818136,0.08692268,0.00575380,0.70395621
-5.99399700,1.41843992,0.00710549,0.18334320,0.90948980,0.44604479,0.23051091,0.08924417,0.00589200,0.71453298
-5.98799400,1.41406880,0.00719028,0.17685845,0.88990604,0.43740447,0.23172928,0.09127152,0.00606327,0.72224444
-5.98199100,1.40529107,0.00723029,0.17011341,0.86744547,0.42775090,0.23189650,0.09302115,0.00627302,0.72723147
-5.97598799,1.39270574,0.00722561,0.16321176,0.84254479,0.41731988,0.23110933,0.09452344,0.00652674,0.72974085
-5.96998499,1.37707424,0.00717756,0.15626676,0.81572137,0.40638406,0.22950022,0.09582221,0.00682971,0.73012147
-5.96398199,1.35930202,0.00708871,0.14939808,0.78756087,0.39524606,0.22723512,0.09697366,0.00718680,0.72881656
-5.95797899,1.34041419,0.00696279,0.14272844,0.75870256,0.38423044,0.22451005,0.09804477,0.00760217,0.72635188
-5.95197599,1.32152602,0.00680458,0.13638009,0.72982273,0.37367466,0.22154664,0.09911113,0.00807901,0.72332038
-5.94597299,1.30380912,0.00661980,0.13047119,0.70161684,0.36391940,0.21858656,0.10025445,0.00861922,0.72036373
-5.93996998,1.28845461,0.00641499,0.12511240,0.67478084,0.35529851,0.21588514,0.10155964,0.00922321,0.71815138
-5.93396698,1.27663441,0.00619729,0.12040353,0.64999230,0.34812893,0.21370429,0.10311174,0.00988963,0.71735793
-5.92796398,1.26946216,0.00597433,0.11643058,0.62789193,0.34270083,0.21230493,0.10499275,0.01061518,0.71863952
-5.92196098,1.26795496,0.00575404,0.11326314,0.60906590,0.33926843,0.21193907,0.10727849,0.01139454,0.72261034
-5.91595798,1.27299743,0.00554450,0.11095220,0.59402958,0.33804150,0.21284203,0.11003564,0.01222025,0.72981985
-5.90995498,1.28530933,0.00535380,0.10952850,0.58321307,0.33917815,0.21522463,0.11331909,0.01308277,0.74073183
-5.90395198,1.30541788,0.00518995,0.10900144,0.57694897,0.34277880,0.21926604,0.11716974,0.01397060,0.75570587
-5.89794897,1.33363577,0.00506072,0.10935853,0.57546264,0.34888180,0.22510709,0.12161270,0.01487046,0.77498212
-5.89194597,1.37004574,0.00497361,0.11056553,0.57886536,0.35746068,0.23284463,0.12665621,0.01576757,0.79866971
-5.88594297,1.41449215,0.00493583,0.11256706,0.58715042,0.36842317,0.24252689,0.13229106,0.01664604,0.82673949
-5.87993997,1.46658016,0.00495420,0.11528797,0.60019250,0.38161221,0.25415008,0.13849067,0.01748926,0.85902123
-5.87393697,1.52568227,0.00503518,0.11863513,0.61775007,0.39680866,0.26765647,0.14521184,0.01828043,0.89520541
-5.86793397,1.59095238,0.00518485,0.12249985,0.63947119,0.41373600,0.28293395,0.15239604,0.01900307,0.93484968
-5.86193097,1.66134684,0.00540891,0.12676072,0.66490216,0.43206670,0.29981716,0.15997120,0.01964153,0.97738964
-5.85592796,1.73565173,0.00571266,0.13128682,0.69349919,0.45143019,0.31809029,0.16785398,0.02018156,1.02215376
-5.84992496,1.81251585,0.00610097,0.13594128,0.72464250,0.47142231,0.33749150,0.17595232,0.02061078,1.06838181
-5.84392196,1.89048802,0.00657826,0.14058498,0.75765269,0.49161579,0.35771883,0.18416828,0.02091912,1.11524633
-5.83791896,1.96805777,0.00714839,0.14508033,0.79180878,0.51157167,0.37843758,0.19240089,0.02109922,1.16187637
-5.83191596,2.04369799,0.00781457,0.14929501,0.82636741,0.53085124,0.39928892,0.20054910,0.02114670,1.20738273
-5.82591296,2.11590818,0.00857923,0.15310554,0.86058265,0.54902808,0.41989947,0.20851448,0.02106033,1.25088387
-5.81990995,2.18325690,0.00944385,0.15640047,0.89372579,0.56569997,0.43989172,0.21620377,0.02084210,1.29153175
-5.81390695,2.24442203,0.01040878,0.15908324,0.92510450,0.58050009,0.45889479,0.22353113,0.02049719,1.32853650
-5.80790395,2.29822755,0.01147304,0.16107444,0.95408060,0.59310728,0.47655526,0.23041995,0.02003379,1.36118947
-5.80190095,2.34367566,0.01263411,0.16231356,0.98008611,0.60325504,0.49254776,0.23680425,0.01946288,1.38888358
-5.79589795,2.37997315,0.01388773,0.16275994,1.00263685,0.61073873,0.50658491,0.24262966,0.01879782,1.41113055
-5.78989495,2.40655132,0.01522771,0.16239319,1.02134326,0.61542103,0.51842620,0.24785392,0.01805399,1.42757433
-5.78389195,2.42307876,0.01664584,0.16121284,1.03591817,0.61723518,0.52788557,0.25244698,0.01724828,1.43800050
-5.77788894,2.42946679,0.01813179,0.15923735,1.04618125,0.61618609,0.53483738,0.25639060,0.01639856,1.44234111
-5.77188594,2.42586742,0.01967307,0.15650258,1.05206016,0.61234916,0.53922052,0.25967779,0.01552318,1.44067520
-5.76588294,2.41266409,0.02125516,0.15305971,1.05358842,0.60586692,0.54104052,0.26231181,0.01464045,1.43322478
-5.75987994,2.39045565,0.02286164,0.14897280,1.05090024,0.59694356,0.54036962,0.26430501,0.01376811,1.42034659
-5.75387694,2.36003427,0.02447444,0.14431610,1.04422260,0.58583768,0.53734463,0.26567762,0.01292290,1.40252005
-5.74787394,2.32235813,0.02607420,0.13917119,1.03386502,0.57285334,0.53216291,0.26645636,0.01212014,1.38033172
-5.74187094,2.27852002,0.02764071,0.13362409,1.02020738,0.55832990,0.52507634,0.26667309,0.01137340,1.35445690
-5.73586793,2.22971273,0.02915340,0.12776251,1.00368637,0.54263097,0.51638366,0.26636353,0.01069422,1.32563909
-5.72986493,2.17719274,0.03059186,0.12167333,0.98478105,0.52613286,0.50642136,0.26556605,0.01009191,1.29466782
-5.72386193,2.12224304,0.03193648,0.11544029,0.96399804,0.50921289,0.49555349,0.26432055,0.00957344,1.26235563
-5.71785893,2.06613644,0.03316897,0.10914214,0.94185665,0.49223806,0.48416057,0.26266748,0.00914332,1.22951490
-5.71185593,2.01010033,0.03427294,0.10285113,0.91887461,0.47555438,0.47262814,0.26064697,0.00880369,1.19693516
-5.70585293,1.95528388,0.03523439,0.09663193,0.89555453,0.45947717,0.46133513,0.25829806,0.00855433,1.16536151
-5.69984992,1.90272840,0.03604213,0.09054098,0.87237141,0.44428273,0.45064251,0.25565803,0.00839280,1.13547458
-5.69384692,1.85334175,0.03668807,0.08462627,0.84976159,0.43020155,0.44088248,0.25276181,0.00831458,1.10787282
-5.68784392,1.80787716,0.03716743,0.07892734,0.82811312,0.41741317,0.43234850,0.24964144,0.00831331,1.08305709
-5.68184092,1.76691704,0.03747879,0.07347572,0.80775781,0.40604297,0.42528652,0.24632556,0.00838100,1.06141840
-5.67583792,1.73086194,0.03762400,0.06829559,0.78896503,0.39616079,0.41988754,0.24283900,0.00850830,1.04322856
