energy_ev,total_up,Pb_p_up,Pb_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,1.55263447,0.03614321,0.00114933,0.47181283,0.91995954,0.01520031,1.04452492
-5.99399700,1.55131526,0.03748496,0.00115962,0.47287945,0.91681438,0.01659012,1.03785819
-5.98799400,1.54963589,0.03893188,0.00116987,0.47408768,0.91314660,0.01798759,1.03085415
-5.98199100,1.54761930,0.04046892,0.00118031,0.47544569,0.90899883,0.01937216,1.02361705
-5.97598799,1.54534381,0.04208343,0.00119123,0.47697234,0.90445178,0.02072235,1.01629026
-5.96998499,1.54294962,0.04376613,0.00120298,0.47869963,0.89962702,0.02201635,1.00905792
-5.96398199,1.54064406,0.04551210,0.00121595,0.48067542,0.89468843,0.02323262,1.00214572
-5.95797899,1.53870520,0.04732184,0.00123060,0.48296610,0.88984219,0.02435063,0.99582036
-5.95197599,1.53748328,0.04920219,0.00124743,0.48565907,0.88533509,0.02535146,0.99038766
-5.94597299,1.53739937,0.05116717,0.00126696,0.48886476,0.88145085,0.02621857,0.98618888
-5.93996998,1.53894098,0.05323865,0.00128976,0.49271781,0.87850461,0.02693834,0.98359524
-5.93396698,1.54265413,0.05544675,0.00131639,0.49737730,0.87683527,0.02750064,0.98300037
-5.92796398,1.54913198,0.05783008,0.00134746,0.50302569,0.87679613,0.02789927,0.98481078
-5.92196098,1.55899985,0.06043557,0.00138354,0.50986654,0.87874371,0.02813223,0.98943457
-5.91595798,1.57289718,0.06331801,0.00142521,0.51812068,0.88302534,0.02820188,0.99726837
-5.90995498,1.59145664,0.06653934,0.00147298,0.52802112,0.88996582,0.02811493,1.00868319
-5.90395198,1.61528140,0.07016752,0.00152737,0.53980666,0.89985364,0.02788224,1.02400950
-5.89794897,1.64492118,0.07427512,0.00158879,0.55371444,0.91292753,0.02751851,1.04352222
-5.89194597,1.68084833,0.07893773,0.00165758,0.56997178,0.92936376,0.02704175,1.06742629
-5.88594297,1.72343488,0.08423203,0.00173401,0.58878754,0.94926497,0.02647275,1.09584354
-5.87993997,1.77293175,0.09023376,0.00181820,0.61034343,0.97265108,0.02583428,1.12880154
-5.87393697,1.82945120,0.09701556,0.00191018,0.63478569,0.99945280,0.02515038,1.16622512
-5.86793397,1.89295344,0.10464475,0.00200982,0.66221744,1.02950825,0.02444552,1.20793117
-5.86193097,1.96323812,0.11318115,0.00211686,0.69269211,1.06256281,0.02374376,1.25362703
-5.85592796,2.03994136,0.12267490,0.00223090,0.72620824,1.09827263,0.02306802,1.30291285
-5.84992496,2.12253848,0.13316445,0.00235137,0.76270580,1.13621142,0.02243929,1.35528796
-5.84392196,2.21035250,0.14467472,0.00247758,0.80206433,1.17588064,0.02187604,1.41016114
-5.83791896,2.30256807,0.15721539,0.00260869,0.84410277,1.21672251,0.02139369,1.46686447
-5.83191596,2.39825032,0.17077956,0.00274375,0.88858113,1.25813546,0.02100419,1.52467026
-5.82591296,2.49636781,0.18534255,0.00288170,0.93520378,1.29949125,0.02071580,1.58281047
-5.81990995,2.59581860,0.20086113,0.00302139,0.98362426,1.34015323,0.02053292,1.64049764
-5.81390695,2.69545840,0.21727302,0.00316160,1.03345142,1.37949476,0.02045619,1.69694670
-5.80790395,2.79412949,0.23449675,0.00330109,1.08425653,1.41691719,0.02048258,1.75139660
-5.80190095,2.89068942,0.25243201,0.00343859,1.13558123,1.45186649,0.02060570,1.80313082
-5.79589795,2.98403815,0.27096026,0.00357283,1.18694596,1.48384803,0.02081620,1.85149599
-5.78989495,3.07314280,0.28994597,0.00370259,1.23785862,1.51243869,0.02110220,1.89591785
-5.78389195,3.15705899,0.30923817,0.00382670,1.28782323,1.53729616,0.02144982,1.93591383
-5.77788894,3.23494826,0.32867253,0.00394406,1.33634836,1.55816478,0.02184378,1.97110189
-5.77188594,3.30609083,0.34807393,0.00405368,1.38295521,1.57487807,0.02226794,2.00120524
-5.76588294,3.36989380,0.36725937,0.00415467,1.42718499,1.58735778,0.02270590,2.02605293
-5.75987994,3.42589437,0.38604140,0.00424625,1.46860574,1.59560969,0.02314153,2.04557631
-5.75387694,3.47375857,0.40423174,0.00432778,1.50681825,1.59971649,0.02355943,2.05980171
-5.74787394,3.51327557,0.42164522,0.00439874,1.54146110,1.59982810,0.02394544,2.06883980
-5.74187094,3.54434830,0.43810379,0.00445875,1.57221478,1.59614999,0.02428692,2.07287215
-5.73586793,3.56698088,0.45344051,0.00450752,1.59880482,1.58893014,0.02457302,2.07213579
-5.72986493,3.58126368,0.46750341,0.00454489,1.62100384,1.57844520,0.02479490,2.06690645
-5.72386193,3.58735680,0.48015895,0.00457079,1.63863274,1.56498652,0.02494578,2.05748147
-5.71785893,3.58547281,0.49129506,0.00458523,1.65156077,1.54884674,0.02502097,2.04416306
-5.71185593,3.57585968,0.50082348,0.00458829,1.65970478,1.53030749,0.02501774,2.02724286
-5.70585293,3.55878467,0.50868148,0.00458010,1.66302762,1.50962866,0.02493524,2.00698846
-5.69984992,3.53451996,0.51483258,0.00456082,1.66153585,1.48703987,0.02477424,1.98363253
-5.69384692,3.50333078,0.51926650,0.00453062,1.65527686,1.46273424,0.02453695,1.95736516
-5.68784392,3.46546648,0.52199818,0.00448971,1.64433565,1.43686484,0.02422672,1.92832954
-5.68184092,3.42115501,0.52306590,0.00443828,1.62883134,1.40954381,0.02384778,1.89662149
-5.67583792,3.37060107,0.52252872,0.00437651,1.60891370,1.38084424,0.02340502,1.86229243
-5.66983492,3.31398795,0.52046318,0.00430462,1.58475979,1.35080443,0.02290373,1.82535595
-5.66383192,3.25148279,0.51695960,0.00422281,1.55657090,1.31943448,0.02234942,1.78579731
-5.65782891,3.18324519,0.51211808,0.00413130,1.52456998,1.28672466,0.02174768,1.74358553
-5.65182591,3.10943832,0.50604438,0.00403037,1.48899948,1.25265519,0.02110408,1.69868723
-5.64582291,3.03024206,0.49884601,0.00392032,1.45011975,1.21720681,0.02042413,1.65108161
-5.63981991,2.94586740,0.49062855,0.00380155,1.40820800,1.18037176,0.01971327,1.60077562
-5.63381691,2.85657096,0.48149259,0.00367454,1.36355766,1.14216431,0.01897693,1.54781845
-5.62781391,2.76266908,0.47153124,0.00353985,1.31647810,1.10263070,0.01822059,1.49231471
-5.62181091,2.66455034,0.46082839,0.00339819,1.26729450,1.06185762,0.01744991,1.43443539
-5.61580790,2.56268579,0.44945780,0.00325040,1.21634779,1.01997911,0.01667086,1.37442612
-5.60980490,2.45763628,0.43748296,0.00309745,1.16399440,0.97718140,0.01588978,1.31261220
-5.60380190,2.35005624,0.42495773,0.00294044,1.11060568,0.93370554,0.01511356,1.24940018
-5.59779890,2.24069365,0.41192766,0.00278060,1.05656687,0.88984769,0.01434972,1.18527583
