energy_ev,total_up,Cu_p_up,Cu_d_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.87705373,1.02697414,0.68424726,0.34844782,0.20782788,0.00036210,0.28222584,0.63323081,0.00000000
-5.99399700,2.01327560,1.10669438,0.72898854,0.37632691,0.22664571,0.00041355,0.30063912,0.68301720,0.00000000
-5.98799400,2.15251296,1.18709674,0.77513265,0.40489750,0.24594379,0.00047260,0.31938234,0.73387046,0.00000000
-5.98199100,2.29332767,1.26720667,0.82241666,0.43372184,0.26550263,0.00053975,0.33838272,0.78503706,0.00000000
-5.97598799,2.43425733,1.34605335,0.87056198,0.46235172,0.28509122,0.00061552,0.35757085,0.83574772,0.00000000
-5.96998499,2.57384630,1.42269730,0.91927667,0.49033800,0.30447199,0.00070044,0.37688256,0.88523403,0.00000000
-5.96398199,2.71067909,1.49625902,0.96825921,0.51724087,0.32340619,0.00079501,0.39626112,0.93274591,0.00000000
-5.95797899,2.84341531,1.56594721,1.01720364,0.54264028,0.34165959,0.00089971,0.41565966,0.97756939,0.00000000
-5.95197599,2.97082492,1.63108556,1.06580618,0.56614639,0.35900813,0.00101493,0.43504361,1.01904412,0.00000000
-5.94597299,3.09182244,1.69113673,1.11377310,0.58740946,0.37524353,0.00114100,0.45439334,1.05657971,0.00000000
-5.93996998,3.20549849,1.74572229,1.16082974,0.60612882,0.39017832,0.00127811,0.47370647,1.08967047,0.00000000
-5.93396698,3.31114717,1.79463731,1.20672992,0.62206044,0.40365042,0.00142630,0.49300001,1.11790777,0.00000000
-5.92796398,3.40828773,1.83785888,1.25126558,0.63502285,0.41552684,0.00158544,0.51231179,1.14098939,0.00000000
-5.92196098,3.49667899,1.87554746,1.29427565,0.64490104,0.42570646,0.00175520,0.53170122,1.15872571,0.00000000
-5.91595798,3.57632552,1.90804080,1.33565371,0.65164816,0.43412181,0.00193504,0.55124887,1.17104218,0.00000000
-5.90995498,3.64747449,1.93584018,1.37535352,0.65528494,0.44073980,0.00212419,0.57105488,1.17797819,0.00000000
-5.90395198,3.71060290,1.95958927,1.41339192,0.65589689,0.44556133,0.00232164,0.59123588,1.17968230,0.00000000
-5.89794897,3.76639503,1.98004608,1.44984853,0.65362928,0.44861999,0.00252616,0.61192039,1.17640420,0.00000000
-5.89194597,3.81571072,1.99804918,1.48486180,0.64868037,0.44997979,0.00273628,0.63324270,1.16848366,0.00000000
-5.88594297,3.85954539,2.01447927,1.51862136,0.64129290,0.44973223,0.00295035,0.65533522,1.15633713,0.00000000
-5.87993997,3.89898325,2.03021793,1.55135665,0.63174461,0.44799268,0.00316655,0.67831966,1.14044260,0.00000000
-5.87393697,3.93514573,2.04610516,1.58332229,0.62033783,0.44489640,0.00338292,0.70229730,1.12132338,0.00000000
-5.86793397,3.96913726,2.06289779,1.61478077,0.60738902,0.44059427,0.00359743,0.72733871,1.09953138,0.00000000
-5.86193097,4.00199104,2.08123076,1.64598330,0.59321830,0.43524852,0.00380802,0.75347365,1.07563088,0.00000000
-5.85592796,4.03461733,2.10158312,1.67714991,0.57813977,0.42902841,0.00401267,0.78068161,1.05018296,0.00000000
-5.84992496,4.06775694,2.12425057,1.70845004,0.56245273,0.42210616,0.00420941,0.80888361,1.02373151,0.00000000
-5.84392196,4.10194239,2.14932603,1.73998477,0.54643419,0.41465310,0.00439646,0.83793607,0.99679089,0.00000000
-5.83791896,4.13746878,2.17668933,1.77177212,0.53033295,0.40683625,0.00457219,0.86762714,0.96983578,0.00000000
-5.83191596,4.17437610,2.20600685,1.80373630,0.51436526,0.39881513,0.00473523,0.89767606,0.94329316,0.00000000
-5.82591296,4.21244406,2.23674114,1.83570203,0.49871215,0.39073907,0.00488449,0.92773598,0.91753659,0.00000000
-5.81990995,4.25119989,2.26817053,1.86739448,0.48351844,0.38274485,0.00501917,0.95740018,0.89288256,0.00000000
-5.81390695,4.28993888,2.29941759,1.89844508,0.46889315,0.37495469,0.00513879,0.98621189,0.86958896,0.00000000
-5.80790395,4.32775659,2.32948553,1.92840327,0.45491130,0.36747466,0.00524316,1.01367738,0.84785512,0.00000000
-5.80190095,4.36359134,2.35730060,1.95675359,0.44161673,0.36039332,0.00533243,1.03928175,0.82782344,0.00000000
-5.79589795,4.39627451,2.38175856,1.98293722,0.42902577,0.35378085,0.00540698,1.06250692,0.80958210,0.00000000
-5.78989495,4.42458618,2.40177302,2.00637710,0.41713141,0.34768833,0.00546745,1.08285093,0.79316866,0.00000000
-5.78389195,4.44731312,2.41632314,2.02650484,0.40590774,0.34214755,0.00551470,1.09984752,0.77857419,0.00000000
-5.77788894,4.46330597,2.42449856,2.04278814,0.39531449,0.33717103,0.00554970,1.11308517,0.76574787,0.00000000
-5.77188594,4.47153272,2.42553910,2.05475693,0.38530128,0.33275257,0.00557356,1.12222435,0.75460163,0.00000000
-5.76588294,4.47112561,2.41886757,2.06202682,0.37581165,0.32886816,0.00558744,1.12701230,0.74501494,0.00000000
-5.75987994,4.46141922,2.40411401,2.06431821,0.36678650,0.32547732,0.00559252,1.12729424,0.73683953,0.00000000
-5.75387694,4.44197785,2.38113039,2.06147024,0.35816711,0.32252498,0.00558997,1.12302069,0.72990406,0.00000000
-5.74787394,4.41261122,2.34999511,2.05344852,0.34989751,0.31994372,0.00558093,1.11425014,0.72401880,0.00000000
-5.74187094,4.37337796,2.31100753,2.04034643,0.34192635,0.31765653,0.00556650,1.10114726,0.71898020,0.00000000
-5.73586793,4.32457735,2.26467294,2.02237992,0.33420826,0.31557988,0.00554772,1.08397645,0.71457561,0.00000000
-5.72986493,4.26673033,2.21167909,1.99987629,0.32670478,0.31362713,0.00552564,1.06309135,0.71058803,0.00000000
-5.72386193,4.20055133,2.15286579,1.97325782,0.31938494,0.31171209,0.00550125,1.03892076,0.70680097,0.00000000
-5.71785893,4.12691311,2.08918935,1.94302134,0.31222559,0.30975266,0.00547559,1.01195173,0.70300337,0.00000000
-5.71185593,4.04680697,2.02168388,1.90971510,0.30521155,0.30767442,0.00544974,0.98271094,0.69899469,0.00000000
-5.70585293,3.96130095,1.95142153,1.87391449,0.29833561,0.30541389,0.00542483,0.95174514,0.69458987,0.00000000
-5.69984992,3.87149833,1.87947376,1.83619814,0.29159853,0.30292147,0.00540212,0.91960181,0.68962419,0.00000000
-5.69384692,3.77849892,1.80687535,1.79712563,0.28500892,0.30016376,0.00538295,0.88681104,0.68395787,0.00000000
-5.68784392,3.68336489,1.73459280,1.75721832,0.27858310,0.29712522,0.00536877,0.85386921,0.67748014,0.00000000
-5.68184092,3.58709261,1.66349837,1.71694399,0.27234493,0.29380899,0.00536113,0.82122561,0.67011263,0.00000000
-5.67583792,3.49059144,1.59435044,1.67670607,0.26632541,0.29023686,0.00536164,0.78927195,0.66181195,0.00000000
-5.66983492,3.39466972,1.52778066,1.63683765,0.26056228,0.28644829,0.00537190,0.75833553,0.65257113,0.00000000
-5.66383192,3.30002772,1.46428769,1.59760019,0.25509924,0.28249857,0.00539347,0.72867573,0.64241987,0.00000000
-5.65782891,3.20725693,1.40423733,1.55918652,0.24998505,0.27845615,0.00542775,0.70048391,0.63142352,0.00000000
-5.65182591,3.11684450,1.34786792,1.52172740,0.24527218,0.27439917,0.00547593,0.67388618,0.61968061,0.00000000
-5.64582291,3.02918147,1.29530046,1.48530066,0.24101523,0.27041155,0.00553884,0.64894874,0.60731913,0.00000000
