energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down
-6.00000000,1.67011767,-1.67011755,0.06581673,-0.06581672,0.42806036,-0.42806033,0.38397973,-0.38397970,0.74278051,-0.74278045,0.00591991,-0.00591991,0.26476385,-0.26476384,0.09816199,-0.09816200,0.01452147,-0.01452146
-5.99399700,1.74819911,-1.74819899,0.07017421,-0.07017420,0.45341935,-0.45341932,0.40700629,-0.40700626,0.78781078,-0.78781071,0.00629295,-0.00629294,0.27029321,-0.27029320,0.10090957,-0.10090959,0.01528354,-0.01528354
-5.98799400,1.83355344,-1.83355332,0.07453853,-0.07453852,0.47991083,-0.47991080,0.43163832,-0.43163829,0.83405810,-0.83405804,0.00673947,-0.00673947,0.27818254,-0.27818253,0.10389214,-0.10389216,0.01626884,-0.01626884
-5.98199100,1.92524737,-1.92524724,0.07886501,-0.07886500,0.50727070,-0.50727067,0.45772853,-0.45772849,0.88101777,-0.88101770,0.00725468,-0.00725468,0.28834456,-0.28834455,0.10703635,-0.10703637,0.01748008,-0.01748007
-5.97598799,2.02234160,-2.02234147,0.08310772,-0.08310771,0.53522834,-0.53522830,0.48513204,-0.48513200,0.92816773,-0.92816767,0.00783290,-0.00783290,0.30069956,-0.30069955,0.11027053,-0.11027055,0.01891984,-0.01891984
-5.96998499,2.12390509,-2.12390497,0.08721989,-0.08721988,0.56350977,-0.56350974,0.51370904,-0.51370901,0.97497400,-0.97497394,0.00846755,-0.00846754,0.31517809,-0.31517808,0.11352604,-0.11352607,0.02059062,-0.02059061
-5.96398199,2.22902661,-2.22902648,0.09115432,-0.09115431,0.59184090,-0.59184087,0.54332684,-0.54332681,1.02089639,-1.02089634,0.00915120,-0.00915120,0.33172208,-0.33172207,0.11673836,-0.11673839,0.02249461,-0.02249460
-5.95797899,2.33682358,-2.33682346,0.09486392,-0.09486391,0.61995082,-0.61995079,0.57386140,-0.57386136,1.06539479,-1.06539474,0.00987565,-0.00987565,0.35028432,-0.35028431,0.11984801,-0.11984804,0.02463354,-0.02463353
-5.95197599,2.44644852,-2.44644841,0.09830229,-0.09830228,0.64757522,-0.64757519,0.60519828,-0.60519824,1.10793599,-1.10793594,0.01063195,-0.01063195,0.37082644,-0.37082644,0.12280116,-0.12280120,0.02700832,-0.02700831
-5.94597299,2.55709320,-2.55709309,0.10142442,-0.10142441,0.67445994,-0.67445991,0.63723307,-0.63723303,1.14800118,-1.14800114,0.01141055,-0.01141054,0.39331533,-0.39331532,0.12555015,-0.12555019,0.02961871,-0.02961870
-5.93996998,2.66799086,-2.66799076,0.10418737,-0.10418736,0.70036462,-0.70036459,0.66987113,-0.66987109,1.18509414,-1.18509410,0.01220141,-0.01220141,0.41771832,-0.41771832,0.12805377,-0.12805381,0.03246278,-0.03246277
-5.93396698,2.77841693,-2.77841684,0.10655119,-0.10655117,0.72506644,-0.72506642,0.70302685,-0.70302681,1.21874999,-1.21874995,0.01299418,-0.01299417,0.44399737,-0.44399737,0.13027749,-0.13027754,0.03553646,-0.03553644
-5.92796398,2.88768840,-2.88768832,0.10847970,-0.10847969,0.74836389,-0.74836387,0.73662229,-0.73662225,1.24854447,-1.24854444,0.01377836,-0.01377835,0.47210233,-0.47210234,0.13219352,-0.13219357,0.03883293,-0.03883291
-5.92196098,2.99516232,-2.99516225,0.10994152,-0.10994150,0.77008033,-0.77008031,0.77058531,-0.77058527,1.27410341,-1.27410339,0.01454352,-0.01454352,0.50196397,-0.50196399,0.13378088,-0.13378093,0.04234207,-0.04234204
-5.91595798,3.10023362,-3.10023357,0.11091086,-0.11091085,0.79006745,-0.79006744,0.80484720,-0.80484717,1.29511219,-1.29511218,0.01527951,-0.01527951,0.53348684,-0.53348686,0.13502538,-0.13502543,0.04604987,-0.04604984
-5.90995498,3.20233248,-3.20233243,0.11136855,-0.11136854,0.80820820,-0.80820819,0.83933989,-0.83933985,1.31132466,-1.31132466,0.01597668,-0.01597668,0.56654248,-0.56654250,0.13591962,-0.13591967,0.04993795,-0.04993792
-5.90395198,3.30092149,-3.30092145,0.11130273,-0.11130272,0.82441921,-0.82441920,0.87399274,-0.87399271,1.32257131,-1.32257132,0.01662611,-0.01662611,0.60096346,-0.60096349,0.13646288,-0.13646293,0.05398309,-0.05398306
-5.89794897,3.39549288,-3.39549286,0.11070962,-0.11070961,0.83865240,-0.83865240,0.90872915,-0.90872912,1.32876600,-1.32876601,0.01721982,-0.01721982,0.63653857,-0.63653860,0.13666108,-0.13666114,0.05815693,-0.05815690
-5.89194597,3.48556587,-3.48556586,0.10959403,-0.10959402,0.85089575,-0.85089576,0.94346301,-0.94346298,1.32991101,-1.32991103,0.01775094,-0.01775094,0.67300950,-0.67300955,0.13652663,-0.13652669,0.06242576,-0.06242573
-5.88594297,3.57068449,-3.57068449,0.10796966,-0.10796965,0.86117297,-0.86117298,0.97809519,-0.97809516,1.32609992,-1.32609995,0.01821395,-0.01821395,0.71006955,-0.71006960,0.13607825,-0.13607831,0.06675059,-0.06675055
-5.87993997,3.65041600,-3.65041602,0.10585923,-0.10585921,0.86954211,-0.86954212,1.01251028,-1.01251025,1.31751805,-1.31751809,0.01860475,-0.01860475,0.74736435,-0.74736440,0.13534068,-0.13534074,0.07108730,-0.07108726
-5.87393697,3.72435016,-3.72435019,0.10329426,-0.10329424,0.87609306,-0.87609308,1.04657373,-1.04657370,1.30444018,-1.30444022,0.01892082,-0.01892082,0.78449503,-0.78449509,0.13434432,-0.13434437,0.07538716,-0.07538712
-5.86793397,3.79209948,-3.79209952,0.10031466,-0.10031465,0.88094396,-0.88094398,1.08012963,-1.08012960,1.28722556,-1.28722561,0.01916126,-0.01916126,0.82102382,-0.82102389,0.13312475,-0.13312481,0.07959750,-0.07959745
-5.86193097,3.85330072,-3.85330077,0.09696802,-0.09696801,0.88423662,-0.88423664,1.11299932,-1.11299929,1.26631020,-1.26631026,0.01932684,-0.01932685,0.85648199,-0.85648206,0.13172212,-0.13172217,0.08366262,-0.08366257
-5.85592796,3.90761760,-3.90761765,0.09330861,-0.09330859,0.88613116,-0.88613119,1.14498099,-1.14498095,1.24219660,-1.24219667,0.01941997,-0.01941997,0.89038005,-0.89038014,0.13018033,-0.13018038,0.08752501,-0.08752495
-5.84992496,3.95474480,-3.95474486,0.08939620,-0.08939618,0.88680001,-0.88680004,1.17585032,-1.17585029,1.21544124,-1.21544131,0.01944464,-0.01944464,0.92221988,-0.92221997,0.12854620,-0.12854625,0.09112663,-0.09112657
-5.84392196,3.99441311,-3.99441317,0.08529467,-0.08529465,0.88642150,-0.88642153,1.20536243,-1.20536240,1.18664024,-1.18664031,0.01940631,-0.01940631,0.95150828,-0.95150837,0.12686838,-0.12686842,0.09441052,-0.09441046
