energy_ev,total_up,Hg_p_up,Hg_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,1.47289259,0.49535189,0.24394018,0.13377578,0.00037583,0.89917484,0.00000000
-5.99399700,1.49434595,0.49141055,0.23621613,0.13944701,0.00037378,0.97648468,0.00000000
-5.98799400,1.53145127,0.49312217,0.23082867,0.14688831,0.00037580,1.06417819,0.00000000
-5.98199100,1.58432814,0.50059304,0.22782570,0.15611983,0.00038195,1.16206691,0.00000000
-5.97598799,1.65274010,0.51381729,0.22719955,0.16712701,0.00039221,1.26973226,0.00000000
-5.96998499,1.73609299,0.53267471,0.22888839,0.17985849,0.00040647,1.38651891,0.00000000
-5.96398199,1.83344237,0.55693143,0.23277878,0.19422496,0.00042452,1.51153459,0.00000000
-5.95797899,1.94350987,0.58624334,0.23870960,0.21009902,0.00044604,1.64365670,0.00000000
-5.95197599,2.06470821,0.62016202,0.24647701,0.22731606,0.00047065,1.78154597,0.00000000
-5.94597299,2.19517409,0.65814323,0.25584021,0.24567616,0.00049789,1.92366691,0.00000000
-5.93996998,2.33280839,0.69955760,0.26652806,0.26494723,0.00052723,2.06831494,0.00000000
-5.93396698,2.47532258,0.74370339,0.27824616,0.28486902,0.00055808,2.21364935,0.00000000
-5.92796398,2.62029023,0.78982091,0.29068426,0.30515819,0.00058983,2.35773137,0.00000000
-5.92196098,2.76520225,0.83710854,0.30352394,0.32551430,0.00062183,2.49856606,0.00000000
-5.91595798,2.90752446,0.88473966,0.31644616,0.34562643,0.00065342,2.63414700,0.00000000
-5.90995498,3.04475598,0.93188046,0.32913873,0.36518034,0.00068395,2.76250201,0.00000000
-5.90395198,3.17448670,0.97770790,0.34130337,0.38386606,0.00071282,2.88173869,0.00000000
-5.89794897,3.29445243,1.02142758,0.35266231,0.40138549,0.00073942,2.99008809,0.00000000
-5.89194597,3.40258618,1.06229112,0.36296423,0.41745986,0.00076324,3.08594526,0.00000000
-5.88594297,3.49706410,1.09961248,0.37198944,0.43183690,0.00078381,3.16790524,0.00000000
-5.87993997,3.57634513,1.13278292,0.37955418,0.44429729,0.00080076,3.23479355,0.00000000
-5.87393697,3.63920316,1.16128432,0.38551407,0.45466041,0.00081377,3.28569034,0.00000000
-5.86793397,3.68475120,1.18470035,0.38976647,0.46278902,0.00082266,3.31994752,0.00000000
-5.86193097,3.71245712,1.20272549,0.39225190,0.46859290,0.00082733,3.33719883,0.00000000
-5.85592796,3.72215067,1.21517149,0.39295447,0.47203117,0.00082776,3.33736264,0.00000000
-5.84992496,3.71402209,1.22197123,0.39190130,0.47311343,0.00082407,3.32063785,0.00000000
-5.84392196,3.68861240,1.22317995,0.38916103,0.47189954,0.00081643,3.28749335,0.00000000
-5.83791896,3.64679614,1.21897364,0.38484145,0.46849809,0.00080514,3.23865166,0.00000000
-5.83191596,3.58975684,1.20964482,0.37908633,0.46306374,0.00079054,3.17506748,0.00000000
-5.82591296,3.51895634,1.19559560,0.37207151,0.45579335,0.00077308,3.09790206,0.00000000
-5.81990995,3.43609836,1.17732817,0.36400038,0.44692106,0.00075325,3.00849416,0.00000000
-5.81390695,3.34308743,1.15543288,0.35509878,0.43671248,0.00073157,2.90832850,0.00000000
-5.80790395,3.24198387,1.13057401,0.34560940,0.42545806,0.00070861,2.79900242,0.00000000
-5.80190095,3.13495562,1.10347354,0.33578582,0.41346588,0.00068496,2.68219157,0.00000000
-5.79589795,3.02422796,1.07489310,0.32588627,0.40105389,0.00066120,2.55961537,0.00000000
-5.78989495,2.91203176,1.04561445,0.31616715,0.38854188,0.00063790,2.43300265,0.00000000
-5.78389195,2.80055146,1.01641900,0.30687652,0.37624329,0.00061561,2.30405835,0.00000000
-5.77788894,2.69187364,0.98806663,0.29824760,0.36445706,0.00059485,2.17443160,0.00000000
-5.77188594,2.58793732,0.96127462,0.29049248,0.35345981,0.00057605,2.04568580,0.00000000
-5.76588294,2.49048723,0.93669701,0.28379618,0.34349840,0.00055962,1.91927129,0.00000000
-5.75987994,2.40103126,0.91490532,0.27831122,0.33478318,0.00054586,1.79650090,0.00000000
-5.75387694,2.32080346,0.89637116,0.27415294,0.32748226,0.00053503,1.67852919,0.00000000
-5.74787394,2.25073384,0.88145146,0.27139563,0.32171677,0.00052726,1.56633550,0.00000000
