energy_ev,total_up,Ag_p_up,Ag_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.02302521,0.72457339,1.93790771,0.34962509,0.40593681,0.02525248,0.05710833,0.03818049,0.32124620
-5.99399700,2.92132970,0.70344340,1.87314101,0.33805103,0.39202277,0.02335504,0.05652313,0.03819397,0.30939833
-5.98799400,2.81699030,0.68175067,1.80605233,0.32594590,0.37811441,0.02153462,0.05578729,0.03816182,0.29725512
-5.98199100,2.71057893,0.65953825,1.73709995,0.31338475,0.36423704,0.01981221,0.05489741,0.03807011,0.28486157
-5.97598799,2.60276460,0.63685955,1.66680855,0.30044437,0.35043513,0.01820750,0.05385302,0.03790867,0.27227011
-5.96998499,2.49430808,0.61378130,1.59576340,0.28720303,0.33677212,0.01673847,0.05265686,0.03767154,0.25954031
-5.96398199,2.38605332,0.59038584,1.52460228,0.27374036,0.32332948,0.01542114,0.05131510,0.03735724,0.24673832
-5.95797899,2.27891534,0.56677256,1.45400535,0.26013733,0.31020499,0.01426927,0.04983744,0.03696887,0.23393622
-5.95197599,2.17386483,0.54305831,1.38468306,0.24647625,0.29751028,0.01329423,0.04823710,0.03651401,0.22121103
-5.94597299,2.07190952,0.51937662,1.31736229,0.23284066,0.28536765,0.01250478,0.04653067,0.03600446,0.20864357
-5.93996998,1.97407272,0.49587580,1.25277110,0.21931513,0.27390633,0.01190701,0.04473789,0.03545579,0.19631703
-5.93396698,1.88136975,0.47271586,1.19162249,0.20598478,0.26325818,0.01150425,0.04288120,0.03488673,0.18431541
-5.92796398,1.79478290,0.45006448,1.13459787,0.19293470,0.25355317,0.01129710,0.04098524,0.03431842,0.17272175
-5.92196098,1.71523584,0.42809222,1.08233051,0.18024899,0.24491457,0.01128334,0.03907622,0.03377369,0.16161630
-5.91595798,1.64356855,0.40696720,1.03538992,0.16800970,0.23745431,0.01145804,0.03718121,0.03327608,0.15107465
-5.90995498,1.58051374,0.38684961,0.99426766,0.15629555,0.23126844,0.01181357,0.03532739,0.03284904,0.14116595
-5.90395198,1.52667588,0.36788631,0.95936506,0.14518055,0.22643310,0.01233966,0.03354127,0.03251505,0.13195128
-5.89794897,1.48251368,0.35020601,0.93098354,0.13473261,0.22300104,0.01302356,0.03184793,0.03229481,0.12348213
-5.89194597,1.44832702,0.33391510,0.90931787,0.12501217,0.22099900,0.01385014,0.03027029,0.03220656,0.11579937
-5.88594297,1.42424880,0.31909468,0.89445266,0.11607100,0.22042586,0.01480207,0.02882853,0.03226550,0.10893239
-5.87993997,1.41024224,0.30579871,0.88636212,0.10795116,0.22125189,0.01586007,0.02753952,0.03248331,0.10289873
-5.87393697,1.40610370,0.29405361,0.88491330,0.10068434,0.22341905,0.01700317,0.02641645,0.03286788,0.09770412
-5.86793397,1.41147104,0.28385930,0.88987241,0.09429139,0.22684223,0.01820904,0.02546858,0.03342317,0.09334291
-5.86193097,1.42583691,0.27519156,0.90091396,0.08878228,0.23141162,0.01945436,0.02470112,0.03414920,0.08979889
-5.85592796,1.44856665,0.26800572,0.91763240,0.08415641,0.23699588,0.02071529,0.02411533,0.03504219,0.08704652
-5.84992496,1.47891975,0.26224130,0.93955550,0.08040322,0.24344612,0.02196790,0.02370867,0.03609482,0.08505236
-5.84392196,1.51607393,0.25782757,0.96615910,0.07750313,0.25060051,0.02318868,0.02347517,0.03729659,0.08377684
-5.83791896,1.55915091,0.25468943,0.99688235,0.07542873,0.25828921,0.02435511,0.02340588,0.03863425,0.08317602
-5.83191596,1.60724253,0.25275360,1.03114301,0.07414615,0.26633955,0.02544611,0.02348938,0.04009231,0.08320355
-5.82591296,1.65943631,0.25195443,1.06835212,0.07361656,0.27458114,0.02644261,0.02371238,0.04165348,0.08381248
-5.81990995,1.71483929,0.25223931,1.10792747,0.07379766,0.28285079,0.02732795,0.02406042,0.04329924,0.08495696
-5.81390695,1.77259934,0.25357311,1.14930554,0.07464525,0.29099691,0.02808834,0.02451844,0.04501030,0.08659379
-5.80790395,1.83192312,0.25594157,1.19195151,0.07611459,0.29888336,0.02871311,0.02507146,0.04676706,0.08868362
-5.80190095,1.89209027,0.25935335,1.23536714,0.07816163,0.30639254,0.02919502,0.02570515,0.04855002,0.09119187
-5.79589795,1.95246333,0.26384056,1.27909641,0.08074403,0.31342763,0.02953031,0.02640633,0.05034011,0.09408928
-5.78989495,2.01249336,0.26945781,1.32272893,0.08382193,0.31991394,0.02971874,0.02716337,0.05211902,0.09735208
-5.78389195,2.07172124,0.27627964,1.36590121,0.08735839,0.32579927,0.02976350,0.02796654,0.05386940,0.10096179
-5.77788894,2.12977495,0.28439649,1.40829594,0.09131953,0.33105351,0.02967096,0.02880817,0.05557505,0.10490459
-5.77188594,2.18636306,0.29390933,1.44963955,0.09567440,0.33566720,0.02945039,0.02968272,0.05722106,0.10917046
-5.76588294,2.24126509,0.30492312,1.48969823,0.10039447,0.33964955,0.02911354,0.03058672,0.05879383,0.11375190
-5.75987994,2.29431920,0.31753934,1.52827274,0.10545290,0.34302563,0.02867415,0.03151856,0.06028114,0.11864253
-5.75387694,2.34540777,0.33184789,1.56519231,0.11082351,0.34583321,0.02814746,0.03247820,0.06167215,0.12383541
-5.74787394,2.39444182,0.34791878,1.60030788,0.11647965,0.34811914,0.02754964,0.03346676,0.06295732,0.12932136
-5.74187094,2.44134458,0.36579371,1.63348496,0.12239282,0.34993561,0.02689721,0.03448602,0.06412834,0.13508715
-5.73586793,2.48603521,0.38547820,1.66459637,0.12853130,0.35133630,0.02620653,0.03553787,0.06517804,0.14111386
-5.72986493,2.52841319,0.40693439,1.69351523,0.13485878,0.35237271,0.02549328,0.03662373,0.06610029,0.14737528
-5.72386193,2.56834406,0.43007502,1.72010833,0.14133307,0.35309067,0.02477199,0.03774393,0.06688982,0.15383660
-5.71785893,2.60564718,0.45475877,1.74423026,0.14790503,0.35352734,0.02405562,0.03889719,0.06754208,0.16045332
-5.71185593,2.64008601,0.48078738,1.76571848,0.15451773,0.35370862,0.02335529,0.04008005,0.06805312,0.16717065
-5.70585293,2.67136151,0.50790473,1.78438975,0.16110601,0.35364722,0.02268004,0.04128648,0.06841940,0.17392313
-5.69984992,2.69910912,0.53579801,1.80003802,0.16759640,0.35334140,0.02203664,0.04250757,0.06863769,0.18063494
-5.69384692,2.72289958,0.56410124,1.81243409,0.17390753,0.35277446,0.02142956,0.04373134,0.06870490,0.18722049
-5.68784392,2.74224386,0.59240091,1.82132725,0.17995106,0.35191497,0.02086100,0.04494270,0.06861810,0.19358564
-5.68184092,2.75660231,0.62024398,1.82644904,0.18563305,0.35071781,0.02033096,0.04612363,0.06837435,0.19962939
-5.67583792,2.76539790,0.64714782,1.82751901,0.19085591,0.34912584,0.01983746,0.04725347,0.06797084,0.20524596
-5.66983492,2.76803322,0.67261191,1.82425273,0.19552066,0.34707242,0.01937676,0.04830938,0.06740487,0.21032738
-5.66383192,2.76391075,0.69613103,1.81637149,0.19952967,0.34448427,0.01894362,0.04926700,0.06667401,0.21476628
-5.65782891,2.75245577,0.71720941,1.80361376,0.20278955,0.34128503,0.01853167,0.05010116,0.06577628,0.21845902
-5.65182591,2.73314097,0.73537527,1.78574771,0.20521429,0.33739893,0.01813372,0.05078675,0.06471037,0.22130888
-5.64582291,2.70551165,0.75019538,1.76258436,0.20672826,0.33275478,0.01774215,0.05129963,0.06347591,0.22322922
-5.63981991,2.66921061,0.76128892,1.73399080,0.20726922,0.32728979,0.01734927,0.05161752,0.06207378,0.22414656
-5.63381691,2.62400118,0.76834004,1.69990273,0.20679092,0.32095326,0.01694764,0.05172095,0.06050638,0.22400331
-5.62781391,2.56978757,0.77110873,1.66033562,0.20526532,0.31370996,0.01653042,0.05159407,0.05877793,0.22276013
-5.62181091,2.50663124,0.76943933,1.61539400,0.20268432,0.30554280,0.01609165,0.05122539,0.05689473,0.22039778
-5.61580790,2.43476246,0.76326644,1.56527806,0.19906080,0.29645504,0.01562646,0.05060835,0.05486532,0.21691834
-5.60980490,2.35458624,0.75261787,1.51028737,0.19442898,0.28647155,0.01513128,0.04974172,0.05270067,0.21234572
-5.60380190,2.26668242,0.73761451,1.45082117,0.18884412,0.27563936,0.01460399,0.04862988,0.05041417,0.20672553
-5.59779890,2.17179955,0.71846712,1.38737530,0.18238145,0.26402730,0.01404391,0.04728276,0.04802159,0.20012416
-5.59179590,2.07084289,0.69547019,1.32053572,0.17513446,0.25172480,0.01345189,0.04571571,0.04554095,0.19262719
-5.58579290,1.96485700,0.66899310,1.25096883,0.16721267,0.23883993,0.01283021,0.04394911,0.04299229,0.18433722
-5.57978989,1.85500372,0.63946901,1.17940920,0.15873885,0.22549678,0.01218249,0.04200779,0.04039730,0.17537107
-5.57378689,1.74253644,0.60738203,1.10664496,0.14984592,0.21183226,0.01151355,0.03992039,0.03777898,0.16585668
-5.56778389,1.62877196,0.57325308,1.03350183,0.14067369,0.19799256,0.01082921,0.03771852,0.03516115,0.15592970
-5.56178089,1.51506113,0.53762522,0.96082627,0.13136546,0.18412934,0.01013609,0.03543589,0.03256801,0.14572983
-5.55577789,1.40275953,0.50104899,0.88946862,0.12206473,0.17039592,0.00944137,0.03310742,0.03002363,0.13539740
-5.54977489,1.29319937,0.46406823,0.82026683,0.11291211,0.15694355,0.00875256,0.03076831,0.02755149,0.12506987
-5.54377189,1.18766372,0.42720714,0.75403148,0.10404252,0.14391797,0.00807730,0.02845325,0.02517403,0.11487873
-5.53776888,1.08736377,0.39095880,0.69153250,0.09558275,0.13145629,0.00742307,0.02619556,0.02291228,0.10494681
-5.53176588,0.99341998,0.35577558,0.63348794,0.08764945,0.11968445,0.00679709,0.02402657,0.02078551,0.09538595
-5.52576288,0.90684717,0.32206164,0.58055510,0.08034763,0.10871508,0.00620606,0.02197504,0.01881105,0.08629525
-5.51975988,0.82854387,0.29016771,0.53332386,0.07376950,0.09864602,0.00565609,0.02006674,0.01700405,0.07775986
