energy_ev,total_up,Cd_p_up,Cd_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,0.92254074,0.71174659,0.15324000,0.05982666,0.15671644,0.29957529,0.00000000
-5.99399700,0.96152033,0.72454487,0.16058264,0.06458624,0.16037345,0.31150230,0.00000000
-5.98799400,0.99937334,0.73702901,0.16766165,0.06923074,0.16400436,0.32294853,0.00000000
-5.98199100,1.03532086,0.74878674,0.17434195,0.07368266,0.16750096,0.33367989,0.00000000
-5.97598799,1.06857655,0.75938298,0.18048948,0.07786369,0.17074960,0.34346328,0.00000000
-5.96998499,1.09837225,0.76837748,0.18597535,0.08169696,0.17363509,0.35207466,0.00000000
-5.96398199,1.12398473,0.77534337,0.19068009,0.08510942,0.17604502,0.35930723,0.00000000
-5.95797899,1.14476238,0.77988582,0.19449785,0.08803419,0.17787402,0.36497954,0.00000000
-5.95197599,1.16015059,0.78165983,0.19734041,0.09041277,0.17902802,0.36894295,0.00000000
-5.94597299,1.16971475,0.78038642,0.19914072,0.09219717,0.17942811,0.37108830,0.00000000
-5.93996998,1.17315962,0.77586645,0.19985592,0.09335162,0.17901403,0.37135127,0.00000000
-5.93396698,1.17034434,0.76799138,0.19946960,0.09385404,0.17774687,0.36971633,0.00000000
-5.92796398,1.16129216,0.75675060,0.19799324,0.09369702,0.17561112,0.36621892,0.00000000
-5.92196098,1.14619462,0.74223493,0.19546671,0.09288830,0.17261584,0.36094591,0.00000000
-5.91595798,1.12540979,0.72463634,0.19195790,0.09145089,0.16879500,0.35403409,0.00000000
-5.90995498,1.09945483,0.70424375,0.18756136,0.08942259,0.16420688,0.34566693,0.00000000
-5.90395198,1.06899311,0.68143542,0.18239609,0.08685519,0.15893274,0.33606963,0.00000000
-5.89794897,1.03481654,0.65666818,0.17660261,0.08381318,0.15307472,0.32550265,0.00000000
-5.89194597,0.99782394,0.63046409,0.17033937,0.08037222,0.14675321,0.31425404,0.00000000
-5.88594297,0.95899641,0.60339529,0.16377864,0.07661739,0.14010370,0.30263090,0.00000000
-5.87993997,0.91937082,0.57606752,0.15710222,0.07264124,0.13327337,0.29095023,0.00000000
-5.87393697,0.88001251,0.54910331,0.15049688,0.06854186,0.12641758,0.27952964,0.00000000
-5.86793397,0.84198828,0.52312534,0.14415000,0.06442095,0.11969633,0.26867819,0.00000000
-5.86193097,0.80634077,0.49874066,0.13824533,0.06038198,0.11327091,0.25868783,0.00000000
-5.85592796,0.77406501,0.47652640,0.13295918,0.05652857,0.10730084,0.24982554,0.00000000
-5.84992496,0.74608790,0.45701727,0.12845699,0.05296300,0.10194108,0.24232671,0.00000000
-5.84392196,0.72325108,0.44069533,0.12489048,0.04978491,0.09733977,0.23638966,0.00000000
-5.83791896,0.70629746,0.42798198,0.12239542,0.04709028,0.09363625,0.23217168,0.00000000
-5.83191596,0.69586144,0.41923242,0.12108987,0.04497047,0.09095952,0.22978649,0.00000000
-5.82591296,0.69246266,0.41473225,0.12107299,0.04351139,0.08942707,0.22930324,0.00000000
-5.81990995,0.69650293,0.41469620,0.12242434,0.04279280,0.08914388,0.23074688,0.00000000
-5.81390695,0.70826584,0.41926853,0.12520351,0.04288750,0.09020170,0.23409988,0.00000000
-5.80790395,0.72791843,0.42852485,0.12945003,0.04386048,0.09267830,0.23930500,0.00000000
-5.80190095,0.75551434,0.44247485,0.13518347,0.04576799,0.09663683,0.24626911,0.00000000
-5.79589795,0.79099778,0.46106571,0.14240356,0.04865638,0.10212498,0.25486758,0.00000000
-5.78989495,0.83420775,0.48418565,0.15109034,0.05256080,0.10917412,0.26494922,0.00000000
