energy_ev,total_up,In_p_up,In_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,0.83749617,0.12558795,0.00420463,0.38198067,0.00000000,0.47870650,0.20453572
-5.99399700,0.87041183,0.13628835,0.00395575,0.40050916,0.00000000,0.51105686,0.21086973
-5.98799400,0.91691574,0.14959862,0.00376048,0.42526148,0.00000000,0.55009741,0.22082761
-5.98199100,0.97734037,0.16556961,0.00362219,0.45643814,0.00000000,0.59584138,0.23453094
-5.97598799,1.05180936,0.18422594,0.00354327,0.49413937,0.00000000,0.64816350,0.25205212
-5.96998499,1.14021797,0.20556063,0.00352516,0.53835500,0.00000000,0.70679208,0.27340822
-5.96398199,1.24221556,0.22952967,0.00356833,0.58895535,0.00000000,0.77130413,0.29855509
-5.95797899,1.35719128,0.25604676,0.00367224,0.64568370,0.00000000,0.84112385,0.32738188
-5.95197599,1.48426382,0.28497857,0.00383540,0.70815077,0.00000000,0.91552496,0.35970658
-5.94597299,1.62227638,0.31614084,0.00405531,0.77583163,0.00000000,0.99363731,0.39527258
-5.93996998,1.76979785,0.34929557,0.00432855,0.84806583,0.00000000,1.07445782,0.43374699
-5.93396698,1.92513132,0.38414957,0.00465070,0.92406099,0.00000000,1.15686604,0.47472082
-5.92796398,2.08633055,0.42035482,0.00501646,1.00290032,0.00000000,1.23964402,0.51771155
-5.92196098,2.25122513,0.45751057,0.00541963,1.08355452,0.00000000,1.32150040,0.56216828
-5.91595798,2.41745451,0.49516761,0.00585320,1.16489798,0.00000000,1.40109811,0.60747955
-5.90995498,2.58251076,0.53283457,0.00630941,1.24572938,0.00000000,1.47708497,0.65298415
-5.90395198,2.74378950,0.56998636,0.00677990,1.32479639,0.00000000,1.54812652,0.69798450
-5.89794897,2.89864801,0.60607457,0.00725581,1.40082391,0.00000000,1.61293979,0.74176271
-5.89194597,3.04446893,0.64053962,0.00772794,1.47254528,0.00000000,1.67032710,0.78359858
-5.88594297,3.17872775,0.67282430,0.00818697,1.53873535,0.00000000,1.71920854,0.82278935
-5.87993997,3.29906184,0.70238831,0.00862364,1.59824446,0.00000000,1.75865206,0.85867016
