energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Mn_p_up,Mn_d_up,Se_s_up,Se_p_up
-6.00000000,4.17234909,0.13498110,0.06547600,0.70066525,1.72104365,0.84233358,0.36149474,0.11812490,1.27431731
-5.99399700,4.23314494,0.14481125,0.06835627,0.74172655,1.72021809,0.85948874,0.37203248,0.12008316,1.30286743
-5.98799400,4.30111342,0.15466186,0.07134354,0.78432805,1.72138219,0.87663390,0.38309639,0.12235638,1.33436129
-5.98199100,4.37462979,0.16440652,0.07443735,0.82797935,1.72396741,0.89362515,0.39455070,0.12487962,1.36821568
-5.97598799,4.45209467,0.17391259,0.07763880,0.87216240,1.72743615,0.91032871,0.40626383,0.12758634,1.40384414
-5.96998499,4.53195539,0.18304435,0.08095028,0.91634223,1.73128816,0.92662034,0.41810968,0.13040924,1.44066514
-5.96398199,4.61272495,0.19166658,0.08437505,0.95997879,1.73506535,0.94238513,0.42996857,0.13328115,1.47810983
-5.95797899,4.69299890,0.19964834,0.08791684,1.00253981,1.73835527,0.95751781,0.44172783,0.13613582,1.51562929
-5.95197599,4.77147022,0.20686701,0.09157922,1.04351384,1.74079358,0.97192339,0.45328210,0.13890878,1.55270147
-5.94597299,4.84694210,0.21321212,0.09536502,1.08242309,1.74206564,0.98551836,0.46453330,0.14153807,1.58883754
-5.93996998,4.91833839,0.21858908,0.09927556,1.11883544,1.74190736,0.99823194,0.47539049,0.14396510,1.62358753
-5.93396698,4.98471130,0.22292239,0.10330995,1.15237485,1.74010514,1.01000744,0.48576943,0.14613534,1.65654506
-5.92796398,5.04524581,0.22615838,0.10746416,1.18272977,1.73649512,1.02080330,0.49559208,0.14799911,1.68735100
-5.92196098,5.09926040,0.22826708,0.11173026,1.20965904,1.73096126,1.03059357,0.50478602,0.14951221,1.71569573
-5.91595798,5.14620391,0.22924337,0.11609551,1.23299478,1.72343258,1.03936763,0.51328375,0.15063653,1.74131994
-5.90995498,5.18564830,0.22910714,0.12054161,1.25264235,1.71387917,1.04712899,0.52102212,0.15134056,1.76401394
-5.90395198,5.21727780,0.22790249,0.12504401,1.26857717,1.70230721,1.05389303,0.52794177,0.15159984,1.78361546
-5.89794897,5.24087482,0.22569611,0.12957140,1.28083869,1.68875305,1.05968380,0.53398674,0.15139724,1.80000611
-5.89194597,5.25630374,0.22257464,0.13408544,1.28952193,1.67327672,1.06452994,0.53910434,0.15072319,1.81310685
-5.88594297,5.26349373,0.21864143,0.13854073,1.29476702,1.65595502,1.06846012,0.54324525,0.14957576,1.82287278
-5.87993997,5.26242193,0.21401265,0.14288523,1.29674751,1.63687478,1.07149817,0.54636399,0.14796072,1.82928774
-5.87393697,5.25309861,0.20881303,0.14706092,1.29565821,1.61612670,1.07365852,0.54841983,0.14589143,1.83235926
-5.86793397,5.23555575,0.20317132,0.15100498,1.29170328,1.59380020,1.07494222,0.54937798,0.14338868,1.83211429
-5.86193097,5.20984014,0.19721592,0.15465129,1.28508532,1.56997977,1.07533416,0.54921131,0.14048050,1.82859614
-5.85592796,5.17601214,0.19107054,0.15793236,1.27599625,1.54474313,1.07480165,0.54790234,0.13720184,1.82186307
-5.84992496,5.13415046,0.18485047,0.16078157,1.26461042,1.51816131,1.07329491,0.54544556,0.13359425,1.81198868
-5.84392196,5.08436301,0.17865925,0.16313566,1.25108034,1.49030095,1.07074932,0.54184983,0.12970544,1.79906407
-5.83791896,5.02680316,0.17258621,0.16493738,1.23553532,1.46122833,1.06708981,0.53714097,0.12558880,1.78320176
-5.83191596,4.96169041,0.16670466,0.16613814,1.21808288,1.43101514,1.06223684,0.53136400,0.12130281,1.76454104
-5.82591296,4.88933380,0.16107101,0.16670060,1.19881284,1.39974536,1.05611404,0.52458523,0.11691039,1.74325412
-5.81990995,4.81015603,0.15572473,0.16660104,1.17780359,1.36752266,1.04865672,0.51689373,0.11247803,1.71955266
-5.81390695,4.72471615,0.15068897,0.16583130,1.15513010,1.33447771,1.03982099,0.50840210,0.10807491,1.69369383
-5.80790395,4.63372842,0.14597202,0.16440029,1.13087290,1.30077460,1.02959259,0.49924641,0.10377176,1.66598519
-5.80190095,4.53807507,0.14156923,0.16233488,1.10512741,1.26661565,1.01799494,0.48958510,0.09963963,1.63678768
-5.79589795,4.43881098,0.13746535,0.15968015,1.07801276,1.23224409,1.00509564,0.47959672,0.09574851,1.60651593
-5.78989495,4.33715880,0.13363720,0.15649893,1.04967956,1.19794393,0.99101084,0.46947656,0.09216576,1.57563550
-5.78389195,4.23449329,0.13005628,0.15287060,1.02031575,1.16403688,0.97590710,0.45943218,0.08895452,1.54465651
-5.77788894,4.13231474,0.12669145,0.14888921,0.99015026,1.13087602,0.96000022,0.44967778,0.08617195,1.51412375
