energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.66974725,0.00063259,0.01482753,0.61096836,0.98074801,0.00021225,0.77398000,0.06044677,0.09683278
-5.99399700,1.68575692,0.00053758,0.01499805,0.62239885,0.99158336,0.00017900,0.78080503,0.06024163,0.09724593
-5.98799400,1.70069996,0.00045355,0.01513530,0.63405648,1.00164166,0.00014990,0.78721497,0.06010248,0.09751949
-5.98199100,1.71417968,0.00037991,0.01523546,0.64573495,1.01074475,0.00012466,0.79298507,0.06000100,0.09763028
-5.97598799,1.72578848,0.00031594,0.01529513,0.65721026,1.01870385,0.00010295,0.79788833,0.05990737,0.09755714
-5.96998499,1.73511171,0.00026086,0.01531136,0.66824310,1.02532008,0.00008444,0.80169868,0.05979112,0.09728121
-5.96398199,1.74173246,0.00021383,0.01528167,0.67858206,1.03038580,0.00006877,0.80419435,0.05962206,0.09678608
-5.95797899,1.74523750,0.00017402,0.01520409,0.68796748,1.03368703,0.00005563,0.80516148,0.05937111,0.09605793
-5.95197599,1.74522447,0.00014061,0.01507716,0.69613617,1.03500698,0.00004469,0.80439817,0.05901116,0.09508575
-5.94597299,1.74131032,0.00011279,0.01489997,0.70282682,1.03413066,0.00003566,0.80171868,0.05851789,0.09386145
-5.93996998,1.73314080,0.00008983,0.01467223,0.70778609,1.03085055,0.00002827,0.79695790,0.05787043,0.09238005
-5.93396698,1.72040079,0.00007103,0.01439425,0.71077508,1.02497306,0.00002228,0.78997590,0.05705205,0.09063985
-5.92796398,1.70282494,0.00005576,0.01406703,0.71157611,1.01632561,0.00001747,0.78066232,0.05605054,0.08864256
-5.92196098,1.68020813,0.00004346,0.01369224,0.70999943,1.00476382,0.00001364,0.76894044,0.05485861,0.08639347
-5.91595798,1.65241532,0.00003363,0.01327228,0.70588957,0.99017864,0.00001064,0.75477074,0.05347407,0.08390150
-5.90995498,1.61939001,0.00002584,0.01281029,0.69913109,0.97250283,0.00000833,0.73815363,0.05189979,0.08117927
-5.90395198,1.58116100,0.00001971,0.01231009,0.68965342,0.95171655,0.00000659,0.71913129,0.05014357,0.07824303
-5.89794897,1.53784676,0.00001492,0.01177620,0.67743445,0.92785165,0.00000533,0.69778830,0.04821781,0.07511255
-5.89194597,1.48965729,0.00001122,0.01121379,0.66250278,0.90099442,0.00000449,0.67425110,0.04613908,0.07181091
-5.88594297,1.43689305,0.00000838,0.01062861,0.64493849,0.87128655,0.00000401,0.64868611,0.04392750,0.06836417
-5.87993997,1.37994102,0.00000622,0.01002687,0.62487217,0.83892422,0.00000386,0.62129668,0.04160608,0.06480095
-5.87393697,1.31926794,0.00000458,0.00941521,0.60248253,0.80415544,0.00000404,0.59231875,0.03919995,0.06115196
-5.86793397,1.25541087,0.00000336,0.00880055,0.57799235,0.76727547,0.00000453,0.56201554,0.03673563,0.05744948
