energy_ev,total_up,Pd_p_up,Pd_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,4.52462190,3.09039198,3.25705808,1.22993073,0.00000000,0.53494628,0.00000000
-5.99399700,4.50687989,3.12370400,3.23684378,1.21896246,0.00000000,0.52829870,0.00000000
-5.98799400,4.48763337,3.15264170,3.21509689,1.20641668,0.00000000,0.52289899,0.00000000
-5.98199100,4.46611231,3.17626980,3.19141911,1.19215867,0.00000000,0.51862297,0.00000000
-5.97598799,4.44154385,3.19370660,3.16539726,1.17606425,0.00000000,0.51534047,0.00000000
-5.96998499,4.41318907,3.20415445,3.13662684,1.15802854,0.00000000,0.51292029,0.00000000
-5.96398199,4.38037814,3.20692764,3.10473537,1.13797432,0.00000000,0.51123455,0.00000000
-5.95797899,4.34254238,3.20147615,3.06940454,1.11585935,0.00000000,0.51016224,0.00000000
-5.95197599,4.29924157,3.18740444,3.03038997,1.09168251,0.00000000,0.50959199,0.00000000
-5.94597299,4.25018519,3.16448437,2.98753745,1.06548815,0.00000000,0.50942394,0.00000000
-5.93996998,4.19524662,3.13266189,2.94079482,1.03736854,0.00000000,0.50957065,0.00000000
-5.93396698,4.13446948,3.09205718,2.89021883,1.00746423,0.00000000,0.50995710,0.00000000
-5.92796398,4.06806584,3.04295850,2.83597653,0.97596211,0.00000000,0.51051994,0.00000000
-5.92196098,3.99640651,2.98581007,2.77834111,0.94309148,0.00000000,0.51120593,0.00000000
-5.91595798,3.92000376,2.92119481,2.71768229,0.90911807,0.00000000,0.51196979,0.00000000
-5.90995498,3.83948749,2.84981275,2.65445188,0.87433637,0.00000000,0.51277166,0.00000000
-5.90395198,3.75557615,2.77245627,2.58916518,0.83906065,0.00000000,0.51357429,0.00000000
-5.89794897,3.66904382,2.68998337,2.52237922,0.80361509,0.00000000,0.51434010,0.00000000
-5.89194597,3.58068535,2.60329013,2.45466903,0.76832340,0.00000000,0.51502851,0.00000000
-5.88594297,3.49128122,2.51328369,2.38660321,0.73349858,0.00000000,0.51559346,0.00000000
-5.87993997,3.40156411,2.42085666,2.31872010,0.69943316,0.00000000,0.51598154,0.00000000
-5.87393697,3.31218883,2.32686418,2.25150586,0.66639035,0.00000000,0.51613065,0.00000000
-5.86793397,3.22370706,2.23210413,2.18537553,0.63459669,0.00000000,0.51596950,0.00000000
-5.86193097,3.13654829,2.13730130,2.12065812,0.60423620,0.00000000,0.51541790,0.00000000
-5.85592796,3.05100778,2.04309572,2.05758649,0.57544651,0.00000000,0.51438795,0.00000000
-5.84992496,2.96724194,1.95003538,1.99629239,0.54831690,0.00000000,0.51278596,0.00000000
-5.84392196,2.88527133,1.85857310,1.93680685,0.52288846,0.00000000,0.51051528,0.00000000
